	macd	trigger
3547		
3546		
3545		
3544		
3543		
3542		
3541		
3540		
3539		
3538		
3537		
3536		
3535		
3534		
3533		
3532		
3531		
3530		
3529		
3528		
3527		
3526		
3525		
3524		
3523		
3522		
3521		
3520		
3519		
3518		
3517		
3516		
3515		
3514		
3513		
3512		
3511		
3510		
3509		
3508		
3507		
3506		
3505		
3504		
3503		
3502		
3501		
3500		
3499		
3498		
3497		
3496		
3495		
3494		
3493		
3492		
3491		
3490		
3489		
3488		
3487		
3486		
3485		
3484		
3483		
3482		
3481		
3480		
3479		
3478		
3477		
3476		
3475		
3474		
3473		
3472		
3471		
3470		
3469		
3468		
3467		
3466		
3465		
3464		
3463		
3462		
3461		
3460		
3459		
3458		
3457		
3456		
3455		
3454		
3453		
3452		
3451		
3450		
3449	0.05791106897139997	
3448	0.050804020434014774	
3447	0.04805686283314259	
3446	0.045416207596241875	
3445	0.042878118649191777	
3444	0.04043881713365849	
3443	0.0380946740660999	
3442	0.03037333130587605	
3441	0.02574367130328703	
3440	0.01719663551606132	
3439	0.009044305241150852	
3438	0.006797112832037655	
3437	0.0018826412423020855	
3436	-2.5325701258793742e-05	
3435	-0.0018436904150487265	
3434	-0.004970738608079728	
3433	-0.007948778351172692	
3432	-0.010783434401481884	
3431	-0.012075455598289153	
3430	-0.013301013131048478	
3429	-0.014462647541392926	
3428	-0.01556280530237153	
3427	-0.016603842636143895	
3426	-0.017588029149756323	
3425	-0.021363991835446683	
3424	-0.0249538200827768	
3423	-0.02836447229325678	
3422	-0.0287386154260858	
3421	-0.026211066283980955	
3420	-0.026662587007859173	
3419	-0.027079690156757152	
3418	-0.024577223897267686	
3417	-0.022177824980543548	
3416	-0.040159641809568214	
3415	-0.057291859734251105	
3414	-0.07360544155460502	
3413	-0.0908781786885342	
3412	-0.10380770908310133	
3411	-0.11492033639819255	
3410	-0.12663497219495312	
3409	-0.1377469098407893	
3408	-0.1471031793612685	
3407	-0.15713235219001032	
3406	-0.16662144292247483	
3405	-0.1755906033715826	
3404	-0.18287646517573375	
3403	-0.18736615468137874	
3402	-0.1879955551762853	
3401	-0.1896888550689413	-0.08136634891954572
3400	-0.19120823853631475	-0.08634786973354734
3399	-0.19136917154965083	-0.09108172133564255
3398	-0.18784512759919547	-0.09541793906623312
3397	-0.18797219464859083	-0.09954244946206987
3396	-0.1868010810479932	-0.10341028692994957
3395	-0.18558851620000372	-0.10703440895062978
3394	-0.1831369110739436	-0.11037427135211715
3393	-0.17950248943920766	-0.11339395378393388
3392	-0.17594275095377387	-0.11611408182994454
3391	-0.1736608468378913	-0.11860603438476305
3390	-0.17079157164625247	-0.12085663014354663
3389	-0.16736239749736903	-0.12285446177671923
3388	-0.16400450341361772	-0.12461562567301142
3387	-0.1619271239291864	-0.12620680426732372
3386	-0.1598620394524053	-0.127637152354715
3385	-0.1578097077660532	-0.12891528866734064
3384	-0.15334031313617658	-0.12994671041974393
3383	-0.15021305081422565	-0.13079994866649433
3382	-0.1483696660542213	-0.13153752738632685
3381	-0.1477539069062841	-0.1322164160916341
3380	-0.14709087903754625	-0.13283748127636377
3379	-0.1476049512222044	-0.1334525180715043
3378	-0.1492435213896668	-0.13410858724850133
3377	-0.14644567908142392	-0.13461996449329489
3376	-0.1430876649857442	-0.13497017135729633
3375	-0.13980953576102984	-0.1351698897702862
3374	-0.1366092952608433	-0.13522917163648066
3373	-0.13594381581132353	-0.13525854638542878
3372	-0.13400861611076653	-0.13520726605996242
3371	-0.13332482445504468	-0.13513017557777898
3370	-0.13506989571606276	-0.13512771125319215
3369	-0.13173029324280439	-0.13498905104658857
3368	-0.12724014794610117	-0.13467329639261877
3367	-0.12412555134415726	-0.13424415139293933
3366	-0.11613968356688975	-0.1335086353687883
3365	-0.11093462559546197	-0.13259283053728044
3364	-0.11210714323668647	-0.13176287003500375
3363	-0.11316897787753888	-0.13101053092792855
3362	-0.10915831418698119	-0.13012745497000605
3361	-0.10403161307170272	-0.12907414802815168
3360	-0.10032839901636503	-0.1279152125209334
3359	-0.09798679038729663	-0.12670992257842442
3358	-0.09694701482106716	-0.12551256358803448
3357	-0.09839781875493436	-0.12442284515822023
3356	-0.09973224464523245	-0.1234315160362488
3355	-0.10095489259165014	-0.12252992065722283
3354	-0.100820967293199	-0.1216598988245143
3353	-0.1018915881225837	-0.12086833292118668
3352	-0.10286129278544554	-0.12014788753029221
3351	-0.10123039350174245	-0.11939161573565003
3350	-0.09962172071650155	-0.11860186872820942
3349	-0.09928865680657939	-0.11783092857817297
3348	-0.09515656978724696	-0.11692645398298514
3347	-0.08739783596734974	-0.11574935811557759
3346	-0.0843430460537471	-0.11449822168102719
3345	-0.07949860785476659	-0.11310480441055054
3344	-0.07483357790115619	-0.11158204510637267
3343	-0.07034218706167739	-0.10994210762506369
3342	-0.06601884068398434	-0.10819642253270578
3341	-0.061858113419695826	-0.10635572648532284
3340	-0.05911532496340133	-0.10448014811511037
3339	-0.05520554039095593	-0.10252475855638642
3338	-0.05144511462421075	-0.10049868667051304
3337	-0.04656648483419623	-0.09836042885459202
3336	-0.04378077118147772	-0.09619743450571967
3335	-0.04109917895811588	-0.09401479249830977
3334	-0.038518351122913685	-0.09181725140575255
3333	-0.03793309633336239	-0.08968436858467581
3332	-0.039253955145370334	-0.08768892678746866
3331	-0.0385945862885233	-0.08574703560716472
3330	-0.03667805427255377	-0.08380680443603562
3329	-0.03736553658632413	-0.08197107237964567
3328	-0.0354655509690156	-0.08013337450866234
3327	-0.03363368052519622	-0.07829645799838718
3326	-0.0331374307331016	-0.07651301687947012
3325	-0.03518713787039207	-0.0748814078062191
3324	-0.03458392634176466	-0.07329082429708349
3323	-0.033990317659229774	-0.07173998843332473
3322	-0.034678076697812976	-0.07027784831151622
3321	-0.035316686848934076	-0.06889891037090427
3320	-0.03705371664330048	-0.0676431566002765
3319	-0.037546521361564444	-0.06645661179605593
3318	-0.03608656336679772	-0.06525953777924305
3317	-0.035311625633422494	-0.0640793395280845
3316	-0.03455370896864096	-0.06291600685318328
3315	-0.03636337962295855	-0.06187000640940911
3314	-0.03870996647547642	-0.06095781397629066
3313	-0.04156807215387648	-0.06019425072291063
3312	-0.04299785583622562	-0.05951717201762195
3311	-0.04370174643448799	-0.05889456474970541
3310	-0.04371216535591582	-0.05829696835795648
3309	-0.04497776408054044	-0.057772785669773584
3308	-0.04616257126773338	-0.05731592480385069
3307	-0.04726964504209974	-0.05692065767512877
3306	-0.05086095082275843	-0.05668227150769786
3305	-0.054262628542825375	-0.05658709562088681
3304	-0.05748153839245873	-0.056622274056873464
3303	-0.06180503863172948	-0.056826088898681196
3302	-0.06461881986570184	-0.05713250833968166
3301	-0.06791194574483939	-0.057556323913293066
3300	-0.06653361746934827	-0.057909248754461164
3299	-0.0632602287270192	-0.05811959164695546
3298	-0.06330955023696205	-0.05832358583119242
3297	-0.06204092108359216	-0.058469684613919354
3296	-0.06336454804252689	-0.058662046024847855
