	macd	trigger
2177		
2176		
2175		
2174		
2173		
2172		
2171		
2170		
2169		
2168		
2167		
2166		
2165		
2164		
2163		
2162		
2161		
2160		
2159		
2158		
2157		
2156		
2155		
2154		
2153		
2152		
2151		
2150		
2149		
2148		
2147		
2146		
2145		
2144		
2143		
2142		
2141		
2140		
2139		
2138		
2137		
2136		
2135		
2134		
2133		
2132		
2131		
2130		
2129		
2128		
2127		
2126		
2125		
2124		
2123		
2122		
2121		
2120		
2119		
2118		
2117		
2116		
2115		
2114		
2113		
2112		
2111		
2110		
2109		
2108		
2107		
2106		
2105		
2104		
2103		
2102		
2101		
2100		
2099		
2098		
2097		
2096		
2095		
2094		
2093		
2092		
2091		
2090		
2089		
2088		
2087		
2086		
2085		
2084		
2083		
2082		
2081		
2080		
2079	-6.337695305376599	
2078	-6.229594445631847	
2077	-6.123464857703425	
2076	-5.992210790061222	
2075	-5.86413969400337	
2074	-5.739157278959965	
2073	-5.617172810688203	
2072	-5.498098943903699	
2071	-5.327019134492048	
2070	-5.216279723070727	
2069	-5.05298858544927	
2068	-4.9500701852497855	
2067	-4.794079178936954	
2066	-4.698505393384892	
2065	-4.577192758933791	
2064	-4.431339062333166	
2063	-4.278874730982864	
2062	-4.1313651787396	
2061	-3.988646718301652	
2060	-3.850561539321916	
2059	-3.502486398618828	
2058	-3.168847001729546	
2057	-2.5656901589060794	
2056	-1.9324683662388793	
2055	-1.3276838750653042	
2054	-0.8643935633568844	
2053	-0.3649867743928894	
2052	0.39786569747320755	
2051	1.125191213920175	
2050	1.5882566752238176	
2049	2.0867250535143853	
2048	2.4456403384210716	
2047	2.902421631121797	
2046	3.394599863915005	
2045	3.746249593357163	
2044	4.021631711212024	
2043	4.39881521390879	
2042	4.756402730048933	
2041	5.095123723675442	
2040	5.44496606169713	
2039	5.699699061180354	
2038	5.9280834319936275	
2037	6.201831090555572	
2036	6.341955564828481	
2035	6.4724309063634	
2034	6.593635740424759	
2033	6.705935547398099	
2032	6.839344712715388	
2031	6.933462482456719	2.175607597841096
2030	7.019747904136182	2.395297789314907
2029	7.0985166777326185	2.607296116177456
2028	7.170073548767789	2.81176593765158
2027	7.234712686201249	3.0088664354065724
2026	7.29271804608328	3.1987529998124837
2025	7.344363721588991	3.3815775658734744
2024	7.389914280026687	3.557488905324698
2023	7.429625087380259	3.726632880478582
2022	7.463742620920414	3.8891526646463426
2021	7.552745101190624	4.0477975255833485
2020	7.633841080141565	4.2024521452006836
2019	7.707350430808049	4.3530183451467055
2018	7.773582065488256	4.499413660670049
2017	7.711751818544087	4.636406382843993
2016	7.709428602598678	4.767009881240743
2015	7.76397028356854	4.893963792352855
2014	7.812070064771262	5.0171898013600105
2013	7.853996805463453	5.13662291989233
2012	7.98135189996276	5.256044963690059
2011	8.09883510614884	5.375056615883996
2010	8.115292962310662	5.489471865623428
2009	8.218505231125675	5.603130870253587
2008	8.15992539742524	5.70935807110932
2007	8.222298442436397	5.813520424832781
2006	7.848629372860842	5.897688390294684
2005	7.794713659269348	5.975977778014493
2004	7.677864133757907	6.046069909718312
2003	7.378003251942744	6.100817725373707
2002	7.026494546131062	6.138795050675263
2001	6.687396007925599	6.161261570863849
2000	6.360313844932364	6.169399104678446
1999	6.044866294260828	6.164316496306842
1998	5.740683251512166	6.147054160349663
1997	5.385591439875725	6.116073328197169
1996	5.043901361443204	6.072515038068454
1995	4.715176370232143	6.017449175934128
1994	4.398993271299332	5.951878787408066
1993	4.094941907990346	5.876744102215474
1992	3.8647034833360294	5.795434973811739
1991	3.5187003448231167	5.703539092513123
1990	3.1866320181953256	5.602065550265199
1989	2.8680336956487054	5.49195947510513
1988	2.500178722922044	5.371600415765019
1987	2.1477707484989423	5.242037455662469
1986	2.059769517043776	5.114269203132148
1985	1.7874641005923877	4.980822463911598
1984	1.7452414348159095	4.851151259150716
1983	1.4852699336682917	4.716374093207098
1982	1.2363568159376541	4.577141749149308
1981	0.9981265261621957	4.434062107540581
1980	0.7702152048470907	4.2877025985841515
1979	0.558538229913097	4.138842711913826
1978	0.3499259825679246	3.987703755501662
1977	0.025095873488794496	3.8297427781337356
1976	-0.28497994934912185	3.665824152085215
1975	-0.5808131900096214	3.4967554919765664
1974	-0.862899504052848	3.323290834224359
1973	-0.8800477463187804	3.156141556518457
1972	-0.8959643678472844	2.995094772036114
1971	-0.9106970987075442	2.839945052592428
1970	-0.9242921037167093	2.69049412577405
1969	-1.0629239379977662	2.5415453095295417
1968	-1.1947072037779662	2.393347013829055
1967	-1.2567502704981734	2.2486310782406598
1966	-1.3153265821630384	2.107391271914963
1965	-1.3705634806563012	1.9696168529721645
1964	-1.422584225757305	1.83529290210295
1963	-1.4082393074641004	1.706904990664038
1962	-1.2988704670531774	1.587971799910665
