	macd	trigger
1052		
1051		
1050		
1049		
1048		
1047		
1046		
1045		
1044		
1043		
1042		
1041		
1040		
1039		
1038		
1037		
1036		
1035		
1034		
1033		
1032		
1031		
1030		
1029		
1028		
1027		
1026		
1025		
1024		
1023		
1022		
1021		
1020		
1019		
1018		
1017		
1016		
1015		
1014		
1013		
1012		
1011		
1010		
1009		
1008		
1007		
1006		
1005		
1004		
1003		
1002		
1001		
1000		
999		
998		
997		
996		
995		
994		
993		
992		
991		
990		
989		
988		
987		
986		
985		
984		
983		
982		
981		
980		
979		
978		
977		
976		
975		
974		
973		
972		
971		
970		
969		
968		
967		
966		
965		
964		
963		
962		
961		
960		
959		
958		
957		
956		
955		
954	-1.6690399519658001	
953	-1.7113009140785778	
952	-1.7290826238291856	
951	-1.7343083114980402	
950	-1.7817943312313673	
949	-1.8097890772980634	
948	-1.8300731060108149	
947	-1.8211144531093453	
946	-1.800682261617851	
945	-1.7693008903472105	
944	-1.7770779814127877	
943	-1.7559540702395395	
942	-1.762624704775419	
941	-1.7403187016099793	
940	-1.6903415131497894	
939	-1.613948813826994	
938	-1.4955702653675473	
937	-1.37075731626976	
936	-1.2623172146417971	
935	-1.1414032136983394	
934	-1.09891935783358	
933	-1.0465431326694556	
932	-0.9960726625520522	
931	-0.9190384803321763	
930	-0.8508090868498925	
929	-0.7853145198740492	
928	-0.7224586145133856	
927	-0.6564205232161555	
926	-0.6390232973372463	
925	-0.6221065082706048	
924	-0.6056559735646942	
923	-0.5896579754018489	
922	-0.6088032852252638	
921	-0.649935208096565	
920	-0.712062144191151	
919	-0.7477005646430257	
918	-0.792970603691316	
917	-0.8299175455012175	
916	-0.8238161372651973	
915	-0.8820011405541095	
914	-0.9194642930540056	
913	-0.9312341270799038	
912	-0.9831926440479606	
911	-1.0204762328677077	
910	-1.0023871760230634	
909	-1.0260175012681998	
908	-1.042120208003439	
907	-1.0688203188988439	
906	-1.0581071387231873	-1.0263600049724777
905	-1.059246812215278	-1.0278514789024844
904	-1.0597960098696575	-1.0292913836311643
903	-1.0538141739558284	-1.0303903130954677
902	-1.0535459382974608	-1.0314222010002083
901	-1.0647223829501087	-1.032898269202197
900	-1.0748465504831444	-1.034748220110976
899	-1.0959621516191902	-1.0374346772258842
898	-1.0554720832293754	-1.0382225933552376
897	-1.064424401608946	-1.039362060087005
896	-1.0603782985326689	-1.0402721280826626
895	-1.0981992914376377	-1.0427703418600127
894	-1.1095780124593375	-1.0456403187522645
893	-1.1138259258861183	-1.048558566820894
892	-1.0688799588237146	-1.0494251887865818
891	-1.0254397561558335	-1.04840580747785
890	-1.0320067097337784	-1.047711127095786
889	-1.001294814693054	-1.0457510555986373
888	-0.9167295403290581	-1.040319088635738
887	-0.8416409294181477	-1.0319785570779136
886	-0.8000263424413419	-1.022268020981125
885	-0.7110768505622644	-1.009274610567235
884	-0.6441455529875384	-0.9940676857378573
883	-0.6166303532068156	-0.9783862882273661
882	-0.5594419807561906	-0.9610208840804314
881	-0.5352158339427433	-0.943410453548828
880	-0.49954991569737217	-0.9250925268929762
879	-0.4775348492582907	-0.9066598791548005
878	-0.4870133907076877	-0.8894107212115308
877	-0.3542931389055468	-0.8674566935831955
876	-0.24590917690292713	-0.8420028374658964
875	-0.1053444456339605	-0.8118872178308499
874	-0.008144345893470017	-0.779083732260853
873	0.0537574646910457	-0.7451468665464283
872	0.10045244085418403	-0.7107428576482144
871	0.16353232392592076	-0.6752243651001996
870	0.24842795385254135	-0.6377527211687849
869	0.3107420624583028	-0.5993252476124971
868	0.3576572673964904	-0.5606041791707083
867	0.4208792020960743	-0.5209411835409292
866	0.4623715496404657	-0.4812517137813388
865	0.5079580842807729	-0.4413699782735139
864	0.544988617542316	-0.40164693206895097
863	0.5800561084981553	-0.36215311072934736
862	0.6132318735683668	-0.32295322151424516
861	0.6445849364840228	-0.284106505245123
860	0.6741820991360612	-0.24566707595927342
859	0.702088010196519	-0.2076842398828659
858	0.7596186578515187	-0.16895134036597537
857	0.7766136329510971	-0.13112014091940902
856	0.8237348066056427	-0.09294754450162154
855	0.8682911720186155	-0.054548989573907816
854	0.8539653722511105	-0.01828313171153874
853	0.846124725288405	0.016197885094549933
852	0.8382063006378644	0.048965511009109425
851	0.8302176109730794	0.08008833004337179
850	0.809597731070653	0.1091318218776671
849	0.7769236096256975	0.13570233583277308
848	0.7390440581474991	0.1596947245405393
847	0.7088024194011098	0.18151844540135276
846	0.6669728810332174	0.2008021456044146
845	0.6645195828851058	0.21921304744339287
844	0.6492232800319186	0.2362773642950902
843	0.672148785480033	0.25356618552280064
842	0.6936865149995981	0.2710156999577144
841	0.7391561472902595	0.28956812745961247
840	0.7695379389145103	0.30858147483982057
839	0.7728482142754842	0.3269654506864187
838	0.7882641227544127	0.3452249188309508
837	0.8278939279959161	0.36432327336384585
836	0.8652959807540412	0.3841388869797351
835	0.9005522139411255	0.40455832930164504
834	0.927402516638864	0.425225332586269
833	0.9398696897023626	0.4455618606091469
832	0.9449405998856548	0.4652892388448743
831	0.9746874142426805	0.48540662637337245
830	0.9898772795737614	0.5053239013276405
829	0.991158477166465	0.5245002973805493
828	0.9918706138623747	0.5429431804490888
827	0.9729606479570521	0.5599079230346535
826	0.9734954242744038	0.5762206390132908
825	0.954409506091082	0.5911337872862975
824	0.9356992575817173	0.6047181087644331
823	0.9428370465486466	0.6180454959747846
822	0.9236740082787662	0.6300898159250048
821	0.930405626563612	0.641922491085048
820	0.9172189192630356	0.6527673759827591
819	0.9041585354504207	0.6626687886777906
818	0.8912254172066696	0.6716692923698687
817	0.8911892612038059	0.6803125165608982
816	0.8779212388565156	0.6880917967363339
815	0.8775811971096914	0.6955503136018636
814	0.889585694451597	0.7031866547389135
813	0.8877981512427482	0.7104511000998227
812	0.8920287347717704	0.717595204385088
811	0.8956060514063608	0.7245980717871525
810	0.9113570434007272	0.7319441765643002
809	0.9195190491394669	0.7393214966761216
808	0.9332381407444927	0.7469473669165769
807	0.9650673963463419	0.7555241056454938
806	1.020579690374177	0.7659453067210659
805	1.0730390755739734	0.7780181011461764
804	1.0969123935096263	0.7905535896360694
803	1.1191324046672548	0.8034685611464194
802	1.1141034747053595	0.815677140588952
801	1.1087270522933181	0.8271935996914609
800	1.1222766073859134	0.8387889949467268
799	1.1795691832819841	0.8521790107788432
798	1.2336447203037153	0.867166504441495
797	1.3167381713499253	0.884828529752589
796	1.4017943455350803	0.905136789650962
795	1.482254787396073	0.9278065028842819
794	1.6225679142440583	0.9550955754853458
793	1.7556562873661505	0.9865382987305756
792	1.8753483553330454	1.021444991271595
791	2.0143532449328916	1.0604377308291226
790	2.15242340208826	1.1033189812881143
789	2.2702244210811102	1.1491398149939935
788	2.420110206958384	1.1990444044277981
787	2.561921014847286	1.2525550508165055
786	2.6444330569760552	1.3072017930505824
785	2.7282606950189745	1.362991674185008
784	2.8455134362509114	1.4211920060869156
783	2.9559549127715172	1.4814406742394506
782	3.027613124434538	1.5421347881288425
781	3.0944404814717075	1.6030672983828773
780	3.1437272666315152	1.6635404292544542
779	3.202038061925066	1.7239265259650791
778	3.197986637866734	1.781781459630021
777	3.2827745166710542	1.840691531742886
776	3.329740172854173	1.899130963384914
775	3.5535304828564165	1.9640578028467832
774	3.7136558068741863	2.0327186930108554
773	3.8645654023931115	2.104605314012245
772	4.025969561141494	2.1800028082031204
771	4.197309612281174	2.2591631912557943
770	4.442632210965741	2.3448417469166887
769	4.616345071379669	2.433972601978981
768	4.747451150604462	2.524748420802486
767	4.960585373736421	2.6203232008265305
766	5.167903616255103	2.720280327882137
765	5.460051032035437	2.8277760581734777
764	5.878277068795711	2.9474610381233752
763	6.27440858359779	3.0779898086025366
762	6.578118318330581	3.215310638745115
761	6.819314855120041	3.356704373343745
760	7.020116643815072	3.5004264263627882
759	7.25987928898104	3.647913950983132
758	7.510832275472524	3.7994582029399915
757	7.72704624585117	3.9535371969999926
756	8.052352852873781	4.1143311479993
755	8.352191270961981	4.280577451008413
754	8.640509736354971	4.451610254014903
753	8.891789664532382	4.625788816744252
752	9.094636322466357	4.801089839163935
751	9.244671180889753	4.975397704863788
750	9.318314366237075	5.145754900243909
749	9.377286558451658	5.311741071241031
748	9.506425715543202	5.476280179016209
747	9.49518997096294	5.633922843097526
746	9.34996527151742	5.779684073728991
745	9.206497422440322	5.914099102639457
744	8.974065330603224	6.0341236804019704
743	8.792919631765528	6.142334193735013
742	8.544165852687541	6.236542438057673
741	8.341192308221054	6.319093527417043
740	8.136647667872467	6.390383270185936
739	7.969605514126556	6.452324498236236
738	7.8578970269987565	6.507454348097276
737	7.688838236456178	6.5537906853693855
736	7.510515491900122	6.591315185376162
735	7.2650775982250195	6.617741219387278
734	7.06595738455249	6.635320866836632
733	6.943581608141471	6.647411203667078
732	6.849117373284088	6.655322305898364
731	6.71647353009854	6.65772070081884
730	6.566918069912447	6.654159374356927
729	6.407785761851102	6.644496519710312
728	6.213640543280718	6.627598284164767
727	6.0899997564067405	6.606513683955719
726	5.936378056052121	6.580231094831697
725	5.741239152797988	6.547326129424813
724	5.545515203658425	6.5080356169226725
723	5.316880187411414	6.461319287399614
722	5.069932451781369	6.406750213693951
721	4.851074783024529	6.345738087463179
720	4.581237504106554	6.27653626867141
719	4.35377495170701	6.201127878135751
718	4.147398027048581	6.120583309673995
717	3.9612541165531923	6.035897527989524
716	3.7490632978151837	5.946211440089386
715	3.5640732604991285	5.852787937216139
714	3.398647513492733	5.756540881242784
713	3.297444771317231	5.660099717809622
712	3.2900700243463064	5.567151800741173
711	3.294310604881389	5.478015635684377
710	3.2901481703101183	5.392212159826553
709	3.277967422645645	5.3092961897592
708	3.3101116822901417	5.230892789259069
707	3.300087860036939	5.155171229747159
706	3.262815127299831	5.080957684375908
705	3.193055905507265	5.006918963625876
704	3.157303036825027	4.934381845893297
703	3.1410307378671405	4.864051407912965
702	3.091373651467535	4.794531837642181
701	3.009877584170283	4.724542692307135
700	2.9110323993612326	4.653422001618321
699	2.828175466110423	4.581841153240866
698	2.7866197890805324	4.5114379030267715
697	2.6740102784440296	4.439379545460137
696	2.578141321973675	4.3663875024146765
695	2.5113009725557447	4.293636800131815
694	2.433198749645584	4.220676314872171
693	2.344388073463591	4.147094319605094
692	2.245402733976107	4.072516168861272
