	macd	trigger
676		
675		
674		
673		
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630		
629		
628		
627		
626		
625		
624		
623		
622		
621		
620		
619		
618		
617		
616		
615		
614		
613		
612		
611		
610		
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578	-0.23101702881711006	
577	-0.23269457927495196	
576	-0.23713946050564516	
575	-0.24395534851760914	
574	-0.24809711259198863	
573	-0.2525130612023929	
572	-0.256808139085102	
571	-0.2644869648234689	
570	-0.2666223815564379	
569	-0.26989495158607113	
568	-0.2759616347966265	
567	-0.2813804337840331	
566	-0.28778536355296325	
565	-0.2933536991415906	
564	-0.29828837856254253	
563	-0.3022258829268871	
562	-0.30610464395173764	
561	-0.3108232792073835	
560	-0.31791631687126554	
559	-0.32248913653114286	
558	-0.32786987316619687	
557	-0.33090998908939184	
556	-0.3321664822554986	
555	-0.3343318635200774	
554	-0.3394147312151219	
553	-0.346314032761434	
552	-0.3535748608986431	
551	-0.3585438792241469	
550	-0.36424858835004414	
549	-0.36927430110457493	
548	-0.37030763757681484	
547	-0.37150930081039135	
546	-0.3701532329544115	
545	-0.367512833928739	
544	-0.3623112552057286	
543	-0.35617672620700347	
542	-0.3443758221602131	
541	-0.3429238862309134	
540	-0.3443464708628632	
539	-0.3476372263872918	
538	-0.35060022207754926	
537	-0.3564223155234352	
536	-0.3636796078117328	
535	-0.36829675361265757	
534	-0.37245598731623275	
533	-0.3816763354254462	
532	-0.3914648311443649	
531	-0.4011991886314341	
530	-0.41123445275454173	-0.34784436414962994
529	-0.41857828507307104	-0.35105227053730625
528	-0.4268629471327685	-0.35446944863976165
527	-0.43473061304749905	-0.3580661583632159
526	-0.4428540284479823	-0.3618445740546942
525	-0.4510989358424986	-0.3658008745194181
524	-0.46107455920627416	-0.3700025160214552
523	-0.4700598154561497	-0.37439366746920666
522	-0.47677323056894494	-0.37886584651018623
521	-0.481974879084504	-0.38334986193482923
520	-0.4874769070615699	-0.38785888439844557
519	-0.49398762239768956	-0.3924358783350858
518	-0.49970819048689563	-0.3970441673877088
517	-0.5039458670077188	-0.40161940975281535
516	-0.5095498745194078	-0.40622219048361485
515	-0.5140326555047388	-0.41080413714349395
514	-0.5186560549113644	-0.4153728404106235
513	-0.5255384686249798	-0.4200249227638034
512	-0.5324476276129779	-0.42475805907323627
511	-0.5372481730320473	-0.42948040675911947
510	-0.5407636036452352	-0.4341392090129449
509	-0.5457350714614186	-0.43879875908736804
508	-0.5503850634380694	-0.44344611461008976
507	-0.553930947717733	-0.44803643050497743
506	-0.5558082994201445	-0.45250361630033786
505	-0.5560908483470506	-0.4567877734594177
504	-0.5572423817472796	-0.46093349039061104
503	-0.556460404855839	-0.46486776311532035
502	-0.5542620091784833	-0.4685422260549938
501	-0.5545879805711369	-0.47207238640556176
500	-0.5568946495223983	-0.4755460607795683
499	-0.5621407621345149	-0.4790861726106855
498	-0.5628502260555539	-0.4825048690799181
497	-0.5620045880373343	-0.4857443477421968
496	-0.5609101636271792	-0.4888025401696455
495	-0.5595787692409928	-0.4916779105539689
494	-0.5580218037119966	-0.49436941545297697
493	-0.5534613693449355	-0.49676347658517334
492	-0.5497556577121134	-0.49890762638949515
491	-0.5465579944252692	-0.5008332385549512
490	-0.5432260553957864	-0.5025443405932463
489	-0.539145798663835	-0.5040199928490484
488	-0.5365307705642479	-0.5053292804963659
487	-0.5359395841352885	-0.506560730143673
486	-0.539151829214152	-0.507870538571656
485	-0.5397588370919646	-0.5091508557092109
484	-0.5400616781012761	-0.5103907685768742
483	-0.5410109046820235	-0.5116179206410605
482	-0.5403895170537414	-0.5127699975710511
481	-0.5363917824589084	-0.5137150838216993
480	-0.5319877740366543	-0.5144455780510592
479	-0.5281375040515712	-0.514992528734132
478	-0.5219975831882433	-0.5152721548136149
477	-0.5193185815366999	-0.5154335657803402
476	-0.5183776925381522	-0.5155509271630473
475	-0.5184695212087576	-0.5156671954896519
474	-0.5198620142208323	-0.5158342011285015
473	-0.519981067410308	-0.5159991992168761
472	-0.5248610784128971	-0.5163515992623039
471	-0.5320826297410459	-0.5169768128975056
470	-0.541852147104601	-0.5179649354731625
469	-0.5493233774465498	-0.5192099548547516
468	-0.5577492589987489	-0.5207393298493844
467	-0.5692914047861048	-0.5226651458194551
466	-0.5800161446509051	-0.5249389491749051
465	-0.5820589020230287	-0.5272026155386319
464	-0.5843414527394	-0.5294660923962831
463	-0.5852710953043854	-0.531675851869531
462	-0.587755409864938	-0.5338956347667722
461	-0.5926728651627897	-0.5362213452707609
460	-0.5957950707423123	-0.5385777409549751
459	-0.6016368116795903	-0.5410711527054252
458	-0.60785412199162	-0.5437109522461333
457	-0.6128415148397366	-0.5464426942811577
456	-0.6176037954434896	-0.5492538310955403
455	-0.6215140059932889	-0.552107563227894
454	-0.6274666992411717	-0.5550828574749834
453	-0.6352399378475564	-0.5582467408132892
452	-0.6453836153500401	-0.5616852458517275
451	-0.6492642613126254	-0.5651403507380512
450	-0.6519975298353682	-0.5685661711244822
449	-0.6514061789935521	-0.571832806998336
448	-0.6450934992650055	-0.5747210731806901
447	-0.6374611579573237	-0.5771940532773037
446	-0.630802920636377	-0.5793066910864338
445	-0.6276282353517839	-0.5812105972953933
444	-0.6236363292099849	-0.5828818946033897
443	-0.6223750152967593	-0.5844373895835147
442	-0.6211689367582931	-0.585883868856902
441	-0.6165048393076962	-0.587089517317764
440	-0.6091798852489774	-0.5879591508001277
439	-0.6044290884739336	-0.5886074261531146
438	-0.6024582306098445	-0.5891525301820343
437	-0.6005855107865834	-0.589602416914372
436	-0.5978481861872105	-0.5899268436297206
435	-0.5894886118648337	-0.5899096037873613
434	-0.582484597345184	-0.5896175435193916
433	-0.5761383188717062	-0.5890874055871624
432	-0.5701031276216693	-0.5883408392412507
431	-0.5637275068353347	-0.587373013765317
430	-0.5586319756209601	-0.586243001213687
429	-0.5525180173043367	-0.5849171690444164
428	-0.5479992939362184	-0.5834659558694791
427	-0.5414788387586924	-0.5818156290788244
426	-0.5372201535741574	-0.5800629368291397
425	-0.5331981615872969	-0.5782212155186571
424	-0.5297251503599281	-0.5763155448118475
423	-0.5274200855211539	-0.574394332850497
422	-0.5217361444209985	-0.572325433220287
421	-0.5157196557894501	-0.5701015994083994
420	-0.5029638028262209	-0.5674641874550941
419	-0.4905280211379921	-0.564442065749491
418	-0.47840417101953214	-0.561062640356343
417	-0.4678702524608678	-0.557402427685807
416	-0.45725187062717154	-0.5534691635681382
415	-0.44752317702345046	-0.5493085331722593
414	-0.4396139724833876	-0.5450009309255515
413	-0.432480567988474	-0.5405825979031434
412	-0.4241603960282614	-0.536011285918003
411	-0.41760873499384665	-0.531362444646838
410	-0.41242683599274343	-0.5266928949306912
409	-0.40758914281198244	-0.5220169563301428
408	-0.40276043063941813	-0.5173352244633562
407	-0.39923150617046765	-0.5126989437062327
406	-0.3927560900103284	-0.5079906556873126
405	-0.3857272298405565	-0.503191460863091
404	-0.38107494678997256	-0.4983982111588625
403	-0.37837145667162453	-0.4936871560032251
402	-0.3749498900879846	-0.48902687343562984
401	-0.37890823686202246	-0.4847050034635529
400	-0.3750700414700674	-0.48040225290853206
