	macd	trigger
3205		
3204		
3203		
3202		
3201		
3200		
3199		
3198		
3197		
3196		
3195		
3194		
3193		
3192		
3191		
3190		
3189		
3188		
3187		
3186		
3185		
3184		
3183		
3182		
3181		
3180		
3179		
3178		
3177		
3176		
3175		
3174		
3173		
3172		
3171		
3170		
3169		
3168		
3167		
3166		
3165		
3164		
3163		
3162		
3161		
3160		
3159		
3158		
3157		
3156		
3155		
3154		
3153		
3152		
3151		
3150		
3149		
3148		
3147		
3146		
3145		
3144		
3143		
3142		
3141		
3140		
3139		
3138		
3137		
3136		
3135		
3134		
3133		
3132		
3131		
3130		
3129		
3128		
3127		
3126		
3125		
3124		
3123		
3122		
3121		
3120		
3119		
3118		
3117		
3116		
3115		
3114		
3113		
3112		
3111		
3110		
3109		
3108		
3107	1.3636955642987374	
3106	1.4206884580215657	
3105	1.4728768252331292	
3104	1.5096454278818783	
3103	1.546599941920526	
3102	1.5823636886712578	
3101	1.6142549071533807	
3100	1.6533783206687502	
3099	1.6856914157064296	
3098	1.7142410169082325	
3097	1.7364336435446859	
3096	1.744261410978524	
3095	1.7632939088659754	
3094	1.7846969426141044	
3093	1.7930526450576565	
3092	1.7917334257734439	
3091	1.8035452811230357	
3090	1.8124847098691816	
3089	1.8271071004015198	
3088	1.83589355809832	
3087	1.8447472938345157	
3086	1.85932084917998	
3085	1.9034486050685757	
3084	1.9388758519851308	
3083	1.9645556191102145	
3082	1.9851926639347397	
3081	2.0095804107072013	
3080	2.0447052695708408	
3079	2.0929487631185992	
3078	2.1695267085805767	
3077	2.250105174160808	
3076	2.333034279933898	
3075	2.4123956197673664	
3074	2.4796266063709567	
3073	2.539595606188385	
3072	2.5693396738683987	
3071	2.6095185425173355	
3070	2.6479821199674944	
3069	2.690640052320802	
3068	2.727041918668135	
3067	2.7545194577764818	
3066	2.7528923745424976	
3065	2.7322840240584583	
3064	2.73776364863798	
3063	2.756363630473601	
3062	2.77418919534243	
3061	2.7927501112601902	
3060	2.8134910263538018	
3059	2.855617379825219	2.357905846615059
3058	2.915188971344989	2.383179605968796
3057	2.9631041735123205	2.409319796536681
3056	3.0237309560767756	2.4368531448007342
3055	3.080047669203367	2.4655159273573215
3054	3.1202553568565463	2.49453799257985
3053	3.136065669492666	2.5228298479949287
3052	3.1075561474404765	2.5484913614562683
3051	3.0937893930672686	2.5723112563085486
3050	3.0700532044438376	2.593957105534433
3049	3.0383088050621865	2.61319890570727
3048	3.0260705232590084	2.6310047415795355
3047	3.0279488680958906	2.648056982144087
3046	3.008548165060432	2.663485497669929
3045	2.965797808101172	2.676377847203914
3044	2.9053029333774134	2.6861071673932826
3043	2.8460870727897003	2.6928840586306997
3042	2.8063481469669966	2.6976754286035725
3041	2.7700322059738625	2.700721739316914
3040	2.7583176807338816	2.7031396234410803
3039	2.7457310750820483	2.7049226882383803
3038	2.741472536640174	2.7064487828901367
3037	2.739064863959655	2.707807180099991
3036	2.733840942122427	2.708888805407773
3035	2.719807450378923	2.7093413874796126
3034	2.6835750455694694	2.708275744002356
3033	2.6491567165362966	2.7058359280765463
3032	2.6410525142520953	2.703167825380569
3031	2.650410067401495	2.700999269405083
3030	2.6856767660197107	2.700370639971514
3029	2.714887266297495	2.700965130509878
3028	2.7352169364978494	2.702365391977587
3027	2.7624794494600167	2.7048188515179814
3026	2.7994415754999835	2.708674566976178
3025	2.8379271506204304	2.7139333307888913
3024	2.859290429848187	2.7198386397219925
3023	2.8844120068433767	2.726515215406183
3022	2.910014349303367	2.7339495294763894
3021	2.9252100603155355	2.7416882415099795
3020	2.936665924000849	2.749567538415199
3019	2.941438178448621	2.7573120165536253
3018	2.9615869797539602	2.7655477215266115
3017	2.97774751505807	2.774093520426531
3016	2.993205214288352	2.7829083633405323
3015	3.0001945548745255	2.7916409097434656
3014	3.0068883884483597	2.800283109189317
3013	3.0101767402465924	2.8087024844711364
3012	3.027388421544373	2.817466681278309
3011	3.054767087590889	2.8269687026353734
3010	3.0981000559944505	2.8378164228815685
3009	3.15978218257483	2.850687769505444
3008	3.2076438119737674	2.864947074679
3007	3.2642197812253215	2.8808851465822825
3006	3.335364913137397	2.899014232686384
3005	3.385873698150462	2.918421854963274
3004	3.46374893986102	2.9401461052770164
3003	3.544160740075384	2.964193354138865
3002	3.6018052284140225	2.989563050972816
3001	3.6518334690294125	3.01589878860208
3000	3.707154875159816	3.0433720511652735
2999	3.7375841583330924	3.0709482296268744
