	macd	trigger
2340		
2339		
2338		
2337		
2336		
2335		
2334		
2333		
2332		
2331		
2330		
2329		
2328		
2327		
2326		
2325		
2324		
2323		
2322		
2321		
2320		
2319		
2318		
2317		
2316		
2315		
2314		
2313		
2312		
2311		
2310		
2309		
2308		
2307		
2306		
2305		
2304		
2303		
2302		
2301		
2300		
2299		
2298		
2297		
2296		
2295		
2294		
2293		
2292		
2291		
2290		
2289		
2288		
2287		
2286		
2285		
2284		
2283		
2282		
2281		
2280		
2279		
2278		
2277		
2276		
2275		
2274		
2273		
2272		
2271		
2270		
2269		
2268		
2267		
2266		
2265		
2264		
2263		
2262		
2261		
2260		
2259		
2258		
2257		
2256		
2255		
2254		
2253		
2252		
2251		
2250		
2249		
2248		
2247		
2246		
2245		
2244		
2243		
2242	0.30888893957055075	
2241	0.3016506821211493	
2240	0.2921221612108482	
2239	0.2878216348914009	
2238	0.2835784861081194	
2237	0.2793919167461283	
2236	0.27280669331227614	
2235	0.27377714450869206	
2234	0.2646369802588282	
2233	0.2607963833963325	
2232	0.2669797544526773	
2231	0.2627342936809356	
2230	0.2585546430374066	
2229	0.2594371770087278	
2228	0.2551363639136426	
2227	0.2610063173736421	
2226	0.253828711225097	
2225	0.24685768625085558	
2224	0.23750222091188533	
2223	0.23358723477881682	
2222	0.2297360048916559	
2221	0.22340198031618996	
2220	0.21464157782297377	
2219	0.2036230484820294	
2218	0.21105938189116102	
2217	0.20771766837256678	
2216	0.1992234045182144	
2215	0.19365649844475996	
2214	0.18560882049980165	
2213	0.1778392493529921	
2212	0.1729891477898562	
2211	0.1656196765250968	
2210	0.15850638019004037	
2209	0.14642552023101985	
2208	0.13482740803949156	
2207	0.11846098402432403	
2206	0.10278822568505319	
2205	0.09566414792629985	
2204	0.08753297377631952	
2203	0.06778349834739572	
2202	0.05154725587968301	
2201	0.04931127789866707	
2200	0.0392068244956576	
2199	0.029546196349294007	
2198	0.017656535538556284	
2197	0.011625841329077957	
2196	0.008531148218828832	
2195	0.002904371957448859	
2194	-0.0024661668821082117	0.12931948433642002
2193	-0.002234552932655731	0.12335327984823904
2192	-0.007375221357456496	0.11746067221368774
2191	-0.012276937582164749	0.11164679540173514
2190	-0.016948214196538913	0.10591619500304413
2189	-0.02139728128697982	0.10027288127223373
2188	-0.02563209602350014	0.09472037661517628
2187	-0.03914091044237722	0.08884569093225614
2186	-0.05880209658793234	0.0823960898517014
2185	-0.07753536774492176	0.07544097539815431
2184	-0.08995215407612989	0.06827894237186767
2183	-0.10718486354898005	0.060711748123263055
2182	-0.11814114613991222	0.053028443660723595
2181	-0.133979426501746	0.045024769881756674
2180	-0.1490269324526068	0.03674928030413832
2179	-0.16882806858691168	0.028012239359981483
2178	-0.18764022458038454	0.01887700897224328
2177	-0.20270427647893996	0.009520057947222596
2176	-0.2169783305609485	-1.5807144391329805e-05
2175	-0.23329236452188695	-0.009808783363668564
2174	-0.2542306353887156	-0.020041353122280146
2173	-0.26303901159629817	-0.030187426039186477
2172	-0.27131197427101483	-0.04022980092927234
2171	-0.27356535206324395	-0.049924198423352883
2170	-0.2810866790614597	-0.05950597296546162
2169	-0.27151339233285654	-0.06827416848063163
2168	-0.2677588507424957	-0.07650681244651998
2167	-0.2807421088307507	-0.08491823618490403
2166	-0.29299099870635104	-0.09347086332043933
2165	-0.2655843285810988	-0.10053208480985101
2164	-0.23928941983545116	-0.10621452926691471
2163	-0.22239120435648374	-0.11096399332821608
2162	-0.20898668140291932	-0.11496463326675772
2161	-0.1876860443951145	-0.117927907385592
2160	-0.17566539703825867	-0.12027701184959294
2159	-0.16546294339658374	-0.12211274527397908
2158	-0.15427771789982359	-0.12341764580480427
2157	-0.14352239514121834	-0.12423217292379009
2156	-0.13318287479032875	-0.1245943328735704
2155	-0.12038987044503813	-0.12442442518271046
2154	-0.1053212835248516	-0.12365336472802714
2153	-0.09088409238482598	-0.12233221379024257
2152	-0.08271967891441534	-0.12073692120615874
2151	-0.06921704352249236	-0.11866428135419134
