	macd	trigger
3312		
3311		
3310		
3309		
3308		
3307		
3306		
3305		
3304		
3303		
3302		
3301		
3300		
3299		
3298		
3297		
3296		
3295		
3294		
3293		
3292		
3291		
3290		
3289		
3288		
3287		
3286		
3285		
3284		
3283		
3282		
3281		
3280		
3279		
3278		
3277		
3276		
3275		
3274		
3273		
3272		
3271		
3270		
3269		
3268		
3267		
3266		
3265		
3264		
3263		
3262		
3261		
3260		
3259		
3258		
3257		
3256		
3255		
3254		
3253		
3252		
3251		
3250		
3249		
3248		
3247		
3246		
3245		
3244		
3243		
3242		
3241		
3240		
3239		
3238		
3237		
3236		
3235		
3234		
3233		
3232		
3231		
3230		
3229		
3228		
3227		
3226		
3225		
3224		
3223		
3222		
3221		
3220		
3219		
3218		
3217		
3216		
3215		
3214	0.11608990582356782	
3213	0.12150981960309437	
3212	0.12660807118865236	
3211	0.13085694716917828	
3210	0.13917609009066823	
3209	0.1492039794049056	
3208	0.1652243772998574	
3207	0.179033292045645	
3206	0.18990353150999084	
3205	0.20153717522815384	
3204	0.210865223022207	
3203	0.2224086101747602	
3202	0.23218724584930328	
3201	0.2408324415711931	
3200	0.2495055591997577	
3199	0.25652887165330895	
3198	0.26756674771699096	
3197	0.27570962973490865	
3196	0.28557907231192914	
3195	0.29371615582745036	
3194	0.3047107160433917	
3193	0.3133411389545415	
3192	0.3216939694001013	
3191	0.3309150612564835	
3190	0.3378316902051175	
3189	0.34368510573679956	
3188	0.3508073652547168	
3187	0.35627573153661984	
3186	0.35901409437714094	
3185	0.3591430665626518	
3184	0.363117116698799	
3183	0.3649912260341033	
3182	0.3689070705888611	
3181	0.37071647623225346	
3180	0.37109312944692974	
3179	0.3677744361120858	
3178	0.3615086959086611	
3177	0.35709881589367853	
3176	0.3538798572714654	
3175	0.34887221124034085	
3174	0.34655754559639007	
3173	0.3468175962022251	
3172	0.3460066853771302	
3171	0.34888934791262116	
3170	0.3555959942331661	
3169	0.3582659975626079	
3168	0.3606316251777386	
3167	0.3627056509685431	
3166	0.36509452040224843	0.32631225336971753
3165	0.3683784981634979	0.32822003076446393
3164	0.3677497490091888	0.33000183899581526
3163	0.3723333716719104	0.3318988241231598
3162	0.37532293644428094	0.3338339399270904
3161	0.38366980872429224	0.3360429711378119
3160	0.3902415989115724	0.3384331715856708
3159	0.39481452280785234	0.34090754430454534
3158	0.4001793851928497	0.3434966771013196
3157	0.40148588975569055	0.346018517501846
3156	0.3989140433488245	0.34830905704398435
3155	0.40530417604205127	0.35076707472128965
3154	0.41481994503936903	0.3535187087184963
3153	0.42308566226497035	0.35649607647044596
3152	0.4295480537550169	0.3596114362914138
3151	0.43610308343657067	0.36286233264063866
3150	0.4445644881115598	0.36632330869333085
3149	0.45545143916692865	0.3700870180250778
3148	0.4680430679435261	0.37421109009058845
3147	0.47982226706803743	0.3786446592252546
3146	0.48838161409780056	0.38323872901290956
3145	0.49630198110105894	0.3879595481644718
3144	0.49688802070710736	0.39249621009084623
3143	0.49597075779415434	0.39679526949727206
3142	0.49729122055105535	0.4009608656733213
3141	0.4995235630610395	0.4050372183018131
3140	0.5007858600724475	0.40898872209136355
3139	0.5005068799772516	0.41275789431263477
3138	0.5012144925099662	0.41639381615503185
