	macd	trigger
1906		
1905		
1904		
1903		
1902		
1901		
1900		
1899		
1898		
1897		
1896		
1895		
1894		
1893		
1892		
1891		
1890		
1889		
1888		
1887		
1886		
1885		
1884		
1883		
1882		
1881		
1880		
1879		
1878		
1877		
1876		
1875		
1874		
1873		
1872		
1871		
1870		
1869		
1868		
1867		
1866		
1865		
1864		
1863		
1862		
1861		
1860		
1859		
1858		
1857		
1856		
1855		
1854		
1853		
1852		
1851		
1850		
1849		
1848		
1847		
1846		
1845		
1844		
1843		
1842		
1841		
1840		
1839		
1838		
1837		
1836		
1835		
1834		
1833		
1832		
1831		
1830		
1829		
1828		
1827		
1826		
1825		
1824		
1823		
1822		
1821		
1820		
1819		
1818		
1817		
1816		
1815		
1814		
1813		
1812		
1811		
1810		
1809		
1808	-2.313449057392752	
1807	-2.286692593847647	
1806	-2.2632783442756033	
1805	-2.23955005761502	
1804	-2.2128206295610084	
1803	-2.186773086041084	
1802	-2.162479399651355	
1801	-2.1404188326429097	
1800	-2.119404938589504	
1799	-2.0994008987716644	
1798	-2.07816662382759	
1797	-2.0596352146673613	
1796	-2.04369493149583	
1795	-2.0288500271637613	
1794	-2.0122763630859524	
1793	-1.9971284767318345	
1792	-1.9811136094527928	
1791	-1.9648393035468619	
1790	-1.948662588956518	
1789	-1.9264491780711648	
1788	-1.9041224171830233	
1787	-1.8813018362801532	
1786	-1.8614212449145828	
1785	-1.838678457829209	
1784	-1.8166270843133514	
1783	-1.7980990429091666	
1782	-1.7795167652605564	
1781	-1.7620372503352684	
1780	-1.7444721304265975	
1779	-1.7268337693608533	
1778	-1.7120150181119023	
1777	-1.6941250448914627	
1776	-1.6762008741577663	
1775	-1.6582526817859424	
1774	-1.6429026393323518	
1773	-1.6248086855691017	
1772	-1.6067231570239908	
1771	-1.588654370730568	
1770	-1.5706102612057968	
1769	-1.5525983947307083	
1768	-1.5404926012230433	
1767	-1.5275730229988085	
1766	-1.5091735160050437	
1765	-1.4932102022496263	
1764	-1.4760398238828074	
1763	-1.4577242276567688	
1762	-1.4400999818041829	
1761	-1.4231448648499594	
1760	-1.4098079659810185	-1.6943714574038953
1759	-1.3927952995604187	-1.6806944539169253
1758	-1.3770451938855324	-1.6670074160377757
1757	-1.3589289037603454	-1.6532016235493134
1756	-1.3421455773107898	-1.6393399821982353
1755	-1.3242505054016114	-1.6253732850138023
1754	-1.306500086576193	-1.6113107359600278
1753	-1.2888964057152084	-1.5971611420670362
1752	-1.2726430613035813	-1.582985432430579
1751	-1.255883037673776	-1.5687603723470214
1750	-1.238646929299346	-1.554465441299742
1749	-1.2233768686671223	-1.5401866472803392
