	macd	trigger
3173		
3172		
3171		
3170		
3169		
3168		
3167		
3166		
3165		
3164		
3163		
3162		
3161		
3160		
3159		
3158		
3157		
3156		
3155		
3154		
3153		
3152		
3151		
3150		
3149		
3148		
3147		
3146		
3145		
3144		
3143		
3142		
3141		
3140		
3139		
3138		
3137		
3136		
3135		
3134		
3133		
3132		
3131		
3130		
3129		
3128		
3127		
3126		
3125		
3124		
3123		
3122		
3121		
3120		
3119		
3118		
3117		
3116		
3115		
3114		
3113		
3112		
3111		
3110		
3109		
3108		
3107		
3106		
3105		
3104		
3103		
3102		
3101		
3100		
3099		
3098		
3097		
3096		
3095		
3094		
3093		
3092		
3091		
3090		
3089		
3088		
3087		
3086		
3085		
3084		
3083		
3082		
3081		
3080		
3079		
3078		
3077		
3076		
3075	-0.053574247866308156	
3074	-0.03111689592972766	
3073	-0.008369100405769103	
3072	0.020059198477857976	
3071	0.04847851919334545	
3070	0.07688077860371934	
3069	0.10934894673363438	
3068	0.13748701330498925	
3067	0.16422248507222648	
3066	0.18961006012076353	
3065	0.21094652954036874	
3064	0.22564403916412168	
3063	0.2298408904267486	
3062	0.23788782376160889	
3061	0.24543564333772316	
3060	0.24971462551869372	
3059	0.24807321040410457	
3058	0.2519880681412676	
3057	0.25418703110057095	
3056	0.2603775330441671	
3055	0.2661468695464766	
3054	0.2658556369197651	
3053	0.2682771398908539	
3052	0.27613052774985114	
3051	0.28347870463975333	
3050	0.29034173118939677	
3049	0.31388839425448367	
3048	0.33618438505546067	
3047	0.3572771685547167	
3046	0.37721250612244894	
3045	0.3974750317204716	
3044	0.4151562192381242	
3043	0.42024218789710055	
3042	0.41908530686402834	
3041	0.4206717083782223	
3040	0.42342540281196506	
3039	0.42583728362159334	
3038	0.41478957007170436	
3037	0.40550121006675965	
3036	0.4052191722024947	
3035	0.4076776486061142	
3034	0.40687798960287935	
3033	0.40443692601546566	
3032	0.4019024980654251	
3031	0.39632776713555096	
3030	0.39080735581189785	
3029	0.38237980952560235	
3028	0.3741441385309958	
3027	0.366095573555258	0.33902358762399515
3026	0.35525447388658726	0.33975968655700595
3025	0.3447290160235621	0.33998367985979117
3024	0.3345099197378545	0.3397383865551188
3023	0.3365395687839303	0.33959583711675273
3022	0.33830531400043107	0.3395386332210263
3021	0.33832026320573405	0.3394849021825143
3020	0.32766185671410497	0.33896603166013606
3019	0.31732372895391414	0.33802064520183467
3018	0.3072963571741223	0.3366845044391121
3017	0.2975705089060625	0.3349907476991062
3016	0.2911530887298106	0.33310016930270236
3015	0.2830685931674406	0.3309508731799217
3014	0.2739995519924676	0.328513436746527
3013	0.2621776846682664	0.32568449570481833
3012	0.25076152622160564	0.32250026818382055
3011	0.23973826088183436	0.3189943958638809
3010	0.22909547027500743	0.3151981373385986
3009	0.2218624127013591	0.3112685867390073
3008	0.21119229519404215	0.30706737271977197
3007	0.2045585184999581	0.3027759028982762
3006	0.19812272126854502	0.29840623605263855
3005	0.18882436078436804	0.2938423611561491
3004	0.18291123565505707	0.2892335031409559
3003	0.17411294013222367	0.28446171112321417
3002	0.16562648060457086	0.2795469277708821
3001	0.16050936191907894	0.27463430045979137
3000	0.1586137946071311	0.2698559998704925
2999	0.16287058384722997	0.26545846911683235
2998	0.1668504440719687	0.2614129221608128
2997	0.17672279567312543	0.2579446590975362
2996	0.20146713570767538	0.25563577938993015
2995	0.2246740028073564	0.2543721237771597
2994	0.25010684162346486	0.2541983207661969
2993	0.2773453994354238	0.25514008159018786
2992	0.3124832714705583	0.2574697184200681
