	macd	trigger
2513		
2512		
2511		
2510		
2509		
2508		
2507		
2506		
2505		
2504		
2503		
2502		
2501		
2500		
2499		
2498		
2497		
2496		
2495		
2494		
2493		
2492		
2491		
2490		
2489		
2488		
2487		
2486		
2485		
2484		
2483		
2482		
2481		
2480		
2479		
2478		
2477		
2476		
2475		
2474		
2473		
2472		
2471		
2470		
2469		
2468		
2467		
2466		
2465		
2464		
2463		
2462		
2461		
2460		
2459		
2458		
2457		
2456		
2455		
2454		
2453		
2452		
2451		
2450		
2449		
2448		
2447		
2446		
2445		
2444		
2443		
2442		
2441		
2440		
2439		
2438		
2437		
2436		
2435		
2434		
2433		
2432		
2431		
2430		
2429		
2428		
2427		
2426		
2425		
2424		
2423		
2422		
2421		
2420		
2419		
2418		
2417		
2416		
2415	0.19381604512626893	
2414	0.18035202248145765	
2413	0.15988681378775738	
2412	0.14789046267159023	
2411	0.13313512518401183	
2410	0.11901360285565232	
2409	0.09841124675589441	
2408	0.08037620795082034	
2407	0.0658956191797131	
2406	0.054264937371520716	
2405	0.03874637938649528	
2404	0.026702331014874403	
2403	0.015211659233884234	
2402	0.007585158086030219	
2401	-0.00024373279322986718	
2400	-0.01049514310177102	
2399	-0.017464629474993387	
2398	-0.02297797770891208	
2397	-0.02934569081773475	
2396	-0.02695410261353004	
2395	-0.024660339902546013	
2394	-0.022460903276396493	
2393	-0.020352420123089132	
2392	-0.02117207330372395	
2391	-0.02194288475406836	
2390	0.00015225114796635353	
2389	0.03265550400001871	
2388	0.060771839450673326	
2387	0.08755534324085801	
2386	0.13030765062467964	
2385	0.17677907105080237	
2384	0.21379715713845115	
2383	0.253335441041159	
2382	0.27643370776935683	
2381	0.2925210334141184	
2380	0.3091724345880351	
2379	0.32053016572356796	
2378	0.33120233382705777	
2377	0.34413871272677454	
2376	0.3475203953232153	
2375	0.34763688938217996	
2374	0.3475715049323185	
2373	0.3443896187589388	
2372	0.3352833579214405	
2371	0.33528188443510487	
2370	0.33215310130344733	
2369	0.3289990021249878	
2368	0.3258222765404284	
2367	0.32559611463625515	0.20979283402587304
2366	0.3252148577631928	0.21502742363142063
2365	0.31872708889240897	0.21970170225912278
2364	0.30640691460168057	0.2235871863859464
2363	0.29449449314096654	0.22674704026853346
2362	0.28297704149476743	0.2292394986260495
2361	0.2718421789943548	0.23111830902917213
2360	0.26407809064032506	0.232564794128781
2359	0.24992520236087046	0.23332313741026936
2358	0.23087696839617422	0.2332167581793074
2357	0.21559307008220685	0.2324535980855501
2356	0.20089719272127837	0.23109267098194633
2355	0.18073051204121526	0.22892917342085536
2354	0.16199672758670403	0.2260645588930309
2353	0.1494838323395058	0.2227987127457595
2352	0.13746555217917233	0.21917205192059386
2351	0.13017331556502398	0.21540198620481085
2350	0.13104555692046205	0.2118397766262715
2349	0.13971862589669115	0.20880338608884202
2348	0.14914307553026163	0.20629883951501116
2347	0.152575419488997	0.20404974174190757
2346	0.14906039833690699	0.2017537283097469
2345	0.14379666313784156	0.1993399277230649
2344	0.13625297421112492	0.19671885261872224
2343	0.13204454242384855	0.19403807735950604
2342	0.12060599109948811	0.19100107567656546
2341	0.10594580816327692	0.18749088267868352
2340	0.09496950933529291	0.18368039306290043
2339	0.07706796375417468	0.17929819356287138
2338	0.06301841856010526	0.174527635694026
2337	0.05696676237672449	0.1697132369970042
2336	0.05424372976980152	0.1649926829414766
2335	0.051616897458103495	0.1603654307779505
2334	0.03673137108525282	0.15532755261236958
2333	0.022504344560260847	0.1499235145629993
2332	0.0058196328872313074	0.14406911911027104
2331	-0.0008206462108688584	0.13819108731842125
2330	-0.013355982486665141	0.1320512844244103
2329	-0.025314297417118325	0.1256840171344635
2328	-0.03671574908923958	0.11912123538904644
2327	-0.0370178867069626	0.11281898915994634
2326	-0.032313015963971736	0.10696773672248416
2325	-0.0060257670982082345	0.1024172150439334
2324	0.012841527265315733	0.09881359351755288
2323	0.03396047816936232	0.09620720221788187
2322	0.05098318980492422	0.09439145535122385
2321	0.06720575632621717	0.09330096679643932
2320	0.08265626434133821	0.09287436292552347
2319	0.1036125969347168	0.09330434503334215
2318	0.11730791826673226	0.09426470629041903
2317	0.12781665774056705	0.0956060253096642
2316	0.1252546857977066	0.09679039886715528
2315	0.12525209223943534	0.09792652590018092
2314	0.12518535020177524	0.09901387369699478
2313	0.12505739783171776	0.10005204367215173
2312	0.12487107113840779	0.10104076178308455
2311	0.12462910722212683	0.1019798695138124
2310	0.1268493292446422	0.10296939100682496
2309	0.12638675947666655	0.1039006022691357
2308	0.12147341236160969	0.10459901554177363
2307	0.11483123793301786	0.10500546997811427
2306	0.11032287701348054	0.10521658616891381
2305	0.10280951475490951	0.10512106511806353
2304	0.09684686373125118	0.10479286927491836
2303	0.08479197077916467	0.10399989075600335
2302	0.07829503651093006	0.10298120619767075
2301	0.0606766405925967	0.10130536871285081
2300	0.040666164897700696	0.09890418516123621
2299	0.021544461379633617	0.09584207486786044
2298	0.0077120342658005825	0.09235492585175008
2297	-0.009928790559897038	0.08830916732296909
2296	-0.04450431895863716	0.08305760393157388
2295	-0.06924378615837412	0.0770374292686936
2294	-0.09409133976096484	0.07027515750029414
2293	-0.12283707250637832	0.06264648270167196
2292	-0.1502126114805975	0.05424015324576899
2291	-0.171185184594421	0.04534001523588094
2290	-0.19619919519048779	0.03580621136149484
2289	-0.21997478015580896	0.0257128469535475
2288	-0.2425559571503726	0.015129297332331188
2287	-0.2703475289182222	0.003869521901137638
2286	-0.2941901155238327	-0.007883884806635402
2285	-0.3129764171433749	-0.01991200543139627
2284	-0.343486990073238	-0.032666124263561566
2283	-0.36223703605799784	-0.0456539750305408
2282	-0.3837725452060212	-0.05897610814753228
2281	-0.39775334776851423	-0.07232172325038619
2280	-0.4172728753162289	-0.08590813465587469
2279	-0.43568936297563	-0.0996824332057581
2278	-0.4530434169789004	-0.1135954189780204
2277	-0.47895440054703187	-0.12797853855502608
2276	-0.5034396675104134	-0.14275711275045264
2275	-0.5265513541704152	-0.15786149083389014
2274	-0.5515365845494031	-0.17335256946337171
2273	-0.5751005286988331	-0.18915919301784226
2272	-0.5908980779367425	-0.20496342173994986
2271	-0.6120713419887167	-0.22097688236202992
2270	-0.6230030069730361	-0.23678857064336864
2269	-0.6324750860112474	-0.2523491432625476
2268	-0.6572032113869568	-0.2682684862716235
2267	-0.6900779179197514	-0.28485278464540614
2266	-0.7095635606141286	-0.3015494630168112
2265	-0.7297192394098815	-0.31838048643813394
2264	-0.7549936469094902	-0.3355418074685121
2263	-0.7755203465390537	-0.3528338526082897
2262	-0.8011286288484172	-0.3704512216988018
2261	-0.8283665647622271	-0.388445173427019
2260	-0.8571466946478026	-0.4068615045533729
2259	-0.8835317038828947	-0.4255895092291388
2258	-0.9069743343085079	-0.4445013570851117
2257	-0.9340208866252624	-0.463731429031326
2256	-0.9529267872576028	-0.48294746202525607
2255	-0.9704791354730773	-0.5020968952184394
2254	-0.9867303630647157	-0.5211312992039491
2253	-1.0017311915050087	-0.5400061449048719
2252	-1.0155306835655864	-0.5586805837775854
2251	-1.0281762934366725	-0.5771172388044771
2250	-1.0397139153895765	-0.595282005775191
2249	-1.0534064043344955	-0.6132702375737106
2248	-1.071080726814408	-0.6312452582142509
2247	-1.0880397460007174	-0.6491795387456963
2246	-1.1075278080611568	-0.6671740043008252
2245	-1.1242665529381668	-0.6851183871229098
2244	-1.1480375623620702	-0.703290746937546
2243	-1.1707761343112466	-0.7216416180446505
2242	-1.1892944474469331	-0.7399983508358051
2241	-1.2140902355013168	-0.7586071426376202
2240	-1.2364831198226796	-0.7773637948164667
2239	-1.2546357439902707	-0.7960960953085855
2238	-1.2745370082701228	-0.8148736563053508
2237	-1.2909358365983366	-0.8335572657419263
2236	-1.3143078604476628	-0.8524243025829602
2235	-1.3423885888794587	-0.8716523675260401
2234	-1.373659026774682	-0.8913524670315006
2233	-1.4040846463756722	-0.9114729213239847
2232	-1.4323967538166897	-0.9319142989260571
2231	-1.4599685032591552	-0.9526349600068966
2230	-1.4913410827711644	-0.9737730921118202
2229	-1.5179273084400364	-0.9951245088270538
2228	-1.5509153631948323	-1.016932039327646
2227	-1.5783654094727737	-1.0389604967506132
2226	-1.6005148038647903	-1.0609932494368062
2225	-1.6240571701465356	-1.0830847989317884
2224	-1.6612011430735407	-1.1057664957614781
2223	-1.6964381152443124	-1.1289403640647726
2222	-1.7291899325036937	-1.152489595163665
2221	-1.7595526706317628	-1.1763057384412285
2220	-1.7876192739973433	-1.2002882495727258
2219	-1.8070101390346451	-1.2240902580960389
2218	-1.7999924794943922	-1.2466828604719762
2217	-1.8163029137849023	-1.2690286956181278
2216	-1.830927373711205	-1.2910713244893648
2215	-1.8426404415710351	-1.3127084523097559
2214	-1.8535104401424078	-1.3339229358368725
2213	-1.8480320890662085	-1.354090072907677
2212	-1.8353684533662502	-1.372969125827778
2211	-1.8288038639241861	-1.390849903561694
2210	-1.821588269738477	-1.4077460579280594
2209	-1.8215274601748135	-1.423976890162879
2208	-1.8224664176414294	-1.439607733842452
2207	-1.822415754708281	-1.4546233234897223
2206	-1.824660041165039	-1.4691378275034779
2205	-1.825854012654304	-1.4831297170585052
2204	-1.8228046877656467	-1.4964530666626825
2203	-1.8189470451421066	-1.5091024092608338
2202	-1.8143198664676596	-1.5210740126810098
2201	-1.8096087826017886	-1.5323911828657615
2200	-1.8164889895676453	-1.5435342421159914
2199	-1.8318366193419706	-1.5548421372589356
2198	-1.8435878020763354	-1.5661673437753578
2197	-1.8441187347626986	-1.5770691066457163
2196	-1.8475578638150303	-1.5876781061391088
2195	-1.8492313379127125	-1.5979365795302332
2194	-1.865433721607321	-1.6084281216422907
2193	-1.872792949250723	-1.618796754300072
2192	-1.8859790020039817	-1.6292758338952187
2191	-1.8910961880197874	-1.6395445645047144
2190	-1.8943481693339628	-1.6495380462410765
2189	-1.8964669977667263	-1.6592226364850666
2188	-1.8910141566345153	-1.668313493847679
2187	-1.8880711538151296	-1.6769323465743273
2186	-1.8842804005834175	-1.6850644634666727
2185	-1.8770863128557878	-1.6925954622610166
2184	-1.862103925728178	-1.6992434722856433
2183	-1.8286602883739072	-1.7043190958254724
2182	-1.783455248620104	-1.7074227412572485
2181	-1.7419791879427642	-1.7087780080019435
2180	-1.7001884350639394	-1.7084411352632791
2179	-1.6607161302738724	-1.7065694236894944
2178	-1.6306198340533662	-1.7035907901455953
2177	-1.6107871933148878	-1.6999511771675382
2176	-1.5780322687829447	-1.6951697200777018
2175	-1.5459489938310824	-1.6893175465620343
2174	-1.5242656016485867	-1.6828445170899
2173	-1.496282169519759	-1.6755279076575917
2172	-1.4752909395002263	-1.6676750248971686
2171	-1.4544887116943208	-1.6593143143113516
2170	-1.4338776842506462	-1.6504731917386062
2169	-1.4134598563228131	-1.6411780759596222
2168	-1.3886892611831847	-1.6312760674631515
2167	-1.363675198728906	-1.6207814205055775
2166	-1.334543267097601	-1.6095558859224819
2165	-1.3001965090091723	-1.5974236171526888
2164	-1.2725866910441965	-1.5846843809913214
2163	-1.241673878864475	-1.5712324478243818
2162	-1.2089242386245687	-1.5570237338057225
2161	-1.1770379829237498	-1.5421217786529158
2160	-1.151191732657118	-1.5267906418424957
2159	-1.1298239879152376	-1.5112227886400778
2158	-1.1088420602206028	-1.4954426327207622
2157	-1.0778392289975613	-1.4790655106329744
2156	-1.0561387662868675	-1.4624796440600965
2155	-1.0348776206143064	-1.4457104476224847
2154	-1.0068959524080938	-1.4285015532759795
2153	-0.9848663370391009	-1.411103624883275
2152	-0.9607276118778536	-1.3934413630634903
2151	-0.9391394385722833	-1.3756251580370975
2150	-0.9134951170275976	-1.357501978094533
2149	-0.8885440948631533	-1.3391110504735901
2148	-0.8577655504497699	-1.3202343398036338
2147	-0.8311945402220076	-1.30105590183437
2146	-0.8021505850922779	-1.28149058890412
2145	-0.770761414208085	-1.2614616018244236
2144	-0.7397513859128786	-1.2410019929524185
2143	-0.7117206524226987	-1.2202454869557822
2142	-0.684597031808007	-1.199239300561583
2141	-0.6570525671777716	-1.1779767211223497
2140	-0.6297711304077467	-1.1564781181863555
2139	-0.6008037049692874	-1.1346866292502156
2138	-0.5754455368984779	-1.112755281631368
2137	-0.5522445061590098	-1.0907741545313252
2136	-0.5298134854103829	-1.0687753965523994
2135	-0.5113814417617419	-1.0469165233378095
2134	-0.49742627162596165	-1.0253676144155084
2133	-0.4975089421351484	-1.004667023649623
2132	-0.5005814312787038	-0.9848987312047438
2131	-0.513011370805792	-0.9663931376580884
2130	-0.5141986240067062	-0.9486598290180859
2129	-0.5176663072666692	-0.9317579478735035
2128	-0.5168028130238298	-0.9154850361533536
2127	-0.5124565344042864	-0.8996798463172764
2126	-0.5145477285053879	-0.8845764877862228
2125	-0.5162756479248536	-0.8701331905953849
2124	-0.5228611446584885	-0.8565145639371979
2123	-0.5321274749375817	-0.8437933983671405
2122	-0.5465503796745494	-0.8321367184932063
2121	-0.5619832560973599	-0.8215423856851548
2120	-0.5803241717918795	-0.8120827797864386
2119	-0.5988282143851151	-0.8037197978095447
2118	-0.6174783292622763	-0.7964161622723077
2117	-0.6349566787279493	-0.790084377392596
2116	-0.6526090776597187	-0.7846931560959388
2115	-0.6723707138570951	-0.7802883284782396
2114	-0.6947859721430163	-0.7769352759091602
2113	-0.7190714807561207	-0.7746660951260217
2112	-0.7418753772991948	-0.7733801779011745
2111	-0.7710630620419643	-0.773289310156215
2110	-0.8011218540679508	-0.7743807877332137
2109	-0.823535584664846	-0.776308435765335
2108	-0.8458002806743643	-0.7790336182926755
2107	-0.8653077355836096	-0.7824169314892321
2106	-0.8899838307087933	-0.7866352586073952
2105	-0.9176275537950396	-0.7917722316536535
2104	-0.946787509351001	-0.7978512852253288
2103	-0.9773794256317316	-0.8048916301314448
2102	-1.0047658050627888	-0.8127298605331744
2101	-1.0297294041227794	-0.8212396752033418
2100	-1.0530185754779993	-0.8303290732397653
2099	-1.0746975158535363	-0.8399121792002273
2098	-1.1000358431450294	-0.850113137654453
2097	-1.1308064319454658	-0.8611207493986802
2096	-1.1615380408853113	-0.872901852122528
2095	-1.1889616370122091	-0.8852963863112643
2094	-1.2145156653379523	-0.8982069791194554
2093	-1.2395739988895578	-0.9115939537939453
2092	-1.2621932293005287	-0.9253429772800352
2091	-1.28637872642269	-0.9395012738992743
2090	-1.3185565375067263	-0.9543662184237224
2089	-1.3498825066591706	-0.9698766934065517
2088	-1.3803791572703723	-0.9859748614604472
2087	-1.4107194414429607	-1.0026315436824442
2086	-1.4408946954738688	-1.0198183656987854
2085	-1.4721988108449864	-1.0375588067998933
2084	-1.5045640395498978	-1.0558727687267218
2083	-1.5314146642038402	-1.0745215010646483
2082	-1.563079454492346	-1.0936806666529886
2081	-1.5882544175622257	-1.1130757450421223
2080	-1.621871327044861	-1.1330285419577562
2079	-1.660923578511909	-1.1537303369997822
2078	-1.7008459498842647	-1.175185880010828
2077	-1.7384527789517499	-1.1972748064764511
2076	-1.7724627440319836	-1.219831224114931
2075	-1.806928686720422	-1.2428546814117696
2074	-1.8402492307489986	-1.2662819454188396
2073	-1.8742823465920075	-1.2901251245908194
2072	-1.9093685030244423	-1.3144092042701947
2071	-1.9386046783305098	-1.3388874829701103
2070	-1.9645212570472452	-1.363422164674046
2069	-1.9893396845275184	-1.3879679727366037
2068	-2.010883243296334	-1.412396044526087
2067	-2.026099422985215	-1.4364628644715718
2066	-2.043863836485265	-1.4602825302026823
2065	-2.058581427442249	-1.4837452507650792
2064	-2.0733787296102015	-1.5068681500042054
2063	-2.0864211662223155	-1.5295957359977168
2062	-2.099084269015851	-1.5519286354403223
2061	-2.1104019900975217	-1.573829566191135
2060	-2.1190623129873067	-1.5952112564953889
2059	-2.1260935165085506	-1.6160301817116502
2058	-2.131891797422254	-1.636260061186193
2057	-2.1369661715968356	-1.6558956062973156
2056	-2.1426493714998234	-1.6749839998657066
2055	-2.146305926596911	-1.6934672225580596
2054	-2.148547279955057	-1.71131350848357
2053	-2.151650852357541	-1.7285816481360607
2052	-2.1524499605179432	-1.7452039427760218
2051	-2.1524167755925063	-1.7611730807480896
2050	-2.1513287771826164	-1.776473310833114
2049	-2.1491695006509186	-1.7910888538337117
2048	-2.1459889111305426	-1.8050065087615719
2047	-2.1418352279733384	-1.8182154832690045
2046	-2.1367549792152793	-1.8307072328661622
2045	-2.12916499548723	-1.842411463044576
2044	-2.1208117160226863	-1.8533291237821885
2043	-2.1106272016811563	-1.8634192478211276
2042	-2.099286353920025	-1.8726689411954855
2041	-2.0886712580641866	-1.8811396228743986
2040	-2.078819482014028	-1.8888917764870596
2039	-2.069375738904414	-1.8959695809294381
2038	-2.0620847054756855	-1.9024839013029413
2037	-2.0548982993451474	-1.9084609380751865
2036	-2.046122248080259	-1.9138594221698046
2035	-2.0366802246298388	-1.9186759253837091
2034	-2.0266075111034496	-1.9229085375649757
2033	-2.014961224826253	-1.9265184476695747
2032	-1.9966091027201234	-1.9292671013942313
2031	-1.979681568241885	-1.9312441397143905
2030	-1.9628199648600795	-1.9324824076106148
2029	-1.9457044387467448	-1.9330009187335062
2028	-1.9270529475102212	-1.932767664917711
2027	-1.9092898088561405	-1.9318469645194578
2026	-1.8902997040519214	-1.9302176599144338
2025	-1.8672828579599994	-1.9277496280679765
2024	-1.8455148066371319	-1.924524732611169
2023	-1.8226704808138656	-1.9205304476334628
2022	-1.7999180289821517	-1.9158005481875835
2021	-1.7760928076244173	-1.9103218125120662
2020	-1.7483253588013667	-1.9039690095685757
2019	-1.721564275116302	-1.8968158818216194
2018	-1.6962986472119965	-1.888952459899956
2017	-1.6724083281655453	-1.8804605321727472
2016	-1.6484102191488432	-1.8713605188754112
2015	-1.6252986781481855	-1.8617110338842258
2014	-1.6023940302348958	-1.8515417385693134
2013	-1.5796987761584482	-1.840881229177738
2012	-1.5578664921918683	-1.8297826109790138
2011	-1.536022517750757	-1.8182626062638874
2010	-1.5171747551311086	-1.8064552385098323
2009	-1.4983958139282691	-1.794374475736268
2008	-1.4802785149948097	-1.7820569860753765
2007	-1.4622159558918622	-1.769514199595357
2006	-1.4436288749346335	-1.7567343819800614
2005	-1.4262442750902924	-1.7437739846941729
2004	-1.4099512581157239	-1.7306828964677758
2003	-1.39360131391747	-1.7174640099951115
2002	-1.3761634555725557	-1.7040796736690984
2001	-1.358477948167506	-1.6905266639907075
2000	-1.338937007817993	-1.676738833520534
1999	-1.3195893634903353	-1.662732971153991
1998	-1.3017389197721254	-1.6485763409143086
1997	-1.2827214357731638	-1.6342290889789082
1996	-1.2627954263340175	-1.6196630622579467
1995	-1.2458554967837738	-1.6050039413326924
1994	-1.22871310753243	-1.5902474373591573
1993	-1.210409434946346	-1.5753518287548764
1992	-1.1923096143724	-1.560330564799972
1991	-1.1744137821352467	-1.545196572697805
1990	-1.1581548827035313	-1.5300184666054781
1989	-1.144378613187481	-1.5148953345222527
1988	-1.1288755815437916	-1.4997573044391157
1987	-1.0352663803197029	-1.4815419734403563
1986	-0.9597152007069205	-1.4610781777391721
1985	-0.8871087471518848	-1.4385695718867724
1984	-0.8297259240290522	-1.414693349656813
1983	-0.7979752026868354	-1.3905083235600657
1982	-0.7685590423074284	-1.3661181549649644
1981	-0.7433403355155761	-1.3416954947025357
1980	-0.696087356646478	-1.3163775278307817
1979	-0.6362967639751105	-1.2897076932724718
1978	-0.5886708950158859	-1.2622160534500881
1977	-0.5390017858999805	-1.233854708955482
1976	-0.49652724363525635	-1.2049399057384873
1975	-0.44856588143165155	-1.1752781786491004
1974	-0.4097223840789592	-1.1452563821554218
1973	-0.366574407973534	-1.1147198335343922
1972	-0.3212947280004812	-1.0836051229124646
1971	-0.27791219744980467	-1.0520093213275794
1970	-0.23636292041540585	-1.0200231873881593
1969	-0.19658495907924411	-0.9877314916071744
1968	-0.1526561594518565	-0.9549834388267874
1967	-0.10999944467921097	-0.9218468110813044
1966	-0.073138474331504	-0.888564130703084
1965	-0.039222804078628215	-0.8552566272119926
1964	-0.006833116570996722	-0.821985116524138
1963	0.019523841454912372	-0.7889847647861563
1962	0.04271480083197332	-0.7563690951239631
1961	0.06352338293431892	-0.7242164485256515
1960	0.08269872175144499	-0.692572715979741
1959	0.09769988597784796	-0.6615816331941752
1958	0.10936073439263794	-0.6313485988376246
1957	0.11978155311608063	-0.6018925141350602
1956	0.12705939086694684	-0.5733061646281735
1955	0.13133376084022075	-0.5456732261041346
1954	0.13534479902189744	-0.518966636632441
1953	0.13779971167884142	-0.49321109332878116
1952	0.13941952763511622	-0.46840204915411987
1951	0.14219554819485758	-0.44445704513686707
1950	0.14737632259136824	-0.42124789327532813
1949	0.1493129692161972	-0.3988729573191365
1948	0.1540146155967559	-0.37719109155425995
1947	0.15581619622432719	-0.35628884482620227
1946	0.1594085124516429	-0.3360654189125527
1945	0.16405668378226146	-0.31645278730569637
1944	0.1703615052592813	-0.29736203061422517
1943	0.1756387162195825	-0.2788129816064832
1942	0.17862970093698927	-0.2608740527749424
1941	0.18139122495236748	-0.24353031629655178
1940	0.18393231174970204	-0.22676707589100295
1939	0.18691304969922662	-0.21054432578416535
1938	0.18966047757944793	-0.19485001969211593
1937	0.188926990701221	-0.17979994078149003
1936	0.19008258689592417	-0.16529474355130205
1935	0.18978371511281544	-0.15137009805228047
1934	0.18874821203940506	-0.13803212505117385
1933	0.1850561136822524	-0.12536199799060457
1932	0.19381184502006832	-0.11284537664726785
1931	0.20141598804217864	-0.10052140151524205
1930	0.22354983924952698	-0.08781272536108044
1929	0.24911753095440936	-0.07459977408733266
1928	0.2655732312469059	-0.061259656186767916
1927	0.28309431861279855	-0.04775557870054224
1926	0.29771489059907275	-0.03420771711783158
1925	0.3206328053434149	-0.02029240247050556
1924	0.34103593207811045	-0.006122663820640943
1923	0.3694501712135594	0.008605682691349734
