	macd	trigger
1639		
1638		
1637		
1636		
1635		
1634		
1633		
1632		
1631		
1630		
1629		
1628		
1627		
1626		
1625		
1624		
1623		
1622		
1621		
1620		
1619		
1618		
1617		
1616		
1615		
1614		
1613		
1612		
1611		
1610		
1609		
1608		
1607		
1606		
1605		
1604		
1603		
1602		
1601		
1600		
1599		
1598		
1597		
1596		
1595		
1594		
1593		
1592		
1591		
1590		
1589		
1588		
1587		
1586		
1585		
1584		
1583		
1582		
1581		
1580		
1579		
1578		
1577		
1576		
1575		
1574		
1573		
1572		
1571		
1570		
1569		
1568		
1567		
1566		
1565		
1564		
1563		
1562		
1561		
1560		
1559		
1558		
1557		
1556		
1555		
1554		
1553		
1552		
1551		
1550		
1549		
1548		
1547		
1546		
1545		
1544		
1543		
1542		
1541	0.19526799622332192	
1540	0.05768220094444132	
1539	-0.014010245444978864	
1538	-0.06604297045794283	
1537	-0.1372612819862411	
1536	-0.1288654517106238	
1535	-0.15898286670710604	
1534	-0.24227941870742598	
1533	-0.3434410996385395	
1532	-0.4176548061669223	
1531	-0.5763361439534265	
1530	-0.793548095403537	
1529	-0.9336589441356296	
1528	-1.0222837355155434	
1527	-1.117358558597516	
1526	-1.1962460464556557	
1525	-1.2987928188251203	
1524	-1.3790629569300563	
1523	-1.39307434895386	
1522	-1.400091344769919	
1521	-1.3552730661232886	
1520	-1.374074207423746	
1519	-1.419645145146319	
1518	-1.5021413440233573	
1517	-1.6141985974498425	
1516	-1.6860054213821627	
1515	-1.7307592470685336	
1514	-1.7152790036868737	
1513	-1.6078117034234651	
1512	-1.4642444393095957	
1511	-1.3438578674484347	
1510	-1.2860822259979159	
1509	-1.2418892475344023	
1508	-1.2628475689076595	
1507	-1.3228363013963644	
1506	-1.3735728241966285	
1505	-1.4387541473200827	
1504	-1.5118777469974702	
1503	-1.5574825709424545	
1502	-1.632997297133386	
1501	-1.788691534265297	
1500	-1.9363253887379415	
1499	-2.0938553045735944	
1498	-2.3079426801585328	
1497	-2.5464661135367237	
1496	-2.789909683904682	
1495	-2.9905686843953845	
1494	-3.0778854112333534	
1493	-3.1245858768990047	-1.7087277295177787
1492	-3.169940442775726	-1.7749962685075429
1491	-3.169897405368772	-1.837871655379604
1490	-3.1718255236526716	-1.8976495676994838
1489	-3.201333978272146	-1.9557458688416023
1488	-3.1584509341928992	-2.00905713020368
1487	-3.161463169741751	-2.0598791075296954
1486	-3.217333195830861	-2.1106755634031305
1485	-3.276224346795459	-2.1615894634287476
1484	-3.3500110550893396	-2.213271654745439
1483	-3.4066759603384753	-2.2649497448664615
1482	-3.42343335300086	-2.314911447512601
1481	-3.4763349602691846	-2.3648047997852806
1480	-3.485749077269645	-2.4127796380292015
1479	-3.5147538265629237	-2.4597742059835808
1478	-3.540645795430521	-2.505711267548562
1477	-3.5902553171017644	-2.551653519156959
1476	-3.6479252143156486	-2.5979469619485265
1475	-3.7047570325787547	-2.6445450485180864
1474	-3.735188524843295	-2.6903303848049163
1473	-3.7745218132544665	-2.7357193888214715
1472	-3.8290576277578907	-2.7813704027643773
1471	-3.713589558599608	-2.8201955423499827
1470	-3.6320671086414222	-2.8539263889334596
1469	-3.591588007434325	-2.8845027493243474
1468	-3.7080137074715367	-2.91856148703959
1467	-3.8049761076630944	-2.9551434235321965
1466	-4.264041999408619	-3.00905036688224
1465	-4.657003406879028	-3.0767878627330565
1464	-5.091229528731219	-3.1594334521386855
1463	-5.41070917757537	-3.251628572958565
1462	-5.694391438142304	-3.351492116389525
