	macd	trigger
129		
128		
127		
126		
125		
124		
123		
122		
121		
120		
119		
118		
117		
116		
115		
114		
113		
112		
111		
110		
109		
108		
107		
106		
105		
104		
103		
102		
101		
100		
99		
98		
97		
96		
95		
94		
93		
92		
91		
90		
89		
88		
87		
86		
85		
84		
83		
82		
81		
80		
79		
78		
77		
76		
75		
74		
73		
72		
71		
70		
69		
68		
67		
66		
65		
64		
63		
62		
61		
60		
59		
58		
57		
56		
55		
54		
53		
52		
51		
50		
49		
48		
47		
46		
45		
44		
43		
42		
41		
40		
39		
38		
37		
36		
35		
34		
33		
32		
31	0.2862241339464404	
30	0.288849738619696	
29	0.29228033660363195	
28	0.29431517731660506	
27	0.2988145387158525	
26	0.30403465417060005	
25	0.30776027824020247	
24	0.305135991575213	
23	0.2975450100297934	
22	0.29181008647264406	
21	0.2889526172883805	
20	0.2833196269537126	
19	0.276145502954634	
18	0.2691678409719742	
17	0.25737095008542354	
16	0.2465541200241148	
15	0.23108489418555678	
14	0.22070640844530942	
13	0.20845316429106475	
12	0.19610276090383394	
11	0.1830997929285516	
10	0.16834695429105295	
9	0.14909335524939848	
8	0.13065929547493482	
7	0.11358456263781846	
6	0.09610376003010401	
5	0.07938489535774806	
4	0.07141981424096855	
3	0.058621704069487635	
2	0.04696109029416817	
1	0.036968192219703155	
