	macd	trigger
3804		
3803		
3802		
3801		
3800		
3799		
3798		
3797		
3796		
3795		
3794		
3793		
3792		
3791		
3790		
3789		
3788		
3787		
3786		
3785		
3784		
3783		
3782		
3781		
3780		
3779		
3778		
3777		
3776		
3775		
3774		
3773		
3772		
3771		
3770		
3769		
3768		
3767		
3766		
3765		
3764		
3763		
3762		
3761		
3760		
3759		
3758		
3757		
3756		
3755		
3754		
3753		
3752		
3751		
3750		
3749		
3748		
3747		
3746		
3745		
3744		
3743		
3742		
3741		
3740		
3739		
3738		
3737		
3736		
3735		
3734		
3733		
3732		
3731		
3730		
3729		
3728		
3727		
3726		
3725		
3724		
3723		
3722		
3721		
3720		
3719		
3718		
3717		
3716		
3715		
3714		
3713		
3712		
3711		
3710		
3709		
3708		
3707		
3706	0.11150002395814518	
3705	0.1110396558987774	
3704	0.11059822497272132	
3703	0.10968832571694698	
3702	0.10865705069916753	
3701	0.10816313440544834	
3700	0.10763729668467414	
3699	0.10708131984277758	
3698	0.10677107351557291	
3697	0.10664082833158428	
3696	0.10569065054532567	
3695	0.10478656660393826	
3694	0.10243138591184753	
3693	0.10146737236217529	
3692	0.09632218714448681	
3691	0.09181558513436627	
3690	0.08652254277639182	
3689	0.08143309550874589	
3688	0.07603437849960493	
3687	0.06938485261118643	
3686	0.06385674248029405	
3685	0.058270893423927994	
3684	0.0526319766214165	
3683	0.04666043853034951	
3682	0.04094262294115536	
3681	0.03529827734411617	
3680	0.030069278947252087	
3679	0.02506733085156343	
3678	0.019710317677100075	
3677	0.014303626293905136	
3676	0.008851559893617633	
3675	0.0027809460945689146	
3674	-0.002143178610018559	
3673	-0.006839001469192141	
3672	-0.011605082012689394	
3671	-0.015854825088299496	
3670	-0.019900781996306627	
3669	-0.023166729865567337	
3668	-0.02568598505256503	
3667	-0.028076355986452306	
3666	-0.03210259621530964	
3665	-0.035927582293656	
3664	-0.03873465884382066	
3663	-0.04162905525648508	
3662	-0.04436953045212366	
3661	-0.04844034246720774	
3660	-0.05229995678853383	
3659	-0.055066312063463574	
3658	-0.05797504767746364	0.006403687868842767
3657	-0.06012614687551432	0.0033864441043062656
3656	-0.06155236790881835	0.0004593169979904559
3655	-0.06198696249644886	-0.0023390617983871952
3654	-0.06266895351530577	-0.005027552608458251
3653	-0.06358710051380045	-0.007623270755462941
