	macd	trigger
919		
918		
917		
916		
915		
914		
913		
912		
911		
910		
909		
908		
907		
906		
905		
904		
903		
902		
901		
900		
899		
898		
897		
896		
895		
894		
893		
892		
891		
890		
889		
888		
887		
886		
885		
884		
883		
882		
881		
880		
879		
878		
877		
876		
875		
874		
873		
872		
871		
870		
869		
868		
867		
866		
865		
864		
863		
862		
861		
860		
859		
858		
857		
856		
855		
854		
853		
852		
851		
850		
849		
848		
847		
846		
845		
844		
843		
842		
841		
840		
839		
838		
837		
836		
835		
834		
833		
832		
831		
830		
829		
828		
827		
826		
825		
824		
823		
822		
821	0.20785115794957676	
820	0.194007027180227	
819	0.18558070131719973	
818	0.19423198935547958	
817	0.18935174913918473	
816	0.18406271352721149	
815	0.18983935257810458	
814	0.1870416057083446	
813	0.181539061964493	
812	0.17895261769200488	
811	0.17364110971912083	
810	0.16683372069503832	
809	0.1591538404893953	
808	0.16285950364531487	
807	0.16630814587023934	
806	0.16114091265602326	
805	0.15893002676378387	
804	0.16234744791631073	
803	0.16552251609079605	
802	0.16001803987297336	
801	0.16033285037727296	
800	0.15489503619367184	
799	0.14963157025729146	
798	0.15305810245705231	
797	0.1562476466026368	
796	0.17061924348651303	
795	0.1899540800331181	
794	0.2197525551935371	
793	0.21936185686152498	
792	0.21600239538925337	
791	0.21556959243729068	
790	0.21504731938084376	
789	0.22889998307762482	
788	0.23852034603073236	
787	0.24873706056693834	
786	0.263591003471511	
785	0.2852012160398303	
784	0.31267578465894275	
783	0.3416509423456233	
782	0.3702916184818079	
781	0.38921470034608063	
780	0.41412252086284695	
779	0.437676394955524	
778	0.45108374717374033	
777	0.47250427862302047	
776	0.4956596483029614	
775	0.5263868166434591	
774	0.5465402174824021	
773	0.5744047139329993	0.3124275242548616
772	0.5995115609044035	0.32544728483005625
771	0.6243563607246827	0.33892065816799377
770	0.6489405318531922	0.35281344806676734
769	0.6768509234798614	0.3672535829646462
768	0.6971569825310127	0.38187692401907464
767	0.7185772348161947	0.3967256622015408
766	0.7356530076541361	0.4115999523540359
765	0.7437636235826375	0.42610963928438755
764	0.7523286856529694	0.4402962842291428
763	0.7468669946627173	0.45357174228472547
762	0.7467031156312771	0.46621356337616027
761	0.7497902444520008	0.4783956753188169
760	0.7475174188705651	0.4899137073692523
759	0.7492055785283966	0.5009714159671463
758	0.7492229419938354	0.5115221101902443
757	0.7476442066591815	0.5215244524378894
756	0.7445414672390243	0.5309420315488305
755	0.7387677848953658	0.5396917553748086
754	0.7322718331590181	0.547776288785491
753	0.7256986686852898	0.5552248992467043
752	0.7190550429907958	0.562065428471773
751	0.7037941654419129	0.5679681584915472
750	0.6931506813136181	0.5731691196380645
749	0.6869240323297561	0.5778843049201234
748	0.6812433359918799	0.5821590241511763
747	0.6754736607655261	0.5860100776322839
746	0.6696219029396815	0.5894536278150944
745	0.6636946882390191	0.5925052338987457
744	0.6700043516319099	0.5956847552378757
743	0.6812276111045534	0.5991879396069854
742	0.6922085718106672	0.6029907524286666
741	0.7048042865090167	0.6071461097110082
740	0.7139963181341997	0.6115000744141083
739	0.7162237247561265	0.6157608553379901
738	0.7179836300839213	0.6199137798857435
737	0.719296333892558	0.6239456299664755
736	0.7170826682904732	0.6277189992449232
735	0.7115014936064625	0.6311089751823273
734	0.7058101242413457	0.6341277439207681
733	0.6950460579629976	0.6365865909400289
732	0.6831721787695315	0.6384647709741658
731	0.6777113206878909	0.6400453244506208
730	0.6615647889079739	0.6409110504894356
729	0.6564086964112619	0.6415338876388796
728	0.6480322593341086	0.6417947976602251
727	0.6303421444232384	0.6413354021793378
726	0.6225026489966865	0.6405806487757918
725	0.6178258456854664	0.6396694972598721
724	0.6130449220149572	0.6386042720826566
723	0.608166995954555	0.6373874696136467
722	0.6025725439393668	0.6359967195191774
721	0.5969233156434228	0.6344369967776342
720	0.5918518391102126	0.6327382853125204
719	0.5804310771370709	0.6306531691534659
718	0.57425568025225	0.6284064566759695
717	0.5680662033667758	0.6260041687112126
716	0.5555784520042479	0.6232020266021113
715	0.5496648384766516	0.6202777587506966
714	0.5449968137257812	0.617285794977945
713	0.5339617345770407	0.6139759144154542
712	0.5136995628087249	0.6099946579049623
711	0.484634735325443	0.6050199357302737
710	0.4579040619902486	0.5991845909078599
709	0.4403606910989524	0.5928876767534527
708	0.42402008356336296	0.586195446253118
707	0.40820423698286845	0.5791445680276307
706	0.38277960904008523	0.5713689331253042
705	0.359579240072037	0.5629857155098926
704	0.3328174870996392	0.5538783679385365
703	0.3039344489107023	0.5439920167420849
702	0.2698716826233536	0.5331530548881461
701	0.23721856083282944	0.521455345878846
700	0.20909902194087948	0.5091123695165216
699	0.17897752507539622	0.4960707751656716
698	0.15457711199753987	0.48258435002267863
697	0.1299362033149336	0.4686612604325669
696	0.10634866928246822	0.4543604055976594
695	0.09331392180038733	0.4401131634255319
694	0.08018778800811077	0.42591364409122434
693	0.06825335948543199	0.41180680908744904
692	0.05682639102576559	0.39780884122162374
691	0.04525296507062393	0.38390950198564394
690	0.03418245720614976	0.3701245665003596
689	0.023597716444911043	0.3564685099304195
688	0.004557195641886835	0.34260293203005715
687	-0.012344351598848391	0.32862032258907303
686	-0.02145318545876762	0.3148321596158045
685	-0.04034810273745393	0.30084524843654786
684	-0.06283200848427839	0.28652607701245186
683	-0.08745430287695655	0.2718035580796927
682	-0.09941154985788359	0.25719211206827186
681	-0.09160022815881064	0.2434652480071927
680	-0.09496547332385319	0.2301480303359118
679	-0.12051259265520287	0.21635141896408377
678	-0.1384379678336174	0.20239416257786388
677	-0.155476487329814	0.1883174343319654
676	-0.16973917920624615	0.17423506700865793
675	-0.18582681507320586	0.16007545113616842
674	-0.2100543532421426	0.14552150743720121
673	-0.233711965346032	0.13061116974894993
672	-0.25617256044953507	0.1154055194386032
671	-0.27747893727730144	0.09996153469833396
670	-0.2951073357699272	0.08443313489495811
669	-0.3111396484136577	0.06888632563582883
668	-0.3262816394992143	0.05335676726595483
667	-0.34698425819367174	0.037625219511400305
666	-0.3697754625757952	0.021617535467878778
665	-0.3913383815773983	0.005392815826945748
664	-0.41492936524540625	-0.011120104241983278
663	-0.4372322112086877	-0.02785930662236677
662	-0.45829393785555794	-0.04476716548982816
661	-0.4878022359300047	-0.06216884613066434
660	-0.47263661382861955	-0.07829032727416525
659	-0.45791638224591225	-0.09319957574972086
658	-0.4590672342910267	-0.10756765282977108
657	-0.43290474369800336	-0.12034333445665
656	-0.4109264113337474	-0.13175364962810915
655	-0.3968160840236479	-0.14216131297453014
654	-0.38249852687378194	-0.1515976768894201
653	-0.36863441766650595	-0.1601187906480134
652	-0.3526338871964896	-0.1676768125837297
651	-0.34684238769410314	-0.1747104334071361
650	-0.3443565646924327	-0.18137006364881855
649	-0.33793847644447794	-0.18751606701118742
648	-0.331637362200631	-0.19317324673720157
647	-0.3357669588570289	-0.19877025606580032
646	-0.3330859414685676	-0.20404215236011322
645	-0.3303542787912406	-0.20899973830708182
644	-0.3340266075592595	-0.2139067176226365
643	-0.32445442793094514	-0.21824529003819151
642	-0.32160293958892794	-0.22230155664160575
641	-0.3187144761653542	-0.22608516685525454
640	-0.3106279076640561	-0.22940285273792893
639	-0.30274836676126426	-0.232281051380255
638	-0.30927698019548444	-0.23530241987323222
637	-0.30888940624317485	-0.23818994731268825
636	-0.305775416079193	-0.2408419137685897
635	-0.3317168646493869	-0.24440764731803255
634	-0.35307432282331064	-0.24867139477241434
633	-0.37262988602234515	-0.25353504287727946
632	-0.40467476672297664	-0.2594650555481193
631	-0.4350505192539913	-0.2663540690675229
630	-0.4567056027437175	-0.2738222816888413
629	-0.48101722690070403	-0.28195117804186404
628	-0.496858430571244	-0.2903825053109603
627	-0.512367128517127	-0.2990913492603596
626	-0.5327254104184789	-0.3082570737969909
625	-0.5687007480143151	-0.31847441169304325
624	-0.6053306384661354	-0.3297277606640023
623	-0.6367425122828436	-0.34177175558168554
622	-0.6696291600815698	-0.35463321863869757
621	-0.6974339977243247	-0.3680807160498099
620	-0.7139001586659361	-0.3816464592123641
619	-0.7292456103228488	-0.3952818510004838
618	-0.7499883049315343	-0.4091958811891765
617	-0.7758723348741512	-0.42357929609954886
616	-0.8027649528533658	-0.4384532425438614
615	-0.828663377075813	-0.45375947717771686
614	-0.8626682549079305	-0.46979901835298704
613	-0.8946760790144879	-0.4864647600451328
612	-0.9195779080646744	-0.5034534052931857
611	-0.9486993672595219	-0.5209178001930715
610	-0.9760013679372648	-0.5387679157301384
609	-1.0073853930993621	-0.5571487334020655
608	-1.0400570791308041	-0.5760899409472161
607	-1.071996401744265	-0.5955408300518427
606	-1.1135925548475498	-0.6158601740520586
605	-1.1559567107842241	-0.6370440264475854
604	-1.189306287989389	-0.6587049028702411
603	-1.2270028546920884	-0.6809945898851714
602	-1.2623443094769087	-0.7037960510075351
601	-1.3213615590427636	-0.7280178099531075
600	-1.363382555708796	-0.7529375378232891
599	-1.283427782125898	-0.7737438550685525
598	-1.3199719403417163	-0.7951673127715703
597	-1.3658425107314116	-0.8175494911662348
596	-1.4004786130318898	-0.8404121643095835
595	-1.4328084918691566	-0.863646036478126
594	-1.4616225607956217	-0.8870986601343149
593	-1.501342706971812	-0.9111891923082426
592	-1.5287375162269647	-0.9354092178145285
591	-1.5683679530253123	-0.9602335359163833
590	-1.6047279831536052	-0.9855101826301289
589	-1.6392458616694725	-1.0111491706816929
588	-1.6739350632631158	-1.0371430095923915
