	macd	trigger
3501		
3500		
3499		
3498		
3497		
3496		
3495		
3494		
3493		
3492		
3491		
3490		
3489		
3488		
3487		
3486		
3485		
3484		
3483		
3482		
3481		
3480		
3479		
3478		
3477		
3476		
3475		
3474		
3473		
3472		
3471		
3470		
3469		
3468		
3467		
3466		
3465		
3464		
3463		
3462		
3461		
3460		
3459		
3458		
3457		
3456		
3455		
3454		
3453		
3452		
3451		
3450		
3449		
3448		
3447		
3446		
3445		
3444		
3443		
3442		
3441		
3440		
3439		
3438		
3437		
3436		
3435		
3434		
3433		
3432		
3431		
3430		
3429		
3428		
3427		
3426		
3425		
3424		
3423		
3422		
3421		
3420		
3419		
3418		
3417		
3416		
3415		
3414		
3413		
3412		
3411		
3410		
3409		
3408		
3407		
3406		
3405		
3404		
3403	-0.00558295153767574	
3402	-0.017412904866169754	
3401	-0.01895757653010577	
3400	0.012581309987645284	
3399	0.02742104882575802	
3398	0.0502441614323601	
3397	0.063775954685525	
3396	0.07553963250305173	
3395	0.09493255692346736	
3394	0.12655403483923777	
3393	0.16268076646832696	
3392	0.1997841046077511	
3391	0.23171526007320153	
3390	0.25647417261131267	
3389	0.2888458332248831	
3388	0.31564643837779016	
3387	0.3399123237693402	
3386	0.36735441265818025	
3385	0.39950751084281677	
3384	0.42657739064927824	
3383	0.4459594255534327	
3382	0.46477727576475303	
3381	0.48248292005247606	
3380	0.49116673320624926	
3379	0.5065982075881124	
3378	0.5336063883236264	
3377	0.5602341037335421	
3376	0.6071099295528342	
3375	0.6555244095575858	
3374	0.6961899860849456	
3373	0.7242500599453123	
3372	0.7581508662407899	
3371	0.8080318121004879	
3370	0.8691083169508431	
3369	0.912994026345956	
3368	0.9462513474714385	
3367	0.9687569375823983	
3366	1.0025752137826132	
3365	1.0518687791908832	
3364	1.1007043033752595	
3363	1.1314832696730122	
3362	1.169088346283722	
3361	1.1984870930414644	
3360	1.2176742408638859	
3359	1.2448105673330403	
3358	1.2783500893202486	
3357	1.3126645524971963	
3356	1.3560113093298725	
3355	1.3889601712340536	0.833166221858841
3354	1.4048196573409157	0.8590916998088739
3353	1.4240062867228858	0.8845553131526936
3352	1.4541224960156711	0.910079087195601
3351	1.491683145599147	0.9359972037646627
3350	1.556688073812687	0.9635100281066145
3349	1.6233230238878775	0.9926082799037389
3348	1.682487115532247	1.02288455624698
3347	1.7398949909073593	1.0542052509341406
3346	1.7799583562899386	1.08576687107205
3345	1.8245155434718612	1.1177569688873012
3344	1.8757609200380188	1.1504472613921544
3343	1.9249205789988153	1.1837177003291337
3342	1.9756945690137613	1.2176131962349077
3341	2.0092218029145528	1.2513719764740148
3340	2.0377720840412863	1.2847939948790965
3339	2.036067154418866	1.316618594844797
3338	2.0370481253524275	1.3470409467154096
3337	2.0485033876483527	1.3765733917258494
3336	2.058392599874786	1.4051962390719888
3335	2.0667819737048276	1.4328931169282253
3334	2.0658016698636956	1.4593194469930624
3333	2.0656455131628135	1.484571764547447
3332	2.0583270176199804	1.5084095872048624
3331	2.0625366103827716	1.5313783673854697
3330	2.076533783659606	1.5539248862304638
3329	2.082699062391974	1.5757471609100766
3328	2.070325807417589	1.5961163656527508
3327	2.03840308422064	1.6142961280833126
3326	2.0105843999108615	1.6305544682241762
3325	1.9491313667738055	1.6436009535215328
3324	1.8783830926303295	1.6531991739136467
3323	1.8123627120247647	1.659695180295778
3322	1.7360683992312005	1.6628072593868168
3321	1.6499951264315627	1.6622859856199865
3320	1.544721443241329	1.6575097831034415
3319	1.4620237787538173	1.6495791128736852
3318	1.3749031736798614	1.6384508467280814
3317	1.3015867062609203	1.624820775923192
3316	1.2328013473806507	1.6089787706708945
3315	1.168377416969605	1.5911947702062772
3314	1.0994456857642234	1.5713690396480546
3313	1.0274853564576318	1.5494655283196908
3312	0.9483070706043648	1.5252809798924132
3311	0.8865780439703173	1.4996120545628586
3310	0.8234595110109311	1.4724644885502178
3309	0.7584198723957982	1.4438223160312889
3308	0.6971980495408516	1.4139001267030298
3307	0.6527790099180777	1.3834231914993163
3306	0.616299939825609	1.3527312839592567
3305	0.5842930652454967	1.3220111394273624
3304	0.5421670228669058	1.2908587455108917
3303	0.4941565586516532	1.2590561791659465
3302	0.49260665676168713	1.228482696233061
3301	0.4745565317229037	1.1984290251772254
3300	0.45394334065462516	1.1687708735587345
3299	0.4340341897257858	1.1395192712528426
3298	0.4192088124175797	1.1108591118294495
3297	0.4029545638356211	1.0827086948181694
3296	0.36456827008780834	1.054166941870852
3295	0.32081051912015823	1.02503583427286
3294	0.2832891570843188	0.9955863804347885
3293	0.25300374781914314	0.966118092540239
3292	0.22838206701014485	0.9368558247275034
3291	0.19466064641184033	0.9074299050183676
3290	0.1478431541757672	0.8773274470771524
3289	0.09675765567661188	0.8464062427759739
3288	0.03150335275332594	0.8141378208215828
3287	-0.023841066445910997	0.7809683154136072
3286	-0.09248241346750063	0.7464074230206058
3285	-0.14908904751196417	0.710986706896354
3284	-0.19670910404924768	0.675095607093601
3283	-0.24016111139732033	0.6389173075821138
3282	-0.272000326509783	0.6029217667079241
3281	-0.3022519107364019	0.5671639298207569
3280	-0.325258946339936	0.5319199542705867
3279	-0.3534035502063091	0.49696602474014456
3278	-0.37945102383694973	0.4623729322209096
3277	-0.4003045852908258	0.42833084606299326
3276	-0.4269990844630698	0.394586979374985
3275	-0.452259693141869	0.3611856575148895
3274	-0.46850075282512194	0.32846857476968494
3273	-0.49012913816770975	0.2961957690115393
3272	-0.5060622900745599	0.26457374906159764
3271	-0.5184608909300863	0.23371563420487568
3270	-0.5319406925257226	0.20354818288364845
3269	-0.5477217267006722	0.17395304519705154
3268	-0.5656923432784495	0.14482101742495007
3267	-0.5831919655096129	0.11615204561276121
3266	-0.6027869234457413	0.08784505048039105
3265	-0.6007420822091092	0.060737379482053176
3264	-0.5984800446773733	0.03478983694692257
3263	-0.6004856135770353	0.009788313848663643
3262	-0.6008111618016443	-0.014238719203253293
3261	-0.5809857306616593	-0.036537168902393675
3260	-0.5604823708463016	-0.05714893968242158
3259	-0.5463816109677069	-0.07639275127880304
3258	-0.533920202123447	-0.09438730683140753
3257	-0.53071468735331	-0.11154610205604343
3256	-0.5254590039547935	-0.1278216491728958
3255	-0.5297819365344694	-0.1436255379431609
3254	-0.5329933792790982	-0.1589327775584637
3253	-0.5280896945775666	-0.17344405102767718
3252	-0.530831619534915	-0.1874913664791805
3251	-0.5395890748873953	-0.20132951749506664
3250	-0.547669006735326	-0.21494018381542723
3249	-0.5557398490909762	-0.22833203193507284
3248	-0.5708599882927459	-0.24179072148207076
3247	-0.579217287642912	-0.2550479511508786
3246	-0.5926756037081589	-0.26831210586551835
3245	-0.6045723314876668	-0.28152160608186017
3244	-0.6162574701138723	-0.29467033143120325
3243	-0.6592324590232437	-0.30898972540558406
3242	-0.7082691893744624	-0.3246717761192423
3241	-0.7585665037258238	-0.3417123459679095
3240	-0.811971586040066	-0.3601800100295575
3239	-0.8528747250157735	-0.37952766818040495
3238	-0.9043458027261835	-0.40013568289076384
3237	-0.9523623653497424	-0.42181883620160776
3236	-1.0034948465152738	-0.4446571907985865
3235	-1.0466285958031563	-0.468291285206282
3234	-1.079527719359362	-0.49228804421408645
3233	-1.1155239968672888	-0.5167548279239402
3232	-1.1460820304178796	-0.5414597029357602
3231	-1.1785221780095938	-0.566467225487278
3230	-1.2095195462205979	-0.5917088981133601
3229	-1.233965873014661	-0.6169184127998101
3228	-1.2508560346550368	-0.6418004910877063
3227	-1.2747135657681241	-0.6666415024248024
3226	-1.301339821338047	-0.6915517600450489
3225	-1.3138203003815363	-0.7159734067407804
3224	-1.3340858006680278	-0.7402312016068755
3223	-1.3533823050110314	-0.7642935864906623
3222	-1.3723894900075848	-0.7881569149693645
3221	-1.385300011341478	-0.8115897925234815
3220	-1.390446682065658	-0.8343044995854941
3219	-1.3972211263594332	-0.8563931498498797
3218	-1.402962255870385	-0.8778398152567013
3217	-1.413528540724407	-0.8988590646972212
3216	-1.4235264358626694	-0.9194454050614778
3215	-1.4271604674955967	-0.939366165441179
3214	-1.4337664350700763	-0.9587641092031985
3213	-1.4393275042224687	-0.977618789171262
3212	-1.447120917274539	-0.9960391383595241
3211	-1.4538083179022436	-1.0139988342889108
3210	-1.4659035201776547	-1.031728139634924
3209	-1.4812144445176116	-1.0493622713602546
3208	-1.5047621829074345	-1.0672281173013685
3207	-1.5193398711806054	-1.0849646915147486
3206	-1.533111856945986	-1.102545472311022
3205	-1.5396365757296806	-1.1196922804053593
3204	-1.5547725065196332	-1.136759969523258
3203	-1.5748843819473421	-1.153946852579747
3202	-1.590025678018705	-1.17105327464723
3201	-1.6068886571837524	-1.1881499395183175
3200	-1.6169690655709346	-1.2049711791638322
3199	-1.6212175093827454	-1.2212990442674971
3198	-1.6257255602808414	-1.2371630893142955
3197	-1.6317745481146346	-1.252641968623391
3196	-1.6457690782836494	-1.2680624702264915
3195	-1.6595668085732669	-1.2834191716781618
3194	-1.6576199318425608	-1.2980970081628163
3193	-1.6549004396265516	-1.312092319880406
3192	-1.6410764019931747	-1.324996332004328
3191	-1.632862118013719	-1.3370719056936222
3190	-1.6189882222779062	-1.348129563963597
3189	-1.6062013593219646	-1.358251887968974
3188	-1.5886242913490847	-1.367287696341744
3187	-1.5651872718246764	-1.3750497816562195
3186	-1.5309817979256835	-1.3811657601866352
3185	-1.5033747511709095	-1.385959020747785
3184	-1.480134872913986	-1.3896527475347198
3183	-1.457832842678883	-1.3923268635725827
3182	-1.4396805821140006	-1.3941841302647877
3181	-1.427444733309315	-1.3954886418296006
3180	-1.426052203112235	-1.3966873666481252
3179	-1.4155478492792781	-1.3974270845969148
3178	-1.4073812842080713	-1.3978174916010893
3177	-1.4033969733556901	-1.3980363197062318
3176	-1.3858864420209471	-1.3975598018209403
3175	-1.369750941203499	-1.3964691437105785
3174	-1.4607219958208546	-1.3989891177056295
3173	-1.5195290097281173	-1.4037166306651165
3172	-1.5313779562583747	-1.4087234235705666
3171	-1.5399432159447528	-1.413869758391628
3170	-1.5700380942559846	-1.4199945335427697
3169	-1.595997490977517	-1.4268971806045492
3168	-1.619294668423784	-1.4344427790995604
3167	-1.6439344618404022	-1.4426587658194088
3166	-1.665947070086851	-1.4514158115946107
3165	-1.68284321336521	-1.46049203497094
3164	-1.690301192696765	-1.4695047684433493
3163	-1.6965400111887448	-1.4784086899570528
3162	-1.7334363289045172	-1.48841039835244
3161	-1.7696980606574257	-1.4994419488770647
3160	-1.809232608389756	-1.5115913024745258
3159	-1.847973034700864	-1.524783473525508
3158	-1.8911323590547084	-1.5391508609393465
3157	-1.9287423327775386	-1.554429738943776
3156	-1.9610360990597826	-1.570375869611595
3155	-1.9960355189539456	-1.58706919263802
3154	-2.026452089236166	-1.604300675730888
3153	-2.061575567120812	-1.6222338056051933
