	macd	trigger
396		
395		
394		
393		
392		
391		
390		
389		
388		
387		
386		
385		
384		
383		
382		
381		
380		
379		
378		
377		
376		
375		
374		
373		
372		
371		
370		
369		
368		
367		
366		
365		
364		
363		
362		
361		
360		
359		
358		
357		
356		
355		
354		
353		
352		
351		
350		
349		
348		
347		
346		
345		
344		
343		
342		
341		
340		
339		
338		
337		
336		
335		
334		
333		
332		
331		
330		
329		
328		
327		
326		
325		
324		
323		
322		
321		
320		
319		
318		
317		
316		
315		
314		
313		
312		
311		
310		
309		
308		
307		
306		
305		
304		
303		
302		
301		
300		
299		
298	-2.8985592084103047	
297	-2.9144140743458706	
296	-2.9239676478685084	
295	-2.9302121004764246	
294	-2.929231572826751	
293	-2.9363162200111077	
292	-2.9429244837578565	
291	-2.9422446695299556	
290	-2.9510590076068652	
289	-2.971692160035552	
288	-2.9870776892446855	
287	-2.9941350803284976	
286	-2.9943472502335027	
285	-2.98191672143885	
284	-2.9824655049411035	
283	-3.00601905695202	
282	-3.024141787225055	
281	-3.039876763083349	
280	-3.0533290209349744	
279	-3.045452818949194	
278	-3.022284749078686	
277	-2.9958308166320506	
276	-2.969084942762599	
275	-2.9591160808951997	
274	-2.9481064083184734	
273	-2.981177252633259	
272	-3.0169160773183563	
271	-3.0637862625661256	
270	-3.1218526331262595	
269	-3.175071558913153	
268	-3.2299793823854515	
267	-3.2755142168503184	
266	-3.2600216612683397	
265	-3.243588692649837	
264	-3.254132726833248	
263	-3.2596306448693113	
262	-3.2632203475457615	
261	-3.291836370676023	
260	-3.316295130847486	
259	-3.333845649448996	
258	-3.3770565066322433	
257	-3.422443923466517	
256	-3.493439379271223	
255	-3.5594023897836706	
254	-3.619350626762987	
253	-3.6829913600964304	
252	-3.774422261906544	
251	-3.785592447614988	
250	-3.7943276170830345	-3.2967172922602233
249	-3.841789871481815	-3.321437282129365
248	-3.8761893915067915	-3.346442820209063
247	-3.9070448665101907	-3.371564843366819
246	-3.943466491294245	-3.397050589834456
245	-3.9522817774352106	-3.421661839767053
244	-3.95868445680577	-3.4453449430573126
243	-3.9987834639687634	-3.4696333495611076
242	-4.035016612077136	-3.4943306143294834
241	-4.070550321454569	-3.5193893118094532
240	-4.117450494403158	-3.545287207055109
239	-4.160114335528846	-3.5718027399084846
238	-4.223474696161652	-3.5997977805826604
237	-4.28179391415636	-3.628986255735596
236	-4.358883598074435	-3.6601133098999994
235	-4.430237400471519	-3.692843597296452
234	-4.502149385436745	-3.7271265110814578
233	-4.583678149486822	-3.763297037462513
232	-4.660675510691881	-3.801077792165432
231	-4.732579937514117	-3.840182357408324
230	-4.805623127587353	-3.880599938515811
229	-4.872277936522828	-3.9220062522270465
228	-4.933411719765111	-3.964129349793763
227	-4.9898563241912015	-4.006745251922196
226	-5.0411848049777355	-4.049623172886953
225	-5.087603780046418	-4.092551938925831
224	-5.129312878631151	-4.135338601027182
223	-5.16896136838017	-4.177908319561487
222	-5.20152286603701	-4.219982993057557
221	-5.232961178724526	-4.261541992070819
220	-5.260480779341616	-4.302450922568984
219	-5.283814189521763	-4.3425704178452955
218	-5.303386131265395	-4.3817845813434175
217	-5.318739702215826	-4.419963912810045
216	-5.328821658251655	-4.456941651187697
215	-5.334173885432506	-4.492580277596836
214	-5.335316558411343	-4.5267692393899175
213	-5.328720459305558	-4.559259622920437
212	-5.29209623569718	-4.588911383736266
211	-5.191420158367588	-4.613259532009813
210	-5.159455105223852	-4.635305633879931
209	-5.135940563976206	-4.655489612958174
208	-5.0965534820437455	-4.673252321698354
207	-5.040778626134358	-4.688037870489784
206	-4.990567375887661	-4.700196272850709
205	-4.942577535932326	-4.709927895400215
204	-4.894237271641316	-4.717321020187829
203	-4.856517589301362	-4.722899550489875
