	macd	trigger
1313		
1312		
1311		
1310		
1309		
1308		
1307		
1306		
1305		
1304		
1303		
1302		
1301		
1300		
1299		
1298		
1297		
1296		
1295		
1294		
1293		
1292		
1291		
1290		
1289		
1288		
1287		
1286		
1285		
1284		
1283		
1282		
1281		
1280		
1279		
1278		
1277		
1276		
1275		
1274		
1273		
1272		
1271		
1270		
1269		
1268		
1267		
1266		
1265		
1264		
1263		
1262		
1261		
1260		
1259		
1258		
1257		
1256		
1255		
1254		
1253		
1252		
1251		
1250		
1249		
1248		
1247		
1246		
1245		
1244		
1243		
1242		
1241		
1240		
1239		
1238		
1237		
1236		
1235		
1234		
1233		
1232		
1231		
1230		
1229		
1228		
1227		
1226		
1225		
1224		
1223		
1222		
1221		
1220		
1219		
1218		
1217		
1216		
1215	2.5834022713041236	
1214	2.6128644292006697	
1213	2.585628263555776	
1212	2.5583656089117426	
1211	2.5310904425181207	
1210	2.5038160817657342	
1209	2.476555213271297	
1208	2.4493199204247844	
1207	2.4769541393212933	
1206	2.502016061966401	
1205	2.579732212687105	
1204	2.6524677953271976	
1203	2.748121848209138	
1202	2.837877189067143	
1201	2.921971382632819	
1200	2.989473655184298	
1199	3.0634768148854903	
1198	3.0763997807951284	
1197	3.0646782101791246	
1196	3.074469960205761	
1195	3.0822410331570893	
1194	3.071113238439864	
1193	3.053273148818647	
1192	3.029029667391427	
1191	2.975908635064542	
1190	2.9237412213090863	
1189	2.9010903015962413	
1188	2.8551029849385827	
1187	2.8327530932864704	
1186	2.8099986303633386	
1185	2.7868692315214503	
1184	2.7518471459073055	
1183	2.6996928014547734	
1182	2.6196002909787524	
1181	2.541871077195964	
1180	2.44316965103539	
1179	2.4176899490860535	
1178	2.3688091903162274	
1177	2.332668036489565	
1176	2.3087178244544475	
1175	2.284696056932944	
1174	2.2136066563179213	
1173	2.144657220459692	
1172	2.0777829950238527	
1171	2.036540834189509	
1170	1.98432709330811	
1169	1.921652045602798	
1168	1.8668047239761165	
1167	1.7778736362962775	2.4643429418478875
1166	1.7397109132967046	2.4314796185263914
1165	1.7083694077404914	2.3988853126986633
1164	1.6238883741311554	2.3641557016201036
1163	1.5424459241138209	2.3275377147067995
1162	1.463943221464035	2.289257912728358
1161	1.3942768331674813	2.249788570697759
1160	1.2970832445898566	2.2079777943160743
1159	1.2277037033777844	2.1651571266830363
1158	1.1307872084018413	2.1201743492040936
1157	1.049768880763196	2.0738224883930707
1156	0.9900100870985682	2.0270811167090335
1155	0.9324748585339648	1.9800581530449126
1154	0.8468565462908089	1.931558718350633
1153	0.6133599660364553	1.8753430814622276
1152	0.35989431716123477	1.8109364823213527
1151	0.1481469412659635	1.7404992368277752
1150	-0.054021366936297	1.6647200871192578
1149	-0.24694600143874368	1.584236556791426
1148	-0.43095151698724976	1.4996387339079618
1147	-0.6063519796723256	1.4114727343904956
1146	-0.7734513053733281	1.3202438774354166
1145	-0.9325435865327165	1.2264196010324073
1144	-1.053333569450814	1.1317026437764368
1143	-1.1558401127302602	1.0368831086694588
1142	-1.2530888526102615	0.9421745275232374
1141	-1.3391351386843553	0.8480258939295433
1140	-1.3960163344308683	0.75560509104317
1139	-1.449595404257991	0.6649624842605325
1138	-1.4999954232015966	0.5761417329225047
1137	-1.5288588933428002	0.48993692696662466
1136	-1.5063108223459096	0.40832754250538117
1135	-1.4840192117657693	0.33109442279194057
1134	-1.4805113058429242	0.2572745630573664
1133	-1.4145917878872751	0.18925309673032084
1132	-1.3509481111654225	0.12668054946140397
1131	-1.289508928742066	0.06922716924705558
1130	-1.1930198184959124	0.01808828732562658
1129	-1.094106621056568	-0.026912926899976708
1128	-1.0115483136996488	-0.06670329909472074
1127	-0.9322272014303223	-0.10163845612946087
1126	-0.8560363667625666	-0.13205333677304723
1125	-0.7766493959768752	-0.1580127790607219
1124	-0.7035886586472486	-0.1799612455777862
1123	-0.6179089109227789	-0.1975619880947495
1122	-0.554519791964168	-0.2118938657704092
1121	-0.48124549741601186	-0.2226982549182435
1120	-0.41105624289528464	-0.230247009533777
1119	-0.33134622352534393	-0.23429524065759944
1118	-0.24883533499533428	-0.23487697668250007
1117	-0.20124531837163318	-0.23353247119201775
1116	-0.15571571667717876	-0.23042392919180427
1115	-0.11217615282953375	-0.22570374288513886
1114	-0.07055844531299726	-0.21951503512450243
1113	0.019412322735178122	-0.2099907016322165
1112	0.11784318512582104	-0.19693074988125184
1111	0.2117388081268814	-0.1806606497917666
1110	0.30754513141951634	-0.16123561528156036
1109	0.4051299233442762	-0.13871361547478053
1108	0.5232526072171026	-0.11240444844155761
1107	0.6546343975223863	-0.08193537438640167
1106	0.7797072209572491	-0.047725711415388374
1105	0.8986935359675101	-0.0101684704756349
1104	1.01180878618149	0.030368213579257577
1103	1.119261612004692	0.07353972782513304
1102	1.2212540558321052	0.11902369953611301
1101	1.3179817610800058	0.16651878271506224
1100	1.4033105469943052	0.21549310715066372
1099	1.471384419673626	0.2652047339177739
1098	1.5482665666844184	0.31597320942482354
1097	1.6208566327320568	0.36758693078848165
1096	1.6893122043159963	0.41984912384033446
1095	1.7474464037041173	0.4723264354526874
1094	1.7576407772325808	0.5231165213991991
1093	1.7537756496167276	0.5717322837297517
1092	1.736486243363231	0.6177312839480008
1091	1.725439435881185	0.661465300369316
1090	1.7203597811425482	0.7032609669426294
1089	1.714624469140773	0.7431703453371264
1088	1.708266132520805	0.7812446163542239
1087	1.7013162449006813	0.8175340765325194
1086	1.7065347836332876	0.8525901041259348
1085	1.7170034119748152	0.8866691668182302
1084	1.7515903125379282	0.9207611318852204
1083	1.7709559836754636	0.9542659208782279
1082	1.7885273782044067	0.9871364673942224
1081	1.8171316265463702	1.0198328667853653
1080	1.798838967233138	1.050515174424241
1079	1.79321397693937	1.0797624701914463
1078	1.7869191223040843	1.1076055566990395
1077	1.843855031080551	1.1365895553489718
1076	1.8972494699455638	1.1665299889076433
1075	1.9600180178454139	1.1977580322191195
1074	2.0253127456528546	1.2303222338682696
1073	2.1313595042718134	1.2657732090740186
1072	2.1994942062704013	1.3025053770475146
1071	2.2633933750850304	1.3403016009809636
1070	2.3424212001858393	1.3797149668127964
1069	2.4294508503765258	1.4209963620909873
1068	2.5112659607321746	1.4638670581754911
1067	2.5880611886093163	1.5080670439755302
1066	2.6600249346645057	1.553354028640248
1065	2.881208255282246	1.6055509533671275
1064	3.0972524916626014	1.6641831048867035
1063	3.173569938310436	1.7235050557075016
1062	3.2447738032134055	1.7832888284194033
1061	3.311059623306477	1.8433231433892128
1060	3.340516502593374	1.9021512192859273
1059	3.3347961952891296	1.958438735994629
1058	3.3597271232918615	2.013490227861946
1057	3.3817848729179616	2.067241718620169
1056	3.368955802892657	2.118374216857148
1055	3.3742508570624636	2.167702962311601
1054	3.358269131886857	2.2144634915500903
1053	3.347707014922804	2.258969944813777
1052	3.3616226117273413	2.302272483698745
1051	3.3409935576239604	2.343062083507926
1050	3.3195729209160163	2.381406699247144
1049	3.3295924084092974	2.4186371641123428
1048	3.305239455229355	2.453447844202287
1047	3.312480953656433	2.487174478788894
1046	3.2854714716679894	2.5185151179988545
1045	3.25798886433995	2.5475451252277703
1044	3.2300687819222844	2.5743382807825084
1043	3.201745484282071	2.5989667911788894
1042	3.1730518862886186	2.62150129974539
1041	3.1375722245869895	2.641757829557376
1040	3.1020810497671505	2.6598255352875966
1039	3.0601474208524735	2.6755376463114144
1038	3.0314378643119824	2.689505803864874
1037	2.98310713806174	2.7010285269150764
1036	2.935429620751279	2.7102275879702025
1035	2.940034572885338	2.7192460894281796
1034	2.9170835404496813	2.7270097662623947
1033	2.8936643149491488	2.73354956494204
1032	2.8698102668335252	2.738896520266312
1031	2.85201199006886	2.743335131479982
1030	2.8400039295785007	2.7471282901954344
1029	2.839990103335907	2.7507719838576343
1028	2.886964446654389	2.756115758882089
1027	2.946457999587693	2.763584046604445
1026	2.9693966868116206	2.771659167646042
1025	3.0220713516521016	2.7814839725281297
1024	3.070778996643753	2.7928341135470096
1023	3.1156748262436054	2.805500149821993
1022	3.1245740700398414	2.8180181854523743
1021	3.1314460254858716	2.8303145062912907
1020	3.1234419683626413	2.841814223233888
