	macd	trigger
789		
788		
787		
786		
785		
784		
783		
782		
781		
780		
779		
778		
777		
776		
775		
774		
773		
772		
771		
770		
769		
768		
767		
766		
765		
764		
763		
762		
761		
760		
759		
758		
757		
756		
755		
754		
753		
752		
751		
750		
749		
748		
747		
746		
745		
744		
743		
742		
741		
740		
739		
738		
737		
736		
735		
734		
733		
732		
731		
730		
729		
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691	0.3378360195463017	
690	0.3147676171966225	
689	0.31421981228754703	
688	0.3135369114644675	
687	0.3317127139135039	
686	0.3542934496462067	
685	0.36198435093967873	
684	0.39373523760957596	
683	0.43200629997593865	
682	0.4737447096261178	
681	0.5077592358265406	
680	0.5205720171147448	
679	0.5297463941398632	
678	0.5493249091519488	
677	0.548222087892043	
676	0.5524712360205228	
675	0.5702218576815028	
674	0.5616255730888327	
673	0.5447171770896375	
672	0.5283209809172433	
671	0.5208866604777995	
670	0.4456568103210259	
669	0.39354246852190045	
668	0.30956628503710704	
667	0.20656277301836212	
666	0.13390705548152937	
665	0.05312012696234092	
664	-0.03827011116621293	
663	-0.13975781549805788	
662	-0.21059971520617182	
661	-0.2809401419004871	
660	-0.32768202234461796	
659	-0.3807752984077979	
658	-0.4457123266704741	
657	-0.4958176854607075	
656	-0.5637180226039504	
655	-0.625291594210097	
654	-0.6983048336824424	
653	-0.79683808015821	
652	-0.8904359054861857	
651	-0.982213210404268	
650	-1.069275797013347	
649	-1.160626890504318	
648	-1.2383528035867641	
647	-1.3030268190592267	
646	-1.3581592110781173	
645	-1.4100746189650124	
644	-1.4470303473602826	
643	-1.4934406895093275	-0.4872982189683364
642	-1.539942272992846	-0.5350374583710206
641	-1.5745949009697426	-0.581895672657233
640	-1.6038781098903598	-0.6276933407613544
639	-1.6220430957660597	-0.6720047111657682
638	-1.6385528362518187	-0.714848049237549
637	-1.644486363354332	-0.7558458015058176
636	-1.649312429708516	-0.7950568066010592
635	-1.6590874769738377	-0.8327996894363793
634	-1.6735883124740667	-0.8693639851186994
633	-1.7016355788667852	-0.9054039141061414
632	-1.7697585135717588	-0.9426807708316914
631	-1.8610483085915916	-0.9821327317864816
630	-1.9653653831153548	-1.0242137061499037
629	-2.051814501868776	-1.0680365614643657
628	-2.1423677511496066	-1.1136956559244233
627	-2.248940277976601	-1.1617856289272601
626	-2.3677348813044716	-1.2127105437736443
625	-2.5179238147077285	-1.267661652915697
624	-2.6264921771365266	-1.3247055117556952
623	-2.7440147463642006	-1.3841240155917798
622	-2.8318976912099316	-1.4445740519100096
621	-2.926551860588006	-1.5062955847969208
620	-3.0123438768495134	-1.5688674077252498
619	-3.0758553737396284	-1.6313326438144338
618	-3.1149871131417797	-1.6926935740254387
617	-3.1507474322454243	-1.7528668071865585
616	-3.1771304575611055	-1.8115250572078463
615	-3.2037639836684093	-1.8687516748453556
614	-3.2306257779283385	-1.9246246692563334
613	-3.260773872214756	-1.9793431721070862
