	macd	trigger
1727		
1726		
1725		
1724		
1723		
1722		
1721		
1720		
1719		
1718		
1717		
1716		
1715		
1714		
1713		
1712		
1711		
1710		
1709		
1708		
1707		
1706		
1705		
1704		
1703		
1702		
1701		
1700		
1699		
1698		
1697		
1696		
1695		
1694		
1693		
1692		
1691		
1690		
1689		
1688		
1687		
1686		
1685		
1684		
1683		
1682		
1681		
1680		
1679		
1678		
1677		
1676		
1675		
1674		
1673		
1672		
1671		
1670		
1669		
1668		
1667		
1666		
1665		
1664		
1663		
1662		
1661		
1660		
1659		
1658		
1657		
1656		
1655		
1654		
1653		
1652		
1651		
1650		
1649		
1648		
1647		
1646		
1645		
1644		
1643		
1642		
1641		
1640		
1639		
1638		
1637		
1636		
1635		
1634		
1633		
1632		
1631		
1630		
1629	3.377277545030637	
1628	3.4262169719519022	
1627	3.471055717257798	
1626	3.5498412875223266	
1625	3.7206987168498245	
1624	3.903279306872207	
1623	4.140641140075587	
1622	4.337283705211036	
1621	4.5223976951085945	
1620	4.668961605958231	
1619	4.806221822878484	
1618	4.923507004231169	
1617	5.032758605425471	
1616	5.134307062265293	
1615	5.2229036979656485	
1614	5.30468400459111	
1613	5.36874604361094	
1612	5.415865523461065	
1611	5.4692634225149845	
1610	5.528648122481485	
1609	5.565518868622092	
1608	5.6487490210783164	
1607	5.719564321590212	
1606	5.7841790441798935	
1605	5.871316377635935	
1604	6.019882336383802	
1603	6.169932159129303	
1602	6.315621991504173	
1601	6.4341388698348965	
1600	6.515149699336064	
1599	6.600630204971395	
1598	6.673036171129496	
1597	6.7155744800472235	
1596	6.729560938169612	
1595	6.745291024018229	
1594	6.774319288238729	
1593	6.798571078347038	
1592	6.841601115252558	
1591	6.867484281178264	
1590	6.947257718882582	
1589	7.019837230287976	
1588	7.085518053576095	
1587	7.126926958904136	
1586	7.156920483284011	
1585	7.158283573990502	
1584	7.114549154957103	
1583	7.092898471032214	
1582	7.0686363641538605	
1581	7.0121878948758365	6.345584846793634
1580	6.9666607237003575	6.37375171845507
1579	6.907759412787328	6.397822198782693
1578	6.848042044358181	6.41799771091515
1577	6.775623594485381	6.43393465152717
1576	6.69708767245254	6.4455992066046655
1575	6.630720886224907	6.453763212589904
1574	6.55201416325437	6.458075089951083
1573	6.425503824956905	6.456652300829555
1572	6.319551719362352	6.450690057690639
1571	6.209198264677809	6.440232717638892
1570	6.076596033633251	6.4245502273991075
1569	5.971110271321777	6.405070994186945
1568	5.8734450699562615	6.3823181524681045
1567	5.78935331148935	6.357030694010468
1566	5.706149022954719	6.3293682115410155
1565	5.623832832704323	6.299481104690451
1564	5.542404943235994	6.267511236158839
1563	5.461865149049061	6.233592529501072
1562	5.400481210110996	6.198618422241785
1561	5.369623090259267	6.1639130450678765
1560	5.319124853784956	6.128639937327151
1559	5.2804339261035125	6.093313784054103
1558	5.2163485155288924	6.056878487931116
1557	5.158643374704042	6.019646293861433
1556	5.113191460006135	5.982157166204344
1555	5.067199851582927	5.944397285446304
1554	5.008433827263758	5.905849662240149
1553	4.955933217829767	5.866804277056117
1552	4.897138816605548	5.827022249679559
1551	4.838519345216326	5.786540693520945
1550	4.77393140492444	5.745143817421495
1549	4.703673166351365	5.702637851064861
1548	4.615680350659659	5.658346177137655
1547	4.541694753020863	5.612914156090224
1546	4.499687713792923	5.567687977961963
