	macd	trigger
4508		
4507		
4506		
4505		
4504		
4503		
4502		
4501		
4500		
4499		
4498		
4497		
4496		
4495		
4494		
4493		
4492		
4491		
4490		
4489		
4488		
4487		
4486		
4485		
4484		
4483		
4482		
4481		
4480		
4479		
4478		
4477		
4476		
4475		
4474		
4473		
4472		
4471		
4470		
4469		
4468		
4467		
4466		
4465		
4464		
4463		
4462		
4461		
4460		
4459		
4458		
4457		
4456		
4455		
4454		
4453		
4452		
4451		
4450		
4449		
4448		
4447		
4446		
4445		
4444		
4443		
4442		
4441		
4440		
4439		
4438		
4437		
4436		
4435		
4434		
4433		
4432		
4431		
4430		
4429		
4428		
4427		
4426		
4425		
4424		
4423		
4422		
4421		
4420		
4419		
4418		
4417		
4416		
4415		
4414		
4413		
4412		
4411		
4410	-8.73689071035733	
4409	-8.779303835973906	
4408	-8.987809635141275	
4407	-9.181747883629555	
4406	-9.361734831115484	
4405	-9.48484414733332	
4404	-9.597249466557457	
4403	-9.786915531630598	
4402	-9.962596668778815	
4401	-10.124880803569454	
4400	-10.27433248114528	
4399	-10.411493900067853	
4398	-10.714140469457789	
4397	-11.041516492009407	
4396	-11.347891867757369	
4395	-11.634116593949443	
4394	-11.901008080439965	
4393	-12.059659912906284	
4392	-12.204758508257555	
4391	-12.562128269614675	
4390	-12.625529942541903	
4389	-12.81531059359719	
4388	-12.989741765487338	
4387	-13.240352121055196	
4386	-13.563675842615396	
4385	-13.865098562956462	
4384	-14.099764741890795	
4383	-14.316393096032925	
4382	-14.561634581597275	
4381	-14.880146481832412	
4380	-15.268567119765692	
4379	-15.585102669949379	
4378	-15.508932543347612	
4377	-15.474760737998452	
4376	-15.434307621384562	
4375	-15.341354740107533	
4374	-15.198283190072914	
4373	-15.147466662928082	
4372	-15.278392726928189	
4371	-15.39554087697303	
4370	-15.40562172999688	
4369	-15.407416653114979	
4368	-15.401304953336421	
4367	-15.529144242635539	
4366	-15.643231863023857	
4365	-15.744142257082842	
4364	-15.832429552440715	
4363	-15.956086818641666	
4362	-16.06597336186968	-14.250525323738211
4361	-16.257865159113237	-14.341561677952283
4360	-16.24203402933165	-14.427225766377584
4359	-16.26640986541321	-14.509644348029585
4358	-16.377013012723978	-14.592860202578146
4357	-16.378488339557094	-14.672010187930672
4356	-16.13187840289399	-14.736391479571225
4355	-15.88833418627729	-14.786946060924688
4354	-15.695902018861574	-14.826651385514703
4353	-15.504274294491523	-14.856119915090455
4352	-15.265316023404978	-14.873839369648765
4351	-14.981244669227152	-14.878471417614291
4350	-14.895770863419415	-14.879214580925689
4349	-14.661492434815614	-14.86989637934194
4348	-14.430437309497904	-14.851155296895685
4347	-14.154081513905254	-14.82152964885645
4346	-13.93166782109492	-14.783834309506638
4345	-13.712297970743492	-14.738585393187188
4344	-13.398620510542884	-14.682171197781399
4343	-13.189843286527463	-14.619523103559809
4342	-12.740008475713836	-14.540838385387417
4341	-12.304175220755639	-14.44744922393861
4340	-11.78417191243787	-14.336528832819264
4339	-10.890423544828025	-14.19335341738907
4338	-9.884889192888863	-14.014765903066051
4337	-9.067190957758896	-13.810144269654096
4336	-8.282098665951821	-13.582004290351156
4335	-7.528523315819143	-13.332691882209708
4334	-6.854586390419968	-13.066415700048527
4333	-6.207826314827059	-12.785031447627421
4332	-5.735145050766448	-12.496321752594863
4331	-5.281045978355451	-12.20135124362042
4330	-5.0423630495714065	-11.90916853927718
4329	-4.9601860838817515	-11.626009294389023
4328	-4.43414853859133	-11.33340162634613
4327	-3.929776406244116	-11.032620347464329
4326	-3.4958778889777022	-10.726862299752833
4325	-3.2286700821271097	-10.423079307862324
4324	-2.971964982108716	-10.121595108046625
4323	-2.725415191467505	-9.822706041448564
4322	-2.7869043845659576	-9.538719851020778
4321	-2.595454614697303	-9.25878988241533
4320	-2.4611649990253	-8.985033088010502
4319	-2.281900888116013	-8.715366707670631
4318	-2.3090559121451406	-8.45790254992278
4317	-2.333793259868628	-8.212019187054672
4316	-2.3062766073593934	-7.975124609330646
4315	-2.278829150330523	-7.74683624683863
4314	-2.301467022750387	-7.528791889189145
4313	-2.421977103049983	-7.324472848020178
4312	-2.585841606713018	-7.135034799428622
4311	-2.4903821985280388	-6.9494950943057745
4310	-2.1974124553489673	-6.759802602061131
4309	-2.1675156952941848	-6.576617406868462
4308	-2.137865735530852	-6.3996759649759465
4307	-2.1084663453177654	-6.228726612728616
4306	-1.8279583012851504	-6.053521634783097
4305	-1.508959980552504	-5.872699796196583
4304	-1.2540226112024584	-5.689034231161672
4303	-1.0100304875670076	-5.503072037292144
4302	-0.9277933575346538	-5.321328302082336
4301	-0.9496643920189172	-5.147760804614125
4300	-1.1718609344133597	-4.989983128610192
4299	-1.1814331125360695	-4.838917155563153
4298	-1.2404707796040384	-4.6962490310181995
4297	-1.245651224624055	-4.559501680931056
4296	-1.351080323741428	-4.432404458667406
4295	-1.4510215244725941	-4.314348032918879
4294	-1.5456727318841104	-4.2047562618540235
4293	-1.7871477645809364	-4.10909579199593
4292	-1.966059062197985	-4.024329521945894
4291	-1.9330610332830247	-3.9416389056228343
4290	-1.7991372285927127	-3.856950024558665
4289	-1.568896751520299	-3.7665360156191174
4288	-1.3483159161472713	-3.6710070336912244
4287	-1.1370691958954922	-3.5709355926888056
4286	-1.3921251747030965	-3.48491281635298
4285	-1.63486738595293	-3.4118895988761837
4284	-1.6114598581502833	-3.340842906327792
4283	-1.8426655645850474	-3.2817378818331284
4282	-1.7061270392031815	-3.219592647531707
4281	-1.6767541665268482	-3.1587537888780672
4280	-1.7497307722916275	-3.103203760574325
4279	-1.6146477462819462	-3.0445304353924243
4278	-1.4338945268977454	-2.981057907718275
4277	-1.2096213685424573	-2.9112619383015255
4276	-0.8418656013440682	-2.8297412108784323
4275	-0.8987042258868314	-2.7536844626687547
4274	-0.7482664092844971	-2.6747115940636137
4273	-0.7575101225261847	-2.5992250575726885
4272	-0.20391244042667722	-2.5049285723767607
4271	0.32461341253929277	-2.3935546033070487
4270	0.7778050959491907	-2.26874445566409
4269	1.107690555222689	-2.135882049390608
4268	1.5243266905796418	-1.9918725022267754
4267	1.7676849380678732	-1.8439731877446517
