	macd	trigger
583		
582		
581		
580		
579		
578		
577		
576		
575		
574		
573		
572		
571		
570		
569		
568		
567		
566		
565		
564		
563		
562		
561		
560		
559		
558		
557		
556		
555		
554		
553		
552		
551		
550		
549		
548		
547		
546		
545		
544		
543		
542		
541		
540		
539		
538		
537		
536		
535		
534		
533		
532		
531		
530		
529		
528		
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517		
516		
515		
514		
513		
512		
511		
510		
509		
508		
507		
506		
505		
504		
503		
502		
501		
500		
499		
498		
497		
496		
495		
494		
493		
492		
491		
490		
489		
488		
487		
486		
485	0.061593608474819206	
484	0.059213394251647955	
483	0.056916621577819626	
482	0.05253636123509331	
481	0.04888040997277798	
480	0.04591732344324306	
479	0.04334418682252128	
478	0.04169122676315595	
477	0.04009521273118999	
476	0.038554162930953595	
475	0.036790594949259514	
474	0.03840664824549833	
473	0.040757906829499646	
472	0.04242255237346981	
471	0.043987408309488885	
470	0.04434054235141893	
469	0.045773103102765944	
468	0.046554751783355997	
467	0.04727617251411331	
466	0.04906613472918586	
465	0.05582723527409428	
464	0.06281058104151427	
463	0.06943694692535907	
462	0.0757198755702575	
461	0.08622671986112174	
460	0.09734297611677967	
459	0.10703672540214626	
458	0.11422203649985896	
457	0.12216451194532141	
456	0.12852726158620698	
455	0.13510674690502533	
454	0.14131362075128173	
453	0.1460053458004733	
452	0.1509859250790626	
451	0.1559504422171667	
450	0.1632241675103625	
449	0.1700800040617345	
448	0.17945219978608584	
447	0.18830209474326232	
446	0.19782078535134495	
445	0.20562823255452223	
444	0.21003442860724775	
443	0.2111886538494847	
442	0.21395130512813232	
441	0.21647855762103418	
440	0.21818855100188017	
439	0.21970932878121197	
438	0.22193865513781574	
437	0.22306192812454384	0.14641242131490803
436	0.22461542610515117	0.14995906365180925
435	0.22568573744016796	0.15337245531459853
434	0.22808418038076717	0.1567204803524165
433	0.22906184004810903	0.15994424017022787
432	0.22927993792385948	0.16301762333884887
431	0.23326644036643884	0.16611564926344974
430	0.23485201450675675	0.16913223867228466
429	0.23774778614391145	0.17212952645118448
428	0.2436992880944846	0.17524195905901901
427	0.249255037958644	0.17844695383202558
426	0.2544303200922098	0.18172387404435164
425	0.2586359737481416	0.18502792501490994
424	0.26070403440733614	0.1882667560433163
423	0.2613341882906468	0.19138277495349434
422	0.26180252038598084	0.19437561537312056
421	0.2639367192899851	0.19732228567168797
420	0.2658391565613929	0.2002156211986356
419	0.26751942025382114	0.20304919521287274
418	0.2695957148121533	0.2058428256197929
417	0.27235440890152063	0.20862729194327134
416	0.2757639924582094	0.21143050355898285
415	0.2788776305236027	0.2142395470147604
414	0.2804840165101279	0.21699180750807825
413	0.28248639974834333	0.21970658377644692
412	0.28425346970762355	0.22237611165159718
411	0.2857950215656615	0.22499338181042505
410	0.2852782153342073	0.2274762106296537
409	0.28463929788008	0.22982584335065231
408	0.2844994203755231	0.2320689115289982
407	0.2879159176836428	0.23435597988836468
406	0.2910298548824173	0.2366728867226446
405	0.2969385498604584	0.23913253380647168
404	0.3011914548906347	0.2416613295467921
403	0.3050969071078846	0.24424226611541822
402	0.3086687001928574	0.246859668355471
401	0.3119201670608547	0.24949910723465074
400	0.31548394835266613	0.2521724279328227
399	0.32244588398644325	0.25501580621697845
398	0.3295469674678646	0.25802770553121934
397	0.3389522477163389	0.2612940643014078
396	0.34775628392065094	0.26477994098907237
395	0.3544261963350692	0.2683902125052137
394	0.361234062653347	0.2721253118975036
393	0.36692409767129064	0.27593519410799744
392	0.37029630954267745	0.2797237986687857
391	0.3751979534527248	0.2835535134380784
390	0.37968444125833756	0.2874061176884867
389	0.38377231730665073	0.2912648286831268
388	0.3868520669601949	0.29508918764084135
387	0.3908453044942952	0.29891726604443103
386	0.39445653022233174	0.30273376825167564
385	0.39895480246148196	0.3065746963609608
384	0.40210306507090543	0.3103852994926559
383	0.4039604284790652	0.3141154739818145
382	0.40615401541060514	0.3177820226787048
381	0.40741095740187916	0.3213503622094681
380	0.4084015573341748	0.3248140091684547
379	0.41039573157529574	0.3282172380092973
378	0.4114588835223749	0.33152559163951456
377	0.4128922323353521	0.334757717644639
376	0.414678538492252	0.337930801659216
375	0.4155398598832303	0.34101060176565595
374	0.4199344321965839	0.3441411121148249
373	0.42328196729513223	0.3472788210602441
372	0.42594380697354595	0.3503963180772401
371	0.4273175159876903	0.353443446087937
370	0.42840895296324355	0.35641192078289113
369	0.4298630380719768	0.35931931769844666
368	0.43356184674168574	0.36225696257342954
367	0.43623602561593167	0.3651831509810825
366	0.4360295216396999	0.3679844794980912
365	0.4356079101107291	0.3706575008234436
364	0.43498115047320773	0.37319929436601057
363	0.43415885573083557	0.37560743117589995
362	0.4331503033021562	0.3778799408038795
361	0.432599562335124	0.3800403553701523
360	0.4312155512146898	0.3820602935804076
359	0.42967223334532534	0.38393910660465086
358	0.42924951166264336	0.38572666040499104
357	0.4305333731687	0.38749392652657305
356	0.4309003916810408	0.38920557672891104
355	0.43357547752847836	0.39095483789514907
354	0.43526830626905166	0.3927015095117196
353	0.43347339248980354	0.39430826275558106
352	0.43344894850333304	0.3958504360397969
351	0.4319264859263203	0.3972715972628931
350	0.42833642592286125	0.3984951314934289
349	0.42149748847552004	0.39940095864128455
348	0.4128366559400565	0.39992996629618244
347	0.4033985562842677	0.40006651458725767
346	0.390667480941838	0.39969655800485293
345	0.381509236612521	0.3989807885925282
