	macd	trigger
1806		
1805		
1804		
1803		
1802		
1801		
1800		
1799		
1798		
1797		
1796		
1795		
1794		
1793		
1792		
1791		
1790		
1789		
1788		
1787		
1786		
1785		
1784		
1783		
1782		
1781		
1780		
1779		
1778		
1777		
1776		
1775		
1774		
1773		
1772		
1771		
1770		
1769		
1768		
1767		
1766		
1765		
1764		
1763		
1762		
1761		
1760		
1759		
1758		
1757		
1756		
1755		
1754		
1753		
1752		
1751		
1750		
1749		
1748		
1747		
1746		
1745		
1744		
1743		
1742		
1741		
1740		
1739		
1738		
1737		
1736		
1735		
1734		
1733		
1732		
1731		
1730		
1729		
1728		
1727		
1726		
1725		
1724		
1723		
1722		
1721		
1720		
1719		
1718		
1717		
1716		
1715		
1714		
1713		
1712		
1711		
1710		
1709		
1708	-0.06381785348798275	
1707	-0.055373858014867494	
1706	-0.05000268093100857	
1705	-0.04486229252627538	
1704	-0.03994389250533459	
1703	-0.036326968119269054	
1702	-0.035590417188124945	
1701	-0.03377680995125587	
1700	-0.02929018067727185	
1699	-0.01950323585683833	
1698	-0.020089100979973296	
1697	-0.015664194815549592	
1696	-0.011993529375928347	
1695	-0.0034917872578077436	
1694	0.0023860188148248085	
1693	0.01077675387365673	
1692	0.01876896258390559	
1691	0.028059411979128868	
1690	0.039710712061690856	
1689	0.04741902037090995	
1688	0.059258891398251023	
1687	0.0699513562387466	
1686	0.08181118140552002	
1685	0.09307791269740306	
1684	0.10434317331376519	
1683	0.11503248378677	
1682	0.1251675746683958	
1681	0.13476939257122922	
1680	0.1427102228773265	
1679	0.15136131212268822	
1678	0.16356895991631148	
1677	0.17512949517823273	
1676	0.1837537132475262	
1675	0.1918866829833803	
1674	0.19432228856492628	
1673	0.1953837938735532	
1672	0.19921037998335578	
1671	0.20275967558330166	
1670	0.2031193625218961	
1669	0.21038746494202343	
1668	0.2224946585458838	
1667	0.24215962434971772	
1666	0.2690390959204052	
1665	0.29219011861300004	
1664	0.3200355941054269	
1663	0.34644166148830635	
1662	0.3767923513836777	
1661	0.3972557540170243	
1660	0.416580068014639	0.18508998108179686
1659	0.44373296091687564	0.1968198902443132
1658	0.4712051976815843	0.20918785088412456
1657	0.49419736209207343	0.22195986195327566
1656	0.5200696560829812	0.235244577358875
1655	0.5468881483354906	0.2490585308731498
1654	0.5787941210554521	0.26360011961260355
1653	0.607147593217455	0.27867717040864187
1652	0.6356994072160163	0.2942727376905428
1651	0.6626237633957643	0.31029162216368333
1650	0.6819575184474047	0.32638590269631157
1649	0.7030774848040977	0.3426314090482579
1648	0.7234796063523135	0.3589921879215961
1647	0.74197780014822	0.3753834333790025
1646	0.756227253301823	0.39162482175415386
1645	0.7682293902988917	0.40763052254211235
1644	0.7811134827576538	0.42345159328307497
1643	0.7954424655215675	0.4391600515411942
1642	0.8105377280474926	0.4547955156366632
1641	0.8208782391646068	0.47016370970682847
1640	0.8291098680302085	0.4851907687614879
1639	0.8328820053482104	0.4997081952302513
1638	0.8397232923226952	0.5138691717808775
1637	0.8452130920478567	0.527635525234967
1636	0.8494094754359196	0.5409731803589232
1635	0.8493041855349048	0.553725123403364
1634	0.8506107478335281	0.5659774608601094
1633	0.8544941655451694	0.5778600115341251
1632	0.8571498618733102	0.5893399473207436
1631	0.8567858048718691	0.600312327858978
1630	0.8541530860024338	0.6107077135070449
1629	0.8561355585521326	0.6207411451643513
1628	0.8600585174486639	0.6305085026644619
1627	0.8633634534959995	0.639996946831526
1626	0.8598952735088474	0.6489437185725827
1625	0.8573826429587186	0.657411803379926
1624	0.8588804754305386	0.6655851844103284
1623	0.8580116341943551	0.673381181223647
1622	0.8555028424958095	0.6807501197363693
1621	0.8545327937326377	0.6877728993073785
1620	0.857518589174532	0.6946243476792572
1619	0.8599296543266064	0.7012889223030272
1618	0.8661467685404745	0.7079281464868631
1617	0.8697693358371126	0.7144390023704257
1616	0.8715352167328092	0.7207525650131307
1615	0.8727743253463132	0.7268562479961498
1614	0.8828724019069654	0.7331144586106626
1613	0.8908096268637706	0.7394343505461354
1612	0.901679756539643	0.7459310074073343
1611	0.9153464309990795	0.7527091652918636
1610	0.9222888832640663	0.7594885176443582
1609	0.9340799883737319	0.7664629143925265
1608	0.9479898004950797	0.773709060987688
1607	0.9654848543875048	0.7813589502172587
1606	0.980120042964451	0.7892821405524868
1605	0.9998669276658134	0.7976712280454983
1604	1.01191871345668	0.8062009263390303
1603	1.0291909662604724	0.8150733923925031
1602	1.0467223889682558	0.8242851086787345
1601	1.056623606565367	0.8335191634380401
1600	1.0608074079695555	0.8425477314055386
1599	1.0674073485628597	0.8514752980791374
1598	1.0668521524786527	0.8600222083790884
1597	1.0720838012605611	0.8684336223658652
1596	1.0765264071260532	0.8766839071363752
1595	1.0960057885967132	0.8853756434060303
1594	1.1329968262250176	0.8951848177650678
1593	1.1677233882562135	0.905976765737188
1592	1.1939435567422905	0.9173752820681992
1591	1.2183573142976414	0.9292846059535131
1590	1.2378674754534913	0.9414903784842137
1589	1.2558534328601567	0.9539205732949083
1588	1.2755448125771096	0.9666337474501233
1587	1.2905128986434988	0.9794320563078733
1586	1.3057221630364921	0.9923217687520534
1585	1.3148061139454512	1.0050574691480416
1584	1.3132729169893125	1.0172262876528693
1583	1.317486707703658	1.0290778787504467
1582	1.3240083035199817	1.0407161175207746
1581	1.3295509220233157	1.0521110223290235
1580	1.3230223045144598	1.0627963036502734
1579	1.3256556021862522	1.073161652911597
1578	1.3243018393969805	1.0830627292625483
1577	1.3175491376318789	1.0923053087536063
1576	1.307237616138977	1.1007754395613423
1575	1.2951268331080215	1.1084330347503846
1574	1.2972476058989386	1.115871098166859
1573	1.2986024756109416	1.1230682437794441
1572	1.297629946256393	1.129942440593389
1571	1.2944356895533602	1.1364190815852042
1570	1.281138354475317	1.142116258094009
1569	1.267784252954577	1.1470626923392915
1568	1.251187218378604	1.1511605553067965
1567	1.2426904350604673	1.1547622476334027
1566	1.2291416129833834	1.1576886760104004
1565	1.2155740295294848	1.1599658600247393
1564	1.1891963394833382	1.1611156316417808
1563	1.169805515785015	1.1614574048024349
1562	1.1346831851538326	1.1604044950544832
1561	1.1037747505242805	1.1581777462116987
1560	1.0801091580365068	1.1551083203933652
1559	1.0697803602661224	1.151753817548263
1558	1.0625738693300875	1.1482482226185673
1557	1.0519392079530334	1.1444627436902401
1556	1.0428479938847772	1.140469078807823
1555	1.0336309564142496	1.136270487311997
1554	1.0259031150269422	1.1319335608487309
1553	1.0083660602055886	1.127078317361633
1552	0.987894293709914	1.1216098843666444
1551	0.9774777534007413	1.1159474604804431
1550	0.9702417542615152	1.1102236209919634
1549	0.9708659877119885	1.104749528006344
1548	0.9709592409460654	1.0994944680717984
1547	0.9737603987207706	1.0945561523557887
1546	0.9791454922073441	1.0900235703942869
1545	0.9773458707183238	1.0855985772680792
1544	0.9558196968952828	1.080502282673722
1543	0.9476491703469065	1.0752855443163145
1542	0.9248764920881385	1.069379740336905
1541	0.9171473414504305	1.063402637198264
1540	0.9109047309235692	1.0574153928143804
1539	0.9125255675114659	1.0517271091548919
1538	0.9152103817354842	1.0463677821964128
1537	0.9124659984985541	1.041111332424329
1536	0.9109848601844845	1.0360032922926132
1535	0.9107105089508849	1.0310851863818593
1534	0.9051410466275485	1.026141696836578
1533	0.9058044603555189	1.0214184552496406
1532	0.9091929550756461	1.0170137509803518
1531	0.9055048779260986	1.0126373178436123
1530	0.9015151630644525	1.0082762006921369
1529	0.884333194919364	1.0034120626508
1528	0.8658612190078827	0.9980140435940785
1527	0.8526226295857953	0.9923084911468466
1526	0.8411586012955894	0.9863771207890193
1525	0.8297801601280881	0.9802321579277706
1524	0.8201039188152492	0.9739487821968406
1523	0.8039832275378487	0.9672795534729626
1522	0.7849491065923431	0.960125307058239
1521	0.7696050674509607	0.9526498765009263
1520	0.7513290815549638	0.944750833095867
1519	0.7205685733629537	0.9359549744892249
1518	0.6989151068095154	0.9266548261818538
1517	0.6626916088078687	0.9162985480185812
1516	0.6316532360037641	0.9051310350448633
1515	0.6340352301423948	0.8944952960201912
1514	0.6295117744837384	0.8840995302914992
