	macd	trigger
2863		
2862		
2861		
2860		
2859		
2858		
2857		
2856		
2855		
2854		
2853		
2852		
2851		
2850		
2849		
2848		
2847		
2846		
2845		
2844		
2843		
2842		
2841		
2840		
2839		
2838		
2837		
2836		
2835		
2834		
2833		
2832		
2831		
2830		
2829		
2828		
2827		
2826		
2825		
2824		
2823		
2822		
2821		
2820		
2819		
2818		
2817		
2816		
2815		
2814		
2813		
2812		
2811		
2810		
2809		
2808		
2807		
2806		
2805		
2804		
2803		
2802		
2801		
2800		
2799		
2798		
2797		
2796		
2795		
2794		
2793		
2792		
2791		
2790		
2789		
2788		
2787		
2786		
2785		
2784		
2783		
2782		
2781		
2780		
2779		
2778		
2777		
2776		
2775		
2774		
2773		
2772		
2771		
2770		
2769		
2768		
2767		
2766		
2765	-0.5916658462066149	
2764	-0.5975074336204003	
2763	-0.6054600647770698	
2762	-0.6100173603502306	
2761	-0.6140446539466371	
2760	-0.6175657081344212	
2759	-0.6206033092266576	
2758	-0.6231793118946243	
2757	-0.6253146813433599	
2756	-0.6270295332070486	
2755	-0.6283431713100658	
2754	-0.6403250068982569	
2753	-0.6514160582468254	
2752	-0.6627640096951577	
2751	-0.6860437122296101	
2750	-0.7039763557457359	
2749	-0.7176344022585006	
2748	-0.7302880126199884	
2747	-0.7433831858508597	
2746	-0.7543624485933105	
2745	-0.7641637165940782	
2744	-0.7745338041392795	
2743	-0.7840273930731865	
2742	-0.7926809529580146	
2741	-0.7976831498059411	
2740	-0.8063263639901246	
2739	-0.811300782700755	
2738	-0.8136276989245257	
2737	-0.8154335869608555	
2736	-0.8167417636681975	
2735	-0.8221843103502477	
2734	-0.8286898026376823	
2733	-0.828690119108483	
2732	-0.8340644401453572	
2731	-0.83296200764042	
2730	-0.832650655772059	
2729	-0.8301829844599311	
2728	-0.8274074002177665	
2727	-0.8234623988455585	
2726	-0.8192806879190337	
2725	-0.8148751616802521	
2724	-0.8114334986596008	
2723	-0.8080320971753885	
2722	-0.8043764376133788	
2721	-0.7992989635662751	
2720	-0.7946397392117035	
2719	-0.7891980842335196	
2718	-0.7847912824401062	
2717	-0.7787022697372583	-0.7789765275099833
2716	-0.7710088444116066	-0.7786151792180664
2715	-0.7632757073000533	-0.7779237501226479
2714	-0.7555084390507716	-0.7769192622376117
2713	-0.7387488502425166	-0.7752182679386832
2712	-0.7223800053172713	-0.7728761522282904
2711	-0.7093882073165156	-0.7700762858738283
2710	-0.6966293499060363	-0.7668529666254572
2709	-0.6840990637348563	-0.763238082376478
2708	-0.6675817020749832	-0.7590781686033732
2707	-0.6496716918574057	-0.7543405304545884
2706	-0.6292328396071403	-0.7489450348213518
2705	-0.6142380078001732	-0.7431581835315745
2704	-0.5978006969323282	-0.7369370875795154
2703	-0.5787818487814231	-0.7301924313122687
2702	-0.5603357529687853	-0.7229735194947418
2701	-0.5454797405653027	-0.7154547249802534
2700	-0.5310232057254813	-0.7076665370490247
2699	-0.5199964236068322	-0.6997653908408781
2698	-0.5149922143094292	-0.6920085920263078
2697	-0.5126968604542679	-0.6845018172160903
2696	-0.5065829790687033	-0.6770730316200857
2695	-0.5017112201553431	-0.6697695485651778
2694	-0.496499703852157	-0.6625707023532639
2693	-0.49770076179239364	-0.6557367793270689
2692	-0.4955288618971121	-0.6491109058208697
2691	-0.4944299611038385	-0.6427272921432494
2690	-0.49312873002058577	-0.6365660804479929
2689	-0.49163498730249877	-0.6306088297968357
2688	-0.49488058967711357	-0.6250403685239079
2687	-0.49772572462739717	-0.6198265296131268
2686	-0.5008035885958959	-0.6149607062419905
2685	-0.505953641090267	-0.610511756442768
2684	-0.5044348726766934	-0.6061893034073644
2683	-0.5058180942220689	-0.6021056056752192
2682	-0.5074984786096897	-0.5982620760766597
2681	-0.5057467828004691	-0.5945088238444926
2680	-0.5053654896510773	-0.5908972561515872
2679	-0.5031923306955415	-0.5873485722749193
2678	-0.5002397638712086	-0.5838283941924618
2677	-0.49685483191917434	-0.580317878714277
2676	-0.49430220311118944	-0.5768500052352136
2675	-0.49223486983813647	-0.573442349087397
2674	-0.48907534160459143	-0.5700482722812804
2673	-0.48549737244110514	-0.5666502438513487
2672	-0.48183338560277456	-0.563244841800811
2671	-0.47808911416649114	-0.5598290257765787
2670	-0.47427007283868505	-0.5564001107205904
2669	-0.46913142807738417	-0.5529056839761779
2668	-0.4668006856224691	-0.5494607008623913
2667	-0.4621457384975054	-0.5459700776758767
2666	-0.45746539096690153	-0.5424345853829139
2665	-0.45527030686341874	-0.5389551826697703
2664	-0.45043260548198205	-0.5354240388387504
2663	-0.4430732313640062	-0.5317426693356904
2662	-0.43205292509436255	-0.5277713188974159
2661	-0.4213117976965206	-0.523532913977168
2660	-0.4083274450177363	-0.5189490473036741
2659	-0.39383611648136796	-0.5139738268645168
2658	-0.3816899194087471	-0.5087163389478241
2657	-0.36045089940024333	-0.5028267928300935
2656	-0.33684072030251766	-0.49623667341197686
2655	-0.31791462430182715	-0.48916022797638353
2654	-0.3064372088418974	-0.48191252725901246
2653	-0.2920409751327089	-0.4743846623372852
2652	-0.27656978157738177	-0.466545249496532
2651	-0.26545184530105814	-0.4585792094277882
2650	-0.2496438876885545	-0.4503058148851935
2649	-0.23948763478727209	-0.4419610524202826
2648	-0.2290368490147685	-0.4335360202594071
2647	-0.21324336594446613	-0.4248225034232024
2646	-0.20756265856553568	-0.4162318558947161
2645	-0.20209674022409096	-0.4077675155690508
2644	-0.19988304169524085	-0.3995528166803922
2643	-0.19449434589551018	-0.39145221948742015
2642	-0.18925045833936682	-0.3834667743397544
2641	-0.18414748451009366	-0.37559734313688553
2640	-0.1791816353379252	-0.36784461084675973
2639	-0.1775276046883567	-0.36033451838527064
2638	-0.17585727321575195	-0.3530566536154237
2637	-0.1741722303684936	-0.3460010951648361
2636	-0.17247400139024993	-0.3391583890353824
2635	-0.16828075957597122	-0.3324216238859082
2634	-0.16508319193560972	-0.3258257671368314
2633	-0.16194586843684355	-0.3193675282818481
2632	-0.15886765867354935	-0.3130437093118583
2631	-0.15584745369361297	-0.306851201440202
2630	-0.15288416557050866	-0.30078698197120896
2629	-0.1496576210574867	-0.29483554499193315
2628	-0.14522366962043431	-0.28894483269206733
2627	-0.13133633407809153	-0.28274024488589905
2626	-0.10842935735249792	-0.2758791714329688
2625	-0.08586908418074923	-0.2684012473585843
2624	-0.062052873964600685	-0.2602814578968161
2623	-0.04843328330299368	-0.25194637051297775
2622	-0.02977832176155637	-0.2432063784708317
2621	-0.0170761410349618	-0.23431161746881488
2620	-0.008783856455846006	-0.2254416101791749
2619	0.006179715844885969	-0.21633298422461833
2618	0.022445149579134238	-0.20694394428561277
2617	0.037318338963305386	-0.197340274279863
2616	0.04950875758001416	-0.18763588455286298
2615	0.061119020810458835	-0.17785752122790138
2614	0.06607712966557777	-0.16826953526362842
2613	0.07686957752394452	-0.158635073062807
2612	0.08790125670583304	-0.1489465338561225
2611	0.09376438466033665	-0.13940911909626913
2610	0.09931224797042226	-0.13002922262956848
2609	0.10327196933152027	-0.12086299864482014
2608	0.10571341723070038	-0.11196164055966865
2607	0.10541908418429013	-0.10342215086765692
