	macd	trigger
1994		
1993		
1992		
1991		
1990		
1989		
1988		
1987		
1986		
1985		
1984		
1983		
1982		
1981		
1980		
1979		
1978		
1977		
1976		
1975		
1974		
1973		
1972		
1971		
1970		
1969		
1968		
1967		
1966		
1965		
1964		
1963		
1962		
1961		
1960		
1959		
1958		
1957		
1956		
1955		
1954		
1953		
1952		
1951		
1950		
1949		
1948		
1947		
1946		
1945		
1944		
1943		
1942		
1941		
1940		
1939		
1938		
1937		
1936		
1935		
1934		
1933		
1932		
1931		
1930		
1929		
1928		
1927		
1926		
1925		
1924		
1923		
1922		
1921		
1920		
1919		
1918		
1917		
1916		
1915		
1914		
1913		
1912		
1911		
1910		
1909		
1908		
1907		
1906		
1905		
1904		
1903		
1902		
1901		
1900		
1899		
1898		
1897		
1896	-0.7762937880115199	
1895	-0.7803308654502832	
1894	-0.7886292851446282	
1893	-0.7912579212246449	
1892	-0.7933555407472959	
1891	-0.7965787556126962	
1890	-0.80033187539774	
1889	-0.8045912766708483	
1888	-0.8082375732928675	
1887	-0.8129476768362665	
1886	-0.8170202078933553	
1885	-0.8204836780047859	
1884	-0.8233654631301466	
1883	-0.8218048793634107	
1882	-0.8198986459338009	
1881	-0.8159901463572261	
1880	-0.8118490947579158	
1879	-0.8080489968005633	
1878	-0.8034533284538128	
1877	-0.80035278901296	
1876	-0.798400696331738	
1875	-0.7964163241282716	
1874	-0.7935525002885759	
1873	-0.7904184495113649	
1872	-0.7845234106707251	
1871	-0.7799865907255512	
1870	-0.7780078105058905	
1869	-0.7740070746691892	
1868	-0.7611891372817237	
1867	-0.7514531301928704	
1866	-0.7440904862797524	
1865	-0.7361128681585694	
1864	-0.7240810173664123	
1863	-0.7136853947045516	
1862	-0.7031165168025622	
1861	-0.6938409117955295	
1860	-0.6875534199542788	
1859	-0.6829572482582584	
1858	-0.6793951192095218	
1857	-0.6756518249839161	
1856	-0.671737496154206	
1855	-0.6650175095306876	
1854	-0.6609170620901565	
1853	-0.6566691518561409	
1852	-0.6522825934007646	
1851	-0.6477658625059384	
1850	-0.643719437688766	
1849	-0.63893815144207	
1848	-0.6340512179955349	-0.7188315252514538
1847	-0.6290658418329711	-0.7147604953202281
1846	-0.6254786173860145	-0.7107361007108657
