	macd	trigger
3948		
3947		
3946		
3945		
3944		
3943		
3942		
3941		
3940		
3939		
3938		
3937		
3936		
3935		
3934		
3933		
3932		
3931		
3930		
3929		
3928		
3927		
3926		
3925		
3924		
3923		
3922		
3921		
3920		
3919		
3918		
3917		
3916		
3915		
3914		
3913		
3912		
3911		
3910		
3909		
3908		
3907		
3906		
3905		
3904		
3903		
3902		
3901		
3900		
3899		
3898		
3897		
3896		
3895		
3894		
3893		
3892		
3891		
3890		
3889		
3888		
3887		
3886		
3885		
3884		
3883		
3882		
3881		
3880		
3879		
3878		
3877		
3876		
3875		
3874		
3873		
3872		
3871		
3870		
3869		
3868		
3867		
3866		
3865		
3864		
3863		
3862		
3861		
3860		
3859		
3858		
3857		
3856		
3855		
3854		
3853		
3852		
3851		
3850	-0.2299655886786951	
3849	-0.250545415987375	
3848	-0.26839374330836563	
3847	-0.2874161005275653	
3846	-0.3135217226045981	
3845	-0.3463841473747564	
3844	-0.369326766944269	
3843	-0.392086193845401	
3842	-0.4097292357688431	
3841	-0.4290775089698897	
3840	-0.4500489978967437	
3839	-0.4725648373843043	
3838	-0.5054119082213049	
3837	-0.5386780388132522	
3836	-0.575673829890718	
3835	-0.6106412697013823	
3834	-0.6475746724183225	
3833	-0.6897378304568846	
3832	-0.715532713163995	
3831	-0.7397592396752088	
3830	-0.7596575940428565	
3829	-0.7810707341573035	
3828	-0.7948544634449775	
3827	-0.8053208127103062	
3826	-0.7949665093775167	
3825	-0.7824069771784963	
3824	-0.7797504660033212	
3823	-0.7917139599042216	
3822	-0.8061650458712748	
3821	-0.8195380194546082	
3820	-0.8318764641527494	
3819	-0.844954309570177	
3818	-0.863940068830491	
3817	-0.8845084955911027	
3816	-0.9065820579099118	
3815	-0.9277596480525858	
3814	-0.952734498714122	
3813	-0.9760759736276654	
3812	-1.0036947260945723	
3811	-1.0160633660012266	
3810	-1.0320409219327615	
3809	-1.0573379253373538	
3808	-1.0762276750406592	
3807	-1.0995994310268884	
3806	-1.1213405475921832	
3805	-1.138558083744904	
3804	-1.157962041376578	
3803	-1.1871600619830502	
3802	-1.2263000452334651	-0.8876728678742553
3801	-1.264809884178117	-0.9047766877648532
3800	-1.3080648154881906	-0.9229549631862722
3799	-1.357626700223534	-0.9424337244857028
3798	-1.3904874656212236	-0.9624004164717088
3797	-1.434901999656443	-0.9833445831846006
3796	-1.473560553051005	-1.004963477958345
3795	-1.509103059093448	-1.0270883330571488
3794	-1.5440567079824064	-1.0496707221706643
3793	-1.5754251622283881	-1.07253478131208
3792	-1.607571710364887	-1.0957035318420407
3791	-1.6362263259623369	-1.1190145557733917
3790	-1.6633442712174364	-1.1423983033442306
3789	-1.6889827537037299	-1.1657913489392246
3788	-1.7131970645270762	-1.1891359021669536
3787	-1.7378590588728038	-1.2124566459794774
3786	-1.7605112600953738	-1.2356727274168595
3785	-1.7824489336880127	-1.258762033778217
3784	-1.7957875245654726	-1.2813714777775076
3783	-1.7935972716875206	-1.3028747744441493
3782	-1.7826675360008366	-1.3229610018482467
3781	-1.7792607663126887	-1.3420132458546163
3780	-1.77204721173689	-1.359923335609178
3779	-1.7624237051946103	-1.376646027694942
3778	-1.7474415950763635	-1.3920156478774843
3777	-1.7291858754098612	-1.4059603224823625
3776	-1.6851125023303553	-1.4174808085815074
3775	-1.6470984356534757	-1.426937602746366
