	macd	trigger
3416		
3415		
3414		
3413		
3412		
3411		
3410		
3409		
3408		
3407		
3406		
3405		
3404		
3403		
3402		
3401		
3400		
3399		
3398		
3397		
3396		
3395		
3394		
3393		
3392		
3391		
3390		
3389		
3388		
3387		
3386		
3385		
3384		
3383		
3382		
3381		
3380		
3379		
3378		
3377		
3376		
3375		
3374		
3373		
3372		
3371		
3370		
3369		
3368		
3367		
3366		
3365		
3364		
3363		
3362		
3361		
3360		
3359		
3358		
3357		
3356		
3355		
3354		
3353		
3352		
3351		
3350		
3349		
3348		
3347		
3346		
3345		
3344		
3343		
3342		
3341		
3340		
3339		
3338		
3337		
3336		
3335		
3334		
3333		
3332		
3331		
3330		
3329		
3328		
3327		
3326		
3325		
3324		
3323		
3322		
3321		
3320		
3319		
3318	-6.164594589708358	
3317	-6.147202603881013	
3316	-6.124787927695607	
3315	-6.070546166124487	
3314	-6.037476124833461	
3313	-6.0083256436032	
3312	-5.977483382974725	
3311	-5.953248499159827	
3310	-5.935341757631505	
3309	-5.920745827823822	
3308	-5.925860996579857	
3307	-5.911133646409823	
3306	-5.905162001018908	
3305	-5.888130316014511	
3304	-5.866113654944726	
3303	-5.839908570494302	
3302	-5.811956360417838	
3301	-5.790200754350451	
3300	-5.788989294758807	
3299	-5.784888639846585	
3298	-5.775778803600659	
3297	-5.7607621134266225	
3296	-5.749183991850003	
3295	-5.713634395810118	
3294	-5.6472295104438786	
3293	-5.6152659447862305	
3292	-5.567640652261389	
3291	-5.525122127618232	
3290	-5.496114872317477	
3289	-5.4771601125265335	
3288	-5.456300225345302	
3287	-5.438829201603383	
3286	-5.414775959159584	
3285	-5.405888124309541	
3284	-5.388859935362845	
3283	-5.39605223979288	
3282	-5.368128675337708	
3281	-5.341683259711701	
3280	-5.313742363454061	
3279	-5.299030073913755	
3278	-5.258836804280669	
3277	-5.20019037950054	
3276	-5.129823949529808	
3275	-5.065977235877597	
3274	-5.02020113041722	
3273	-4.962145841266171	
3272	-4.913115850179437	
3271	-4.869768629923641	
3270	-4.799196995036617	-5.399830245424553
3269	-4.711567737986208	-5.368616343166834
3268	-4.598740636607637	-5.333914075304158
3267	-4.441597142190254	-5.293927052770702
3266	-4.214089696922279	-5.245806084458807
3265	-3.964922395340217	-5.189029467237961
3264	-3.8150124042417843	-5.128434276285004
3263	-3.7120153734461923	-5.066272795303972
3262	-3.497677058684822	-4.997752860615014
3261	-3.2925523404987374	-4.923596938059931
3260	-3.1270462532458367	-4.8458007479827785
3259	-2.9403617624099496	-4.763625242572859
3258	-2.766740466304924	-4.677841482819436
3257	-2.593586479393011	-4.588638300594474
3256	-2.451227972322414	-4.497486732832232
3255	-2.3383600237405773	-4.40572380971489
3254	-2.236123627174024	-4.313817614187857
3253	-2.1307263596602155	-4.221629874098831
3252	-2.0290481571357475	-4.129319444903239
3251	-1.9461939368497951	-4.037671589566158
3250	-1.887460299240061	-3.9476543229358354
3249	-1.8365434903157336	-3.859507447044335
3248	-1.7809003956303826	-3.7729374506978597
3247	-1.7152633141618452	-3.687447216158264
3246	-1.6756179403136144	-3.60405611183569
3245	-1.6246657532083049	-3.52219255386647
3244	-1.5138557492014542	-3.439309388658362
