	macd	trigger
4533		
4532		
4531		
4530		
4529		
4528		
4527		
4526		
4525		
4524		
4523		
4522		
4521		
4520		
4519		
4518		
4517		
4516		
4515		
4514		
4513		
4512		
4511		
4510		
4509		
4508		
4507		
4506		
4505		
4504		
4503		
4502		
4501		
4500		
4499		
4498		
4497		
4496		
4495		
4494		
4493		
4492		
4491		
4490		
4489		
4488		
4487		
4486		
4485		
4484		
4483		
4482		
4481		
4480		
4479		
4478		
4477		
4476		
4475		
4474		
4473		
4472		
4471		
4470		
4469		
4468		
4467		
4466		
4465		
4464		
4463		
4462		
4461		
4460		
4459		
4458		
4457		
4456		
4455		
4454		
4453		
4452		
4451		
4450		
4449		
4448		
4447		
4446		
4445		
4444		
4443		
4442		
4441		
4440		
4439		
4438		
4437		
4436		
4435	-2.3298361140019637	
4434	-2.3871459638465495	
4433	-2.4202582760506886	
4432	-2.453252525755744	
4431	-2.4671417893772087	
4430	-2.485905684285399	
4429	-2.509323412839663	
4428	-2.5440188365655416	
4427	-2.562062494019969	
4426	-2.577943773572784	
4425	-2.591758629347865	
4424	-2.6105059830192374	
4423	-2.6201148006299775	
4422	-2.625159217248992	
4421	-2.6244538439524376	
4420	-2.6224442454349486	
4419	-2.6205912024000355	
4418	-2.6188919566807556	
4417	-2.6131297523438093	
4416	-2.569702814544698	
4415	-2.535459921801035	
4414	-2.5015229457327166	
4413	-2.4678936649127365	
4412	-2.4288927971481655	
4411	-2.396162311013015	
4410	-2.3694382819343502	
4409	-2.3427498649419647	
4408	-2.3089480256600012	
4407	-2.2769734922244993	
4406	-2.2453220062345025	
4405	-2.2399229206505993	
4404	-2.214873301711293	
4403	-2.204315663632485	
4402	-2.2003694247456167	
4401	-2.1954879538221803	
4400	-2.18611084677633	
4399	-2.1760556949275127	
4398	-2.1616815031966468	
4397	-2.1454093814237467	
4396	-2.1331887238909957	
4395	-2.1248465197488144	
4394	-2.115808550517869	
4393	-2.0987536096973685	
4392	-2.066676768267044	
4391	-2.039450441939522	
4390	-2.0153937415468732	
4389	-2.000300867690484	
4388	-1.9848833073477152	
4387	-1.969163397361072	-2.243078696343923
4386	-1.9531625996075377	-2.229930496916135
4385	-1.9354118605758401	-2.216655023327665
4384	-1.910030514836734	-2.202914388497897
4383	-1.8684059990411583	-2.1880076365486985
4382	-1.8367108786125215	-2.1724360107049874
4381	-1.8025345319351942	-2.156123075921659
4380	-1.7690032992698974	-2.139133795006606
4379	-1.73910837497138	-2.121659747988084
4378	-1.724734782342054	-2.104398237294539
4377	-1.7101399899056418	-2.087325638223099
4376	-1.7179601417804946	-2.0713960825768805
4375	-1.7245489981253854	-2.0564959504724283
4374	-1.7375177643046271	-2.0428441328110876
4373	-1.7701996766236903	-2.0312169925776744
4372	-1.786851339765775	-2.020831448034561
4371	-1.7987992755415974	-2.011425967512093
4370	-1.7971348755223602	-2.0023768673195232
4369	-1.806795857064074	-1.9941426624734688
4368	-1.8029168415625776	-1.9861149809192453
4367	-1.8059159220049565	-1.978571058698299
4366	-1.8154863132443921	-1.9717616526760293
4365	-1.8236949786566612	-1.9655949597360762
4364	-1.8382445992861136	-1.9603039313899178
4363	-1.8511938597325468	-1.9557812765715046
4362	-1.877930595667479	-1.9525615308041515
4361	-1.894822983834601	-1.950178686693424
4360	-1.9099791483647692	-1.9485230700739853
4359	-1.938837874008044	-1.948124969574512
4358	-1.950010514801562	-1.9482023269878692
4357	-1.9750758453211859	-1.9493028617831418
4356	-2.0056973075084983	-1.9516083451602748
4355	-2.0261876414228794	-1.954652180389412
4354	-2.0508860871371724	-1.9585735488116587
4353	-2.067231048185448	-1.9629943821101214
4352	-2.0740419157763625	-1.9675058232217155
4351	-2.0872227029104664	-1.9723626164070163
4350	-2.0987363892746203	-1.977482544211477
4349	-2.1148554780921387	-1.983040876460413
4348	-2.13381522053038	-1.989133860064691
4347	-2.1477141694038835	-1.995534639978952
4346	-2.1521092798846126	-2.001847222393909
4345	-2.1629811869693754	-2.0083364768568477
4344	-2.1800356095688898	-2.0152439168781977
4343	-2.1951979368977845	-2.0224761152020823
4342	-2.2007499139524356	-2.029633819134505
4341	-2.2127238952496953	-2.0369780346470283
4340	-2.2230194361160756	-2.0444339482671663
4339	-2.2317073629060644	-2.0519327807098096
4338	-2.2701315407945515	-2.0606627157694826
4337	-2.3056446505440817	-2.0704564509855365
4336	-2.338360634698091	-2.081158406011746
4335	-2.384059414859294	-2.0932495356568146
4334	-2.4280253746844096	-2.1066036615342054
4333	-2.4985580264985003	-2.1222280928221013
4332	-2.580301982097737	-2.1404764287445315
4331	-2.6884254293260312	-2.1622915723212817
4330	-2.7902530690289353	-2.187277293945393
4329	-2.8860185840658517	-2.215063326335825
4328	-2.975948118994552	-2.245303910246124
4327	-3.068134578850561	-2.277989202142984
4326	-3.146675018998266	-2.312478501050574
4325	-3.2357939953400034	-2.349118903893529
4324	-3.3270857989328846	-2.3879099188423627
4323	-3.420408753171259	-2.4288455496392207
4322	-3.5235226542479126	-2.472227653742723
4321	-3.6201367004725142	-2.517700500045699
4320	-3.724724469805267	-2.565496083104907
4319	-3.7910067516668846	-2.6140051605602466
4318	-3.8349171365369585	-2.6623144767332505
4317	-3.8780241060773193	-2.710400993082004
4316	-3.9203431927649888	-2.7582431839577612
4315	-3.9729835807601006	-2.8062594847576925
4314	-4.029112903327999	-2.8545813840863534
4313	-4.0869606145105735	-2.903265097060709
4312	-4.15594377997644	-2.9527364609760283
4311	-4.219649445210862	-3.0027561283046533
4310	-4.294169306677418	-3.053729549728322
4309	-4.363087909549677	-3.105398092366586
4308	-4.426624000657078	-3.157522155050417
4307	-4.4849891551785035	-3.2098801012629896
4306	-4.546344011476258	-3.2625809769088963
4305	-4.594605306148907	-3.315095370442237
4304	-4.646264838400086	-3.3675651050815727
4303	-4.6859776848956045	-3.4195215891738737
4302	-4.68245242885115	-3.4692820408255014
4301	-4.698992211609159	-3.517724606346444
4300	-4.6964054538024484	-3.5641486951294565
4299	-4.683534699825572	-3.6082298400648574
4298	-4.672023804498309	-3.6501149121906558
4297	-4.647447597680696	-3.68937699687202
4296	-4.637561728094894	-3.7266986190605387
4295	-4.601763767770116	-3.7611371630179664
4294	-4.5668154995819705	-3.792840531254927
4293	-4.55188286090609	-3.822704768498438
4292	-4.536877163848793	-3.8507999923038483
4291	-4.528209281158098	-3.8774456713303587
4290	-4.517595666465311	-3.902622771913481
4289	-4.521138969769183	-3.9269462346524726
4288	-4.530191082619169	-3.9506665388542537
4287	-4.536489529384475	-3.9736993649132013
4286	-4.5241326713946535	-3.995338580123287
4285	-4.509998610806363	-4.015569468682067
4284	-4.500588263850027	-4.034633399876121
4283	-4.489278320881894	-4.0525018634453
4282	-4.501827112329352	-4.070159728695633
4281	-4.519499000385522	-4.087816680546797
4280	-4.534028589879689	-4.105349344518942
4279	-4.5455510504769165	-4.122644530203
4278	-4.567043645146086	-4.140103344879485
4277	-4.5851946621369635	-4.157588118288907
4276	-4.595326563921674	-4.174782877545188
4275	-4.607439719146107	-4.191776918619931
4274	-4.627868245768859	-4.2089047875069445
4273	-4.628893135154115	-4.225399204973564
4272	-4.6435560771091176	-4.241820744374861
4271	-4.659972580210095	-4.258241173758025
4270	-4.652313013830671	-4.273715178451448
4269	-4.65385692309443	-4.28864142520983
4268	-4.6561389438082585	-4.303070486223941
4267	-4.657514829056545	-4.3169863815490945
4266	-4.6564149555960626	-4.330312134460165
4265	-4.651341763787158	-4.342915005767188
4264	-4.613481824210837	-4.353536379522378
4263	-4.58623270455368	-4.362670740473714
4262	-4.556235268458408	-4.3702687107941385
4261	-4.5139586113994525	-4.3759087471054
4260	-4.464817739816709	-4.379398428804155
4259	-4.415599013855086	-4.38081925447459
4258	-4.364718622463563	-4.3801873465597705
4257	-4.283243857589802	-4.376382687504058
4256	-4.179057435975189	-4.368638666318727
4255	-4.090355263979376	-4.357717765586946
4254	-4.014866686898216	-4.344263361663637
4253	-3.9407323167234694	-4.328428139548843
4252	-3.8679288713951863	-4.310357859713952
4251	-3.799662699723612	-4.290318361422012
4250	-3.737377949261834	-4.268621694195701
4249	-3.6759898844213623	-4.245368123150021
4248	-3.615489451037284	-4.2206536136437505
4247	-3.5639456053029264	-4.19488695072288
4246	-3.520978381531094	-4.168445944661663
4245	-3.470059866353978	-4.1410450936249035
4244	-3.4277403569945832	-4.1130594434225225
4243	-3.395267828548171	-4.08489826586862
4242	-3.362511511366556	-4.056557299845454
4241	-3.3359690852273474	-4.028287367350819
4240	-3.316989295576761	-4.000382351459725
4239	-3.297151667214017	-3.9727942537975225
4238	-3.268417569161329	-3.9451616075468685
4237	-3.2473837941398713	-3.91778822436566
4236	-3.209441823880752	-3.8900006223888153
4235	-3.1893609627928186	-3.8625157081664168
4234	-3.158828095879663	-3.834911576534207
4233	-3.12318954531613	-3.806992610941537
4232	-3.079458283202378	-3.778453703664026
4231	-3.024786832964594	-3.7488900292133476
4230	-2.9710341785470646	-3.7183778353628374
4229	-2.918186353567542	-3.68698982800864
4228	-2.8662295600712397	-3.6547953170820646
4227	-2.7908562528125245	-3.6209074313476517
4226	-2.7255648583821923	-3.58578806954314
4225	-2.6699308617224915	-3.5498643480148226
4224	-2.626784195717377	-3.513657619105321
4223	-2.580997436386234	-3.47707542233224
4222	-2.5278531440437675	-3.4398438931226747
4221	-2.4758159845284027	-3.4020319236764722
4220	-2.421621181639793	-3.3635776493724805
4219	-2.3718781831472313	-3.3246808713254548
4218	-2.323168372133665	-3.285399464661573
4217	-2.2754699788533514	-3.245788179641719
4216	-2.2287617008538376	-3.205898782717641
4215	-2.191129580071234	-3.1660981547808715
4214	-2.1540727900840935	-3.1264053690944866
4213	-2.1013679765924635	-3.0862024560235937
4212	-2.025645318941784	-3.044606643613942
4211	-1.9361004246559617	-3.001130452545869
4210	-1.8577385545786882	-2.9562862437777206
4209	-1.7495382517612441	-2.9089574078586007
4208	-1.6372466483806676	-2.8590809451068178
4207	-1.5211079905296572	-2.806605905786472
4206	-1.4175822177422361	-2.7521288910327333
4205	-1.3099231703018788	-2.695566319749449
4204	-1.2023989441843526	-2.637005281095911
4203	-1.0951239934764274	-2.576533935905913
4202	-1.003527758691142	-2.514842114106867
4201	-0.9123370841368299	-2.4519935870262315
4200	-0.8248269886790638	-2.3881780664870207
4199	-0.7376288738508379	-2.323445710196145
4198	-0.6556436702575184	-2.25803691569778
4197	-0.5803000324744474	-2.1922386800422813
4196	-0.5145817538586854	-2.126443761843793
4195	-0.4532140103170832	-2.0608226441625397
4194	-0.3976542889393855	-1.9955962829334966
4193	-0.35578594353646054	-1.9312861370080527
4192	-0.3123926569783677	-1.8677964586670595
4191	-0.26919029434734654	-1.8051025489137495
