	macd	trigger
1798		
1797		
1796		
1795		
1794		
1793		
1792		
1791		
1790		
1789		
1788		
1787		
1786		
1785		
1784		
1783		
1782		
1781		
1780		
1779		
1778		
1777		
1776		
1775		
1774		
1773		
1772		
1771		
1770		
1769		
1768		
1767		
1766		
1765		
1764		
1763		
1762		
1761		
1760		
1759		
1758		
1757		
1756		
1755		
1754		
1753		
1752		
1751		
1750		
1749		
1748		
1747		
1746		
1745		
1744		
1743		
1742		
1741		
1740		
1739		
1738		
1737		
1736		
1735		
1734		
1733		
1732		
1731		
1730		
1729		
1728		
1727		
1726		
1725		
1724		
1723		
1722		
1721		
1720		
1719		
1718		
1717		
1716		
1715		
1714		
1713		
1712		
1711		
1710		
1709		
1708		
1707		
1706		
1705		
1704		
1703		
1702		
1701		
1700	-1.9148942340229809	
1699	-1.99031864110745	
1698	-1.9963765218037821	
1697	-2.0011206675829527	
1696	-2.004612587158249	
1695	-2.050428588222019	
1694	-2.060292430992206	
1693	-2.0686343035449397	
1692	-2.0563320522777246	
1691	-2.043560536157969	
1690	-2.077196158637321	
1689	-2.069507679851611	
1688	-2.0722036426383283	
1687	-2.095927329694348	
1686	-2.0952034965056043	
1685	-2.093445986374121	
1684	-2.0907044824485865	
1683	-2.0814209171497993	
1682	-2.07151176323201	
1681	-2.0610111277865997	
1680	-2.0499517556985154	
1679	-2.038365084954407	
1678	-2.0262812993430117	
1677	-2.0137293786948476	
1676	-1.8641080010615667	
1675	-1.855972615342509	
1674	-1.8258347459952944	
1673	-1.8018940920686362	
1672	-1.7810165489282355	
1671	-1.7573250443865902	
1670	-1.7338365247227472	
1669	-1.710552832367327	
1668	-1.693259653586523	
1667	-1.6759046756937295	
1666	-1.6584990824168813	
1665	-1.646869528410221	
1664	-1.6291131131861931	
1663	-1.6011328634541115	
1662	-1.5663185312181014	
1661	-1.5235246514076266	
1660	-1.4848572633971884	
1659	-1.4178302799147104	
1658	-1.3678758454656759	
1657	-1.3195193516229722	
1656	-1.2727109983883764	
1655	-1.2244455053378118	
1654	-1.1748086795176675	
1653	-1.129815451241015	
1652	-1.0863089227647436	-1.6348456656687456
1651	-0.9311920863011096	-1.602933751519269
1650	-0.7767428352543675	-1.5656930667728015
1649	-0.688637830166428	-1.5263899602107875
1648	-0.5952490519522229	-1.484895375959241
1647	-0.508819835277734	-1.441629724422965
1646	-0.4021137081022488	-1.3957862824425171
1645	-0.2910788367153003	-1.3473046851272406
1644	-0.10385584079584476	-1.2929879280345022
1643	0.056820053292938155	-1.2342873500398832
1642	0.19808212879986797	-1.1722613303019211
1641	0.33279459491370744	-1.1073530691289153
1640	0.4581696444029859	-1.0401001029376764
1639	0.5322398239647725	-0.9728061658769597
1638	0.5905516058417959	-0.9061355271228869
1637	0.647418297841682	-0.8401094622335082
1636	0.7059133658319752	-0.7746185586703278
1635	0.8160623357560439	-0.7074471673893491
1634	0.9207742046074827	-0.6388970136999149
1633	1.0202441985399133	-0.5692460782671079
1632	1.108564955571424	-0.49900555638544863
1631	1.192296280346369	-0.42838729665512526
1630	1.3082619252125625	-0.35605918793927804
1629	1.4366258701834198	-0.2815784607175526
1628	1.6135118880176123	-0.20302623023282232
1627	1.8611920573953142	-0.11765436171086384
1626	2.078239965193333	-0.027030781117416275
1625	2.2874157192725164	0.0682896193190232
1624	2.452092559326573	0.1662735046840092
1623	2.601868416049527	0.2661975582819644
1622	2.691148278409088	0.36550508516475383
1621	2.774990287733715	0.464008191463982
1620	2.853599140045759	0.5615355412382327
1619	2.9148209691817755	0.6574279296648887
1618	2.9501323328649534	0.7507087802974918
1617	3.0024363506655334	0.8421879514027224
1616	3.1359691511917447	0.9352443435227807
1615	3.193650807006435	1.0267417941708472
1614	3.259480477064031	1.1170820313194063
1613	3.3672072446726986	1.2080124619381072
1612	3.4217142937126823	1.297364149294686
1611	3.422247741758028	1.383032574319949
1610	3.4085592258391557	1.4646054314007162
1609	3.39374774461146	1.542214645906767
1608	3.377871570967372	1.6159881294622072
1607	3.348512751199266	1.685549099077225
1606	3.331256482320512	1.7515626698263327
1605	3.3130775914177235	1.8141429357241836
1604	3.294026983378359	1.8734006927811444
1603	3.21160281798376	1.9269409495873606
1602	3.143798015296923	1.9755877035135592
1601	3.127572988611618	2.021606002075116
1600	3.1104811681969124	2.0650714591594834
1599	3.092570406659007	2.1060581394517377
1598	3.073886807026824	2.1446385811221864
1597	3.1047157311328846	2.1828852717871987
1596	3.1325492142877494	2.220693635765099
1595	3.1072052110613555	2.255966708322948
1594	3.1128764367726376	2.290042441082744
1593	3.116690822349085	2.3228967312186355
1592	3.087234250038506	2.3532585004909463
1591	3.070136129083494	2.381720582331073
1590	3.0711568252271775	2.4090798347539812
1589	3.05162227570996	2.434566253117233
1588	3.0503472967848495	2.4589802133244287
1587	3.0475616594356723	2.482305723158413
1586	3.01805398430065	2.5035286575062266
1585	2.988335186293952	2.522725965343399
1584	2.8888342019186553	2.5372175346627475
1583	2.79237006825565	2.5473134667694186
1582	2.7606033650902475	2.5557499946499798
1581	2.730443844221071	2.562657544860387
1580	2.687570818217324	2.5675951210891843
1579	2.683317554520542	2.572167973152578
1578	2.6778756613288124	2.5763438328419555
1577	2.671301760073277	2.5800939550710424
1576	2.6636504859656753	2.5833928950381058
1575	2.6549745504136837	2.5862182974319863
1574	2.645324801552036	2.5885506970423893
1573	2.6220313046062955	2.589871550104991
1572	2.6048073779396645	2.590460648945364
1571	2.593388374727681	2.59057609816266
1570	2.5747838199593076	2.589953495486302
1569	2.549327300039721	2.588352162413543
1568	2.5332720186276987	2.586181544006053
1567	2.5198273452316613	2.583567137265586
1566	2.5056938539340052	2.580499437477662
1565	2.5291885961176064	2.5784784840872925
1564	2.588602197221064	2.5788771534149975
1563	2.6375931557415697	2.581188995815511
1562	2.6446741418805146	2.5836882212164998
1561	2.6692343287396483	2.587055412650346
1560	2.7040813411732785	2.5916610155469293
1559	2.697587040207466	2.5958291948478793
1558	2.6899946521574805	2.59953409963037
