	macd	trigger
1098		
1097		
1096		
1095		
1094		
1093		
1092		
1091		
1090		
1089		
1088		
1087		
1086		
1085		
1084		
1083		
1082		
1081		
1080		
1079		
1078		
1077		
1076		
1075		
1074		
1073		
1072		
1071		
1070		
1069		
1068		
1067		
1066		
1065		
1064		
1063		
1062		
1061		
1060		
1059		
1058		
1057		
1056		
1055		
1054		
1053		
1052		
1051		
1050		
1049		
1048		
1047		
1046		
1045		
1044		
1043		
1042		
1041		
1040		
1039		
1038		
1037		
1036		
1035		
1034		
1033		
1032		
1031		
1030		
1029		
1028		
1027		
1026		
1025		
1024		
1023		
1022		
1021		
1020		
1019		
1018		
1017		
1016		
1015		
1014		
1013		
1012		
1011		
1010		
1009		
1008		
1007		
1006		
1005		
1004		
1003		
1002		
1001		
1000	0.17785843025700387	
999	0.19027532602589048	
998	0.1939084925309018	
997	0.2080883801191007	
996	0.21063607424479613	
995	0.21295462669203857	
994	0.21505401317130435	
993	0.21694380377250155	
992	0.22685804583256441	
991	0.2361876380996648	
990	0.23944463726324727	
989	0.24242586394406374	
988	0.2534518583287877	
987	0.2582773857823639	
986	0.26274466793812223	
985	0.2529195636710142	
984	0.2574077759827773	
983	0.2839780797492182	
982	0.2951153910399711	
981	0.3041747296675368	
980	0.3112458339540183	
979	0.3234856138294191	
978	0.3406599209411496	
977	0.36254328271580505	
976	0.39461144422756433	
975	0.413580985899884	
974	0.42002760713421594	
973	0.42882613916025036	
972	0.43699942419304705	
971	0.44744800329544887	
970	0.45718623365962685	
969	0.4431499813097446	
968	0.4382128183181777	
967	0.4448705446492056	
966	0.465508978250881	
965	0.4791439698502842	
964	0.49190768323613554	
963	0.5038341003157285	
962	0.5178793728887854	
961	0.5280874829891786	
960	0.5316916712268807	
959	0.5407366767375521	
958	0.5490917820502688	
957	0.5567845769263755	
956	0.5756514613894694	
955	0.593360813485603	
954	0.6277268997940695	
953	0.6690979579768594	
952	0.7112048242392319	0.45973253675973746
951	0.7599474660628118	0.4733478061639245
950	0.8030936649221303	0.48821115231154816
949	0.843857586401171	0.5041485860261115
948	0.882328050422089	0.5210014592146945
947	0.91260685945538	0.5383598111868253
946	0.9410375463452283	0.5561182036490123
945	0.973690786601054	0.5744439476230235
944	1.004356988857225	0.5932235559182684
943	1.033111621059092	0.6123534499727599
942	1.0540035759299968	0.631478263671029
941	1.085468851342739	0.6510574295617981
940	1.108906274869895	0.6707260633337959
939	1.1397798771209864	0.6908009067458482
938	1.1716917461047558	0.7113088800396338
937	1.1894286147515203	0.7316289771754375
936	1.1996822713888946	0.7514561314692189
935	1.2088572788592273	0.7707713011876448
934	1.2230806871473021	0.7898140913487166
933	1.2299430662290405	0.8082907554116341
932	1.2297695854449842	0.8259357061161737
931	1.2289770687204538	0.8427642100581142
930	1.2275939988395805	0.8587916325505782
929	1.2501117242231459	0.8750498173734977
928	1.2709661889113875	0.8914607046383077
927	1.277965168214351	0.9074457428706153
926	1.3192688569233724	0.9244414993190688
925	1.3534129244414288	0.9421086728793842
924	1.3668705805062302	0.9595680951184514
923	1.379017711649965	0.9767766652991299
922	1.389907680182759	0.9936953676159007
921	1.4026743560302606	1.010414997488281
920	1.4126008233385932	1.026829571595715
919	1.407457902061168	1.0423395302593685
918	1.4018295725148278	1.0569657231906224
917	1.4081144136238066	1.0712315658077487
916	1.3824320326699393	1.0838566551907016
915	1.3572108776904912	1.0949313730889292
914	1.3014289331731277	1.1032866000984922
913	1.2180308852513662	1.1079235630541833
912	1.1983785561796054	1.111574599589264
911	1.1712342099495174	1.1139798818716966
910	1.1431689653395267	1.1151553968580108
909	1.0955548106292667	1.1143668671105402
908	1.0791485068886857	1.11295147130144
907	1.0629353902920542	1.1109433225873004
906	1.0344315011265763	1.1078742359498044
905	1.0035703979350217	1.1036940889484046
904	0.9767233826526223	1.0986099073336675
903	0.9333947410457171	1.0919997979452973
902	0.8899925377533862	1.0839240775055008
901	0.8606344837778153	1.0750043392737971
900	0.8259017412671597	1.0650607216579915
899	0.7923242657853251	1.0541813315154525
898	0.761435691293471	1.0425116460894561
897	0.7237103595865619	1.0298115269497095
896	0.6873285024168752	1.0161764690431256
895	0.6648235511692633	1.002196621164168
894	0.6430002326653863	0.987912876054969
893	0.5872131910470983	0.9719874789853685
892	0.5683064164640825	0.955952061413827
891	0.56257290821749	0.9403337896113496
890	0.5568109002463473	0.9251142538700564
889	0.5384045376054445	0.9097754295595708
888	0.5268716133590772	0.8945943865118278
887	0.5108543366344946	0.8793867506506462
886	0.5000426871972365	0.8643595546001356
885	0.4689135485912743	0.8487007334837716
884	0.4405400284799583	0.8325446119899548
883	0.4132297046490123	0.8159530666260213
882	0.3837816472546933	0.7988588382663463
881	0.3459702653533583	0.7809512212277561
880	0.3033603517870773	0.762072992672313
879	0.28631552308742414	0.7432731069288382
878	0.24610295130754878	0.7236329762303104
877	0.22663676882415018	0.7040053729379044
876	0.19523652620679854	0.6839183987121032
875	0.1651633313222476	0.6634425966151741
874	0.13001559336713342	0.6423930530314885
873	0.10593816240938736	0.6212292171042824
872	0.07335762492957087	0.5996200687399823
871	0.039038276301226915	0.5775146073751786
870	0.00944301304407702	0.5551186686487167
869	-0.015626405727545034	0.5326220269212197
868	-0.03636156541628566	0.5101993138671364
867	-0.04338517911175188	0.4883876567814594
866	-0.05006701444405337	0.4671760523639105
865	-0.06279892335027171	0.4463022039608988
864	-0.0749194229639869	0.42577662477413875
863	-0.09283447450310689	0.40535719768137873
862	-0.10350015211969321	0.3853249650580114
861	-0.11362732199575021	0.3656856393714423
860	-0.12962636492238744	0.3461924344853043
859	-0.14483080135815385	0.32687071544140095
858	-0.15926889181250203	0.30774373398416116
857	-0.17296800694536785	0.28883274829606553
856	-0.19235422473212793	0.26990541168287363
855	-0.2107592491012582	0.25100086961728557
854	-0.2282181651529953	0.2321553383661058
853	-0.2575760144985537	0.2128985196692623
852	-0.2854652540752909	0.1933043311510723
851	-0.3007218767903481	0.17388265134502418
850	-0.3263485568570559	0.15421894866088942
849	-0.33941786659138984	0.13481628143525592
848	-0.3517170628374089	0.11569453843173859
847	-0.36808721918809795	0.09668257970509925
846	-0.39956796992159127	0.07718223194355438
845	-0.41335967903604853	0.05790774305257579
844	-0.4263100084347684	0.038883200870791855
843	-0.4384504993414424	0.020130506883286207
842	-0.45944911439430314	0.0012909099630782764
841	-0.4792544546891264	-0.01758534351511938
840	-0.5043386283814186	-0.036704202899559585
839	-0.5312351082953626	-0.05612733741491945
838	-0.5469858811488848	-0.07540507638735043
837	-0.5810345989081611	-0.09526177534372403
836	-0.6035818142445066	-0.11522302527138553
835	-0.6119192717422095	-0.1347267788196691
834	-0.6227788173678022	-0.15389011791872684
833	-0.65213652705458	-0.17345277473584367
832	-0.6653309735566211	-0.19276448238735447
831	-0.6791904492955325	-0.21186126073828385
830	-0.6824036853170838	-0.2303336541864935
829	-0.6851170431353211	-0.24818663549241585
828	-0.6889630598837755	-0.2654890615564637
827	-0.6922769271087077	-0.2822417257421228
826	-0.6966929584482386	-0.29850953574033684
825	-0.7166682703299472	-0.3149222836387452
824	-0.7256881197294547	-0.33104430607661844
823	-0.7435975146551925	-0.34723594610703146
822	-0.7603060717803771	-0.3634473596943243
821	-0.7758597426964542	-0.3796324662953103
820	-0.7903029876588903	-0.39574874186036024
819	-0.7972234440477592	-0.4115036953780177
818	-0.8018012224510329	-0.4268196124791967
