	macd	trigger
887		
886		
885		
884		
883		
882		
881		
880		
879		
878		
877		
876		
875		
874		
873		
872		
871		
870		
869		
868		
867		
866		
865		
864		
863		
862		
861		
860		
859		
858		
857		
856		
855		
854		
853		
852		
851		
850		
849		
848		
847		
846		
845		
844		
843		
842		
841		
840		
839		
838		
837		
836		
835		
834		
833		
832		
831		
830		
829		
828		
827		
826		
825		
824		
823		
822		
821		
820		
819		
818		
817		
816		
815		
814		
813		
812		
811		
810		
809		
808		
807		
806		
805		
804		
803		
802		
801		
800		
799		
798		
797		
796		
795		
794		
793		
792		
791		
790		
789	0.6702896186516796	
788	0.6769820153194246	
787	0.6884012923472937	
786	0.7070368515648937	
785	0.7325589407628854	
784	0.7537715478044049	
783	0.7749542200421757	
782	0.7961030536370401	
781	0.8158434365557099	
780	0.8314848911863493	
779	0.8473411394863888	
778	0.8551105441789559	
777	0.8606930832446125	
776	0.8572449846648738	
775	0.8451723737431536	
774	0.8402097760215668	
773	0.8322552819453506	
772	0.8312564305034016	
771	0.8326904744019714	
770	0.8322260027196222	
769	0.8355928120564613	
768	0.842620106798762	
767	0.8573949449918388	
766	0.8767277369550897	
765	0.8932935126207155	
764	0.9129149453544585	
763	0.9354498628191692	
762	0.9693534225657743	
761	1.0241528131114563	
760	1.0629569803631682	
759	1.1109512144453078	
758	1.1590502853371731	
757	1.2086779317027805	
756	1.2554019024081668	
755	1.296431124542849	
754	1.3436351962059376	
753	1.3777868245842484	
752	1.4009119320153047	
751	1.4237235154604946	
750	1.441834896807805	
749	1.4657150467850641	
748	1.5053830530467849	
747	1.5454082315581985	
746	1.58723326916477	
745	1.6351908050879729	
744	1.672430286285575	
743	1.7085941071743918	
742	1.741343090976244	
741	1.7758662356304598	1.256480672808548
740	1.8019563413048587	1.281218943477655
739	1.8256386375287974	1.3057587463207867
738	1.8565586994288452	1.3304415124087272
737	1.882132913493237	1.3550266263481077
736	1.9049824637128836	1.3794040404191046
735	1.9252196666103458	1.4034749220587004
734	1.9327523517542033	1.4267029860260525
733	1.9179286015502015	1.448160871131493
732	1.9184484817271823	1.4686127835127836
731	1.9288117902295312	1.4885408210028905
730	1.9407363285635313	1.5080425708144802
729	1.9499210015810604	1.5270251348540258
728	1.9516472065160997	1.5451983622052583
727	1.9417062823525129	1.5621077586246097
726	1.9339576321314809	1.5779113847898196
725	1.9261841909314086	1.5926645309572909
724	1.9171763849901566	1.6063680416984685
723	1.9015198062194258	1.618794299680088
722	1.871906539366094	1.629419980082435
721	1.8460415943664685	1.638488710071263
720	1.8167523126769822	1.6459318908896552
719	1.7869545946661702	1.6518052159812824
718	1.745676713292525	1.655705297232841
717	1.7029394213247997	1.6576631700091402
716	1.6643438459290962	1.6579394691726999
715	1.6189877527873193	1.6563319491905883
714	1.572720964287413	1.6528884336197973
713	1.5348266100142496	1.648035617979713
712	1.4938740197545428	1.6417108996400933
711	1.4746545502686246	1.6348695429195417
710	1.4509330074646698	1.6273499615231066
709	1.4244644626074034	1.619069512926405
708	1.412059380250838	1.6106342012489234
707	1.3945518000057717	1.6018426840491642
706	1.3740343354666322	1.5925876928266802
705	1.3475553938401248	1.582646979345085
704	1.3169435968625578	1.5718822288367913
703	1.2836390228563346	1.5602194400902851
702	1.2546068112913389	1.5478692438548554
701	1.2246997302158036	1.5348251468895897
700	1.2082726023916308	1.5216596058339023
699	1.1969521656897513	1.508582851900265
698	1.1951864132868053	1.4959749425390818
697	1.1885261355980106	1.4836188376518584
696	1.1647197777517988	1.4708150208762418
