	macd	trigger
2756		
2755		
2754		
2753		
2752		
2751		
2750		
2749		
2748		
2747		
2746		
2745		
2744		
2743		
2742		
2741		
2740		
2739		
2738		
2737		
2736		
2735		
2734		
2733		
2732		
2731		
2730		
2729		
2728		
2727		
2726		
2725		
2724		
2723		
2722		
2721		
2720		
2719		
2718		
2717		
2716		
2715		
2714		
2713		
2712		
2711		
2710		
2709		
2708		
2707		
2706		
2705		
2704		
2703		
2702		
2701		
2700		
2699		
2698		
2697		
2696		
2695		
2694		
2693		
2692		
2691		
2690		
2689		
2688		
2687		
2686		
2685		
2684		
2683		
2682		
2681		
2680		
2679		
2678		
2677		
2676		
2675		
2674		
2673		
2672		
2671		
2670		
2669		
2668		
2667		
2666		
2665		
2664		
2663		
2662		
2661		
2660		
2659		
2658	13.99920573178133	
2657	14.735715570590173	
2656	15.402453614102342	
2655	15.840109048430577	
2654	16.24878332325602	
2653	16.629687971028034	
2652	16.929441847353246	
2651	17.20631830767843	
2650	17.516119078914244	
2649	17.80232189159915	
2648	18.065920991835355	
2647	18.307871271381146	
2646	18.584482048064274	
2645	18.69978953085365	
2644	18.994970134959885	
2643	19.155036495761806	
2642	19.074137548895806	
2641	18.791108966154525	
2640	18.596023061398682	
2639	18.569523963544043	
2638	18.393714811697464	
2637	18.160177910012862	
2636	17.95662098382968	
2635	17.75340165482976	
2634	17.607529578119284	
2633	17.373910090263735	
2632	17.085133793531668	
2631	16.801060801348285	
2630	16.579003564251707	
2629	16.84762388023296	
2628	16.69192491793001	
2627	16.534943716295402	
2626	16.40573483714661	
2625	16.245184033760097	
2624	16.025734165250924	
2623	15.866420642966204	
2622	15.58986217795632	
2621	15.347301963856125	
2620	15.10810887109983	
2619	14.813676013628765	
2618	14.67191865082691	
2617	14.587986601936791	
2616	14.588790213956827	
2615	14.434760329743312	
2614	14.280465128434798	
2613	14.392128364451082	
2612	14.165581266966683	
2611	14.001540794931543	
2610	13.837899579426903	15.950863067653685
2609	13.674718976445092	15.847635972730407
2608	13.51205739119041	15.742359402940764
2607	13.469315276538282	15.640498434792583
2606	13.332045857089042	15.537626485846248
2605	13.343875510202906	15.440385994394859
2604	13.348379345163949	15.34812692003622
2603	13.40589253533858	15.262889307404027
2602	13.51404308691258	15.186495609517673
2601	13.760785438689481	15.124494189880105
2600	14.230220887238602	15.085769395516499
2599	14.761460217509693	15.071782975162149
2598	15.260940298237301	15.07990894544903
2597	15.729860130611996	15.107725941887619
2596	15.987754895757462	15.145255478336642
2595	16.286359039100944	15.193752399742145
2594	16.563050911470555	15.251757103911373
2593	16.78831154814361	15.316642839422311
2592	16.933923659601305	15.384732382213585
2591	16.972927507954864	15.45140499292426
2590	17.12342717828733	15.521403168242564
2589	17.258339843254817	15.593926855373514
2588	17.317211327560244	15.665698347902447
2587	17.27282980366408	15.73246987535155
2586	17.25227053154981	15.795466202421766
2585	17.223845325705952	15.854541056783532
2584	17.00387861103468	15.90197370561395
2583	16.78524774512789	15.938351316903471
2582	16.568000680808836	15.964232437384362
2581	16.25988780820103	15.976362156896482
2580	15.895905818324081	15.973067277565798
2579	15.509545613027967	15.954117867233132
2578	15.13284293522429	15.920598838546491
2577	14.858186589870684	15.877307341981926
2576	14.464803268689366	15.81983827562743
2575	14.081922089083491	15.749233316889274
2574	13.678297029781334	15.665217518343841
2573	13.317024499528088	15.570082440435938
2572	12.779290254879015	15.457162451273184
2571	12.352593668430927	15.331702865898148
2570	12.001111450645794	15.197270143940479
2569	11.752739810738376	15.058397835996738
2568	11.509646265247511	14.915481027433021
2567	11.209437299226693	14.766387235491635
2566	10.917138521241213	14.611689218207072
2565	10.538982383264056	14.448169789483282
2564	10.203829299264953	14.277918337683781
2563	9.847454691040184	14.100360256602395
2562	9.47098228168602	13.914989952896988
2561	9.13804629874494	13.723868757394923
2560	8.972046880666994	13.533903381795517
2559	8.840311192747322	13.346408689392893
2558	8.521992702789476	13.153828811967907
2557	8.11969262655839	12.953018357727375
2556	7.731514831041295	12.744874169615974
2555	7.325614931483869	12.528986590464612
2554	6.9344066311027746	12.306253151886265
