	macd	trigger
3118		
3117		
3116		
3115		
3114		
3113		
3112		
3111		
3110		
3109		
3108		
3107		
3106		
3105		
3104		
3103		
3102		
3101		
3100		
3099		
3098		
3097		
3096		
3095		
3094		
3093		
3092		
3091		
3090		
3089		
3088		
3087		
3086		
3085		
3084		
3083		
3082		
3081		
3080		
3079		
3078		
3077		
3076		
3075		
3074		
3073		
3072		
3071		
3070		
3069		
3068		
3067		
3066		
3065		
3064		
3063		
3062		
3061		
3060		
3059		
3058		
3057		
3056		
3055		
3054		
3053		
3052		
3051		
3050		
3049		
3048		
3047		
3046		
3045		
3044		
3043		
3042		
3041		
3040		
3039		
3038		
3037		
3036		
3035		
3034		
3033		
3032		
3031		
3030		
3029		
3028		
3027		
3026		
3025		
3024		
3023		
3022		
3021		
3020	1.5031646560716894	
3019	1.4363947982793803	
3018	1.3720810340920906	
3017	1.2776747393508856	
3016	1.1871127221479583	
3015	1.0893718792524112	
3014	0.9957158313132766	
3013	0.9059916805684196	
3012	0.8310190245352231	
3011	0.7921509260638686	
3010	0.7381785371550507	
3009	0.6974245429594106	
3008	0.6471548783546837	
3007	0.5989186127016524	
3006	0.5526419915775733	
3005	0.5138336299008301	
3004	0.47658139500329355	
3003	0.5249162712256492	
3002	0.6212929453034661	
3001	0.6846970950782207	
3000	0.7335079797668982	
2999	0.7966409359430457	
2998	0.845092853102102	
2997	0.8965429268775154	
2996	0.9166825598537685	
2995	0.9468310106133657	
2994	0.9922495638678441	
2993	1.075155806301737	
2992	1.1536768498763763	
2991	1.2279786895404783	
2990	1.257887084837563	
2989	1.285774807329119	
2988	1.3406420117083542	
2987	1.4096811334171662	
2986	1.492237174304634	
2985	1.5934947562856365	
2984	1.6892795232479187	
2983	1.7622875983903725	
2982	1.8485822251182782	
2981	1.9241134344700015	
2980	1.995196276498632	
2979	2.020866057544225	
2978	2.0737609663658247	
2977	2.0995931114161976	
2976	2.1231738588466555	
2975	2.1268524249481118	
2974	2.1292819763872615	
2973	2.118653830155381	
2972	2.08367111248279	1.4968993489795264
2971	2.084931337149527	1.5235676227918917
2970	2.0850743106388734	1.548877624552354
2969	2.066249230627875	1.5720623802177176
2968	2.041259149752733	1.5929712724287104
2967	2.0163739462944363	1.6117390744926896
2966	1.9975932366774884	1.628755534671573
2965	1.9966559503339738	1.6449013476406582
2964	1.9947459239030252	1.6601833779032482
2963	2.0340221197827475	1.67644091269981
2962	2.1066141745298808	1.6950687427556617
2961	2.150693444765551	1.7147183827852797
2960	2.179587703526664	1.7346886077081949
2959	2.1939604616097483	1.7543447969974255
2958	2.200506362481576	1.7733717127146402
2957	2.193510349172726	1.7912276121547186
2956	2.1735790633268266	1.8074243600690347
2955	2.1656005162101053	1.822549449466896
2954	2.181212621295657	1.8376496170328387
2953	2.1280176099975563	1.849839298164583
2952	2.1188356742193832	1.8611006651822601
2951	2.1150948176668294	1.871705883387899
