	macd	trigger
543		
542		
541		
540		
539		
538		
537		
536		
535		
534		
533		
532		
531		
530		
529		
528		
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517		
516		
515		
514		
513		
512		
511		
510		
509		
508		
507		
506		
505		
504		
503		
502		
501		
500		
499		
498		
497		
496		
495		
494		
493		
492		
491		
490		
489		
488		
487		
486		
485		
484		
483		
482		
481		
480		
479		
478		
477		
476		
475		
474		
473		
472		
471		
470		
469		
468		
467		
466		
465		
464		
463		
462		
461		
460		
459		
458		
457		
456		
455		
454		
453		
452		
451		
450		
449		
448		
447		
446		
445	-0.15640150877371184	
444	-0.1789922119289713	
443	-0.16804215749112927	
442	-0.16293853102133937	
441	-0.1579945946557615	
440	-0.18040327552559177	
439	-0.17438346029260288	
438	-0.168559890327856	
437	-0.17937559226697886	
436	-0.1785933695618951	
435	-0.17224532930913483	
434	-0.17715950020819093	
433	-0.14297749464390108	
432	-0.14919938282083933	
431	-0.1383542121467798	
430	-0.13352675407804782	
429	-0.14004294419129337	
428	-0.13497137214928046	
427	-0.1047841419055544	
426	-0.07313721043142607	
425	-0.09936875661115607	
424	-0.08473271286861461	
423	-0.05372869003218739	
422	-0.029819970420220443	
421	-0.0013140125242045997	
420	0.02586938184782639	
419	0.07464480644806315	
418	0.10393768184282237	
417	0.1146027016212372	
416	0.12471603257004915	
415	0.1429414779318563	
414	0.19200424104387537	
413	0.23292011336553742	
412	0.24575319059970013	
411	0.2578697091037583	
410	0.2692969039914459	
409	0.24218980462995887	
408	0.23955395979407967	
407	0.18137375782669096	
406	0.16384556033295894	
405	0.12357327934064699	
404	0.08508822982740583	
403	0.048327017586643706	
402	-0.0015103711686350607	
401	-0.06972785306918183	
400	-0.1347818139501129	
399	-0.19678547669305146	
398	-0.2528820989518863	
397	-0.31073686033418824	-8.27640051055172e-05
396	-0.3806598931142986	-0.017342598997064695
395	-0.4397408237465612	-0.036382265030284404
394	-0.5108131994310412	-0.057642738479161966
393	-0.578375142594723	-0.08084822158428562
392	-0.6500338111193287	-0.10607801615438496
391	-0.7180863461554736	-0.13306804606009023
390	-0.7451616053748751	-0.1599306091547373
389	-0.7525958340250583	-0.18581961392027221
388	-0.7593076594786226	-0.2107595166419715
387	-0.7562906273618211	-0.2343826976305741
386	-0.7530264684345838	-0.25675014907678945
385	-0.7767048167834503	-0.27908677401745363
384	-0.7989073219919902	-0.301334362239155
383	-0.8257442928723577	-0.3236982418812772
382	-0.8676055057392773	-0.3468143101630516
381	-0.8904273056275969	-0.36984224067958094
