	macd	trigger
2762		
2761		
2760		
2759		
2758		
2757		
2756		
2755		
2754		
2753		
2752		
2751		
2750		
2749		
2748		
2747		
2746		
2745		
2744		
2743		
2742		
2741		
2740		
2739		
2738		
2737		
2736		
2735		
2734		
2733		
2732		
2731		
2730		
2729		
2728		
2727		
2726		
2725		
2724		
2723		
2722		
2721		
2720		
2719		
2718		
2717		
2716		
2715		
2714		
2713		
2712		
2711		
2710		
2709		
2708		
2707		
2706		
2705		
2704		
2703		
2702		
2701		
2700		
2699		
2698		
2697		
2696		
2695		
2694		
2693		
2692		
2691		
2690		
2689		
2688		
2687		
2686		
2685		
2684		
2683		
2682		
2681		
2680		
2679		
2678		
2677		
2676		
2675		
2674		
2673		
2672		
2671		
2670		
2669		
2668		
2667		
2666		
2665		
2664	0.06763913595298021	
2663	0.06982477381419372	
2662	0.07456735494050015	
2661	0.07796326341114934	
2660	0.08164557976012787	
2659	0.08298939302675024	
2658	0.08422688433979264	
2657	0.0850891504369038	
2656	0.08339961984904232	
2655	0.08174734417837026	
2654	0.07737555269687757	
2653	0.07593307592648735	
2652	0.07451976378995973	
2651	0.0731348946027568	
2650	0.07177777086024317	
2649	0.0721215980056602	
2648	0.07353113723944205	
2647	0.0753978653398164	
2646	0.07489150683445889	
2645	0.07493381832193524	
2644	0.07521823564924457	
2643	0.07573396819704037	
2642	0.07652731096009635	
2641	0.07747209395002219	
2640	0.07833360732620775	
2639	0.07905827633954932	
2638	0.07976633207919903	
2637	0.08097386104020288	
2636	0.08208434363341244	
2635	0.08022632355012504	
2634	0.07841347092040873	
2633	0.07779918020319432	
2632	0.07659534803384194	
2631	0.07540817272672129	
2630	0.07423745500585444	
2629	0.07308299810636054	
2628	0.07136197311174097	
2627	0.06910027789251316	
2626	0.06807689920266835	
2625	0.06794452338773116	
2624	0.06925038600365774	
2623	0.07986329009210724	
2622	0.08818254497262146	
2621	0.09666476021446346	
2620	0.10441352085457822	
2619	0.10850114455350734	
2618	0.11293861955135132	
2617	0.12156463828785391	
2616	0.13329854376699846	0.08542374171419037
2615	0.14442748145037054	0.08809966397504378
2614	0.15288812247628414	0.09102001387329985
2613	0.16148067569238567	0.09417753780602389
2612	0.17079326700710507	0.09759177704965634
2611	0.17959321014219753	0.10122658325244266
2610	0.18909802646635132	0.10510178031094781
2609	0.20047246438031507	0.10928725323286677
2608	0.21122528571495813	0.1137401451826105
2607	0.22348521856257442	0.1185127493815651
2606	0.23477042450501706	0.12354706556773368
2605	0.24632573283561587	0.12884211784318686
2604	0.25632238337377	0.13431851618201157
2603	0.26694174941293625	0.13999460400318173
2602	0.2836002740214605	0.14611878230838138
2601	0.2993545540233029	0.15263130530181815
2600	0.3130242120104958	0.15942569164255546
2599	0.3253035859568758	0.16643039571795717
2598	0.3386822153261848	0.17368241249559452
2597	0.3500605773641414	0.18108678777262815
2596	0.35891311653839164	0.18853137711248394
2595	0.36717932001835063	0.1959906055946055
2594	0.3718269686350837	0.20331385281232128
2593	0.3760732781339957	0.2104914926180774
2592	0.37993435234731443	0.21751496491866
2591	0.38342575116607236	0.22437669747610375
2590	0.38349506861919824	0.23094344176544013
2589	0.3895064932000185	0.23747385564825027
2588	0.3981189263953837	0.2440770139598544
2587	0.4061360445366127	0.2507257366935974
2586	0.41173319179639734	0.25731937673883204
2585	0.419947599330877	0.26396784466889406
2584	0.4288076995027428	0.2706955208800292
2583	0.43828069270486125	0.2775243322942136
2582	0.44709865343803834	0.2844236241958054
2581	0.4546681715045189	0.291340015982242
2580	0.4616608410561618	0.29824976024457545
2579	0.4680993010673671	0.3051310724575497
2578	0.47276488934769034	0.31191380923189976
2577	0.4751140109603309	0.3185089375972718
2576	0.4802196052832741	0.32503606822250164
2575	0.4848471910170904	0.33147913514621014
2574	0.4883938183121259	0.3377984689422709
2573	0.49028354114359196	0.3439329291095702
2572	0.4899665034997138	0.349801893702972
2571	0.48691805430573076	0.35530711594440456
2570	0.4862553959809386	0.36055978943708206
2569	0.48537366621808076	0.36556190980666275
2568	0.48553336410706116	0.3703658262377996
2567	0.4816838178024838	0.37481955840820924
2566	0.47964011263306183	0.37901000924378925
2565	0.475564208935527	0.38286705502923807
2564	0.4720564353866301	0.3864272952706542
2563	0.46783871986066217	0.3896747769736067
2562	0.46231743482485044	0.3925705227991961
2561	0.4555538255624416	0.39507959501054896
2560	0.4482354106591355	0.39719585354753423
2559	0.4397619386775329	0.3988894993510786
2558	0.43018945970560907	0.40013416847901906
2557	0.4176833901127388	0.40083164425261225
2556	0.41120057599695414	0.40124352919279954
2555	0.40480116406181743	0.401384777420894
2554	0.3984846133513553	0.4012696887210121
2553	0.39098836075992693	0.40086188028837977
2552	0.3817378068345558	0.4001036653788718
2551	0.37523825077090933	0.39911824785204325
2550	0.366313047745475	0.39781871473429836
2549	0.3576051495756136	0.3962263430483975
2548	0.3491091281397267	0.3943613143006947
2547	0.34335173191570867	0.39234295581803846
2546	0.33799602025286823	0.39019330203354946
2545	0.33429388902695223	0.38798298951812094
2544	0.33058795154636833	0.3857142764540542
2543	0.3262460199871011	0.3833643471341471
2542	0.315588073621047	0.3806869240124937
2541	0.30461729298517604	0.3776827470828623
2540	0.29335324803595597	0.37435328914786187
2539	0.28308557504803744	0.37075085753953085
2538	0.2731388495881042	0.36689899364221484
2537	0.26350359120492506	0.36281991193177937
2536	0.25417059152190724	0.3585345660260026
2535	0.24640386911718615	0.35411290834507253
2534	0.23886323568500956	0.34956924759368646
2533	0.23020459526465586	0.34486433827614554
2532	0.22188465835990812	0.3400179101692888
2531	0.2131910866304505	0.33502083525230714
2530	0.20542058041719535	0.3299154299417372
2529	0.19789742828204027	0.32471570565400176
2528	0.18742319790864137	0.31930916054170083
2527	0.1779669979973768	0.3137440540732333
2526	0.1688489668190023	0.3080399562646931
2525	0.16005843006872844	0.30221523621837537
2524	0.1509459168400049	0.29626197078150546
2523	0.1421698895467749	0.2901984615966631
2522	0.13371957680327284	0.2840418582604335
2521	0.12622428108207728	0.2778333850960817
2520	0.11964464251442841	0.2716110811953377
2519	0.11394261398280925	0.26540998006596916
2518	0.10844106319840563	0.2592370979105065
2517	0.1012120540041117	0.253023365417649
2516	0.09554105279033642	0.24683162700393005
