	macd	trigger
2168		
2167		
2166		
2165		
2164		
2163		
2162		
2161		
2160		
2159		
2158		
2157		
2156		
2155		
2154		
2153		
2152		
2151		
2150		
2149		
2148		
2147		
2146		
2145		
2144		
2143		
2142		
2141		
2140		
2139		
2138		
2137		
2136		
2135		
2134		
2133		
2132		
2131		
2130		
2129		
2128		
2127		
2126		
2125		
2124		
2123		
2122		
2121		
2120		
2119		
2118		
2117		
2116		
2115		
2114		
2113		
2112		
2111		
2110		
2109		
2108		
2107		
2106		
2105		
2104		
2103		
2102		
2101		
2100		
2099		
2098		
2097		
2096		
2095		
2094		
2093		
2092		
2091		
2090		
2089		
2088		
2087		
2086		
2085		
2084		
2083		
2082		
2081		
2080		
2079		
2078		
2077		
2076		
2075		
2074		
2073		
2072		
2071		
2070	0.30888893957055075	
2069	0.3016506821211493	
2068	0.2921221612108482	
2067	0.2878216348914009	
2066	0.2835784861081194	
2065	0.2793919167461283	
2064	0.27280669331227614	
2063	0.27377714450869206	
2062	0.2646369802588282	
2061	0.2607963833963325	
2060	0.2669797544526773	
2059	0.2627342936809356	
2058	0.2585546430374066	
2057	0.2594371770087278	
2056	0.2551363639136426	
2055	0.2610063173736421	
2054	0.253828711225097	
2053	0.24685768625085558	
2052	0.23750222091188533	
2051	0.23358723477881682	
2050	0.2297360048916559	
2049	0.22340198031618996	
2048	0.21464157782297377	
2047	0.2036230484820294	
2046	0.21105938189116102	
2045	0.20771766837256678	
2044	0.1992234045182144	
2043	0.19365649844475996	
2042	0.18560882049980165	
2041	0.1778392493529921	
2040	0.1729891477898562	
2039	0.1656196765250968	
2038	0.15850638019004037	
2037	0.14642552023101985	
2036	0.13482740803949156	
2035	0.11846098402432403	
2034	0.10278822568505319	
2033	0.09566414792629985	
2032	0.08753297377631952	
2031	0.06778349834739572	
2030	0.05154725587968301	
2029	0.04931127789866707	
2028	0.0392068244956576	
2027	0.029546196349294007	
2026	0.017656535538556284	
2025	0.011625841329077957	
2024	0.008531148218828832	
2023	0.002904371957448859	
2022	-0.0024661668821082117	0.12931948433642002
2021	-0.002234552932655731	0.12335327984823904
2020	-0.007375221357456496	0.11746067221368774
2019	-0.012276937582164749	0.11164679540173514
2018	-0.016948214196538913	0.10591619500304413
2017	-0.02139728128697982	0.10027288127223373
2016	-0.02563209602350014	0.09472037661517628
2015	-0.03914091044237722	0.08884569093225614
2014	-0.05880209658793234	0.0823960898517014
2013	-0.07753536774492176	0.07544097539815431
2012	-0.08995215407612989	0.06827894237186767
2011	-0.10718486354898005	0.060711748123263055
2010	-0.11814114613991222	0.053028443660723595
