	macd	trigger
3392		
3391		
3390		
3389		
3388		
3387		
3386		
3385		
3384		
3383		
3382		
3381		
3380		
3379		
3378		
3377		
3376		
3375		
3374		
3373		
3372		
3371		
3370		
3369		
3368		
3367		
3366		
3365		
3364		
3363		
3362		
3361		
3360		
3359		
3358		
3357		
3356		
3355		
3354		
3353		
3352		
3351		
3350		
3349		
3348		
3347		
3346		
3345		
3344		
3343		
3342		
3341		
3340		
3339		
3338		
3337		
3336		
3335		
3334		
3333		
3332		
3331		
3330		
3329		
3328		
3327		
3326		
3325		
3324		
3323		
3322		
3321		
3320		
3319		
3318		
3317		
3316		
3315		
3314		
3313		
3312		
3311		
3310		
3309		
3308		
3307		
3306		
3305		
3304		
3303		
3302		
3301		
3300		
3299		
3298		
3297		
3296		
3295		
3294	0.09226554875029791	
3293	0.08623244605841052	
3292	0.08260152043318669	
3291	0.07910156543204039	
3290	0.07138798882672148	
3289	0.06291689783188303	
3288	0.0569976981879492	
3287	0.048595599947113044	
3286	0.03782485613244546	
3285	0.02644449785827163	
3284	0.013383266434424002	
3283	0.0064563708856084645	
3282	-0.0023634017964724308	
3281	-0.010767305329153487	
3280	-0.019884368288920484	
3279	-0.02856373079382024	
3278	-0.03626271040690909	
3277	-0.045264742842739736	
3276	-0.05438488272618969	
3275	-0.0568570373374655	
3274	-0.060313768513871935	
3273	-0.06244749105874803	
3272	-0.06048204759898823	
3271	-0.055736821465288244	
3270	-0.05061444224237732	
3269	-0.044563170174264144	
3268	-0.03934156554401369	
3267	-0.034914766398529196	
3266	-0.028953359422850156	
3265	-0.02267800286501398	
3264	-0.00976683373615117	
3263	0.006016593122758707	
3262	0.018754589532917976	
3261	0.028577378942628684	
3260	0.036191061644693434	
3259	0.048088254379131	
3258	0.05941306610118602	
3257	0.06726810346725642	
3256	0.07706629421114286	
3255	0.08988885126049695	
3254	0.10970305290206994	
3253	0.12385024988706306	
3252	0.13669638248281757	
3251	0.14947307965562828	
3250	0.1621782286446276	
3249	0.1771754842219906	
3248	0.1902106606890257	
3247	0.2043316483929658	
