	macd	trigger
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831		
4830		
4829	-0.0419807078097989	
4828	-0.042250464010179956	
4827	-0.04253956365581768	
4826	-0.04306352214922349	
4825	-0.043377681741767926	
4824	-0.044035444934512835	
4823	-0.044857591943054054	
4822	-0.04561779827424339	
4821	-0.046318683364307445	
4820	-0.04641301570772427	
4819	-0.04664453490394904	
4818	-0.04689658306777611	
4817	-0.0470020534015716	
4816	-0.047134122672511714	
4815	-0.04718030041107646	
4814	-0.04692129155985958	
4813	-0.04681829831459994	
4812	-0.04664022714036653	
4811	-0.04610961818316395	
4810	-0.044904551071868415	
4809	-0.0440150404416042	
4808	-0.04365366495387124	
4807	-0.04357034946723237	
4806	-0.04273024665225278	
4805	-0.04202131507315299	
4804	-0.04006889236391631	
4803	-0.03841532513752277	
4802	-0.03704799666689662	
4801	-0.03555297961564596	
4800	-0.03433911614300911	
4799	-0.03299107829549297	
4798	-0.03226588229989247	
4797	-0.03161562720675737	
4796	-0.031327011213232	
4795	-0.03103579850992677	
4794	-0.030974887091948844	
4793	-0.03095931794464435	
4792	-0.030636916378521617	
4791	-0.03031379213591201	
4790	-0.02999013425781749	
4789	-0.029666123472699146	
4788	-0.02910687766790976	
4787	-0.028735108623248573	
4786	-0.02842476344113809	
4785	-0.028114218355447695	
4784	-0.02780363306378919	
4783	-0.02767085891514931	
4782	-0.027826726450880468	
4781	-0.027723667744182556	-0.034585058593341586
4780	-0.027611239930151132	-0.034268783782839304
4779	-0.02719199133883543	-0.03394979625679051
4778	-0.026658759107298424	-0.03362306608282462
4777	-0.026136364695044767	-0.033289434987094545
4776	-0.025923769861462498	-0.03296294355546212
4775	-0.025767633755184205	-0.032645624955092795
4774	-0.02584554271930717	-0.03234719404477237
4773	-0.026267247791591064	-0.03208160775605896
4772	-0.026415679649531176	-0.031835207335162014
4771	-0.026242692001957613	-0.03159303415878076
4770	-0.026245198566228423	-0.031362399068392374
4769	-0.02653619724805578	-0.031155071263404527
4768	-0.026739941611393814	-0.03096610992506172
4767	-0.026860235328824533	-0.030791011628992032
4766	-0.027082591966058445	-0.030633403728082976
4765	-0.027281014685073046	-0.030491393543280756
4764	-0.02751724918696974	-0.030365801153893365
4763	-0.02772869422759272	-0.030254775658096266
4762	-0.028099054664876943	-0.030164278247386322
4761	-0.028438215020398117	-0.030092017677262987
4760	-0.0289305108166249	-0.030043520365085053
