	macd	trigger
4576		
4575		
4574		
4573		
4572		
4571		
4570		
4569		
4568		
4567		
4566		
4565		
4564		
4563		
4562		
4561		
4560		
4559		
4558		
4557		
4556		
4555		
4554		
4553		
4552		
4551		
4550		
4549		
4548		
4547		
4546		
4545		
4544		
4543		
4542		
4541		
4540		
4539		
4538		
4537		
4536		
4535		
4534		
4533		
4532		
4531		
4530		
4529		
4528		
4527		
4526		
4525		
4524		
4523		
4522		
4521		
4520		
4519		
4518		
4517		
4516		
4515		
4514		
4513		
4512		
4511		
4510		
4509		
4508		
4507		
4506		
4505		
4504		
4503		
4502		
4501		
4500		
4499		
4498		
4497		
4496		
4495		
4494		
4493		
4492		
4491		
4490		
4489		
4488		
4487		
4486		
4485		
4484		
4483		
4482		
4481		
4480		
4479		
4478	-0.04156576472040463	
4477	-0.04462289723064039	
4476	-0.04697140701186697	
4475	-0.04864269660133047	
4474	-0.04966690570826415	
4473	-0.05333677099294576	
4472	-0.05571414275942921	
4471	-0.05795026651561841	
4470	-0.06005088057040098	
4469	-0.06257124141203185	
4468	-0.06714527319755348	
4467	-0.07202194583755883	
4466	-0.07607836984062644	
4465	-0.07990528089482218	
4464	-0.08072862310297424	
4463	-0.08147221681413086	
4462	-0.0832580339939284	
4461	-0.08379674561975037	
4460	-0.08426762662847231	
4459	-0.08467364423016832	
4458	-0.08501765185715193	
4457	-0.08813060161227249	
4456	-0.08821949050669531	
4455	-0.08825939973507602	
4454	-0.08825259714667766	
4453	-0.08820126408448203	
4452	-0.08810749879124735	
4451	-0.08797331966077593	
4450	-0.08780066834278877	
4449	-0.0875914127092372	
4448	-0.08734734968943236	
4447	-0.08707020798089182	
4446	-0.08676165064238184	
4445	-0.08874119314725881	
4444	-0.09000385058219784	
4443	-0.0905810246791301	
4442	-0.09399879788918852	
4441	-0.09721151779040049	
4440	-0.10051940924166658	
4439	-0.10391699327039561	
4438	-0.10945230814763285	
4437	-0.11350249504271126	
4436	-0.11730907805205426	
4435	-0.12088138469407816	
4434	-0.12422841982570709	
4433	-0.1048851022879731	
4432	-0.10888364740837808	
4431	-0.11383013270625852	
