	macd	trigger
2126		
2125		
2124		
2123		
2122		
2121		
2120		
2119		
2118		
2117		
2116		
2115		
2114		
2113		
2112		
2111		
2110		
2109		
2108		
2107		
2106		
2105		
2104		
2103		
2102		
2101		
2100		
2099		
2098		
2097		
2096		
2095		
2094		
2093		
2092		
2091		
2090		
2089		
2088		
2087		
2086		
2085		
2084		
2083		
2082		
2081		
2080		
2079		
2078		
2077		
2076		
2075		
2074		
2073		
2072		
2071		
2070		
2069		
2068		
2067		
2066		
2065		
2064		
2063		
2062		
2061		
2060		
2059		
2058		
2057		
2056		
2055		
2054		
2053		
2052		
2051		
2050		
2049		
2048		
2047		
2046		
2045		
2044		
2043		
2042		
2041		
2040		
2039		
2038		
2037		
2036		
2035		
2034		
2033		
2032		
2031		
2030		
2029		
2028	-0.2355624654961801	
2027	-0.2301885261416814	
2026	-0.2303481198405919	
2025	-0.230381883803922	
2024	-0.23409329097037812	
2023	-0.23370040123292313	
2022	-0.23047933968409495	
2021	-0.2278399843913519	
2020	-0.22191914602976937	
2019	-0.21616481624379702	
2018	-0.21167403507630667	
2017	-0.21115470909863632	
2016	-0.2083364121657354	
2015	-0.21387359779668458	
2014	-0.21514535886873887	
2013	-0.21513192897225508	
2012	-0.21556882517800346	
2011	-0.21475435919816732	
2010	-0.20824998338724754	
2009	-0.2075746918029182	
2008	-0.2040033108408963	
2007	-0.2033227787948917	
2006	-0.20257054143506537	
2005	-0.19890987458526155	
2004	-0.19816462731190398	
2003	-0.19678279970769097	
2002	-0.19593672961102016	
2001	-0.19503033154601468	
2000	-0.19406684090935755	
1999	-0.18729850852609786	
1998	-0.17786698596584216	
1997	-0.16012128432423367	
1996	-0.13154564006461555	
1995	-0.10422176765906244	
1994	-0.07229954464237665	
1993	-0.03890378740591416	
1992	-0.012852778292590017	
1991	0.01346472196770776	
1990	0.04002628017330068	
1989	0.062417771890295626	
1988	0.08668178058234588	
1987	0.12153990310953589	
1986	0.145906789851189	
1985	0.16613352380605306	
1984	0.1883004388785352	
1983	0.21083378627223937	
1982	0.22778471871357198	
1981	0.24384326461910177	
1980	0.2649836398909926	-0.025674947229322606
1979	0.2805589508864088	-0.011786707116750146
1978	0.29974783196404786	0.002255760948614273
1977	0.3179064019627944	0.01640088004983714
1976	0.3350728168522181	0.03060190957498187
1975	0.3572679708139148	0.04508175194909095
1974	0.37676883338775724	0.0597094029278771
1973	0.3936868454236162	0.07436645981845097
1972	0.4126358808965733	0.08914286019902404
1971	0.43953390028038086	0.10438069910755092
1970	0.4619680441325329	0.11986533491431987
1969	0.4831429534653253	0.1355323398064059
1968	0.5031055200672938	0.15132283997048282
1967	0.5188776948025478	0.16705367071784982
1966	0.53063908200361	0.18255906049528633
1965	0.5355324032274851	0.19756043377051777
1964	0.545998369081012	0.21232057495661336
1963	0.5648224303857603	0.22720604956139948
1962	0.5764180007419242	0.24190830893185242
1961	0.5871913119011367	0.25640332838435154
1960	0.6032705969402272	0.27092471218482017
1959	0.61525824018252	0.28530194159822136
1958	0.6324955125261056	0.2997618878137896
1957	0.6394510789250987	0.3138749624270317
1956	0.6488248477868126	0.3277587651772152
1955	0.6513120410425302	0.3411402703661658
1954	0.6548873334203336	0.35408847188309933
1953	0.6625713387115297	0.3667933282662185
1952	0.6695672886595645	0.37923855539837
1951	0.6759028982601194	0.3914096695513798
