	macd	trigger
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831		
4830		
4829		
4828		
4827		
4826		
4825		
4824		
4823		
4822		
4821		
4820		
4819		
4818		
4817	0.14944429547333016	
4816	0.16371159316138062	
4815	0.16372558830039452	
4814	0.1771795170320729	
4813	0.18718895620015985	
4812	0.19934608639493945	
4811	0.20809652349261398	
4810	0.216325516797923	
4809	0.25421209896241237	
4808	0.28742887459050337	
4807	0.3161749818617352	
4806	0.34340455216823784	
4805	0.3664074110971427	
4804	0.3909183306176516	
4803	0.43077790503943447	
4802	0.46296905676958033	
4801	0.5018056499725958	
4800	0.544175438227839	
4799	0.5842880430451061	
4798	0.6447562074220627	
4797	0.699254314798182	
4796	0.7423730728708477	
4795	0.7802730248974967	
4794	0.8131734704458324	
4793	0.82705342509378	
4792	0.8398688060490542	
4791	0.8516630864532004	
4790	0.8682062203912864	
4789	0.8864120726049265	
4788	0.8889481708090159	
4787	0.8793914730871961	
4786	0.8813759634060858	
4785	0.8770372746146649	
4784	0.8753508620220174	
4783	0.8703950492825072	
4782	0.865225705063537	
4781	0.8656815031394416	
4780	0.8598401858470908	
4779	0.8713712487272431	
4778	0.8702161640902233	
4777	0.892138771609126	
4776	0.9184776742083613	
4775	0.940197800154337	
4774	0.954548107453391	
4773	0.9588979645629934	
4772	0.9743896037064559	
4771	0.9886761913387687	
4770	0.9899412756808204	
4769	0.9787629949142485	0.7917519674578591
4768	0.9556991303373792	0.7991872565550358
4767	0.9361845225988645	0.8053624297449457
4766	0.9200705654148749	0.8105027970691403
4765	0.9102016266084831	0.8149456922801754
4764	0.8943371688376942	0.8184648092096805
4763	0.8757470223701205	0.8209909981036494
4762	0.8755621093897474	0.823385925966816
4761	0.8659277744388874	0.8252442535210759
4760	0.9044229498299359	0.8286875842040221
4759	0.9196160646961715	0.8326250680788652
4758	0.9246000530454523	0.8365916557953577
4757	0.9228466944901044	0.8402970681480629
4756	0.9176801894525539	0.8436089568850519
4755	0.9122821590994761	0.8465375803516367
4754	0.9096964761201605	0.8492218345328199
4753	0.900696825363724	0.8514023609773359
4752	0.8977242986261587	0.8533584472103477
4751	0.8883472941841433	0.8548315213750286
4750	0.878944973795484	0.855843806830425
4749	0.8725712397245218	0.8565440904693601
4748	0.8385800355729458	0.8557940231147735
4747	0.8179287585749648	0.8542170074827714
4746	0.8008590122511663	0.8520001416312174
4745	0.7933417342770497	0.8495687278796634
4744	0.7918906881029955	0.8471832815061231
4743	0.8023713646038146	0.8453339136594159
4742	0.8273178383990825	0.8445919222122951
4741	0.8476327815796338	0.844716913758643
4740	0.8635137017906658	0.8454880811009693
4739	0.8813102194468172	0.8469550832702311
4738	0.8978466183990861	0.8490356000084885
4737	0.9131717723374635	0.8516532157621898
4736	0.9211570112677236	0.8544853775036441
4735	0.9221266451736625	0.8572374265586029
4734	0.9411414080697398	0.8606461278518117
4733	0.9619060220633742	0.8647541397330902
4732	0.9843328675943468	0.8695987719673457
4731	1.0052360509133962	0.875086876795759
4730	1.0215701985844277	0.8810064547150924
