	macd	trigger
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517		
516		
515		
514		
513		
512		
511		
510		
509		
508		
507		
506		
505		
504		
503		
502		
501		
500		
499		
498		
497		
496		
495		
494		
493		
492		
491		
490		
489		
488		
487		
486		
485		
484		
483		
482		
481		
480		
479		
478		
477		
476		
475		
474		
473		
472		
471		
470		
469		
468		
467		
466		
465		
464		
463		
462		
461		
460		
459		
458		
457		
456		
455		
454		
453		
452		
451		
450		
449		
448		
447		
446		
445		
444		
443		
442		
441		
440		
439		
438		
437		
436		
435		
434		
433		
432		
431		
430		
429	-0.09795189606037047	
428	-0.09919996362187655	
427	-0.10039132876211632	
426	-0.10158248992767271	
425	-0.10255629458277804	
424	-0.10343121894377649	
423	-0.10475706115737404	
422	-0.10569298353395684	
421	-0.10625638311177443	
420	-0.10728859121242174	
419	-0.10794169616623916	
418	-0.1085089102664516	
417	-0.10893866506671923	
416	-0.10962582644756447	
415	-0.11022483847841258	
414	-0.11090698057386561	
413	-0.11138882292577712	
412	-0.11235198283456205	
411	-0.11259488734596923	
410	-0.112543901603257	
409	-0.11243804141180336	
408	-0.11363746948069275	
407	-0.11466660259515837	
406	-0.11564639717743486	
405	-0.11652189350711861	
404	-0.11724049071698284	
403	-0.11735170799754169	
402	-0.11785640232786454	
401	-0.11799088473296582	
400	-0.11846177818986048	
399	-0.11879311818566807	
398	-0.1190488247811925	
397	-0.11900091413514557	
396	-0.11918453062209533	
395	-0.11929916553929898	
394	-0.11934794607631138	
393	-0.11956693797107354	
392	-0.11971514196278932	
391	-0.11932800515658881	
390	-0.11913235099786013	
389	-0.11859186654496101	
388	-0.11772217171992194	
387	-0.11742122723548087	
386	-0.11595431547621882	
385	-0.11614917355900367	
384	-0.11609867561952925	
383	-0.11563611863990175	
382	-0.11483939249863306	
381	-0.11467434360831774	-0.11535369291274822
380	-0.1152320819768522	-0.11534817764520784
379	-0.1160632529924217	-0.11538040977830362
378	-0.11679740368232405	-0.11544390892873677
377	-0.11737884596885584	-0.11553013584382615
376	-0.11805354653899736	-0.11564198887493884
375	-0.11881714535140153	-0.1157820156753173
374	-0.11948542418770147	-0.11594454482354186
