	macd	trigger
2557		
2556		
2555		
2554		
2553		
2552		
2551		
2550		
2549		
2548		
2547		
2546		
2545		
2544		
2543		
2542		
2541		
2540		
2539		
2538		
2537		
2536		
2535		
2534		
2533		
2532		
2531		
2530		
2529		
2528		
2527		
2526		
2525		
2524		
2523		
2522		
2521		
2520		
2519		
2518		
2517		
2516		
2515		
2514		
2513		
2512		
2511		
2510		
2509		
2508		
2507		
2506		
2505		
2504		
2503		
2502		
2501		
2500		
2499		
2498		
2497		
2496		
2495		
2494		
2493		
2492		
2491		
2490		
2489		
2488		
2487		
2486		
2485		
2484		
2483		
2482		
2481		
2480		
2479		
2478		
2477		
2476		
2475		
2474		
2473		
2472		
2471		
2470		
2469		
2468		
2467		
2466		
2465		
2464		
2463		
2462		
2461		
2460		
2459	-44.54511489519791	
2458	-48.48318418865074	
2457	-51.99219207203623	
2456	-55.30697964578576	
2455	-58.86941048557219	
2454	-61.68821656867931	
2453	-63.90519908219085	
2452	-65.76559354763049	
2451	-67.39460722763852	
2450	-69.57185977271183	
2449	-71.50056372249401	
2448	-73.35710019537692	
2447	-74.97802299929936	
2446	-76.20685875830623	
2445	-77.56179781108494	
2444	-79.59481535341001	
2443	-81.49206024769592	
2442	-83.5953902089932	
2441	-84.99600186722273	
2440	-85.55589341080486	
2439	-85.76395112559112	
2438	-86.08839006441212	
2437	-85.9571456376716	
2436	-86.01554294110838	
2435	-86.25522514999693	
2434	-86.78223541716807	
2433	-87.58369989874336	
2432	-88.76177587744905	
2431	-90.0123996907987	
2430	-91.84954230259018	
2429	-93.55509500249127	
2428	-94.73021875711765	
2427	-95.34026089196323	
2426	-95.9896403734565	
2425	-96.79255466247469	
2424	-97.56748162541999	
2423	-98.4319698032159	
2422	-99.26505327006862	
2421	-100.30174560573005	
2420	-101.35697477388567	
2419	-102.37090670980388	
2418	-103.05122388888412	
2417	-103.82455261956648	
2416	-104.45070713807354	
2415	-104.81794087357093	
2414	-104.99681137196012	
2413	-105.23261249313009	
2412	-105.10753212435702	
2411	-104.87536463525657	-92.97040210201185
2410	-104.71953531947293	-93.50324573637997
2409	-104.63679286162096	-94.00509211406163
2408	-103.84825563850654	-94.44618965132221
2407	-103.52105056456776	-94.85059415916407
2406	-102.97665550793226	-95.21079101281407
2405	-103.36354290671534	-95.57033353314185
2404	-104.76024799197603	-95.9736454994713
2403	-106.46044404713803	-96.43173341518316
2402	-105.92314145133241	-96.84449667144781
2401	-106.56128708067627	-97.26526368904766
2400	-107.59861093973404	-97.71090799428688
2399	-108.413041064151	-98.17065871351977
2398	-108.28857447126666	-98.60369127507838
2397	-108.23573469268285	-99.01445744695255
2396	-108.25141591198553	-99.40702834420271
2395	-108.33261819712425	-99.78512427764609
2394	-108.17266313459959	-100.13931389318681
2393	-107.66075545540662	-100.45597597852964
2392	-106.75194804743433	-100.72028159689592
2391	-105.89110653467287	-100.93675498684449
2390	-108.06695465820576	-101.23446783820297
2389	-114.1819242557267	-101.7737045611799
2388	-119.83779661324206	-102.52421380793331
2387	-125.41983591177177	-103.47324623047315
2386	-132.52228242081992	-104.67465526419579
2385	-139.60179251812906	-106.11608265851517
2384	-146.1649078308974	-107.76549216173647
2383	-151.8628638677892	-109.5780714406803
2382	-156.608612651185	-111.50757223686342
2381	-160.87361252393202	-113.52922955641831
2380	-164.80068679920623	-115.62527803910581
2379	-168.8844346116839	-117.79896571348296
2378	-173.41246322884126	-120.0651213791677
2377	-178.23925286516123	-122.43199102980921
2376	-182.9533022637861	-124.89074290492213
2375	-187.11165565310375	-127.41498264291253
2374	-190.3653956831613	-129.9653660232102
2373	-193.0015868792848	-132.5159140048072
2372	-195.04664988464128	-135.04286081946202
2371	-196.57581008830175	-137.52651637156958
2370	-198.3078778573522	-139.97702402659917
2369	-199.83475645651288	-142.38763968007476
2368	-201.41406357483856	-144.76226718277542
2367	-203.1923366040055	-147.1105217540636
2366	-204.6858633476213	-149.42217524337923
2365	-206.33116781029912	-151.70494181860911
2364	-208.34558665065242	-153.97490835252006
2363	-210.73668199697522	-156.247772498922
2362	-213.7116714256831	-158.5468511266438
2361	-216.867453404132	-160.87835584298966
2360	-220.39489957041542	-163.25586023825412
2359	-222.99705387585618	-165.6405948423801
2358	-224.99016697028082	-168.00803467694934
2357	-228.71024700533872	-170.42779991067644
2356	-232.068450734635	-172.88338476073534
2355	-235.0040284040092	-175.35655426870048
2354	-237.86154441469262	-177.84354159530187
2353	-239.71198159991627	-180.30379190857212
2352	-241.78325980024374	-182.74723016029768
2351	-243.38418548051914	-185.155911144126
2350	-244.83768871079792	-187.5254475471546
2349	-246.3767639178268	-189.86087455232916
2348	-247.71922113216215	-192.15582338799788
2347	-248.9237934343887	-194.40651131678047
2346	-250.29934682136718	-196.62154696363146
2345	-251.66059820921464	-198.80184367362088
2344	-252.9569783950633	-200.94627187431095
2343	-254.41857944473622	-203.06285264034636
2342	-255.75877082696843	-205.14793643245818
2341	-257.0583961414586	-207.2012171741884
2340	-258.19195503433593	-209.2174363078297
2339	-258.10138071872143	-211.1497225685808
2338	-258.05960306033353	-213.00339896856354
2337	-257.4299472569628	-214.75841826126072
2336	-256.3915932627965	-216.40261479748426
2335	-255.11592718960674	-217.9310757345332
2334	-253.38556448416148	-219.3305012837387
