	macd	trigger
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630		
629		
628		
627		
626		
625		
624		
623		
622		
621		
620		
619		
618		
617		
616		
615		
614		
613		
612		
611		
610		
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578		
577		
576		
575		
574		
573		
572		
571		
570		
569		
568		
567		
566		
565		
564	0.6240100661421195	
563	0.6124175157192155	
562	0.6118543457079113	
561	0.6150614602459967	
560	0.6150879179585758	
559	0.6107182018948549	
558	0.6035161673503922	
557	0.5922452101464302	
556	0.5812050684165939	
555	0.5717642144064286	
554	0.5624770127086123	
553	0.5519591277339657	
552	0.5430395720708248	
551	0.5287096079309777	
550	0.5300902751712044	
549	0.5297411820434235	
548	0.5179530771891478	
547	0.503649888652518	
546	0.48554481339117217	
545	0.4638143724875192	
544	0.4470944159776735	
543	0.4337542776191725	
542	0.43073476433228564	
541	0.4247962676683983	
540	0.4189177717463366	
539	0.4188040301727227	
538	0.4127662916300494	
537	0.4067986700385404	
536	0.3965961016202897	
535	0.38810190573319403	
534	0.3769223421504506	
533	0.3660679237175941	
532	0.3526368053010458	
531	0.32081332194935896	
530	0.2830376506620098	
529	0.2468591857866329	
528	0.20493877418417128	
527	0.1546299405692082	
526	0.11532725973798108	
525	0.07630908136165715	
524	0.03171213312285204	
523	-0.004975904898728345	
522	-0.029676380040328354	
521	-0.05175429704658541	
520	-0.07574556604834015	
519	-0.09859824466397527	
518	-0.12331500236409454	
517	-0.15870126509159377	
516	-0.20426860757299892	0.2187458255929298
515	-0.23574584154302158	0.1981338376935301
514	-0.2611935794642193	0.17742958253769597
513	-0.2883278598564232	0.1565577906294711
512	-0.31108663762898914	0.1357180756561186
511	-0.33563862877420547	0.11482465698799903
510	-0.3618937749132982	0.09380101383988364
509	-0.38376488801731057	0.07284238100464831
508	-0.4059436962040195	0.051927884060375726
507	-0.42539894346812446	0.0311698495429729
506	-0.44224336987672075	0.010669595854431928
505	-0.4565858494388806	-0.009481641032836786
504	-0.47004134083360327	-0.029266729841844915
503	-0.4871786408048848	-0.048864715486339146
502	-0.5093402001636349	-0.06850205970107687
501	-0.5287162101522256	-0.08806116919082421
500	-0.5423879125289801	-0.10730685456751693
499	-0.5566788624293224	-0.12628296918394954
498	-0.5548282432986582	-0.14432526055088854
497	-0.5558239544964323	-0.16160002218735767
496	-0.556490983504446	-0.17813188820197334
495	-0.5598953683796708	-0.19407195993442997
494	-0.5735507555815786	-0.20987652382753888
493	-0.5908785855599206	-0.22570602522390867
492	-0.6117075786945207	-0.24170593943165328
491	-0.6190186033019103	-0.2573108235297465
490	-0.6195459598706066	-0.2722601062296314
489	-0.6181978337700258	-0.2865075397778542
488	-0.6119852032368129	-0.2998859803905355
487	-0.6057428756479766	-0.3124342332434181
486	-0.599475299337044	-0.3241892508406677
485	-0.5993513578085867	-0.33543826048110137
484	-0.5989268305441726	-0.34619212693230705
483	-0.5982155487094616	-0.3564616537677274
482	-0.5925947732234675	-0.36606895343296886
481	-0.591566926250195	-0.3752300828301002
480	-0.5840910872121015	-0.38370336333486166
479	-0.5766565842123157	-0.39152070183883825
478	-0.5692652580465278	-0.39871253556425246
477	-0.5603668788248513	-0.4052451938167075
476	-0.5515864337738776	-0.4111519679505777
475	-0.5460319243273233	-0.41658989098375265
474	-0.5388947628760832	-0.42151540397449594
473	-0.5318062075344727	-0.4259523926678209
472	-0.5247676097493184	-0.4299236918212008
471	-0.5193395023004257	-0.4335137420853128
470	-0.5138921070314524	-0.4367379257616433
469	-0.50842903168504	-0.43961106415383033
468	-0.5060790725909214	-0.4422725869280427
467	-0.5051402648053482	-0.44478786586458735
466	-0.5055499619660964	-0.4472169751004913
465	-0.5025498914931177	-0.44942735634387737
464	-0.4994284072528643	-0.4514232862723727
463	-0.5008966037664067	-0.4533967647387593
462	-0.5083171037224758	-0.4555860478274607
461	-0.52298949152474	-0.45827120564089024
460	-0.5398683970619516	-0.46151978250556375
459	-0.5494148104267396	-0.4650170044073779
458	-0.5566721264874275	-0.46866174707089825
457	-0.5633135738860062	-0.472423586627533
