	macd	trigger
498		
497		
496		
495		
494		
493		
492		
491		
490		
489		
488		
487		
486		
485		
484		
483		
482		
481		
480		
479		
478		
477		
476		
475		
474		
473		
472		
471		
470		
469		
468		
467		
466		
465		
464		
463		
462		
461		
460		
459		
458		
457		
456		
455		
454		
453		
452		
451		
450		
449		
448		
447		
446		
445		
444		
443		
442		
441		
440		
439		
438		
437		
436		
435		
434		
433		
432		
431		
430		
429		
428		
427		
426		
425		
424		
423		
422		
421		
420		
419		
418		
417		
416		
415		
414		
413		
412		
411		
410		
409		
408		
407		
406		
405		
404		
403		
402		
401		
400	-0.12433605424070748	
399	-0.11521098490904791	
398	-0.10970004979832737	
397	-0.1065598802992227	
396	-0.10459969869894792	
395	-0.09723951382983387	
394	-0.09563348833805208	
393	-0.09842978843294503	
392	-0.10214000473495588	
391	-0.10342363074509109	
390	-0.10569614050018572	
389	-0.10836010871862811	
388	-0.11416689949338377	
387	-0.12130830443325635	
386	-0.13250557017140352	
385	-0.14143631234871634	
384	-0.14931740372281865	
383	-0.1517085165394434	
382	-0.14548266349497396	
381	-0.14228913539544408	
380	-0.13747896834269113	
379	-0.1333886326139222	
378	-0.12715337607296107	
377	-0.1234157802482656	
376	-0.1266205645674887	
375	-0.12219606101048441	
374	-0.1202012774736474	
373	-0.1130826005957033	
372	-0.10967984693120769	
371	-0.10292832205599467	
370	-0.09643669830617796	
369	-0.08095909985534178	
368	-0.07540945501517626	
367	-0.06544176665089196	
366	-0.057061586005055176	
365	-0.042059490005641464	
364	-0.027727011748119423	
363	-0.012289230045986699	
362	0.00010585054972978014	
361	0.01193091770242205	
360	0.023206454330598092	
359	0.030426421952562066	
358	0.025527433402267263	
357	0.019071664643050212	
356	0.01880725141285211	
355	0.0232767309519204	
354	0.027529522025375286	
353	0.03216670290975543	
352	0.035386907192183514	-0.04762837711510734
351	0.03903669510839336	-0.04369796529649626
350	0.04309546665176356	-0.039785737779082155
349	0.03978593763582694	-0.036219925835183166
348	0.03899783383813116	-0.03286798453575715
347	0.04061954798077494	-0.029610566598718094
346	0.04154725312983487	-0.0264724529679853
345	0.0424114347919371	-0.023449389331721998
344	0.038407880145314266	-0.020747318960334223
343	0.03276277044182052	-0.018420267098215877
342	0.033985196785351945	-0.016150948751770648
341	0.03513452339990408	-0.013939169930113304
340	0.03138208220613592	-0.011992223640980673
339	0.020528784439839853	-0.010600370242426372
338	0.015608886088507745	-0.009482655607642854
337	0.011511584015075016	-0.00859040005437012
336	-0.002114417752423492	-0.008316071677896959
335	-0.017548317672407165	-0.008705931649354733
334	-0.034094473986868934	-0.009774820996417482
333	-0.055349608405883544	-0.011688055717972804
332	-0.06219621248880003	-0.013802548482242579
331	-0.06869914733737659	-0.016094689478053453
330	-0.07792553368531685	-0.018669825530575338
329	-0.08363392008686077	-0.021368890256936158
328	-0.08965189114011451	-0.024199247145801326
327	-0.09473719986560525	-0.02711655335391688
326	-0.09647517004292894	-0.029978952565188646
325	-0.09317196882501122	-0.03258155479153429
324	-0.09304509488477919	-0.035066849394467775
323	-0.09656827698472625	-0.0375900407175414
322	-0.09187528333736594	-0.03981315112801785
321	-0.07501969212645321	-0.04125244349084271
320	-0.05519061753180665	-0.041821307871465783
319	-0.07082077170814216	-0.04300298682012668
318	-0.08075841454951416	-0.04453910216481716
317	-0.09205871958246803	-0.04646964441593586
316	-0.10279787347962355	-0.04875482391416399
315	-0.11485519579122894	-0.05143282524449642
314	-0.1294066894030621	-0.05458777456008158
313	-0.14509247335622888	-0.05824518490583079
312	-0.15750542228603592	-0.06225162767514726
311	-0.16678605876875707	-0.06646611740270911
310	-0.17867064894679885	-0.0709848652595174
309	-0.18867776812100345	-0.07571963971418928
308	-0.19750995600575294	-0.08061428847643058
307	-0.20459193696272138	-0.08559199865214492
306	-0.20750206611457855	-0.09048212611064835
305	-0.20954891165425238	-0.09525392239379071
304	-0.210770210963382	-0.09987944435615613
303	-0.2112024130285235	-0.10433337565614303
302	-0.2115066613082135	-0.10861788252346218
301	-0.21294133472556354	-0.11278528625032483
300	-0.21357475557852013	-0.11680857605428276
299	-0.21406979516977032	-0.12068830216244332
298	-0.21631530217921835	-0.12450027014796591
297	-0.2164636567256224	-0.12816382489343964
296	-0.2190077633459211	-0.13178053659163638
295	-0.21880857405713527	-0.13524326213931118
294	-0.22039359728202612	-0.1386293365044367
293	-0.2224229082128133	-0.14195962587391733
292	-0.2242456915315998	-0.14522827418478684
291	-0.22650066870528462	-0.14845501952028708
290	-0.23168996961801724	-0.15175807478260686
289	-0.23652426419712214	-0.15512032205029358
288	-0.24101718329905708	-0.15852588734662035
287	-0.2432868328675113	-0.1618849675237955
286	-0.24596020311143718	-0.1652154929488323
285	-0.2490178743210052	-0.16853388908659167
284	-0.25180841778889373	-0.1718301236005
283	-0.25370950894358657	-0.17506994530134457
282	-0.2566602414568564	-0.1782971905376092
281	-0.25934470387724673	-0.18150188131061995
280	-0.2649433050071579	-0.18480015681864967
279	-0.27332215591630415	-0.18829816489043452
278	-0.2780066051205736	-0.19184199283537473
277	-0.28296970085298767	-0.1954408502818948
276	-0.2875613607091765	-0.19907790929309335
275	-0.291160680780294	-0.20271251206429228
274	-0.29444629653826127	-0.20633241559865337
273	-0.29806670040111527	-0.20995145120891223
272	-0.30391369767444587	-0.21365750962390875
271	-0.32334072457664575	-0.2179826555762188
270	-0.3519055127601405	-0.22326249729598563
269	-0.3738939547281106	-0.22919982743316564
268	-0.385768199538262	-0.23536993097979844
267	-0.3969034628646284	-0.2417344770427687
266	-0.4047766120801626	-0.24815727446030167
265	-0.40761700208758356	-0.2544378317194288
264	-0.4069267774314156	-0.2604428088129215
263	-0.40414255402531296	-0.266100741076041
262	-0.4012763008967539	-0.2714222093821999
261	-0.39449983933775457	-0.2762666839384769
260	-0.39230164054843186	-0.2808332867333694
259	-0.3893614684802813	-0.2851038606756747
258	-0.3889120640879753	-0.28918815570564016
257	-0.38892192934717684	-0.2931116379203826
256	-0.39065026368278666	-0.2969482887569068
255	-0.39145795240693104	-0.3006653540164202
254	-0.3997108809048058	-0.30456036952464055
253	-0.4028979237543808	-0.30842711900232095
252	-0.4127799099687124	-0.3125299618779807
251	-0.4226398851503319	-0.31685871941935734
250	-0.4324739011483061	-0.3214034629739655
249	-0.4416368966621178	-0.3261293043844249
248	-0.45528647495648045	-0.3312054420259926
247	-0.4680795715643029	-0.33658440735599976
246	-0.46849552861739596	-0.3417679033544376
245	-0.47507018944231305	-0.3470056483357214
244	-0.4798155610330568	-0.35222364742499174
243	-0.4821697208380016	-0.35732875303247064
242	-0.4860947076855169	-0.3623871386999989
241	-0.4876615341944017	-0.367308029457923
240	-0.49083305845231706	-0.37215988713044273
239	-0.48846243810857004	-0.37672777170040644
238	-0.4865898992103226	-0.3810424432980143
237	-0.4839073424462086	-0.38508207556746776
236	-0.4810962596552315	-0.3888524622894251
235	-0.473659057774384	-0.392182559807496
234	-0.4605217220673907	-0.39486589362580715
233	-0.447099874811407	-0.39691675727357106
232	-0.44114090453076926	-0.3986530485038306
231	-0.4365127835618807	-0.4001393979547533
230	-0.4241383049392624	-0.40108153883087444
229	-0.41661779449955816	-0.401691430240185
228	-0.4118016296992053	-0.40208830032885645
227	-0.40956970215328425	-0.4023819670952263
226	-0.39949021369449156	-0.4022684615940417
225	-0.39030729426102795	-0.40179898527376323
224	-0.3819850043672659	-0.40102131240837036
223	-0.37900424000773114	-0.4001571996020175
222	-0.3688653669953368	-0.3989291155340537
221	-0.35899676190889807	-0.39736197199790024
220	-0.3461640873705676	-0.39535277198456104
219	-0.3350271543667418	-0.39298543153617316
218	-0.33067990372008893	-0.39054046011620863
217	-0.32958777920893567	-0.3881486387239677
216	-0.32902024896367266	-0.3858284615254428
215	-0.32766190828903063	-0.383546081143185
214	-0.32619540744591546	-0.38129576662523
213	-0.32010338015489026	-0.37889476483855267
212	-0.31283013584791064	-0.3763026462644317
211	-0.3083110685422312	-0.3736349761963385
210	-0.29995917553864615	-0.37074434062736034
209	-0.2840736375728241	-0.36734392022648504
208	-0.26747077681878295	-0.36342558896419663
207	-0.24566482023051606	-0.3588055513946489
206	-0.22795822520671294	-0.3536721825670768
205	-0.21029273271425808	-0.3480472469945394
204	-0.1933225187688734	-0.3419773171568988
203	-0.17508364290701905	-0.33543009042068056
202	-0.1601729065949229	-0.32855486172188025
201	-0.14456366345854121	-0.3213371019067892
200	-0.1302374886174391	-0.313840585820018
199	-0.11584878411707678	-0.30607379888093045
198	-0.10399747774241064	-0.2981468813351802
197	-0.09133693104143248	-0.2900343706666582
196	-0.07985312980729731	-0.28178970711306567
195	-0.06690798629252015	-0.2733607511374931
194	-0.04998377157345857	-0.2645986505192964
193	-0.0338044432757485	-0.25554569447700987
192	-0.018992328172345196	-0.24626692265274816
191	-0.0035492139267532252	-0.2367464426862057
190	0.007952478095049287	-0.22714833523740008
189	0.01698203909236895	-0.2175726095976132
188	0.023647190363810466	-0.2081111247489458
187	0.025459365645893683	-0.19894974418031008
186	0.031065043755013733	-0.18992789734781806
185	0.03704749304387178	-0.18102532871189508
184	0.042738163622132674	-0.1722487999420721
183	0.05398286790249074	-0.16337552262199684
182	0.06468725808446862	-0.15443048246233182
181	0.07357338108246125	-0.14548780810443193
180	0.07942223372860724	-0.1366665304475073
179	0.08561194499590385	-0.12794851586383607
178	0.09212381458036845	-0.11931707584528106
177	0.09893982509471044	-0.110756883479227
176	0.10734013246761265	-0.1022030049582795
175	0.11530191489111985	-0.09367238999488241
174	0.12543641691787855	-0.08507890996473993
173	0.13634175938401683	-0.07639479709949858
172	0.1492751285279894	-0.06754406646237263
171	0.16283958697720635	-0.05850850155770239
170	0.17440325898141396	-0.049373821346107516
169	0.18340211374480475	-0.04024450285472711
168	0.195141183556359	-0.031012865367430337
167	0.20689304728889368	-0.02168241938372748
166	0.22254628552919797	-0.012104031742176391
165	0.23542278461718524	-0.0023963271657479455
164	0.24239579878294393	0.007204096247748243
163	0.2515223028107201	0.016785904509521637
162	0.2672451290855449	0.026608526426901837
161	0.2775666655008422	0.03645068782111275
160	0.2859745984764146	0.046236575198777344
159	0.29774748835572495	0.056100364167044746
158	0.30428241215680885	0.06583357741667335
157	0.3142585278577954	0.07557629390169791
156	0.32166778843971855	0.08522747522076245
155	0.3279224324507197	0.09474543094995985
154	0.3324221312182303	0.10406656236682642
153	0.3404419022115093	0.11333663884752394
152	0.34986820132933616	0.12261282413911638
151	0.36193160290951454	0.13199829981902092
150	0.37195736236975563	0.14140886907236191
149	0.36378788805284756	0.15012997992039231
148	0.35515157405978215	0.158170365754184
147	0.34607415961742305	0.1655394266869199
146	0.3352806535780033	0.17219619248627482
145	0.31895526491486237	0.17795165549204547
144	0.3051577505799372	0.18294030074773487
143	0.290530283902001	0.18715965468200416
142	0.27576825483973977	0.19063461166241483
141	0.26088545529534457	0.19338963043269708
140	0.24719522203257327	0.19549971524405818
139	0.23074987578245043	0.1968821132619408
138	0.2181844698003914	0.197717522309932
137	0.203477673976856	0.1979434164604308
136	0.19583678364370627	0.19786080135326364
135	0.17998992273517445	0.19715996583038814
134	0.1608704454559131	0.19573681469790913
133	0.14123821761299382	0.19359956764970868
132	0.11722533223694853	0.1906044360927952
131	0.08579246492165993	0.1864940789849761
130	0.06615219365158254	0.18177469699955617
129	0.042170226441797354	0.17629990893276595
128	0.016007765071847757	0.17001382893997238
127	0.0007846627674510387	0.1633772758540978
126	-0.016346438864651702	0.15632916949879838
125	-0.025533937633930748	0.1491971686670371
124	-0.03884220061932808	0.1418229622290634
123	-0.054125326416190944	0.13413860195516833
122	-0.06933408474804281	0.12615916751157302
121	-0.08446396013643209	0.11789932423743808
120	-0.10081163749443078	0.10932231126116085
119	-0.11636165918789487	0.10047184792850052
118	-0.13504534926337897	0.09123576756567191
117	-0.15280706656868404	0.08166534899537638
116	-0.16772795155442566	0.07188511023388114
115	-0.1831824753269018	0.06188235238906401
114	-0.1913313856410781	0.05195229941061269
113	-0.19445507064067158	0.04228916948816585
112	-0.19928692436611328	0.032815506939103414
111	-0.20249350379070563	0.02358761814387258
110	-0.20740037114152443	0.014529185971904519
109	-0.20872230890550014	0.005774151424234717
108	-0.21052595569981492	-0.002708274568833904
107	-0.21864452007897484	-0.011176428667666362
106	-0.23278603965642475	-0.01986706676445881
105	-0.2461616814612242	-0.028741429265875716
104	-0.25424437126681454	-0.037584743059141355
103	-0.25857254944789076	-0.0462509891354135
102	-0.2580135661562153	-0.0545554569426621
101	-0.2521396578800932	-0.062303904511401054
100	-0.24119607499530815	-0.06931932509371067
99	-0.23192731095335972	-0.07569614496288331
98	-0.22556344610917733	-0.08157332600298918
97	-0.22588021970739192	-0.08723244945550691
96	-0.22281084821303665	-0.09254927610936106
95	-0.21520959423340003	-0.09735950787417828
94	-0.2104461068413599	-0.10179429702123889
