	macd	trigger
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648		
4647		
4646		
4645		
4644		
4643		
4642		
4641		
4640		
4639		
4638		
4637		
4636		
4635		
4634		
4633		
4632		
4631		
4630		
4629		
4628		
4627		
4626		
4625		
4624		
4623		
4622		
4621		
4620		
4619		
4618		
4617		
4616		
4615		
4614		
4613		
4612		
4611		
4610		
4609		
4608		
4607		
4606		
4605		
4604		
4603		
4602		
4601		
4600		
4599		
4598		
4597		
4596		
4595		
4594		
4593		
4592		
4591		
4590		
4589		
4588		
4587		
4586		
4585		
4584		
4583		
4582		
4581		
4580		
4579		
4578		
4577	-0.1898137620574829	
4576	-0.19179093348580523	
4575	-0.19087767158434588	
4574	-0.19802483270502336	
4573	-0.2047298163009117	
4572	-0.21373072313777186	
4571	-0.2221946625174951	
4570	-0.23287796683199957	
4569	-0.24293635194188568	
4568	-0.24359911809130352	
4567	-0.2441061766895416	
4566	-0.23949182193473462	
4565	-0.23552642335909013	
4564	-0.23384847077736737	
4563	-0.22656381561883876	
4562	-0.21950534632205176	
4561	-0.21546208470310546	
4560	-0.21990697231526468	
4559	-0.22403218892737442	
4558	-0.22785081680706298	
4557	-0.22573146841882874	
4556	-0.22359605957634443	
4555	-0.2225800978362571	
4554	-0.22604292636310674	
4553	-0.23150713857093308	
4552	-0.23431816119881432	
4551	-0.21973029344609785	
4550	-0.20857088293221437	
4549	-0.2006920503816474	
4548	-0.19135059363608775	
4547	-0.17946286336910333	
4546	-0.16803327012294744	
4545	-0.16456530452544627	
4544	-0.16407119705570494	
4543	-0.16061385043630594	
4542	-0.15723428956404462	
4541	-0.15684372721997875	
4540	-0.16514641742141833	
4539	-0.17590664329172512	
4538	-0.18315439813761714	
4537	-0.19056271286851256	
4536	-0.19929685819484888	
4535	-0.19045936811544806	
4534	-0.1878262477286583	
4533	-0.18521852398038874	
4532	-0.1767221467379656	
4531	-0.1714870870579901	
4530	-0.17352354952569016	
4529	-0.18013155338221765	-0.19311267551257036
4528	-0.18634547922141564	-0.1928057713861534
4527	-0.18920095666310033	-0.1926432837988079
4526	-0.19182962104510182	-0.1926068214728566
4525	-0.19125269471533102	-0.19254647730117533
4524	-0.19359692525318195	-0.19259303959390195
4523	-0.20052935271567662	-0.19294303700079565
4522	-0.20224271775677494	-0.19335116621121773
4521	-0.1977665848327348	-0.1935440420354392
4520	-0.19339428810024373	-0.19353752952204872
4519	-0.195147276328413	-0.19360723652758025
4518	-0.200943131080912	-0.19392361025936503
4517	-0.2063721855259928	-0.1944583860274194
4516	-0.21023910281810032	-0.1951337785073249
4515	-0.2168496280601886	-0.1960598682271368
4514	-0.22607890307674694	-0.1973356777363066
4513	-0.2378064247967231	-0.19905005461661443
4512	-0.25191590155737487	-0.20128247753858505
4511	-0.2652538223726921	-0.20397575106730664
4510	-0.28089336742196025	-0.20720476128707627
4509	-0.2987251349796196	-0.21103620516324484
4508	-0.3186435672541492	-0.2155292202360094
4507	-0.3374920845702363	-0.2206087395769245
4506	-0.3534751152994531	-0.2261289419361119
4505	-0.368549886674856	-0.2320323453724904
4504	-0.3845887256586167	-0.23834176687022268
4503	-0.3966335558596583	-0.24487439848232254
4502	-0.4048570541618517	-0.25146327871769997
4501	-0.40942598497622384	-0.25795618106386836
4500	-0.4197308685646348	-0.2645932381825154
4499	-0.4293523656124094	-0.2713405181748987
4498	-0.44139897346037316	-0.2782927443517632
4497	-0.461927332677611	-0.2857874976847279
