	macd	trigger
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831		
4830		
4829		
4828		
4827		
4826		
4825		
4824		
4823		
4822		
4821		
4820		
4819		
4818		
4817		
4816		
4815		
4814		
4813		
4812		
4811		
4810		
4809		
4808		
4807		
4806		
4805		
4804		
4803		
4802		
4801		
4800		
4799		
4798		
4797		
4796		
4795		
4794		
4793	-3.1451432621391007	
4792	-3.132093388856873	
4791	-3.1180590662004875	
4790	-3.113914392692635	
4789	-3.0866711799700965	
4788	-3.064582250149982	
4787	-2.9710668640636584	
4786	-2.8996070151613367	
4785	-2.819081466233058	
4784	-2.738173512473651	
4783	-2.6376404179162876	
4782	-2.5239238062346203	
4781	-2.4475081169698	
4780	-2.3678841085291538	
4779	-2.3019243785652463	
4778	-2.226725843154952	
4777	-2.142730001306802	
4776	-2.078390483082785	
4775	-2.016000011250469	
4774	-1.9639435234155087	
4773	-1.9415356102363717	
4772	-1.9163560641804054	
4771	-1.8800367014972323	
4770	-1.8387696816159291	
4769	-1.804178257455277	
4768	-1.7645709872878967	
4767	-1.7259041781564122	
4766	-1.6824244393325216	
4765	-1.6802802809283435	
4764	-1.6543785015520314	
4763	-1.623072142157156	
4762	-1.5750688020285395	
4761	-1.4937781089548992	
4760	-1.4270695160566333	
4759	-1.3627125290306594	
4758	-1.3209854336381568	
4757	-1.2542909697499454	
4756	-1.1783565540434324	
4755	-1.11408746664776	
4754	-1.060993082215532	
4753	-1.0098001434504056	
4752	-0.9486933360983585	
4751	-0.8840244911441459	
4750	-0.8218746203134799	
4749	-0.7621584004710087	
4748	-0.7195787109378671	
4747	-0.6993167113620302	
4746	-0.7033570789048156	
4745	-0.7425023673963267	-1.4656725303637255
4744	-0.7794781038111012	-1.4345524191725396
4743	-0.8382001150376652	-1.407671745808908
4742	-0.9057438464180905	-1.3851790624603235
4741	-0.9996162317893038	-1.367997163115503
4740	-1.0707360491304314	-1.3548207282629467
4739	-1.1140914746295891	-1.3442043862358195
4738	-1.142898351496001	-1.3353697955474528
4737	-1.2118663329409571	-1.329974875113781
4736	-1.2951165355389378	-1.3284589523238122
4735	-1.36788235753437	-1.330166107457911
4734	-1.430598522986429	-1.3344974371767233
4733	-1.5259598681640227	-1.342722432117251
4732	-1.592005982913264	-1.3533914174241284
4731	-1.6905531914745069	-1.3677699501221696
4730	-1.801928763161257	-1.386221707313568
4729	-1.8982046753859123	-1.4079097617066412
4728	-2.0164642320377766	-1.4336078452038612
4727	-2.1283053357257273	-1.4628554773514084
4726	-2.1974275430262935	-1.4936928956131093
4725	-2.2744721595425403	-1.5263797369001828
4724	-2.3590525492794114	-1.5611469816686276
4723	-2.4507957252271666	-1.5981991452447684
4722	-2.5248780329253293	-1.6366998942428916
4721	-2.5575641218178475	-1.674870073885192
4720	-2.6058428220911622	-1.7133732125957257
4719	-2.6444585459875043	-1.7517986895033346
4718	-2.686107393224077	-1.790278161703235
4717	-2.730635977072396	-1.8289306488013963
4716	-2.802508285409772	-1.8688731792641833
4715	-2.869678064782917	-1.9098585309450076
4714	-2.9446542739589177	-1.9521624201589403
4713	-3.0270547166628035	-1.9960324377588132
4712	-3.1165106547684474	-2.041690024013868
4711	-3.184849863241922	-2.088200565042788
4710	-3.251545159014512	-2.135462854036696
4709	-3.3073514057369806	-2.1830051918141873
4708	-3.3558287404239593	-2.230521157825143
4707	-3.400384310216225	-2.277855722961724
4706	-3.4504852790964406	-2.325243179385379
4705	-3.502754663414052	-2.37277109686258
4704	-3.5508539218042046	-2.4202675811500143
4703	-3.6011706199168145	-2.4678254025863886
4702	-3.650468893719733	-2.5154030394247995
4701	-3.7050042812506803	-2.563212097017887
4700	-3.7613989038348166	-2.6113193706556737
4699	-3.813301967802275	-2.6595339949709387
4698	-3.879629434492358	-2.708431316392748
4697	-3.9472031895970474	-2.758034420654664
4696	-4.022191100146145	-2.808612186142086
4695	-4.110485395986288	-2.860657662531272
4694	-4.19265722525688	-2.9138669824369097
4693	-4.275210339944948	-2.9682087592758495
4692	-4.3957210337922135	-3.025151872795582
4691	-4.521049451837385	-3.0847826640985385
4690	-4.619519305298141	-3.145922123117605
4689	-4.68600475336396	-3.20723644920129
4688	-4.756493469312105	-3.2688792486908103
4687	-4.830772568790209	-3.330989244187427
4686	-4.892897925799957	-3.393065699128107
4685	-4.943385970078637	-3.4546490509926895
4684	-4.989038581297251	-3.5155686816860108
4683	-5.023745152905406	-3.5754184229776076
4682	-5.044826429331849	-3.633702428529891
4681	-5.0907663430446775	-3.69147085254053
4680	-5.163584601797396	-3.7498107882654916
4679	-5.192514900542889	-3.8069615377479153
4678	-5.230106092524579	-3.86331503649959
4677	-5.288604916948586	-3.9197319237455748
4676	-5.335392684461851	-3.975747103077768
4675	-5.440639832462637	-4.033689876977438
4674	-5.493946961046106	-4.091429741048627
4673	-5.529323121995375	-4.148266840793983
4672	-5.557072424013185	-4.203936768630113
4671	-5.599734213417818	-4.259076128735194
4670	-5.666139228372131	-4.314644513192678
4669	-5.726605905132473	-4.370390914077776
4668	-5.768664589875257	-4.425582230486562
4667	-5.812194784527506	-4.48029929807453
4666	-5.866648608187774	-4.534992562783157
4665	-5.925145342639922	-4.589822961179483
4664	-5.9842920408172375	-4.644811158763003
4663	-6.0376633194845795	-4.699723659155267
4662	-6.079123786241425	-4.754094466458044
4661	-6.10919064011361	-4.807496591003916
4660	-6.147488343360379	-4.860293302202885
4659	-6.180872462778908	-4.9123155136407455
4658	-6.254207097173065	-4.965167898699464
