	macd	trigger
4932		
4931		
4930		
4929		
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834	-41.14539476851405	
4833	-41.99794511469918	
4832	-42.73419738668031	
4831	-43.16992349199586	
4830	-43.77973989931775	
4829	-44.47410195732232	
4828	-45.3036130861185	
4827	-45.93388429296465	
4826	-46.64790591386509	
4825	-47.331818902835494	
4824	-47.76636725014782	
4823	-47.87977428418799	
4822	-47.76954059809941	
4821	-47.584599431906554	
4820	-47.356253861092455	
4819	-47.25397648175522	
4818	-46.852782282880526	
4817	-46.55861844664037	
4816	-46.36687706624434	
4815	-46.16049328722261	
4814	-45.71449334564318	
4813	-45.039766776719716	
4812	-44.54360626507173	
4811	-43.735426852765386	
4810	-42.85717379754374	
4809	-41.96938679947607	
4808	-41.15861686431549	
4807	-40.42179214502903	
4806	-39.784648115074106	
4805	-39.01300779563849	
4804	-38.31485397925758	
4803	-37.86042532376041	
4802	-37.69695486120122	
4801	-37.46393878286449	
4800	-37.425836488904	
4799	-37.51588699779836	
4798	-37.582742239103254	
4797	-37.48152312879279	
4796	-37.27822911219869	
4795	-37.15320626310199	
4794	-36.86839874195266	
4793	-36.636716616430476	
4792	-36.45592731445731	
4791	-36.44178604501326	
4790	-36.40978496554271	
4789	-36.567752761875	
4788	-36.64067120113782	
4787	-36.484002868874086	
4786	-36.137736400988615	-39.715777121986555
4785	-35.87821064145601	-39.54173680490374
4784	-35.4335690005114	-39.35656049870491
4783	-35.22995127543072	-39.17163649931155
4782	-35.10737348439466	-38.99052008331355
4781	-34.912711523176995	-38.809766610000075
4780	-34.70919544462754	-38.62892832241716
4779	-34.85734942731801	-38.46340742370119
4778	-34.95096358381238	-38.309975652283434
4777	-34.99244085987857	-38.16570238339973
4776	-34.71301863854205	-38.01619051982599
4775	-39.22389921005447	-38.06827514324291
4774	-43.32775720477639	-38.29421614442438
4773	-47.26764763358506	-38.67826638923363
4772	-51.06427123963772	-39.20647744234377
4771	-54.722334095643646	-39.86590162304664
4770	-58.155364038748985	-40.64065953576644
4769	-61.44780820752044	-41.51930535955745
4768	-64.61967879140548	-42.49185993737538
4767	-67.56837774749283	-43.54457498657497
4766	-70.42446312872198	-44.669884889267344
4765	-73.20605356233341	-45.86137804991861
4764	-75.85414060820904	-47.110519076033036
4763	-78.35820796263067	-48.408767522812205
4762	-80.69295035049572	-49.74695943127924
4761	-82.94148666209833	-51.11981754002814
4760	-85.13733590926404	-52.52370536821416
4759	-87.18975616194507	-53.95142549164396
4758	-89.04276081951787	-55.39382046497166
4757	-90.81209932905244	-56.84691021279738
4756	-92.4699248450454	-58.305757790142174
4755	-94.08212419646986	-59.76834540817996
4754	-95.63459229031139	-61.23216916715398
4753	-97.14474583518711	-62.69554573438258
4752	-98.66016365946518	-64.15880028566522
4751	-100.08713193953633	-65.61843245526767
4750	-101.42896605990711	-67.07122972182837
4749	-102.65788492691377	-68.51299331974796
4748	-103.77838913519986	-69.93988856974536
4747	-104.76378960930037	-71.34716683966472
4746	-105.6973549578729	-72.73364410833888
4745	-106.61208287165653	-74.09951304415368
4744	-107.3372869641239	-75.43807858690921
4743	-108.00568534271827	-76.74827035521562
4742	-108.4948851823832	-78.0241396829309
4741	-108.87507467822877	-79.26280661145694
4740	-109.1509822677599	-80.46169847907484
4739	-109.38963691507354	-81.62103295239292
4738	-109.6238750768797	-82.7423272984923
4737	-109.79125977334957	-83.82453062470401
4736	-110.00427373744071	-84.87112809037575
4735	-110.18250088079901	-85.88224023316099
4734	-110.28043225424642	-86.85616139623215
4733	-110.31732694642267	-87.79202151952416
4732	-110.3586910794861	-88.69159404493384
4731	-110.31012771789335	-89.5528137604657
4730	-110.20713977811215	-90.37511124997255
4729	-110.02080378572691	-91.15678625295409
4728	-109.84935135293097	-91.90011175363931
4727	-109.6135266721476	-92.6041132205491
4726	-109.44234258279789	-93.27297798547674
4725	-109.2542156888249	-93.9074785993573
4724	-108.98695562155689	-94.50588522869658
4723	-108.64426929541844	-95.06668362633813
4722	-108.22973433032632	-95.58856100369034
4721	-107.77838778406863	-96.07164440076117
4720	-107.26052400681249	-96.5148765575927
4719	-106.7742614186854	-96.9211263865521
4718	-106.22353358655994	-97.28934120749348
4717	-105.6906554150915	-97.62176627359942
4716	-105.20677055413307	-97.92178563968608
4715	-104.64320346103267	-98.18755647935828
4714	-104.05138075630214	-98.4193419300281
4713	-103.4645953126115	-98.61870860990851
4712	-102.914653628125	-98.78841493816955
4711	-102.44779699045012	-98.93293294081663
4710	-101.92398029156561	-99.05102407675913
4709	-101.41276069576861	-99.14424427768985
4708	-100.88841198869738	-99.21307081632881
4707	-100.38359788013855	-99.25924961562747
4706	-99.897702901461	-99.28443148666132
4705	-99.39830556311603	-99.28892189115085
4704	-98.82260234999035	-99.27053747627251
4703	-98.22210823176232	-99.22921230650884
4702	-97.5982532172739	-99.16493887551124
4701	-96.95241457148592	-99.07776370708582
4700	-96.34969228094809	-98.97029547437025
4699	-95.74060575327428	-98.84308936707042
4698	-95.1098028919505	-98.69607346593824
4697	-94.5383959658651	-98.53237200889988
4696	-94.07190128925794	-98.35677626069949
4695	-93.59402058805517	-98.16930881692257
4694	-93.0735621913621	-97.96876364103588
4693	-92.44878701845039	-97.75155307003854
4692	-91.80467279500664	-97.51757528453884
4691	-91.17441388864233	-97.26803814166995
4690	-90.5577105869499	-97.00408954053955
4689	-89.94466737657336	-96.72644245277627
4688	-89.21056655317744	-96.43087682647811
4687	-88.49577399503238	-96.1188591546012
4686	-87.7357111188403	-95.78925858641706
4685	-87.02895613261228	-95.44486432852759
4684	-86.34140742806613	-95.08701446439797
4683	-85.64048629627194	-94.71571346572742
4682	-84.87904803298488	-94.3291126486803
4681	-84.10192989912238	-93.92719841098555
4680	-83.33591464075118	-93.51101002204344
