	macd	trigger
1679		
1678		
1677		
1676		
1675		
1674		
1673		
1672		
1671		
1670		
1669		
1668		
1667		
1666		
1665		
1664		
1663		
1662		
1661		
1660		
1659		
1658		
1657		
1656		
1655		
1654		
1653		
1652		
1651		
1650		
1649		
1648		
1647		
1646		
1645		
1644		
1643		
1642		
1641		
1640		
1639		
1638		
1637		
1636		
1635		
1634		
1633		
1632		
1631		
1630		
1629		
1628		
1627		
1626		
1625		
1624		
1623		
1622		
1621		
1620		
1619		
1618		
1617		
1616		
1615		
1614		
1613		
1612		
1611		
1610		
1609		
1608		
1607		
1606		
1605		
1604		
1603		
1602		
1601		
1600		
1599		
1598		
1597		
1596		
1595		
1594		
1593		
1592		
1591		
1590		
1589		
1588		
1587		
1586		
1585		
1584		
1583		
1582		
1581	-2.0688362776329434	
1580	-2.0461459736120027	
1579	-2.0234901084117354	
1578	-2.0029873846332986	
1577	-1.982597496227024	
1576	-1.9623250550782014	
1575	-1.9420107782953817	
1574	-1.9246193591022127	
1573	-1.9118924911406916	
1572	-1.9006593847784856	
1571	-1.8897574123373655	
1570	-1.8808358787843682	
1569	-1.863675194584574	
1568	-1.8460932290254766	
1567	-1.8307335965941025	
1566	-1.8175048648231762	
1565	-1.8039700253878799	
1564	-1.7900938518296474	
1563	-1.7757864582140162	
1562	-1.7598355516315118	
1561	-1.7487000042290726	
1560	-1.7328384773854832	
1559	-1.7145099861408974	
1558	-1.6961622392069433	
1557	-1.6800820102079728	
1556	-1.6650354208208444	
1555	-1.6486974333001285	
1554	-1.6323363235844726	
1553	-1.615272351224485	
1552	-1.5981775683115167	
1551	-1.582213986033234	
1550	-1.5661845382364517	
1549	-1.552124353963138	
1548	-1.5393735497553145	
1547	-1.5258485925663567	
1546	-1.5104274390918695	
1545	-1.4962314760627535	
1544	-1.4818125773184745	
1543	-1.4681816925875166	
1542	-1.4517965935475772	
1541	-1.4336673825699142	
1540	-1.4156429656400462	
1539	-1.3971386494447273	
1538	-1.3752367289389236	
1537	-1.3542315571473296	
1536	-1.3352759578264362	
1535	-1.3156224222934636	
1534	-1.2982773124927816	
1533	-1.281066992347771	-1.5576218662806431
1532	-1.263517673430556	-1.5442837294070018
1531	-1.244222660043378	-1.530758429783306
1530	-1.2251780615364813	-1.5170645855700995
1529	-1.2060231975135363	-1.5032035974339764
1528	-1.18988368592718	-1.489315338231041
1527	-1.1715399264492206	-1.475301202398488
1526	-1.157758908528265	-1.4613654244859464
1525	-1.1464219572107481	-1.4476079563858977
1524	-1.1366439977431693	-1.4340847261484593
1523	-1.1243245939131126	-1.4206711562840508
1522	-1.1144081306265687	-1.4074630089162625
1521	-1.1037731428275421	-1.3944168588220176
1520	-1.0930615620963762	-1.3815192760386814
1519	-1.0844010785526046	-1.3688484335928879
1518	-1.0755834061611815	-1.3563846647682494
1517	-1.0666200275213278	-1.3441099767303608
1516	-1.057825757690324	-1.3320207454067883
1515	-1.04913671704807	-1.32011097444211
1514	-1.0399436972535616	-1.3083495205104694
1513	-1.0298470430695765	-1.2966901864339564
1512	-1.019990562492981	-1.2851369287679535
1511	-1.0105517831844844	-1.2737009841848794
1510	-1.0010275686430536	-1.262372215536105
1509	-0.9894673529839615	-1.2510602030624478
1508	-0.9782351851340612	-1.2397767154101578
1507	-0.9675674006976345	-1.2285427582620851
1506	-0.9581196511207293	-1.2174053917877952
1505	-0.9473834581800005	-1.2063064046422494
1504	-0.936652216278143	-1.1952434239120502
1503	-0.9271012150889506	-1.184262359682541
1502	-0.9163400182552852	-1.1733093217267947
1501	-0.9044896820840957	-1.1623378761590162
1500	-0.8935192106452252	-1.1513839716374086
1499	-0.8837038320455086	-1.140493151571928
1498	-0.8730789257796898	-1.1296291234189921
1497	-0.8619336212640141	-1.118768986619719
1496	-0.8520320034127131	-1.1079623606417937
1495	-0.8420828851252717	-1.0972044447893337
1494	-0.8319071148740607	-1.0864834412167206
1493	-0.8217684111761865	-1.0757987436376395
1492	-0.8122919577430117	-1.0651750033955247
1491	-0.8028305920403325	-1.05460975945891
1490	-0.7930769884581332	-1.0440883205863265
1489	-0.7833607124216613	-1.0336099007624533
1488	-0.775181840639966	-1.0232339983294911
1487	-0.766728000554171	-1.0129448807110595
1486	-0.7582656028694843	-1.002738191869588
1485	-0.7498617920046353	-0.9926124740524458
1484	-0.7419560259636371	-0.9825839362493266
1483	-0.7344047887273515	-0.9726623848532511
1482	-0.7261938180494156	-0.9628167173434856
1481	-0.7176702141987166	-0.9530310181712173
1480	-0.7091658799682778	-0.9433032977893383
1479	-0.7019394486993944	-0.93368183873037
1478	-0.6939276242202959	-0.9241307258037708
1477	-0.6856095631332182	-0.9146346351014801
1476	-0.678009266165803	-0.9052196381177049
1475	-0.6692737428484858	-0.8958370520575483
1474	-0.6608433634351603	-0.8864974694719314
1473	-0.6518267751434179	-0.8771756485476149
1472	-0.6416245418140996	-0.8678235993135714
1471	-0.6306734162587215	-0.8584126468329165
1470	-0.6207793269175623	-0.8489869313900574
1469	-0.6100688206577323	-0.8395145104570321
1468	-0.598583951017523	-0.8299664212832333
1467	-0.5874397210214943	-0.8203590578803678
1466	-0.5754249062042627	-0.8106601862060929
1465	-0.5623948562891554	-0.8008331627232638
1464	-0.5506172744474003	-0.7909325648946959
1463	-0.5390917257218062	-0.7809711823919473
1462	-0.5278126431359433	-0.7709610685533795
1461	-0.5167745885684487	-0.760913576501283
1460	-0.5053380067519866	-0.750814330945974
1459	-0.4941611125320948	-0.7406755430544376
1458	-0.4832378218664406	-0.7305086939141792
1457	-0.47319731576297674	-0.7203496461380872
1456	-0.46305178313522766	-0.7101938318550239
1455	-0.4510311652798593	-0.6999670232905512
1454	-0.43919742608329226	-0.689679327033932
1453	-0.4270391153712956	-0.6793202732313409
1452	-0.4158499340564752	-0.6689308287614012
1451	-0.40501875559345457	-0.6585262271604315
1450	-0.3950444879763446	-0.648140759892685
1449	-0.38308962612156305	-0.6376955280841656
1448	-0.3717994950107095	-0.6272190187754751
1447	-0.3605120587184065	-0.616712502935875
1446	-0.3498708604713685	-0.6062025501123313
1445	-0.3395968218188732	-0.5957036822506571
1444	-0.3302531561953823	-0.5852520207434613
1443	-0.321163919142188	-0.5748556409202981
1442	-0.31193888264084224	-0.5645069402964429
1441	-0.30265275337719766	-0.5542015625311951
1440	-0.29401624915499625	-0.543963294446449
1439	-0.2858764930745852	-0.5338089655447519
1438	-0.27731951745341643	-0.5237187849458265
1437	-0.269008461912819	-0.5136998353625465
1436	-0.26157658566279585	-0.5037838274499068
1435	-0.2544116070042577	-0.4939771385819712
1434	-0.2486580954878166	-0.4843309023177131
1433	-0.24310183462670798	-0.47484648936993823
1432	-0.2376726404242957	-0.46552246064728287
1431	-0.23166229925793846	-0.4563295982112269
1430	-0.22644688231942345	-0.4472939313007393
1429	-0.22263457696967448	-0.4384643649669523
1428	-0.21759723461531477	-0.4297845900474186
1427	-0.21331833330129468	-0.421278468918959
1426	-0.20912374192702643	-0.41294243516313045
1425	-0.20314949669854343	-0.40469983233619905
1424	-0.1972777119433191	-0.3965509764137327
1423	-0.19221348911827052	-0.3885238715795463
1422	-0.18792285918842788	-0.38064408366271063
1421	-0.18501580572076604	-0.3729601303050675
1420	-0.1815022834934843	-0.3654404556556819
1419	-0.17805466710376594	-0.35808115761562415
1418	-0.17447875774152122	-0.3508708634781458
1417	-0.16936669352604916	-0.34374336540201006
1416	-0.16497874850317107	-0.33672382165485776
1415	-0.16076940974861786	-0.32981498039406665
1414	-0.15686150647195474	-0.32302430535130106
1413	-0.1540161451853974	-0.3163888492817531
1412	-0.14529473664124604	-0.30967180173798686
1411	-0.13637959408021016	-0.30286875556371523
1410	-0.12902383594234168	-0.2960442976447406
1409	-0.12167821449576754	-0.2891996569271055
1408	-0.11460387367621605	-0.28234626497030857
1407	-0.10469739357276353	-0.2753732899656916
1406	-0.09473616726718337	-0.26828327531167717
1405	-0.08517925739666232	-0.26109668181747353
1404	-0.07633576674982567	-0.25384529662337363
1403	-0.06733909912979597	-0.24652564575481212
1402	-0.0596205108593959	-0.23919056160788835
1401	-0.05409412654459045	-0.23192667243541112
1400	-0.048791273276111546	-0.22473994389318377
1399	-0.0443501725054789	-0.21766115247681422
1398	-0.04073400305989017	-0.21071842026972082
1397	-0.03758426337172205	-0.20392469690351628
1396	-0.036173308418632644	-0.19734234919901564
1395	-0.03319269702255401	-0.19090147725111492
1394	-0.0287151994771202	-0.18453778455711192
1393	-0.024426667830256932	-0.1782556483227631
1392	-0.021031698819685918	-0.17208691922236735
1391	-0.017715755450081083	-0.16603023883557416
1390	-0.013895084520413548	-0.1600613997216459
1389	-0.009594565265164778	-0.15415812201082396
1388	-0.0054848936599860565	-0.14832531446419342
1387	-0.002206299779352605	-0.14259281066032228
1386	-0.00036959636627287296	-0.13701323549704458
1385	0.0026128652156418575	-0.13153563250139905
1384	0.004552305156148684	-0.1261969125773937
1383	0.006724615001973078	-0.1209824849507886
1382	0.008276750722361115	-0.11591179610383773
1381	0.009624447367148292	-0.11098722063006033
1380	0.009611079905952558	-0.10625641209443931
1379	0.00978755499878492	-0.10170431537352173
1378	0.009109170026794455	-0.09735744724048807
1377	0.009104513804873982	-0.09318132264208961
1376	0.010584897835298257	-0.08911098617598366
1375	0.011733275412086908	-0.08515530744612096
1374	0.011592486896576215	-0.08136035288537517
1373	0.012099925958757751	-0.07769438686860036
1372	0.012577964964193722	-0.07415349930144303
1371	0.013675661686979534	-0.07070847501766653
1370	0.013420189928515569	-0.06740862748260312
1369	0.014465567404279067	-0.06419723499101262
1368	0.015326177931214602	-0.06107807276865432
1367	0.014324621798448511	-0.058120560483257866
1366	0.013231590346693078	-0.05532194245251817
1365	0.011208978061592934	-0.05271244377208437
1364	0.009272678767307863	-0.05028125813281847
1363	0.008522120582993953	-0.04797488186875837
1362	0.006828578754337844	-0.04582540293266106
1361	0.00618146541187059	-0.04378562284105091
1360	0.004652574033053192	-0.04188582167536096
1359	0.003190916661897525	-0.04011787037314675
1358	0.002637509036728325	-0.03844097369379371
1357	0.002107942774802307	-0.03685062407748827
1356	0.001601407297954438	-0.03534252267706254
1355	-0.0007645569382015438	-0.033986369712484706
1354	-0.003022328581475886	-0.032771960828542064
1353	-0.0051756615973705955	-0.03168963933445072
1352	-0.0072281932796589565	-0.03073027012491552
1351	-0.009183447673692058	-0.029885214760547677
1350	-0.011044838902573684	-0.029146307658155055
1349	-0.012815674398920063	-0.028505833343485134
1348	-0.015148323907850703	-0.02798196439514996
1347	-0.01736680832694182	-0.027565649368899825
1346	-0.02012442227583433	-0.027273813375660528
1345	-0.022745916104325303	-0.027096235233352375
1344	-0.02556079056831173	-0.02703601730451296
1343	-0.028234104388143777	-0.027083004419747078
1342	-0.0318749017522193	-0.027270934674189968
1341	-0.0359826555800109	-0.027612592992329182
1340	-0.040404089331852244	-0.02811425162374883
1339	-0.044603024602053676	-0.028760908966302366
1338	-0.049236961260497036	-0.029563937695424147
1337	-0.05272469945238001	-0.030472253164122727
1336	-0.05628591596951127	-0.03148460753107943
1335	-0.060305210146093025	-0.03261488502224541
1334	-0.0638500909391646	-0.03383985522400349
1333	-0.06726517513432473	-0.035150713942669144
1332	-0.07042465240639961	-0.03653406836761969
1331	-0.07385834288633442	-0.03799782917104762
1330	-0.0771620981685297	-0.03953374714017533
1329	-0.08008018664911187	-0.041123867533135974
1328	-0.08334350678798463	-0.04277960362994704
1327	-0.08699963694723589	-0.04451378695608586
1326	-0.08940399014072442	-0.04627424986631878
1325	-0.09041733272058439	-0.04800541047383748
1324	-0.08984248838982545	-0.049646134211567286
1323	-0.09106709233977561	-0.051270536891743816
1322	-0.0935535478622409	-0.052928744578137565
1321	-0.09555296030940319	-0.054600331257818796
1320	-0.09845164002209472	-0.05632003866883245
1319	-0.10162203616991938	-0.05809663547567736
1318	-0.10485509073269395	-0.05993034787418421
1317	-0.10788621137972676	-0.06181101676500902
1316	-0.11072302181319893	-0.06372918046391852
1315	-0.1133078796600464	-0.06567348783364153
1314	-0.11571594075873692	-0.06763598027417582
1313	-0.117954007768172	-0.06960927809135736
1312	-0.11970352960346009	-0.07157379856037373
1311	-0.12293670781909238	-0.07358806971794128
1310	-0.12465790579117275	-0.07559084604730663
1309	-0.12610568886549212	-0.07757185606520264
1308	-0.1276169334333206	-0.07953444218526676
1307	-0.12990336770963928	-0.0815097271088701
1306	-0.13136756696323704	-0.08346496784415373
1305	-0.1326966312771416	-0.08539565103468715
1304	-0.13389602678707346	-0.08729765468716787
1303	-0.1352962588465434	-0.08917997963937371
1302	-0.13688745144109715	-0.09105088643146161
1301	-0.13839988823511673	-0.09290773439037463
1300	-0.13983637183945508	-0.0947480963096034
1299	-0.1411345655644547	-0.09656719556389962
1298	-0.14230009566902058	-0.09836066349338023
1297	-0.1432082923189586	-0.10011941369570768
1296	-0.14367524023998213	-0.10182750366996045
1295	-0.14469666416515103	-0.10350866456656353
1294	-0.1452708850275335	-0.1051464149393719
1293	-0.14574328331303854	-0.10673846415825206
1292	-0.14663875000013027	-0.10830319557038463
1291	-0.1463760193699517	-0.1097962606126434
1290	-0.14728527352741616	-0.11126643040213176
1289	-0.14866197640015977	-0.11273293430551055
1288	-0.14866221751926623	-0.11414193679231349
1287	-0.14884530479098723	-0.11550286338151083
1286	-0.14764112297375354	-0.11676319636012977
1285	-0.14648001713864867	-0.1179285699412939
1284	-0.14568599368012625	-0.11901710359613689
1283	-0.14511259074864769	-0.12004046256740217
1282	-0.1444897522647015	-0.12099926412346597
1281	-0.14382005549186672	-0.1218942023929129
1280	-0.1430409068568359	-0.12272348961690852
1279	-0.14235293673792415	-0.12349327604506859
1278	-0.14214282900294806	-0.12422463488603357
1277	-0.14108729318748492	-0.12488591892488944
1276	-0.14020164026586923	-0.12548653834624923
1275	-0.13889283952259435	-0.12601227808466275
1274	-0.13757136250280944	-0.1264655775319522
1273	-0.13721475633803926	-0.12688711575974004
1272	-0.13680293839576296	-0.12727597314828532
1271	-0.1353623281573857	-0.12759308636219394
1270	-0.13359144572415182	-0.12782831703393904
1269	-0.1324826052442143	-0.12801083880583858
1268	-0.13168076030139342	-0.12815475780011734
1267	-0.13084688115507537	-0.12826033162041647
1266	-0.12998286211312915	-0.12832788205429801
1265	-0.1290905268473761	-0.12835778978618062
1264	-0.12804144294583275	-0.12834538399069637
