	macd	trigger
1629		
1628		
1627		
1626		
1625		
1624		
1623		
1622		
1621		
1620		
1619		
1618		
1617		
1616		
1615		
1614		
1613		
1612		
1611		
1610		
1609		
1608		
1607		
1606		
1605		
1604		
1603		
1602		
1601		
1600		
1599		
1598		
1597		
1596		
1595		
1594		
1593		
1592		
1591		
1590		
1589		
1588		
1587		
1586		
1585		
1584		
1583		
1582		
1581		
1580		
1579		
1578		
1577		
1576		
1575		
1574		
1573		
1572		
1571		
1570		
1569		
1568		
1567		
1566		
1565		
1564		
1563		
1562		
1561		
1560		
1559		
1558		
1557		
1556		
1555		
1554		
1553		
1552		
1551		
1550		
1549		
1548		
1547		
1546		
1545		
1544		
1543		
1542		
1541		
1540		
1539		
1538		
1537		
1536		
1535		
1534		
1533		
1532		
1531	0.6268627208030608	
1530	0.6259428997953762	
1529	0.6277126752001578	
1528	0.6282643455170529	
1527	0.6306375014006562	
1526	0.6282228810500783	
1525	0.6196015059445443	
1524	0.6097047220786465	
1523	0.606818814645024	
1522	0.6004607558488573	
1521	0.5963007705848327	
1520	0.5845731449600464	
1519	0.5711606359927828	
1518	0.5630849711133692	
1517	0.5551014610914962	
1516	0.5466515433503787	
1515	0.5444710362657474	
1514	0.5409941598330192	
1513	0.5410565374893963	
1512	0.5346461534840472	
1511	0.5375753120355427	
1510	0.5389633168875889	
1509	0.5388789337855826	
1508	0.5328436693294947	
1507	0.5290951390335579	
1506	0.5172650939862109	
1505	0.513724002470326	
1504	0.5000618957931522	
1503	0.4784560955029349	
1502	0.45674438946745965	
1501	0.42658535153258015	
1500	0.404530891603585	
1499	0.38647055112775774	
1498	0.36412176593059087	
1497	0.33739379353126253	
1496	0.31085389672040264	
1495	0.28829172987921936	
1494	0.2771276657916957	
1493	0.27101390880554277	
1492	0.26680069436081055	
1491	0.26088565836937505	
1490	0.2527593164455624	
1489	0.24458344028789725	
1488	0.23665857722568262	
1487	0.2227769305202827	
1486	0.19729465852252304	
1485	0.16695688298433708	
1484	0.13911077961994067	
1483	0.1136576255388917	0.36608739641038235
1482	0.08722957677200327	0.35344070908988656
1481	0.05898743399487216	0.3401681816697686
1480	0.04215180251281936	0.3268132993107593
1479	0.029351415235055356	0.31355745682663166
1478	0.019215807749048963	0.30051043055578386
1477	0.00923412831717485	0.2876649254819733
1476	-0.003596296401951804	0.27488252836176896
1475	-0.009229533801843104	0.2624718482296436
1474	-0.019112970116097472	0.25022626084235494
1473	-0.028836582380435516	0.2381419783457121
1472	-0.03810162397347483	0.22622847294946788
1471	-0.05145387383348066	0.21429957449358675
1470	-0.07505482002297015	0.20191561344312936
1469	-0.09118402070136256	0.1894161458353311
1468	-0.10986486859627576	0.17669669745737032
1467	-0.13916810838847482	0.16331638303825052
1466	-0.17344378349481815	0.14909564964458155
1465	-0.21397593761113853	0.1338098822822951
1464	-0.24889796975715228	0.11774376343998001
1463	-0.2522301957587132	0.10225503231792633
1462	-0.24582250955630514	0.08772147613976639
1461	-0.2423306633287865	0.07397543766245883
1460	-0.23489890702767013	0.06114262818015872
1459	-0.22737969081205733	0.04918326607555402
1458	-0.23448925043069835	0.03745114795238215
1457	-0.23624751929514787	0.026155725888701093
1456	-0.23964745431617018	0.015208630948230972
1455	-0.2513761214522958	0.004250925770141183
1454	-0.2559819204321485	-0.006425529805670125
1453	-0.263634719307305	-0.016958860767379336
1452	-0.2661810995663103	-0.027147412518752922
1451	-0.26261380598175776	-0.036757598449938
1450	-0.2578394442336105	-0.045766308561441996
1449	-0.25531402550996063	-0.05429195594005528
1448	-0.24658608324237719	-0.062104138730509316
1447	-0.2449405843350121	-0.06952162910734877
1446	-0.2584286326038594	-0.07717503849532681
1445	-0.27117095523659174	-0.08502442868977102
1444	-0.27295197040822217	-0.09261882041169053
1443	-0.27979327952038346	-0.10017374651391536
1442	-0.2902218677984223	-0.10783587129439781
1441	-0.3031390082865357	-0.1157012009701817
1440	-0.3196728486052365	-0.12390696124305393
1439	-0.33248654019094914	-0.13228959632450044
1438	-0.34049315525349755	-0.14064898196017342
1437	-0.34577665950096304	-0.14887718254541515
1436	-0.3518919659367086	-0.1570133322229821
1435	-0.35286083505251753	-0.16485548969557692
1434	-0.3539174980478563	-0.1724196896686919
1433	-0.3603781138398503	-0.17993377449152903
1432	-0.3735634139600279	-0.18766868801403075
1431	-0.3853308423113404	-0.19555891836560835
1430	-0.39417037129722843	-0.20348148037260466
1429	-0.4046023911491119	-0.21149873985961878
1428	-0.41246844320594533	-0.21950479028675438
1427	-0.41473788679829227	-0.22727748085980568
1426	-0.4320966861264779	-0.23542695447068102
1425	-0.44875902376043797	-0.24391028280838556
1424	-0.45687871801174396	-0.2523744943383706
1423	-0.4590401931394581	-0.26058387319129883
1422	-0.4637038274589429	-0.26864831338463957
1421	-0.461295306798597	-0.27629322294028796
1420	-0.46790868788024653	-0.28389364213915513
1419	-0.47271814810824253	-0.2913799946702685
1418	-0.47801341814719933	-0.2987762858436035
1417	-0.4802939842350895	-0.3059668611106429
1416	-0.4850694278550094	-0.3130589419801329
1415	-0.48305131928238154	-0.31978770706469006
1414	-0.4853074417252472	-0.3263370286799455
1413	-0.4906945019018707	-0.33283806982690933
1412	-0.4908317853316362	-0.3390852818807807
1411	-0.4859555519590302	-0.3448907750422894
1410	-0.48136788798633745	-0.3502837626336058
1409	-0.4735681826327607	-0.35515397073941973
1408	-0.45159546598176803	-0.35896268272018605
1407	-0.43832804650487844	-0.3620961489829248
1406	-0.4336981663555406	-0.36492235508600807
1405	-0.44081528729316943	-0.3679171633249256
1404	-0.4419760263041326	-0.3708388807935272
1403	-0.4406293774342913	-0.37359155718315745
1402	-0.43657084393801426	-0.37607502384033487
1401	-0.42260223553491016	-0.37790933591054465
1400	-0.40045138345423936	-0.3787978593339818
1399	-0.39089029170093426	-0.3792744023217614
1398	-0.37709984351491244	-0.3791887230232818
1397	-0.3560890703589976	-0.3782787472710381
1396	-0.332022137616093	-0.3764568622730277
1395	-0.31334578756693077	-0.37397156370803125
1394	-0.2876957143572554	-0.3705745993581759
1393	-0.26753431751341594	-0.36651820340300595
1392	-0.24719336015414228	-0.3618214427710405
1391	-0.23052586850464252	-0.3566542521767666
1390	-0.21769401977492464	-0.35118617984790457
1389	-0.20789151101826064	-0.34554830456942626
1388	-0.20450509065396005	-0.33999972738135753
1387	-0.19860720500683726	-0.3344380974628892
1386	-0.18263240932842706	-0.3284675794463331
1385	-0.1650486120469381	-0.3220410457869656
1384	-0.13376690370585465	-0.31463788281168903
1383	-0.10095565983511534	-0.3062365302644732
1382	-0.06766200080509321	-0.29685743651083146
1381	-0.03809183915920045	-0.2866855606106988
1380	-0.012733050757297804	-0.2759177061475018
1379	0.012120148730474511	-0.26459723674679736
1378	0.03423225101533234	-0.2528536482419558
1377	0.059492544623395816	-0.24057988977972164
1376	0.0761897776885121	-0.22813330101746332
1375	0.09240898400103248	-0.21553944173897055
1374	0.10109790607158686	-0.20309991927100593
1373	0.11769160347753882	-0.1904980848396297
1372	0.13154138533884208	-0.1778480852428738
1371	0.143085848289914	-0.16524233416182244
1370	0.1701050442397971	-0.15207127211292015
1369	0.19709290098883514	-0.13835836872454915
1368	0.22628855341890386	-0.12403823147806799
1367	0.2543601230679329	-0.10917888392285012
1366	0.2823095843402683	-0.0938063203968493
1365	0.29532327830311544	-0.07852716599448069
1364	0.3175711486714903	-0.06297515146197663
1363	0.34218379988078595	-0.047068141882202555
1362	0.36227846796938934	-0.03099745074141513
1361	0.37901602069618434	-0.014901282217947103
1360	0.3957619088482005	0.0012197161546633965
1359	0.4134739650985182	0.017402520558937335
1358	0.4279093722624481	0.03351610763012189
1357	0.43469616264246724	0.04926300471955979
1356	0.4470748364691133	0.06487713582677518
1355	0.45769079291211767	0.08029455869159792
1354	0.4688763858040801	0.09554538436968056
1353	0.4744706172183726	0.110416742249551
1352	0.4834360549336907	0.12505586946505978
1351	0.48819277873950284	0.13930674502894314
1350	0.49086591045804084	0.1531028778359774
1349	0.4947768503886465	0.1665107266596473
1348	0.5030961988807974	0.17971855149676635
1347	0.5094840957522564	0.19265843536207183
1346	0.5188695755213075	0.20545853894990695
1345	0.522067091446516	0.21788156341083403
1344	0.5258173562673107	0.2299640205836503
1343	0.5291240112780997	0.2417018927303745
1342	0.5278043175128602	0.2529272076968769
1341	0.5282100814838486	0.2637278024565631
1340	0.5254138703594009	0.27399473940943075
1339	0.5276451475749866	0.28394622676724907
1338	0.5295009253234895	0.29357992689427903
1337	0.5329376709105134	0.30297034867489775
1336	0.5372349724482461	0.3121608108855037
1335	0.5381463738274874	0.32102633953827925
1334	0.5228845560790063	0.32894522273262966
1333	0.5064284736017441	0.3359077786364429
1332	0.48948805100705783	0.34193255334724615
1331	0.4698285871333354	0.3469496994220524
1330	0.4514678085330672	0.35104971708823585
1329	0.4314427982296536	0.35420332420987377
1328	0.4140481938211025	0.3565508521817524
1327	0.39755453912947303	0.3581592811831161
1326	0.3806341369965338	0.3590408804624091
1325	0.3672013299618868	0.3593609791571971
1324	0.34997907341301016	0.358992971739206
1323	0.33433118554339103	0.3580256167171051
1322	0.325053462382499	0.3567323005579997
1321	0.322833099763983	0.3554026331830444
1320	0.32151817024386276	0.3540735551383811
1319	0.31847582820935827	0.3526772876925089
1318	0.31605472075179364	0.351240833658538
1317	0.3096903646397351	0.3496111038021635
1316	0.2982687909909316	0.34759732396929155
1315	0.29045414144025017	0.3453560343816375
1314	0.28446548270365213	0.3429677800918695
1313	0.2818439886839883	0.34057039299012143
1312	0.2785469148692101	0.3381377334783203
1311	0.27460669396764104	0.3356459597238484
1310	0.2739462395843901	0.3332260265345857
1309	0.27641673160039204	0.33099791352859737
1308	0.27765790323356043	0.3289058800260308
1307	0.2809688138780757	0.32702576333254896
1306	0.28268518304810186	0.32528671109445656
1305	0.28806948662503373	0.3238270460095079
1304	0.28656968343548783	0.32236581322304025
1303	0.2866115625929382	0.32096353846011205
1302	0.29364140211336576	0.319891973995318
1301	0.3001982394327314	0.3191195957908647
1300	0.30370388434580775	0.3185150017657213
1299	0.3052690409267882	0.31799550582482367
1298	0.3036828669764873	0.31743417759986453
1297	0.3101261085117102	0.31714756297500896
1296	0.3167637047482259	0.31713250851618446
1295	0.31903836236273264	0.31720725358333146
1294	0.31455014720772567	0.3171030456973112
1293	0.3117262361984672	0.316892175576962
1292	0.3117911595923317	0.3166921222024014
1291	0.3142886893460286	0.31659786380772303
1290	0.3148852161532574	0.3165306969606522
1289	0.33412661752535655	0.3172207744604835
1288	0.34777053750542564	0.31841887344169717
1287	0.3641844781487009	0.3202137024341949
1286	0.3540011096511506	0.32153876929906033
1285	0.3327287460318331	0.3219776143501744
1284	0.31160297463721065	0.32157074575016714
1283	0.2916026512238403	0.32039547089574455
1282	0.2720371692044097	0.31849898092208917
1281	0.2558208755832112	0.31604090892976755
1280	0.2356618308978966	0.312888656291042
1279	0.2195480391347644	0.30922809273406143
1278	0.21705166234191609	0.305613191096598
1277	0.23470281326042652	0.3028322887392582
1276	0.25077746151023916	0.3007908501594785
1275	0.26371417828737265	0.2993368132039086
1274	0.26617440585025065	0.29803628382528724
1273	0.2765090151797125	0.29719205050802516
1272	0.288178791142613	0.2968385786143226
1271	0.29299119258257633	0.2966876963251843
1270	0.2945064025254851	0.2966021529920741
1269	0.2931988438690638	0.2964686862918364
1268	0.28822255711756384	0.29614530030264075
1267	0.2875490395944382	0.29580818365183814
1266	0.2893572423197952	0.29555519951277603
1265	0.2756527406147029	0.29477469300214626
1264	0.26372981593648603	0.2935572199767958
1263	0.25253815426556514	0.29194859505920623
1262	0.24367592484395573	0.29005551060601253
1261	0.23183934611198254	0.2877724790811846
1260	0.21554427978672663	0.28493994741509127
1259	0.19922939975657528	0.2815786887418336
1258	0.17542509578723298	0.27741573048331847
1257	0.1561914881060602	0.27266175934237824
1256	0.14067998009234373	0.26748592035980995
1255	0.1290542821970746	0.2620571450919868
1254	0.12992413829107363	0.25687538190665243
1253	0.12613360809211827	0.2517481806586828
1252	0.1247267916926944	0.24676688170524885
1251	0.12364439743170408	0.24193848564808035
1250	0.12319745605985588	0.23728191599290344
1249	0.13148863941607658	0.23313310980821342
1248	0.13640604720724525	0.22933984753337525
1247	0.1442809968901031	0.22600416904387455
1246	0.15529993091887206	0.223231424043714
1245	0.16118168684151613	0.2207980759066415
1244	0.164109035237189	0.2185749542319376
1243	0.16876930433697623	0.21662177288599602
1242	0.17247863315765244	0.2148906535241743
1241	0.17983286824346578	0.21351582632624436
1240	0.18090236924790304	0.2122368564201453
1239	0.1899622038272355	0.21136333354189585
1238	0.19525673361370366	0.2107316972462941
1237	0.20899254983181947	0.21066349487587913
1236	0.21516098363527192	0.2108398682537891
1235	0.2215868895601858	0.21126132298476544
1234	0.22077180550606101	0.21163428556211528
1233	0.21597444944084998	0.21180448915387454
1232	0.22169537327619082	0.21219236934200006
1231	0.23257155219130254	0.21299155769342382
1230	0.2483624088405918	0.21437865774999476
1229	0.2756690587617783	0.21678221596457364
1228	0.30093650541348893	0.2200824014292116
1227	0.32684778053005914	0.22426930006877605
