	macd	trigger
4268		
4267		
4266		
4265		
4264		
4263		
4262		
4261		
4260		
4259		
4258		
4257		
4256		
4255		
4254		
4253		
4252		
4251		
4250		
4249		
4248		
4247		
4246		
4245		
4244		
4243		
4242		
4241		
4240		
4239		
4238		
4237		
4236		
4235		
4234		
4233		
4232		
4231		
4230		
4229		
4228		
4227		
4226		
4225		
4224		
4223		
4222		
4221		
4220		
4219		
4218		
4217		
4216		
4215		
4214		
4213		
4212		
4211		
4210		
4209		
4208		
4207		
4206		
4205		
4204		
4203		
4202		
4201		
4200		
4199		
4198		
4197		
4196		
4195		
4194		
4193		
4192		
4191		
4190		
4189		
4188		
4187		
4186		
4185		
4184		
4183		
4182		
4181		
4180		
4179		
4178		
4177		
4176		
4175		
4174		
4173		
4172		
4171		
4170	-665.9981738450479	
4169	-663.0856514511797	
4168	-660.5113491661068	
4167	-657.7209972784585	
4166	-654.726373490339	
4165	-651.5387554348381	
4164	-652.5324218027745	
4163	-656.426403631096	
4162	-657.6070499731359	
4161	-658.3958122832228	
4160	-656.0552956207066	
4159	-653.4902087278097	
4158	-650.158529135253	
4157	-643.8755057960261	
4156	-635.3327654707755	
4155	-626.3089616566685	
4154	-619.0666621557757	
4153	-613.5297356571391	
4152	-606.2536909411065	
4151	-600.1351173761504	
4150	-577.6290739381402	
4149	-555.8778310335765	
4148	-534.856370402922	
4147	-520.221424029678	
4146	-503.1555751583546	
4145	-486.62623138837444	
4144	-493.4822306294518	
4143	-482.58556619575756	
4142	-471.9483593147488	
4141	-458.68822130945773	
4140	-447.5368677397855	
4139	-423.9726948616917	
4138	-394.91886614325267	
4137	-363.5282722591255	
4136	-329.9173755186712	
4135	-298.85113869116685	
4134	-267.89875975343966	
4133	-243.48811308843506	
4132	-218.90755290927336	
4131	-193.00342807753987	
4130	-170.53848638353884	
4129	-149.01891488685942	
4128	-124.29154315538835	
4127	-103.58364689795053	
4126	-82.0016327218982	
4125	-67.2817587153113	
4124	-53.20241100957719	
4123	-39.14789609974105	
4122	-35.817284200689755	-332.38182182964954
4121	-33.81096542551677	-318.84111399204136
4120	-30.091684740760684	-305.8256883152701
4119	-26.5272795215933	-293.3096064708771
4118	-26.100266069948702	-281.4019130275689
4117	-28.671519192837877	-270.199352675893
4116	-31.110658344983676	-259.65536055392994
4115	-33.422511699649476	-249.72682253233558
4114	-41.620101165714004	-240.63623365498214
4113	-46.4139789623041	-232.18987775281425
4112	-50.9653418312555	-224.34229596045523
4111	-58.29884983460215	-217.1813717804061
4110	-68.28762165172157	-210.78507598927055
4109	-74.76245771138201	-204.96349927000557
4108	-85.74713926546974	-199.87942253771695
4107	-97.39940159652906	-195.52401984500233
4106	-113.32552054147163	-192.04201822562024
4105	-124.21483182082375	-189.1778067464678
4104	-130.89489800554657	-186.7240234831038
4103	-139.03062536988	-184.72184924498046
4102	-147.94397607630162	-183.18216631706733
4101	-156.3757729935278	-182.06289783107496
4100	-165.56559633526922	-181.37581687017516
4099	-176.08716269653814	-181.1560890339376
4098	-187.26417196365583	-181.40927144206674
4097	-199.67524349332598	-182.16471488219713
4096	-217.55417390082948	-183.62522208977984
4095	-240.64906135181081	-185.9737469711993
4094	-265.64324877399486	-189.24848382159766
4093	-289.3640848379291	-193.3558814168483
4092	-311.857495052951	-198.20880567800782
4091	-367.07334318716676	-205.1122228356231
4090	-419.5889773190611	-213.86575007231053
4089	-475.67651917431067	-224.5340947052646
4088	-525.8782811671626	-236.7945684092106
