	macd	trigger
145		
144		
143		
142		
141		
140		
139		
138		
137		
136		
135		
134		
133		
132		
131		
130		
129		
128		
127		
126		
125		
124		
123		
122		
121		
120		
119		
118		
117		
116		
115		
114		
113		
112		
111		
110		
109		
108		
107		
106		
105		
104		
103		
102		
101		
100		
99		
98		
97		
96		
95		
94		
93		
92		
91		
90		
89		
88		
87		
86		
85		
84		
83		
82		
81		
80		
79		
78		
77		
76		
75		
74		
73		
72		
71		
70		
69		
68		
67		
66		
65		
64		
63		
62		
61		
60		
59		
58		
57		
56		
55		
54		
53		
52		
51		
50		
49		
48		
47	0.09083907867645635	
46	0.09445748502796292	
45	0.09515694329616764	
44	0.09469220329128447	
43	0.09148863900090376	
42	0.08621474900841974	
41	0.08141993625928734	
40	0.0751701820575903	
39	0.06917790491050013	
38	0.061234586918480716	
37	0.058595355900770585	
36	0.056050630211359476	
35	0.06079807183567709	
34	0.06307017721063701	
33	0.06687332913535471	
32	0.07102200666426484	
31	0.07270306995605935	
30	0.07651077611794932	
29	0.08515837694390882	
28	0.09561148110876161	
27	0.10439964653354039	
26	0.10933142116765637	
25	0.11284431091378266	
24	0.11556839344686409	
23	0.11810717778313418	
22	0.12103857143629426	
21	0.12777405020222687	
20	0.13126843789103404	
19	0.13396038255748266	
18	0.13530955876101913	
17	0.1399848622084825	
16	0.14610498687917683	
15	0.15418193952563897	
14	0.1618079114318185	
13	0.17944985533179292	
12	0.19967722366221352	
11	0.2246979171207215	
10	0.24728544651689788	
9	0.27630899300924483	
8	0.3003436179218504	
7	0.3137345333638635	
6	0.32458808951107443	
5	0.3400758699553812	
4	0.3611651963369553	
3	0.3887799888253447	
2	0.41788810905143947	
1	0.45255769439633653	
