	macd	trigger
3134		
3133		
3132		
3131		
3130		
3129		
3128		
3127		
3126		
3125		
3124		
3123		
3122		
3121		
3120		
3119		
3118		
3117		
3116		
3115		
3114		
3113		
3112		
3111		
3110		
3109		
3108		
3107		
3106		
3105		
3104		
3103		
3102		
3101		
3100		
3099		
3098		
3097		
3096		
3095		
3094		
3093		
3092		
3091		
3090		
3089		
3088		
3087		
3086		
3085		
3084		
3083		
3082		
3081		
3080		
3079		
3078		
3077		
3076		
3075		
3074		
3073		
3072		
3071		
3070		
3069		
3068		
3067		
3066		
3065		
3064		
3063		
3062		
3061		
3060		
3059		
3058		
3057		
3056		
3055		
3054		
3053		
3052		
3051		
3050		
3049		
3048		
3047		
3046		
3045		
3044		
3043		
3042		
3041		
3040		
3039		
3038		
3037		
3036	-0.8471825519943081	
3035	-0.8393843657935065	
3034	-0.8805659510633461	
3033	-0.9232245080221446	
3032	-0.983122947271454	
3031	-0.9803209944570881	
3030	-0.981131859397351	
3029	-0.9774099719597871	
3028	-0.9893207465486284	
3027	-0.9781729842920583	
3026	-0.9329906407248529	
3025	-0.8794056800400085	
3024	-0.8198628068504377	
3023	-0.7707528236560677	
3022	-0.7336865519549747	
3021	-0.7081396157794302	
3020	-0.6976342745906265	
3019	-0.6913574612981961	
3018	-0.7013724005190056	
3017	-0.7064519723455192	
3016	-0.7150553687867784	
3015	-0.7187650824855893	
3014	-0.7631482055555807	
3013	-0.805079481000206	
3012	-0.846759816301585	
3011	-0.9047296310055799	
3010	-0.9512622046966328	
3009	-0.9534546502068224	
3008	-0.9050124902172172	
3007	-0.8332209063436267	
3006	-0.7622512938620787	
3005	-0.7214804627699607	
3004	-0.7116663998509409	
3003	-0.7103462800603495	
3002	-0.6601928996156801	
3001	-0.5865999336299978	
3000	-0.5267026598301641	
2999	-0.4905404127649433	
2998	-0.4472565836151148	
2997	-0.40151911657059713	
2996	-0.38325829059147054	
2995	-0.35283120513886956	
2994	-0.30437479031411385	
2993	-0.27726597143131926	
2992	-0.23838726903107954	
2991	-0.18177184298536986	
2990	-0.13198312500611564	
2989	-0.0650099158802675	
2988	0.009741897413334755	-0.5472021259711624
2987	0.04209369143293884	-0.5204765353040253
2986	0.07514810501817237	-0.4936286615005387
2985	0.10229587933093853	-0.4669237462869367
2984	0.14117694859234575	-0.43982485578250874
2983	0.15648641554747655	-0.41339268470843055
2982	0.1470475261236288	-0.38867684783299106
2981	0.1357450650359624	-0.36566187486312685
2980	0.11395471612775054	-0.3447110991321747
2979	0.08221223804395095	-0.326145016401663
2978	0.04747982375184279	-0.30996590755278824
2977	0.07354024759669642	-0.2934265104029237
2976	0.0939651426398882	-0.2767846325689836
2975	0.14201136120476576	-0.258860753155827
2974	0.20099134418759945	-0.23924999379101433
2973	0.21747668723190827	-0.21983910181331426
2972	0.27946323345852875	-0.19868821031640418
2971	0.3694060621706967	-0.17469868306714717
2970	0.45950078026615415	-0.1479980934366733
2969	0.5518924268506282	-0.11861661036643177
2968	0.6375977111304394	-0.08695816521077969
2967	0.7190728362149912	-0.05330331699080262
2966	0.8186468984802104	-0.016988263158821126
2965	0.939994499329714	0.022771521620912
2964	1.0753559293810042	0.06640155385562255
2963	1.2797547399504765	0.11658337294657427
2962	1.4719848504437607	0.1725201880872252
2961	1.6435350407555518	0.23310388478562427
2960	1.8020107209214586	0.29759226383753934
2959	1.9590593698603413	0.3657565252172704
2958	2.096750397622003	0.4366448608403404
2957	2.202445511417352	0.5088332473892947
2956	2.2775242901319928	0.581019556125745
2955	2.3300509773922897	0.6522896190033628
2954	2.3992101141408	0.7233647342892685
2953	2.5157805219278657	0.7961838056045021
2952	2.6212410864242486	0.8702245406062323
2951	2.7205636792522796	0.9451894845868213
2950	2.8116816918129643	1.0207107938778173
2949	2.94687964697809	1.0985497346697923
2948	3.0383234040380387	1.1768448546178
2947	3.135307543214765	1.255803727752277
2946	3.25116713091748	1.3361618378707039
2945	3.3669435337009475	1.4178599952162545
2944	3.5300770789867215	1.5027481952757054
2943	3.699888795954081	1.5909635248855525
2942	3.862330403673951	1.6820739128419948
2941	3.979053656913578	1.7741291350869937
2940	4.0452379577465365	1.8650692429126097
2939	4.090451224367229	1.9541047634330742
2938	4.145156848480866	2.0416972791231984
2937	4.2294490606047646	2.1290912901067904
2936	4.337323856861758	2.217238986783945
2935	4.440389592500367	2.305919917640152
2934	4.56159542325986	2.3958376481100134
2933	4.64298384651579	2.485357438814882
2932	4.697676880952457	2.5734350997224658
2931	4.667488562662243	2.656754598076006
2930	4.636275452531123	2.7354719021155933
2929	4.6178240098965375	2.810284051620084
2928	4.609303477185051	2.881746476753608
2927	4.598801695557796	2.9499184550835365
2926	4.478572625732255	3.010580823436011
2925	4.361506886474189	3.064165247788099
2924	4.252129326288269	3.1112646316329453
2923	4.076619708397743	3.1495216978132277
2922	3.8242593069234374	3.1762505050138636
2921	3.657287488866217	3.1952985468856796
2920	3.4868506686447063	3.2068389804530777
2919	3.375287367360329	3.2135041836307474
2918	3.2877684423602034	3.216441652747817
2917	3.2094424956469823	3.2161648998499714
2916	3.1122951477819356	3.2120591326651127
2915	2.9787655759036227	3.202840376277259
2914	2.84742484640077	3.1888000977526203
2913	2.690624747243646	3.169125927197322
2912	2.511812821493635	3.14317419784639
2911	2.3745292697990408	3.1128349830244595
2910	2.2561215742031493	3.079028246342765
2909	2.153508973755379	3.042515319766978
2908	2.031293524196087	3.002630715195736
2907	1.8881285456002388	2.9586824725248415
2906	1.7296782175115766	2.9102295939360996
2905	1.6192002845554043	2.859342034609239
2904	1.501376593054232	2.805826836906863
2903	1.3626363379277961	2.748964015291954
2902	1.2224869432290006	2.6888307681769024
2901	1.088079965674467	2.6257828298522528
2900	0.9360565947663417	2.5592418272334188
2899	0.7997210185803283	2.489963697782358
2898	0.6715359192469919	2.4183774894222863
2897	0.544169887784193	2.3446065609229683
2896	0.44091367137082216	2.269685954891562
2895	0.3444275319800454	2.1939272135144754
2894	0.2219015229610477	2.1163385985289946
2893	0.07463749448848489	2.036018986856478
2892	-0.056687498997007424	1.953703042513492
2891	-0.2029430148771212	1.8688821487826843
2890	-0.3377663606564454	1.7821045785533656
2889	-0.46628230837228557	1.6936953346104866
2888	-0.5840978004912358	1.6041392503885643
2887	-0.7195177870775069	1.5127891919599077
2886	-0.8321208832795719	1.4206125868531065
2885	-0.9508427920990243	1.3274012255110001
2884	-1.082338982715811	1.2326935687606912
2883	-1.1839366245329757	1.1377233207742967
2882	-1.298976839772621	1.0419722922726216
2881	-1.4081110415603177	0.9457030379175163
2880	-1.51386307597258	0.8490685813349977
2879	-1.6584053641948628	0.7505591076455059
2878	-1.751116202652014	0.6522843845751498
2877	-1.8503985207905487	0.5539767525133443
2876	-1.953526151612465	0.4554862093150071
2875	-2.050949756285519	0.3570437411440217
2874	-2.1615929078103875	0.2581280341552148
2873	-2.2707776886048237	0.15881476744652556
2872	-2.3691209609257555	0.05954510854379359
2871	-2.419673409746764	-0.0378062753586417
2870	-2.3917458906378215	-0.13023359765913373
2869	-2.3732503467347215	-0.21830120054123808
2868	-2.373042157323539	-0.30289882556685604
2867	-2.3763158807209948	-0.3842998786047785
2866	-2.380592949838416	-0.46266966870983
2865	-2.385761407906557	-0.5381625774301966
2864	-2.433992473200277	-0.6125822940628821
2863	-2.4764460667250887	-0.6857443644765344
2862	-2.546115234082464	-0.7587666103879649
