	macd	trigger
4213		
4212		
4211		
4210		
4209		
4208		
4207		
4206		
4205		
4204		
4203		
4202		
4201		
4200		
4199		
4198		
4197		
4196		
4195		
4194		
4193		
4192		
4191		
4190		
4189		
4188		
4187		
4186		
4185		
4184		
4183		
4182		
4181		
4180		
4179		
4178		
4177		
4176		
4175		
4174		
4173		
4172		
4171		
4170		
4169		
4168		
4167		
4166		
4165		
4164		
4163		
4162		
4161		
4160		
4159		
4158		
4157		
4156		
4155		
4154		
4153		
4152		
4151		
4150		
4149		
4148		
4147		
4146		
4145		
4144		
4143		
4142		
4141		
4140		
4139		
4138		
4137		
4136		
4135		
4134		
4133		
4132		
4131		
4130		
4129		
4128		
4127		
4126		
4125		
4124		
4123		
4122		
4121		
4120		
4119		
4118		
4117		
4116		
4115	-2.325799268417711	
4114	-2.3605216546574184	
4113	-2.392370761279807	
4112	-2.421471504482952	
4111	-2.454724680360812	
4110	-2.4892177157649655	
4109	-2.516707077285915	
4108	-2.555277269858422	
4107	-2.577006475289096	
4106	-2.5895195978946504	
4105	-2.5987415065984436	
4104	-2.6034393439452117	
4103	-2.6086925687209828	
4102	-2.6144229498086275	
4101	-2.6115936623870226	
4100	-2.5726938126447862	
4099	-2.534305673065518	
4098	-2.5034304555175595	
4097	-2.47272394857346	
4096	-2.4421927420718674	
4095	-2.411843060491478	
4094	-2.3816807773886666	
4093	-2.3545457855672254	
4092	-2.3246352633979654	
4091	-2.294932893128376	
4090	-2.261164537313107	
4089	-2.232100889099371	
4088	-2.203250206146606	
4087	-2.188965210675363	
4086	-2.1886065924967966	
4085	-2.1857125733616556	
4084	-2.1818423524597534	
4083	-2.1770429449313156	
4082	-2.1713595964879175	
4081	-2.1648358499317055	
4080	-2.1589675981869334	
4079	-2.155186643595002	
4078	-2.1475671883059277	
4077	-2.117282627023002	
4076	-2.0946365117160326	
4075	-2.0719676089973404	
4074	-2.058102472143716	
4073	-2.043828807619633	
4072	-2.020328996764306	
4071	-1.9983573319913148	
4070	-1.974899600537995	
4069	-1.9500330471230995	
4068	-1.9119674446072565	
4067	-1.8821003768200057	-2.189226206118153
4066	-1.8496693784324236	-2.1738267131692024
4065	-1.81778269615873	-2.157777973425976
4064	-1.7864310190595347	-2.1411369589154
4063	-1.7660626810254598	-2.1244224626598336
4062	-1.751711825855594	-2.1079016424325623
4061	-1.7461146229967	-2.0919465614387263
4060	-1.7548860938670003	-2.0771542017756173
4059	-1.7773851307269268	-2.0640595868340412
4058	-1.797952375675635	-2.0524870911015944
4057	-1.8016056039516286	-2.0416231483104803
4056	-1.796635621949207	-2.0310576177685453
4055	-1.8136253796257762	-2.0217169912581126
4054	-1.8289166553517617	-2.013465408093569
4053	-1.8425791523837063	-2.006177827458752
4052	-1.8698336535859141	-2.000383197670742
4051	-1.894892917797037	-1.9959145354875925
4050	-1.917844325429087	-1.9926177808427088
4049	-1.9387722947057568	-1.9903508186140753
4048	-1.9577583790954662	-1.988982584322888
4047	-1.9672610821177585	-1.988073227059066
4046	-1.998213755677014	-1.988496632549554
4045	-2.0343742529641133	-1.9904073474338184
4044	-2.066321064720782	-1.99356133638688
4043	-2.0957588149681783	-1.9977974615393481
4042	-2.1166580549546694	-2.0027132938494834
4041	-2.135525525736	-2.008194395491169
4040	-2.1601202463858584	-2.014451456495383
4039	-2.1748087587129987	-2.021042786363396
4038	-2.187718172459938	-2.027880902232358
4037	-2.1989227090789996	-2.0348854729605472
4036	-2.2084940611877784	-2.041982833509752
4035	-2.216501473901232	-2.0491055339425137
4034	-2.223011823485564	-2.0561919201788292
