	macd	trigger
2452		
2451		
2450		
2449		
2448		
2447		
2446		
2445		
2444		
2443		
2442		
2441		
2440		
2439		
2438		
2437		
2436		
2435		
2434		
2433		
2432		
2431		
2430		
2429		
2428		
2427		
2426		
2425		
2424		
2423		
2422		
2421		
2420		
2419		
2418		
2417		
2416		
2415		
2414		
2413		
2412		
2411		
2410		
2409		
2408		
2407		
2406		
2405		
2404		
2403		
2402		
2401		
2400		
2399		
2398		
2397		
2396		
2395		
2394		
2393		
2392		
2391		
2390		
2389		
2388		
2387		
2386		
2385		
2384		
2383		
2382		
2381		
2380		
2379		
2378		
2377		
2376		
2375		
2374		
2373		
2372		
2371		
2370		
2369		
2368		
2367		
2366		
2365		
2364		
2363		
2362		
2361		
2360		
2359		
2358		
2357		
2356		
2355		
2354	-0.13121096283756373	
2353	-0.1378395466827449	
2352	-0.14408026627134163	
2351	-0.14994908118641348	
2350	-0.15546129685665733	
2349	-0.16335142999474783	
2348	-0.1778738036436529	
2347	-0.19271025387380192	
2346	-0.20948730167529206	
2345	-0.23361031603729998	
2344	-0.2526171433843736	
2343	-0.2744668125338485	
2342	-0.2965326195254292	
2341	-0.31602156375875623	
2340	-0.3349909287356816	
2339	-0.3551318194791264	
2338	-0.37302983114760835	
2337	-0.39270338684564976	
2336	-0.40676266006029493	
2335	-0.4188323038985473	
2334	-0.43125478214962953	
2333	-0.44570737041753716	
2332	-0.4620949886878165	
2331	-0.47464521162395457	
2330	-0.4849478938161802	
2329	-0.49452590097791926	
2328	-0.5039800678858661	
2327	-0.5141720990119261	
2326	-0.5250658891539928	
2325	-0.5337512200163737	
2324	-0.538594777822663	
2323	-0.5426523837622454	
2322	-0.5416198851947449	
2321	-0.5426779356944706	
2320	-0.5439922020526247	
2319	-0.5467144875888934	
2318	-0.5484511748326533	
2317	-0.550413116204485	
2316	-0.554928699093086	
2315	-0.5618832492625216	
2314	-0.5682328668330996	
2313	-0.5745898962275184	
2312	-0.5844834525627896	
2311	-0.5948052195549991	
2310	-0.6043513863506718	
2309	-0.618179871933922	
2308	-0.6313566516228519	
2307	-0.6412360157203842	
2306	-0.6518223956229292	-0.505457823851631
2305	-0.6615928620140323	-0.5125388195001453
2304	-0.6732613300648467	-0.5197834117968751
2303	-0.6846504514744414	-0.5271715289399683
2302	-0.6927803395070455	-0.5345515813916708
2301	-0.7007846791729353	-0.5419200513334319
2300	-0.7104636941179496	-0.5493529533646225
2299	-0.7205391571389423	-0.556865694072054
2298	-0.7339936745826119	-0.5646030590111742
2297	-0.7476635317776257	-0.572564010278325
2296	-0.7606299868724484	-0.5807078475693256
2295	-0.7738237810511901	-0.5890363217722452
2294	-0.7854176232155048	-0.5974726254504964
2293	-0.791849882577468	-0.6057916986250267
2292	-0.8006125951524581	-0.614099991102343
2291	-0.8058403024553602	-0.6222489577077278
2290	-0.8119363160904403	-0.630284283104922
2289	-0.8182521135110665	-0.6382218026468293
2288	-0.8220383116993073	-0.6459607072963545
2287	-0.8267553855379006	-0.65355048830348
2286	-0.8320553389588117	-0.6610234835428501
2285	-0.8369947636502868	-0.6683709512117302
2284	-0.8351728937382692	-0.675317932145565
2283	-0.8287268947692699	-0.6816916178338417
2282	-0.8206211532236818	-0.6874503009976092
2281	-0.8121594242794323	-0.6926080166036162
2280	-0.798453893120266	-0.6969762287727845
2279	-0.7877282691750676	-0.7007138484715384
2278	-0.7786255293445024	-0.7039163318140691
2277	-0.7683089609241431	-0.7065581391575163
2276	-0.7540663047347564	-0.708503712067949
2275	-0.7394701777576902	-0.7097696642548708
2274	-0.7282456059417619	-0.7105237303967664
2273	-0.7171596218307741	-0.7107941317137468
2272	-0.7062114698669362	-0.7106076817751349
2271	-0.6916882291618478	-0.7098390560028149
2270	-0.6811873440157061	-0.7086766849162314
2269	-0.6757737731410494	-0.7073436509407248
2268	-0.6687100637133447	-0.7057804731901166
2267	-0.6625566666422387	-0.704033744021867
2266	-0.6551014759931686	-0.7020586899961659
2265	-0.6460955390745298	-0.6998024369873366
2264	-0.6356126807383262	-0.6972173602574785
2263	-0.6240355217518072	-0.6942732617512978
2262	-0.6139116693605402	-0.6910435980086936
2261	-0.6033099594799971	-0.6875210870513655
2260	-0.5950657653457618	-0.6838124654685199
2259	-0.5865791459859686	-0.6799156810681842
2258	-0.5825531928584553	-0.6760170765241736
2257	-0.5765350854183175	-0.6720368920280574
2256	-0.5717468309553553	-0.6680275584261669
2255	-0.5650039149589947	-0.6639120780938222
2254	-0.5576509184926	-0.6596703706730972
2253	-0.5503460783268928	-0.6553094515407951
2252	-0.5430908939874044	-0.6508360962258736
2251	-0.5333747262526103	-0.6461567757333423
2250	-0.5150287379232203	-0.6409362589174898
2249	-0.50605543969791	-0.6355695372010763
2248	-0.49156756257872125	-0.6298431781212327
2247	-0.47937445718526206	-0.6238629534863838
2246	-0.464654690699172	-0.6175387257440976
2245	-0.45194103269419905	-0.6109640260964381
2244	-0.4383117519565545	-0.604112577252177
2243	-0.4250767365165249	-0.5970111283078605
2242	-0.4122248292109436	-0.5896848791493655
2241	-0.39974518649737867	-0.5821575603762547
2240	-0.3936315568705826	-0.5746893606909658
2239	-0.3787402974536054	-0.5669301943761487
2238	-0.36875995880107837	-0.5590860722861026
2237	-0.36125910750140733	-0.5512584110153677
2236	-0.3539133221106514	-0.5434525685552047
2235	-0.3486202146893991	-0.5357487239708411
2234	-0.3440221971402053	-0.5281701511269152
2233	-0.3394560674248339	-0.5207129834761809
2232	-0.3342881623260876	-0.5133484870126673
2231	-0.32854818673191843	-0.5060502683780455
2230	-0.3178189790616006	-0.4986186084380117
2229	-0.30741382081207647	-0.4910715565872936
2228	-0.29541629496015354	-0.4833508114208124
2227	-0.27936035626458633	-0.4753031254007707
2226	-0.26707152753295205	-0.46709005584810437
2225	-0.2583861681269948	-0.45886022072157845
2224	-0.24677878437742606	-0.4504990160762794
2223	-0.23557192368632585	-0.44202739185715934
2222	-0.22156690786414757	-0.4333394046481936
2221	-0.2087219287078952	-0.4244893024094249
2220	-0.19635336461018404	-0.4155022334422075
2219	-0.18572188420508695	-0.4064519944766729
2218	-0.17675444716767608	-0.3974065616842711
2217	-0.16810358038153161	-0.38837814807069987
2216	-0.16295270146081187	-0.3795038044310116
2215	-0.1592297268883769	-0.3708335678945424
2214	-0.15751118544189957	-0.36243817898432
2213	-0.15898610206980024	-0.3544323585218965
2212	-0.15391638518043216	-0.3465431323680203
2211	-0.14899773872020283	-0.3387717846060551
2210	-0.14422582799262074	-0.33111938124944523
2209	-0.1395964401186962	-0.3235867835934727
2208	-0.13830726980587826	-0.3163005728757342
2207	-0.13764580457869613	-0.3092756551074544
2206	-0.1363025270051601	-0.3024748636792343
2205	-0.13815455479628902	-0.29601493023146486
2204	-0.1382480959147081	-0.2898132377489586
2203	-0.13666263265699818	-0.28379356876522394
2202	-0.1350786155109418	-0.27794877076651825
2201	-0.13670508136749504	-0.27239808773443364
2200	-0.1381868300767728	-0.2671242070308103
2199	-0.14273967804090404	-0.26223686067249835
2198	-0.15022236903775088	-0.25783589764598686
2197	-0.154717530801177	-0.2537847544372164
2196	-0.16085557591695832	-0.2501341650715053
2195	-0.16502443602220218	-0.2467909784814981
2194	-0.17020379957357967	-0.24378276148591346
2193	-0.17602381512850584	-0.2411214695113186
2192	-0.17827227460658257	-0.2386531608927411
2191	-0.18193426507598076	-0.2364257394523228
2190	-0.1837268661959861	-0.2343563042550588
2189	-0.18727339524553877	-0.23250750136962792
