	macd	trigger
807		
806		
805		
804		
803		
802		
801		
800		
799		
798		
797		
796		
795		
794		
793		
792		
791		
790		
789		
788		
787		
786		
785		
784		
783		
782		
781		
780		
779		
778		
777		
776		
775		
774		
773		
772		
771		
770		
769		
768		
767		
766		
765		
764		
763		
762		
761		
760		
759		
758		
757		
756		
755		
754		
753		
752		
751		
750		
749		
748		
747		
746		
745		
744		
743		
742		
741		
740		
739		
738		
737		
736		
735		
734		
733		
732		
731		
730		
729		
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709	3.9253804668393286	
708	4.018356583277409	
707	3.969953824670654	
706	4.0841202458664725	
705	4.0280061317058085	
704	3.972497927850327	
703	3.9175922940834766	
702	3.86328586776807	
701	3.8095752626070976	
700	3.5915332340661053	
699	3.3819501455650425	
698	3.3462839396473214	
697	3.4213735423782055	
696	3.491187924782537	
695	3.5559444602139934	
694	3.5042601295280633	
693	3.4532118539486873	
692	3.68308312271688	
691	3.9003364107954894	
690	4.133619313099359	
689	4.382139579982777	
688	4.6168524735281835	
687	4.866636626293769	
686	5.102331378593817	
685	5.381411319253004	
684	5.559230601893148	
683	5.5544834171782895	
682	5.948100264394498	
681	6.320468876637278	
680	6.672397442940451	
679	7.004665220283869	
678	7.318023637847034	
677	7.671037422943982	
676	8.061815008847304	
675	8.488533497899482	
674	8.716797860297788	
673	9.104913388633975	
672	9.412174246174118	
671	9.583585340336981	
670	9.77153213749449	
669	9.916546265870863	
668	10.049863364443809	
667	10.054235666352554	
666	10.023823687393758	
665	10.19638690743335	
664	10.296716643644004	
663	9.79488770292744	
662	9.311075637847694	
661	9.141753087034601	7.50966888180803
660	8.797037208967708	7.56805327540693
659	8.46362785743662	7.6084214397376355
658	8.08149890886176	7.629621260917676
657	7.71273997855036	7.6333252938960365
656	7.356921257175429	7.621073372566644
655	7.013626610745632	7.59428451126529
654	6.922467263359636	7.564800892404571
653	6.831951621982512	7.532788320284236
652	6.772175928211254	7.499710736166942
651	6.681563936616897	7.464282454367369
650	6.5916884175615	7.426650256991787
649	6.502559973564928	7.386952453790485
648	6.595591110543353	7.353083301507576
647	6.499396262347034	7.3166771370156605
646	6.404279353494644	7.277900215166134
645	6.188867145508425	7.231767804669122
644	6.040880042907645	7.181478907570213
643	5.896561259587713	7.1273822695071445
642	5.694920899961858	7.067247379466352
641	5.621491318836092	7.006721695605571
640	5.365454685987686	6.938192579480461
639	5.118346633184501	6.862399486786572
638	5.2468423634756505	6.795277897934572
637	4.99946753932926	6.720840861573651
636	4.760807268240626	6.639777860033771
635	4.530584658374266	6.552732396253545
634	4.3392363359254205	6.4615696362591315
633	4.154383659792757	6.3667350161486835
632	4.068118770982949	6.272430724490308
631	3.922114048790945	6.176179640079468
630	3.7930797717132236	6.078755202940333
