	macd	trigger
2611		
2610		
2609		
2608		
2607		
2606		
2605		
2604		
2603		
2602		
2601		
2600		
2599		
2598		
2597		
2596		
2595		
2594		
2593		
2592		
2591		
2590		
2589		
2588		
2587		
2586		
2585		
2584		
2583		
2582		
2581		
2580		
2579		
2578		
2577		
2576		
2575		
2574		
2573		
2572		
2571		
2570		
2569		
2568		
2567		
2566		
2565		
2564		
2563		
2562		
2561		
2560		
2559		
2558		
2557		
2556		
2555		
2554		
2553		
2552		
2551		
2550		
2549		
2548		
2547		
2546		
2545		
2544		
2543		
2542		
2541		
2540		
2539		
2538		
2537		
2536		
2535		
2534		
2533		
2532		
2531		
2530		
2529		
2528		
2527		
2526		
2525		
2524		
2523		
2522		
2521		
2520		
2519		
2518		
2517		
2516		
2515		
2514		
2513	-0.11294564728424206	
2512	-0.12380543144188039	
2511	-0.13677951878342043	
2510	-0.1436541117373764	
2509	-0.1528398160603075	
2508	-0.16966967286150947	
2507	-0.180158908496594	
2506	-0.19005853760717883	
2505	-0.19939224901560948	
2504	-0.2054340620460664	
2503	-0.20832996272293514	
2502	-0.21650843891936944	
2501	-0.2241914259974962	
2500	-0.22029322168265963	
2499	-0.222032044930927	
2498	-0.22078638413743334	
2497	-0.21948661246592138	
2496	-0.21533300244505682	
2495	-0.21126390861299882	
2494	-0.21009297666255122	
2493	-0.20604778960870362	
2492	-0.2049144866079402	
2491	-0.20372974343058559	
2490	-0.19965609386320438	
2489	-0.19567023124211147	
2488	-0.19633376211675824	
2487	-0.19515181918492175	
2486	-0.19392551226431465	
2485	-0.19552725723691822	
2484	-0.19408015169035764	
2483	-0.19260139395542097	
2482	-0.19109315758215217	
2481	-0.18666552536978998	
2480	-0.1765526282890164	
2479	-0.16101099355815052	
2478	-0.14610385386655622	
2477	-0.13180913264432093	
2476	-0.12977871656630668	
2475	-0.12485245263402334	
2474	-0.11716094804047827	
2473	-0.11093677311502859	
2472	-0.10964328100322973	
2471	-0.10835350062349391	
2470	-0.107067885945483	
2469	-0.1057868687739969	
2468	-0.10155378393983483	
2467	-0.10397876372257997	
2466	-0.09674810207741302	
2465	-0.0838582335208784	-0.15178911099968195
2464	-0.07449091750257963	-0.14828350342925506
2463	-0.07445250425095651	-0.14495555959595088
2462	-0.06841076211198072	-0.14152538985667543
2461	-0.05962274180926386	-0.13787554878569933
2460	-0.0601822720416294	-0.13443170648229175
2459	-0.05469338109434574	-0.13091518606687894
2458	-0.046427331550539463	-0.12720732100582974
2457	-0.03851530858346308	-0.12333304622824355
2456	-0.030945064888975082	-0.11931526890036186
2455	-0.026716768417166747	-0.11530546800504486
2454	-0.022667904019918694	-0.11131030536900119
2453	-0.021811939555973936	-0.10746556359798248
2452	-0.02400730852932753	-0.10389366768177852
2451	-0.0321444233876349	-0.10083386394795149
2450	-0.039894020159174204	-0.09824391951494275
2449	-0.04484247124869967	-0.09598178661816345
2448	-0.03982146691755162	-0.09361024445512324
2447	-0.028926479139336436	-0.09088697713418728
