	macd	trigger
2813		
2812		
2811		
2810		
2809		
2808		
2807		
2806		
2805		
2804		
2803		
2802		
2801		
2800		
2799		
2798		
2797		
2796		
2795		
2794		
2793		
2792		
2791		
2790		
2789		
2788		
2787		
2786		
2785		
2784		
2783		
2782		
2781		
2780		
2779		
2778		
2777		
2776		
2775		
2774		
2773		
2772		
2771		
2770		
2769		
2768		
2767		
2766		
2765		
2764		
2763		
2762		
2761		
2760		
2759		
2758		
2757		
2756		
2755		
2754		
2753		
2752		
2751		
2750		
2749		
2748		
2747		
2746		
2745		
2744		
2743		
2742		
2741		
2740		
2739		
2738		
2737		
2736		
2735		
2734		
2733		
2732		
2731		
2730		
2729		
2728		
2727		
2726		
2725		
2724		
2723		
2722		
2721		
2720		
2719		
2718		
2717		
2716		
2715	-4.8793989919754495	
2714	-4.755227546444871	
2713	-4.3432392433021505	
2712	-4.0136108150683185	
2711	-3.6325364708399093	
2710	-3.267731679883127	
2709	-2.9185815451224926	
2708	-2.584495530190111	
2707	-2.1991074297690147	
2706	-1.8967849958389706	
2705	-1.6077658170465838	
2704	-1.2652453973277034	
2703	-0.9382043385243151	
2702	-0.6926945551739436	
2701	-0.6253481769556402	
2700	-0.6612743216709305	
2699	-0.661624190330599	
2698	-0.627986075869444	
2697	-0.5618884444994592	
2696	-0.7520033226410305	
2695	-0.7804818579595576	
2694	-1.0448060806376134	
2693	-1.3643205115930641	
2692	-1.6341981340974598	
2691	-1.856549382873709	
2690	-2.2387784079643325	
2689	-2.4992452625531314	
2688	-2.7463717581846367	
2687	-2.9806597413573854	
2686	-3.4786343214051385	
2685	-4.124678555183095	
2684	-4.738777946952268	
2683	-5.322116118699569	
2682	-5.910603760321806	
2681	-6.468953021100106	
2680	-6.614432810801986	
2679	-7.099434484258495	
2678	-7.733604041154763	
2677	-8.159268645869247	
2676	-8.649068279030075	
2675	-8.918366925672217	
2674	-8.959216820481174	
2673	-8.781745424629207	
2672	-8.784824253679176	
2671	-8.747870760706519	
2670	-9.027532578869113	
2669	-9.041011572799562	
2668	-9.049279853683515	
2667	-9.052571620623326	-5.676899864852406
2666	-8.658411836674077	-5.812116620469447
2665	-8.277892016371311	-5.923261832026016
2664	-7.910574917282474	-6.01231845548812
2663	-7.663599658667181	-6.085904769224946
2662	-7.675349989545566	-6.156358725063627
2661	-7.610753534112291	-6.220498635366574
2660	-7.437232185829771	-6.273896651521622
2659	-7.448106130647034	-6.325188871016136
2658	-7.454694490201291	-6.374308918912974
2657	-7.457189116750101	-6.421200974012683
2656	-7.455775071913422	-6.465818854733459
2655	-7.450630856451994	-6.508125189661606
2654	-7.441928631799897	-6.548090663403744
2653	-7.2845354538734455	-6.5794969387144455
2652	-7.203348443007485	-6.606010638620999
2651	-7.195017624212255	-6.630961498977741
2650	-7.110493965985256	-6.651211231709277
2649	-7.007952816905345	-6.66623049807759
2648	-6.924782420362362	-6.677084536969659
2647	-6.84187262217165	-6.683983288301617
2646	-6.649400367211342	-6.68253932031746
2645	-6.572276801475368	-6.677947097921783
2644	-6.421922825230126	-6.667310051592822
2643	-6.238406733114175	-6.649531842574298
2642	-6.060064991908462	-6.625152692958817
2641	-5.849942079090283	-6.593160096283251
2640	-5.756937962558823	-6.55872031613409
2639	-5.702110972766491	-6.523510227961768
2638	-5.8683755328253255	-6.496632312391649
2637	-6.097981707323697	-6.480306617460599
2636	-5.999627708325306	-6.460655795105737
2635	-6.1803481668164295	-6.449215485572934
2634	-6.238520446826556	-6.440630020225157
2633	-6.123958133658675	-6.427745924521794
2632	-6.03003773333387	-6.411588545560677
2631	-5.918729779326782	-6.391593762006479
2630	-5.828050616758333	-6.36876228239724
2629	-5.719906519889264	-6.342508523321314
2628	-5.520636498696717	-6.309295626248264
2627	-5.513991988727412	-6.277194771041242
2626	-5.467519820777625	-6.244551299174118
2625	-5.42036183525795	-6.211359196124237
2624	-5.335206950272664	-6.176111673366269
2623	-5.363374577563377	-6.143448463834274
2622	-5.312669052903971	-6.110092619631285
2621	-5.261546955310791	-6.07605526292023
2620	-5.210052808371188	-6.0413487973434306
2619	-6.508377334536021	-6.0600496297765485
2618	-7.369030084898213	-6.1124207539898805
2617	-8.449670276107895	-6.205857859768858
2616	-9.213771334098396	-6.326014828872194
2615	-10.126444181922238	-6.47771945405481
2614	-10.992428881189198	-6.657810102665884
2613	-11.43683664477146	-6.848315882176623
2612	-11.855170638624713	-7.047774462221343
2611	-11.946765270794344	-7.2428148542227575
2610	-13.34853191287732	-7.485752912595711
2609	-14.792970597656335	-7.776330541471815
2608	-16.12637316030134	-8.10819440168507
2607	-17.42866980420274	-8.478431524306522
2606	-18.662808415597397	-8.882780268093827
2605	-19.925848920079943	-9.321008031554648
2604	-21.083368731792007	-9.787561564267143
2603	-22.234249418475656	-10.28103719998037
2602	-23.321377220712634	-10.797826475962069
2601	-24.385010717333557	-11.336064189532019
2600	-25.406717415188268	-11.893232142939045
2599	-26.349923600438615	-12.465467688209884
2598	-27.27467115829836	-13.051441539547135
2597	-28.124340236978696	-13.647639161201422
2596	-28.939912677943312	-14.25230925924738
2595	-29.703506728429375	-14.863064732064753
2594	-30.417089336175707	-15.47769278123363
2593	-31.0825637080232	-16.094145118668905
2592	-31.70177124559234	-16.71052868335292
2591	-32.28030412393997	-17.325247292768637
2590	-32.8502113207299	-17.938033771362356
2589	-33.3772767017565	-18.547281175381237
2588	-33.88225187617667	-19.15226550777084
2587	-34.293357103237156	-19.749460360282104
2586	-34.66808777299548	-20.33774764741098
2585	-35.023183344825895	-20.916713611090206
2584	-35.34406869974845	-21.48538612895579
2583	-35.67036577234131	-22.044392983468004
2582	-35.96342229309329	-22.59281350123459
2581	-36.224595641709186	-23.129816866089516
2580	-36.43605866609454	-23.65390288311858
2579	-36.584635796345026	-24.16311195780558
2578	-38.148855915552474	-24.713776761318684
2577	-39.6232008569383	-25.300717387961196
2576	-41.01003444796805	-25.919053854313155
2575	-42.30878151878812	-26.56407823616134
2574	-43.53044390924714	-27.231703160607893
2573	-44.674056277315344	-27.917966035830993
2572	-45.742573513899686	-28.619178151561478
2571	-46.75229404990847	-29.33243850084763
2570	-47.69192721091656	-30.054517228366276
2569	-48.560329099009834	-30.782267652770532
2568	-49.35067741097379	-31.512399587576912
2567	-50.078600581955584	-32.242367658123165
2566	-50.753287519552146	-32.97008848079401
2565	-51.37488551760299	-33.693566846317054
2564	-51.944523527237266	-34.41093076263754
2563	-52.45849442670112	-35.12023646241387
2562	-52.92676025805042	-35.820008394975225
2561	-53.34634204587303	-36.50871211819422
2560	-53.71441904584839	-37.18476282785986
2559	-54.02832309021744	-37.846533326191164
2558	-54.29998562298738	-38.49292924548757
2557	-54.536003374587835	-39.12315838063741
2556	-54.73787394581723	-39.73651843086205
2555	-54.892581290681676	-40.33182337003307
2554	-55.02147487211255	-40.90877230081888
2553	-55.111191662799655	-41.46655118993536
2552	-55.16828831228128	-42.00463541385761
2551	-55.19035627576392	-42.52242627288032
2550	-55.18669710973515	-43.01971373785664
2549	-55.15944710833739	-43.496379766837336
2548	-55.10486356034801	-43.95216385369784
2547	-55.024216051704485	-44.38686544377193
2546	-54.91389921970193	-44.800150186750365
2545	-54.78014881234364	-45.19194155686874
2544	-54.62023206068744	-45.56205862403018
2543	-54.44315354313639	-45.91068091801473
2542	-54.24204922228333	-46.23771133915347
2541	-54.02585078601342	-46.543407070672636
2540	-53.79148674652248	-46.82789450242281
2539	-53.53990335581406	-47.091332081281436
2538	-53.272012809318596	-47.33390771858187
2537	-52.98869432127893	-47.555836341996034
2536	-52.69079516824698	-47.7573575848587
2535	-52.379131701609595	-47.93873360624357
2534	-52.054490330036	-48.1002470354087
2533	-51.71762847271279	-48.24219903452225
2532	-51.369275484208345	-48.36490747385916
2531	-51.00528966703445	-48.46851514159427
2530	-50.631413844566026	-48.55338449165545
2529	-50.24829070212087	-48.61988889005389
2528	-49.85169241810701	-48.66822108695431
2527	-49.43274246457776	-48.69821792631492
2526	-49.007215040025216	-48.71034152130987
2525	-48.56108441371103	-48.70448548852439
2524	-48.11491254986436	-48.681354306039786
2523	-47.66408272589791	-48.64144360633911
2522	-47.213890058976915	-48.58543725471389
2521	-46.75483692601159	-48.5136196109234
2520	-46.297266353927625	-48.42666960316858
2519	-45.831643624246226	-48.32486541324013
2518	-45.36342822784667	-48.20868844724676
2517	-44.89783364734387	-48.07880570326472
2516	-44.42527400791468	-47.93548192200363
2515	-43.94876996910992	-47.77908992427133
2514	-43.471142578474854	-47.61009853729558
2513	-42.98776976541191	-47.42877685231224
2512	-42.499292320544356	-47.23540851680672
2511	-42.00852630701209	-47.03037649264596
2510	-41.51343355778533	-46.81396874544386
2509	-41.01446702385459	-46.58647969209939
2508	-40.516919377098304	-46.34839978799795
2507	-40.020983754543124	-46.10020780270196
2506	-39.51712514613767	-45.84198969872065
2505	-39.00110483675154	-45.573661797067246
2504	-38.49804401531327	-45.296129045167426
2503	-37.993031996813926	-45.00967601733806
2502	-37.50100250441251	-44.71516186231248
2501	-37.002173760496646	-44.412636107772805
2500	-36.50197533970747	-44.10235929616926
2499	-36.00559111556446	-43.78478506572425
2498	-35.51310482059209	-43.46035253416339
2497	-35.01726697152802	-43.12919924735652
2496	-34.52827920417657	-42.79185747635017
2495	-34.043618896145546	-42.44873966401926
2494	-33.55361135456617	-42.09986261611462
2493	-33.06848355710747	-41.745643589691305
2492	-32.595530509858094	-41.38676958480449
2491	-32.12477714204854	-41.02350941880305
2490	-31.65876801488635	-40.65622116066199
2489	-31.197528918242313	-40.28524984261333
2488	-30.75081551031667	-39.911309577273954
2487	-30.306063324224567	-39.5345936854571
2486	-29.86821632013961	-39.15548180502037
2485	-29.429918209929212	-38.774050171370575
2484	-28.98654874216426	-38.39019082720269
2483	-28.553173908930773	-38.004390927767446
2482	-28.124695000420104	-37.61691855200229
2481	-27.70598057316444	-37.2282222032806
2480	-27.28219545237225	-36.838150974525746
2479	-26.86839924124905	-36.44715049770912
2478	-26.459482121845113	-36.05544852549019
2477	-26.050564000480804	-35.66307248830261
2476	-25.651598182779836	-35.2704390942531
2475	-25.25746796830626	-34.87774803912739
2474	-24.86328675475518	-34.484999543644456
2473	-24.474132810909182	-34.0923929811934
2472	-24.080236094752536	-33.69973674527599
2471	-23.682016962088525	-33.306863232062454
2470	-23.29449525837211	-32.91420045816014
2469	-22.907640467495796	-32.52176627930094
2468	-22.536240927519927	-32.13015781552558
2467	-22.160294477528225	-31.739164331676125
2466	-21.792418543277762	-31.349078183105355
2465	-21.432371759795856	-30.960170793779834
2464	-21.062959733256406	-30.57202862487877
2463	-20.699422016905913	-30.184852012353872
2462	-20.346553951730613	-29.799021495616582
2461	-19.999178810105974	-29.414699673376987
2460	-19.657226923924355	-29.032040035986483
2459	-19.325503606567082	-28.651378504993467
2458	-18.9963706964773	-28.27273828228935
2457	-18.669946230510504	-27.89614628995047
2456	-18.343806356863084	-27.52153333934618
2455	-18.02545318804566	-27.149127165583884
2454	-17.734134931260073	-26.77990142577671
2453	-17.451739061120108	-26.414081276888528
2452	-17.168254072155378	-26.051490428098095
2451	-16.883876897086594	-25.691967226750982
2450	-16.574414379740944	-25.33440758721478
2449	-16.270428776602103	-24.97894927374084
2448	-15.974299473228072	-24.625817959622083
2447	-15.683351640801519	-24.2751255707113
2446	-15.397500510852723	-23.926976319651402
2445	-15.119068586165469	-23.581561413016896
2444	-14.845456537495394	-23.238962622794453
2443	-14.576587062493005	-22.899255483142483
2442	-14.312383916464952	-22.562509576495714
2441	-14.05036554732746	-22.22869443961692
2440	-13.783219304189913	-21.8974940293736
2439	-13.523480245499698	-21.569096276333482
2438	-13.26613286774564	-21.243485051996302
2437	-13.011136990242917	-20.92064328517265
2436	-12.760989832740933	-20.600652506187657
2435	-12.515600587679344	-20.283587487270427
2434	-12.279758817998882	-19.96970789707475
2433	-12.043394550979016	-19.658868315429007
2432	-11.806654518412572	-19.35093477987793
2431	-11.572151032929156	-19.045881026824105
2430	-11.344718308097683	-18.743871402082522
2429	-11.126624678946584	-18.44515276185744
2428	-10.905392039501564	-18.149472939337834
2427	-10.690972513673927	-17.856979940434556
2426	-10.48563957641477	-17.567905123707387
2425	-10.28420626708639	-17.282267362809687
2424	-10.086599694895796	-17.000081933051508
2423	-9.895220821525314	-16.721457667114418
2422	-9.709820382082768	-16.446489354710472
2421	-9.527814871488118	-16.1751667537866
2420	-9.34426401423103	-15.907286286529486
2419	-9.169094479360567	-15.643041642884178
2418	-8.992254557672936	-15.382224729846266
2417	-8.82126576360524	-15.12493057860218
2416	-8.65100471454619	-14.871049575548572
2415	-8.481526845142497	-14.62047857988804
2414	-8.310541857440043	-14.373028679735793
2413	-8.140550249389605	-14.128616431142996
2412	-7.9740682574025215	-13.887260339167174
2411	-7.801260405394231	-13.64859247644143
2410	-7.642029584346204	-13.413039853858864
2409	-7.478788097871643	-13.180323019824314
2408	-7.3215012524349845	-12.950564280044233
2407	-7.17245278611982	-12.723970702706945
2406	-7.026463343376491	-12.500538122850381
2405	-6.876179706551483	-12.279974176355395
2404	-6.741337230943927	-12.062771903099765
2403	-6.6042489722704545	-11.84871139969352
2402	-6.477260522286315	-11.638065529194481
2401	-6.364924614676724	-11.431274993279397
2400	-6.251921113368866	-11.228162419485084
2399	-6.123758440445357	-11.027989092385504
2398	-6.003130841379672	-10.830935239308298
2397	-5.8727028743101215	-10.636494196641362
2396	-5.749979044803737	-10.444865623330697
2395	-5.63232863735783	-10.256138182957292
2394	-5.556166270897805	-10.071825090036583
2393	-5.509875960641068	-9.892924686879132
2392	-5.472590674378097	-9.71957784790913
2391	-5.429272011339378	-9.551330180564127
2390	-5.385100045829461	-9.38794825245285
2389	-5.345019247949324	-9.229401686743834
2388	-5.303981394068586	-9.075463327984991
2387	-5.252286125949681	-8.925534521982788
2386	-5.209977052675399	-8.779826116757645
2385	-5.166882821015051	-8.638141814468563
2384	-5.118178834916634	-8.500103815168739
2383	-5.073911916734829	-8.365743128423862
2382	-5.038785799681705	-8.23527400819052
2381	-4.9928702341181435	-8.108120726699653
2380	-4.946446978991304	-7.984133340737689
2379	-4.899563355007601	-7.863169643003017
2378	-4.857147874070591	-7.7452862782504805
2377	-4.809252654230747	-7.630147556370126
2376	-4.761035619746224	-7.517633223456481
2375	-4.717419789494002	-7.407820801285973
2374	-4.683101418162153	-7.300968938636003
2373	-4.633257982250484	-7.196352707808817
2372	-4.58327321002254	-7.093878893888841
2371	-4.547829764085606	-6.994033728755557
2370	-4.516516379541343	-6.8968760910167495
2369	-4.498928040679985	-6.802838824570956
2368	-4.484681241653902	-6.711930602327586
