	macd	trigger
1488		
1487		
1486		
1485		
1484		
1483		
1482		
1481		
1480		
1479		
1478		
1477		
1476		
1475		
1474		
1473		
1472		
1471		
1470		
1469		
1468		
1467		
1466		
1465		
1464		
1463		
1462		
1461		
1460		
1459		
1458		
1457		
1456		
1455		
1454		
1453		
1452		
1451		
1450		
1449		
1448		
1447		
1446		
1445		
1444		
1443		
1442		
1441		
1440		
1439		
1438		
1437		
1436		
1435		
1434		
1433		
1432		
1431		
1430		
1429		
1428		
1427		
1426		
1425		
1424		
1423		
1422		
1421		
1420		
1419		
1418		
1417		
1416		
1415		
1414		
1413		
1412		
1411		
1410		
1409		
1408		
1407		
1406		
1405		
1404		
1403		
1402		
1401		
1400		
1399		
1398		
1397		
1396		
1395		
1394		
1393		
1392		
1391		
1390	0.10320092392279889	
1389	0.11580351453390847	
1388	0.1304411535801151	
1387	0.1497228219026212	
1386	0.167466262541609	
1385	0.1739443231866602	
1384	0.19093431585748277	
1383	0.209755343885341	
1382	0.22044975295866465	
1381	0.2431700638144818	
1380	0.2663470509883652	
1379	0.28663784172952944	
1378	0.3224447633124967	
1377	0.35640377007517543	
1376	0.3830202527486648	
1375	0.4070773965303687	
1374	0.4113441792039225	
1373	0.426413456264072	
1372	0.4293240824525668	
1371	0.45159022994356235	
1370	0.46976622683465763	
1369	0.48402827207885224	
1368	0.5172208698526433	
1367	0.5514474519324253	
1366	0.5781107146155193	
1365	0.608947265559955	
1364	0.6380442134592101	
1363	0.6683326419761073	
1362	0.7083581283385811	
1361	0.7461718193503017	
1360	0.7760961227692675	
1359	0.8042436749574335	
1358	0.8321291884367312	
1357	0.8626515577990972	
1356	0.9087447437682385	
1355	0.9522523064690418	
1354	0.987446154659736	
1353	1.026355205074239	
1352	1.0717231550230863	
1351	1.1144607971416391	
1350	1.1517350490915277	
1349	1.1896503839301005	
1348	1.2208062014160603	
1347	1.2513860290722008	
1346	1.2858323501453555	
1345	1.3150889440731746	
1344	1.3452981299898426	
1343	1.377888962617277	
1342	1.4038310917020738	0.876479209842316
1341	1.4293596238553405	0.9015532986045257
1340	1.4574623532624145	0.9266109861736582
1339	1.4716040124566874	0.9510335288979197
1338	1.4604480212419162	0.9737346500537493
1337	1.45953167339362	0.9952681521785006
1336	1.451922829849309	1.0154069686009721
1335	1.4379229633833859	1.0339496609649401
1334	1.4238313198509616	1.0509806047445476
1333	1.417179286985089	1.0669058879001916
1332	1.408603943229096	1.0817024684175465
1331	1.3981953422839624	1.095351796507048
1330	1.3905698134553433	1.1080340061877214
1329	1.3871194415968873	1.119978470233728
1328	1.3891743666517158	1.1314585438859868
1327	1.3964895424710448	1.142722365987981
1326	1.402759860209983	1.1537377857785243
1325	1.4034729827227181	1.1642836222749262
1324	1.3973559268813034	1.174096257446226
1323	1.3923279388813583	1.183257648074641
1322	1.391391574634575	1.1919710462631141
1321	1.395891438436749	1.2004854952550539
1320	1.3994745303910818	1.208773006852302
1319	1.396064704713055	1.2165544193185098
1318	1.3982204056987655	1.2240845449628635
1317	1.3919037259594447	1.2310252048443169
1316	1.3667597340040984	1.2366269083925776
1315	1.3543449124207712	1.2414751203865275
1314	1.3356568113613108	1.2453463665608966
1313	1.3217521043152445	1.2484810302929195
1312	1.3062655058730996	1.2508474426552234
1311	1.2908164342168575	1.252481430620898
1310	1.272325719607558	1.2532913436791022
1309	1.249394235624976	1.253132543138025
