	macd	trigger
4522		
4521		
4520		
4519		
4518		
4517		
4516		
4515		
4514		
4513		
4512		
4511		
4510		
4509		
4508		
4507		
4506		
4505		
4504		
4503		
4502		
4501		
4500		
4499		
4498		
4497		
4496		
4495		
4494		
4493		
4492		
4491		
4490		
4489		
4488		
4487		
4486		
4485		
4484		
4483		
4482		
4481		
4480		
4479		
4478		
4477		
4476		
4475		
4474		
4473		
4472		
4471		
4470		
4469		
4468		
4467		
4466		
4465		
4464		
4463		
4462		
4461		
4460		
4459		
4458		
4457		
4456		
4455		
4454		
4453		
4452		
4451		
4450		
4449		
4448		
4447		
4446		
4445		
4444		
4443		
4442		
4441		
4440		
4439		
4438		
4437		
4436		
4435		
4434		
4433		
4432		
4431		
4430		
4429		
4428		
4427		
4426		
4425		
4424	0.037060385635491855	
4423	0.03980656948898087	
4422	0.04240094863545352	
4421	0.039439849870305466	
4420	0.03388723591839238	
4419	0.03402111138437647	
4418	0.027585990949837935	
4417	0.030739005970467304	
4416	0.02824376955672392	
4415	0.02585206648844718	
4414	0.01804853978903509	
4413	0.016129111313254896	
4412	0.01706141752699608	
4411	0.01794118998930827	
4410	0.013204222917700292	
4409	0.008682679887719758	
4408	0.00436851143738437	
4407	0.00025396968442237267	
4406	-0.000859073070927252	
4405	-0.004735411079579421	
4404	-0.0027845825703849414	
4403	-0.0009232281737610037	
4402	-0.001982398397395002	
4401	-0.002423220601663445	
4400	-0.0005651781883955209	
4399	-0.0016454749372911692	
4398	-0.004389777327077127	
4397	-0.005859054991958601	
4396	-0.008405227593904385	
4395	-0.010829316806791667	
4394	-0.011407210016066927	
4393	-0.0090660631427113	
4392	-0.010298815384366833	
4391	-0.002197793260158676	
4390	0.0055307765322112346	
4389	0.012900362896445472	
4388	0.019923968197154807	
4387	0.02953244799653021	
4386	0.044530611977748435	
4385	0.05295976874273123	
4384	0.06097463570228712	
4383	0.0727038222844314	
4382	0.08562334083564593	
4381	0.09495869057609241	
4380	0.10381755979060614	
4379	0.1122174740811488	
4378	0.12017536310634114	
4377	0.13660605785229762	
4376	0.15221479940257865	0.04483365504879432
4375	0.15513152779883654	0.049835855491279744
4374	0.16379460839867477	0.05497256409891125
4373	0.16302720417921535	0.05981477113028239
4372	0.15324849321336131	0.06397847333531465
4371	0.15281503199996394	0.06791625420438861
4370	0.1493275602155535	0.07150655432971527
4369	0.145923518731216	0.0747724446027403
4368	0.13959659501878718	0.07760411528058375
4367	0.12747138440206385	0.07977274782753711
4366	0.11884699974189061	0.08146478354617653
4365	0.1075399955440588	0.08258932426399575
4364	0.09367467560178966	0.08306553757747538
4363	0.07737097747128985	0.08282181841546882
4362	0.05692838049919402	0.0817175721088035
4361	0.03678308037891043	0.07980785541984563
4360	0.019358299045116212	0.07724715838801192
4359	0.0015030084887754924	0.07404862878477464
4358	-0.01371431212794505	0.07035369934135043
4357	-0.028231056609200778	0.06621510015478624
4356	-0.04207186275468899	0.06168173338442954
4355	-0.055260572505417827	0.05679894903959019
4354	-0.06476551748801995	0.05173602220308316
4353	-0.06463051780365703	0.04690133889677269
4352	-0.07671342371952505	0.04177745900849638
4351	-0.08207827549366442	0.036655037826113214
4350	-0.09329183858756096	0.03129218812826655
4349	-0.1008767447749932	0.02584881511987207
4348	-0.1080648591936395	0.02034442468032608
4347	-0.10564112038030515	0.01517567256212261
4346	-0.10635316704375697	0.01019877616335274
4345	-0.10697848049859005	0.005408406935719792
4344	-0.11183989953669027	0.0006231039939925043
4343	-0.11642295817718917	-0.0041463244502815124
4342	-0.11950169516911302	-0.008839666989630625
4341	-0.12237926909089225	-0.013452351412259715
4340	-0.130017160943126	-0.01818126828720049
4339	-0.13848062030654518	-0.023055096007036903
4338	-0.1464882654574282	-0.02804940272352967
4337	-0.11680950659633282	-0.03163631176264339
4336	-0.11637895636274465	-0.03505678067015115
4335	-0.11901736557520337	-0.03844179954766871
4334	-0.12458625360611819	-0.04191104505670219
4333	-0.12983809821741943	-0.045448342166876335
4332	-0.13166843365013392	-0.04891345398289755
4331	-0.12711102682920483	-0.05205309131935074
4330	-0.12893738800455878	-0.05513711889946767
4329	-0.13061462797644197	-0.05816200359447317
4328	-0.13214865635097794	-0.061124589143964285
4327	-0.1335451866151871	-0.0640220717541356
4326	-0.13480974225205244	-0.06685197715942902
4325	-0.13594766266474778	-0.06961213905214671
4324	-0.13069621318805957	-0.07205047843713719
4323	-0.12561644751335166	-0.07418721176850891
4322	-0.12070315114547725	-0.07604147125265469
4321	-0.10967114396473221	-0.07738117993061885
4320	-0.09908435571986018	-0.07824523460616585
4319	-0.0889279679525572	-0.07867028582821842
4318	-0.08233350856588117	-0.0788159569472452
4317	-0.07914431277948353	-0.07882900711225448
4316	-0.07605943438915119	-0.07871899141116528
4315	-0.06677280490433901	-0.07824469381214234
4314	-0.06102727106426897	-0.07756144598482734
4313	-0.05866657108148843	-0.07681198158214705
4312	-0.056383024680314975	-0.07600203176962074
4311	-0.04785736080460623	-0.07488665716223866
4310	-0.03337435900267138	-0.07324220426828244
4309	-0.02585621282937467	-0.0713658197503243
4308	-0.03132030772935934	-0.06978070842147463
4307	-0.030189787961489856	-0.06821416608941865
4306	-0.035428376569818454	-0.06691734786433667
4305	-0.04041056896715389	-0.06586924624771998
4304	-0.03880603194052412	-0.06479949056806363
4303	-0.037254459601101075	-0.06371102960195162
4302	-0.0357542407882363	-0.06260662906623089
4301	-0.04065211343163355	-0.061739591215777746
4300	-0.03260402221305725	-0.060589274274455644
4299	-0.02490504685620465	-0.05918078070103517
4298	-0.017543285413225362	-0.05753772501311622
4297	-0.02640592715552259	-0.05630953551667412
4296	-0.03167089756282593	-0.05533773849225532
4295	-0.02395051681674687	-0.054100043965863286
4294	-0.02930365322810502	-0.0531224586524238
4293	-0.034398262316940986	-0.052384420681522326
4292	-0.045615941195933374	-0.05211768597183708
4291	-0.03717514134881128	-0.05152893815928357
4290	-0.00996686364984356	-0.04989166332376133
4289	0.006439608694527976	-0.04767297284526461
4288	-0.006622877138710237	-0.04605643019522145
4287	-0.012703470880673251	-0.04474321433462699
4286	-0.01850097250657967	-0.04371013366267912
4285	-0.030414195315053405	-0.043186790508848806
4284	-0.041769896531256734	-0.04313102807150082
4283	-0.05258755304801355	-0.04350314145716163
4282	-0.06288603338111187	-0.04426575410769485
4281	-0.07268361569234116	-0.045383700119736005
4280	-0.07879821993861924	-0.046698049634229445
4279	-0.07499159117534049	-0.047810834679370535
4278	-0.07452114481456107	-0.048861231153339346
4277	-0.07083081292334725	-0.04972510121294616
4276	-0.06406800764200682	-0.050289021841362115
4275	-0.05437504775651547	-0.05044965600555757
4274	-0.038683718230586805	-0.04998714607332321
4273	-0.033305749893379755	-0.04933147459798363
4272	-0.012118178011256475	-0.047868916888380325
4271	0.011320034541469681	-0.04554287237774451
4270	0.036895212195481975	-0.04230343754148513
4269	0.06128771440656067	-0.038233109476266444
4268	0.08132785163343925	-0.03353565148151204
4267	0.10041409675475421	-0.028273256144117537
4266	0.11857994683256123	-0.022504338892896977
4265	0.13907112563000368	-0.01615750954329082
4264	0.15534386052802773	-0.009421220995113836
4263	0.1740105311289213	-0.002216778245389745
4262	0.2013844261538651	0.005779356125673885
4261	0.227408373298843	0.014483002724599372
4260	0.24891323494964723	0.0236888574970438
4259	0.266092770077087	0.033207323166340036
4258	0.2920080738929087	0.04336912181391362
4257	0.3165927044125709	0.05409670375472663
4256	0.33345475060327345	0.06506462415406496
4255	0.3493765986945121	0.07622653394030568
4254	0.3708351003290389	0.0877921762018236
4253	0.3782374888815667	0.09919390032734497
4252	0.3915518345990492	0.11067024357541883
4251	0.40405721508793135	0.12218653493913148
4250	0.42867869319796625	0.1342167952038724
4249	0.4422843403997234	0.14630845929392977
4248	0.45504136707315723	0.15842582259243784
4247	0.47020721897260387	0.17066243118835836
4246	0.49089095156869433	0.18323016887665045
4245	0.5103785465891875	0.19606909318118493
4244	0.5158057227016144	0.2086167764492261
4243	0.5336290600822053	0.22137113779106507
4242	0.563277072856124	0.23478808920535857
4241	0.5912831246512482	0.24877717777890865
4240	0.6177073907416215	0.2632538694566822
4239	0.6426081289236265	0.2781392403710326
4238	0.6660417366027147	0.29335968265264933
4237	0.67837057582922	0.3084663306480703
4236	0.6897860485412082	0.32342783029668504
4235	0.703555473961174	0.3383422530977235
4234	0.7163327962294801	0.3531725352115285
4233	0.7216913080823133	0.36763092436970607
4232	0.7264312205656296	0.3817077659462617
4231	0.7241112339757692	0.3951410757254915
4230	0.7344566631680607	0.4084530180481432
4229	0.7504183681069563	0.42186869975214997
4228	0.7587940792496966	0.4350864538727955
4227	0.7663943823925692	0.44808363987924643
4226	0.7603083624610747	0.4603320186692636
4225	0.7541046891716476	0.4718563774208669
4224	0.7413192421213779	0.4824269519251504
4223	0.7287310774203561	0.4920889260497645
4222	0.722811920335154	0.5011395765233309
4221	0.7232618296341116	0.5098527411728937
4220	0.7233155610052648	0.5182261294140292
4219	0.7294674475048666	0.5265122868573447
4218	0.7349601851102534	0.5346887849983273
4217	0.7462986277749621	0.5429892299169923
4216	0.7437761352534125	0.5508650674458346
4215	0.7409820947862045	0.5583223121586047
4214	0.7379303094369973	0.5653672833870796
4213	0.7346340882861355	0.572006573922256
4212	0.7311062619913002	0.5782470205536424
4211	0.7273591978883616	0.5840956763563167
4210	0.7428512298566332	0.5903225294223468
4209	0.7507687485669408	0.5966156499048983
4208	0.7449687780078023	0.6024344073943674
4207	0.7520135508892878	0.6083012130196598
4206	0.7583465071834468	0.6141862643985224
4205	0.7704817340074541	0.6203164214344496
4204	0.7751780879654362	0.6263903065653679
4203	0.7727714695369627	0.6321315422428908
4202	0.7765592960878465	0.6377961321157345
4201	0.7797708208494356	0.6433644813474743
4200	0.7759430507485376	0.6485642818684229
4199	0.7718862256039287	0.6534010093285361
4198	0.75463581573635	0.657371453508661
4197	0.731289946158661	0.6602705348586051
4196	0.7151169376191149	0.662421600118625
4195	0.7057988455794799	0.6641228402495797
4194	0.6965382639535704	0.6653941566003467
4193	0.6873373804786098	0.6662547553535387
4192	0.6717070164676002	0.6664685886535092
4191	0.6434561659317595	0.6655660630930387
4190	0.6096658101728423	0.6633737151791385
4189	0.5770980098257397	0.6599900855909898
4188	0.5716855267845418	0.6565268975877059
4187	0.5662222988111694	0.6529852812554408
4186	0.5672071312406644	0.6496211953935854
4185	0.5613579915590208	0.6461596591369192
4184	0.5619777642368646	0.6428581937961153
4183	0.5720190949269295	0.6400800164471593
4182	0.5715625722763065	0.6373928966460449
4181	0.5643340111061619	0.6345276771611944
4180	0.5506454177051907	0.6312379946104728
4179	0.5632787706669333	0.6285727851958729
4178	0.5295678727347877	0.6246900411198927
4177	0.5166081282563937	0.6204513265438161
4176	0.5234615911225688	0.6166476280111131
4175	0.5264816210479211	0.6131115458454965
4174	0.5258411801185261	0.6096890294724614
4173	0.5249562919523498	0.6063660379431445
4172	0.5270877320074518	0.6032569597475131
4171	0.5255984120619317	0.6002114088404392
4170	0.5044066175558228	0.5964542187357218
4169	0.48391811481668867	0.5920408807921018
4168	0.47061101309805053	0.5872787620197869
4167	0.4544155685726139	0.5820682691694711
4166	0.43547171392421546	0.5763192028029239
4165	0.4106642933448086	0.5698227344141431
4164	0.3932742994554914	0.5628990642155856
4163	0.3894737790749474	0.556097881844571
4162	0.3856437505548911	0.5494132259338574
4161	0.3817875494747156	0.5428394997587375
4160	0.3779083731637982	0.5363714515109994
4159	0.3740092853322139	0.5300041555284769
4158	0.3700932205603067	0.5237329944371388
4157	0.37266519833406875	0.5178086364064841
4156	0.3684235218603362	0.5119502724138077
4155	0.3576807381617826	0.505900363519361
4154	0.3472413987152905	0.49967832155743463
4153	0.3403486398519746	0.49342998125284787
4152	0.33359286461951854	0.48716174578744426
4151	0.3237196106303628	0.4807521390336482
4150	0.31412784785114667	0.4742177441294006
4149	0.3048097394436695	0.46757418651414523
4148	0.28925361544678196	0.4605811152856116
4147	0.2742559596122476	0.45327413835724534
4146	0.23703367170592315	0.44479399954523124
4145	0.20463692448185355	0.4353759464408577
4144	0.1801151083796455	0.42536558617793446
4143	0.15986974171335788	0.4149538532057966
4142	0.13721141292249683	0.4040618609045518
4141	0.11226183065765838	0.39261858932399724
4140	0.10140194954399107	0.38119820127792753
4139	0.09423709573803762	0.36994470372634425
4138	0.07108538223615568	0.3582246093958055
4137	0.055457903697735844	0.3463512875355756
4136	0.04051390919983788	0.3343575506098082
4135	0.022976924004474597	0.32214643388974923
4134	0.006227387159277953	0.3097573427275028
4133	-0.0032553759961402307	0.29748223044755856
4132	-0.0057975388759885504	0.2855888096227296
4131	-0.0017140262936763406	0.2743219438780557
4130	0.008691136965751411	0.26390497143749264
4129	-0.0009036644072253353	0.25352024429256814
4128	-0.016567777152268093	0.24292848391797844
4127	-0.03476284657875084	0.23203855545242946
4126	-0.04234924137287521	0.2212781809920555
4125	-0.04631397461488973	0.21078430659476582
4124	-0.05332767980959119	0.20042691274994975
4123	-0.05999388015442264	0.19021427480502343
4122	-0.07283283833965726	0.1798986456170434
4121	-0.0883025780670792	0.16938089559150554
4120	-0.09651298704196876	0.15895363213923006
4119	-0.0945364963705444	0.14901279481813107
4118	-0.0991092055885332	0.1392824751816746
4117	-0.10993027517334752	0.12950938261596368
4116	-0.12020077882568359	0.11971678535680202
4115	-0.13644910786472053	0.10967102274799828
4114	-0.15188563536149502	0.09941385837926087
4113	-0.15352164631361376	0.08949478133055376
4112	-0.15500310974756815	0.0799065937733758
4111	-0.15633629869270038	0.07064213415743896
4110	-0.1477635962466337	0.06207717472067525
4109	-0.12974093027334987	0.05455487176377491
4108	-0.092944422315405	0.048770567746712484
4107	-0.06103171529146323	0.0444645830067419
4106	-0.0077589469499486086	0.042416595565045914
4105	0.04959874245862039	0.04269824916065704
4104	0.1043156843528763	0.04511462556671823
4103	0.14997404340046927	0.049226770061287076
4102	0.1544139536250384	0.053351767735043555
4101	0.16833582106001188	0.05786095688669404
4100	0.16526043104578747	0.062072710474823954
4099	0.1785142172559233	0.06663905397358273
4098	0.18130562458888733	0.07113579159930794
4097	0.18387532381148475	0.07555695857303714
4096	0.173211609353352	0.07938656008464384
4095	0.15317837040520033	0.0822803619136568
4094	0.13072347920045502	0.0841800953751745
4093	0.10922422684244992	0.08516221985262698
4092	0.08864824666797944	0.0852989270105465
4091	0.0689641665683638	0.08465834716129435
4090	0.06316284114196691	0.08381538486599967
4089	0.05759310079633906	0.08278705850623347
4088	0.039225785210533104	0.08107877089393883
4087	0.03469704953263175	0.07925987742031397
4086	0.023845841409247726	0.07708677516823184
4085	0.00045508389204229616	0.0740816070833189
4084	-0.021869485180602055	0.07031881467484982
4083	-0.03665380697232479	0.06612380510933388
4082	-0.04748944281221412	0.06166837872922445
4081	-0.05780631949928505	0.05698309150210968
4080	-0.06436711574659881	0.05222425502096058
4079	-0.07710650114935902	0.04715245572136442
4078	-0.08922489817059187	0.0418043191913387
4077	-0.0942329622645417	0.03646951904353633
4076	-0.09570790772576032	0.03128608606504902
4075	-0.10032146251423768	0.02612500144502174
4074	-0.10467240706165626	0.02099568721723865
4073	-0.10877044709619099	0.01590681530606878
4072	-0.11913654928859074	0.010610993188350454
4071	-0.12896796221760098	0.005137304791387179
4070	-0.13828394077749806	-0.0004870616017552352
4069	-0.14710313056923496	-0.006236715118919631
4068	-0.14242010616137435	-0.011577243607740165
4067	-0.1378763939349028	-0.016530154448637095
4066	-0.13672391917157967	-0.021243638147402946
4065	-0.12578496861719657	-0.02534330044655425
4064	-0.10225543442855667	-0.02835946417564843
4063	-0.09928121216921681	-0.031140710623295043
4062	-0.0996468525817491	-0.0338272273197543
4061	-0.09668790240588976	-0.036292353001542044
4060	-0.09381348525425182	-0.03854808470552556
4059	-0.09753331854960834	-0.04086123214302524
4058	-0.09321820523836521	-0.04291444763747436
4057	-0.09686583396700854	-0.04503018913251193
4056	-0.09378451137694555	-0.04694212408022342
4055	-0.08753871168009653	-0.04853414771701047
4054	-0.07827595428567946	-0.049700493490511165
4053	-0.08241927102686475	-0.0509835832473276
4052	-0.0863307347296356	-0.05236974650898908
4051	-0.09978736664303511	-0.05422926161491405
4050	-0.10606610921099957	-0.05626207978830278
4049	-0.0892099747814612	-0.05755415448074975
4048	-0.07307590021227384	-0.05816285056333025
4047	-0.0771766834586387	-0.05890849127092164
4046	-0.0745378184745249	-0.059521406222667335
4045	-0.0719804336389771	-0.060009995655231074
4044	-0.07275840439955772	-0.0605099333731042
4043	-0.08974434658738772	-0.061656381214649496
4042	-0.11567791238318392	-0.06377487310264493
4041	-0.14036877774723422	-0.06677855627746351
4040	-0.16386073676120105	-0.07058570138922186
4039	-0.2024778034851238	-0.07575794170399888
4038	-0.23922864036898517	-0.08216855854886553
4037	-0.28069186875428187	-0.08995378781299315
4036	-0.34616915619727706	-0.10000145107028983
4035	-0.3889424783090618	-0.11133247364464978
4034	-0.419793783178271	-0.12342899753424816
4033	-0.4457633116083386	-0.13606956082536997
4032	-0.4703164978463974	-0.1491772857934374
4031	-0.46094108850128634	-0.1614033190175635
4030	-0.45826580103640424	-0.1730449865758746
4029	-0.48152509462109094	-0.18514224730911072
4028	-0.4774215212540014	-0.19660418107192343
4027	-0.4895384936953562	-0.20809180257226473
4026	-0.5106172659383006	-0.21995554762029795
4025	-0.5239559698015626	-0.23187713414261504
4024	-0.536413481717922	-0.24381973729681944
4023	-0.5545364408709119	-0.2560047073275312
4022	-0.5715441332981541	-0.26837880369603717
4021	-0.5744525744280367	-0.2803816978144728
4020	-0.5834420804224223	-0.29226641979370666
4019	-0.598230714853571	-0.30426502065983363
4018	-0.6120333405600746	-0.3163343675625732
4017	-0.6183746735003126	-0.3281790864082987
4016	-0.6273611886019381	-0.33991171878603077
4015	-0.6356110630757499	-0.35150777237610703
4014	-0.6366404928016749	-0.36268944849555024
4013	-0.6210084865525616	-0.37281960755459104
4012	-0.5927393997408785	-0.3814439137062587
4011	-0.5784766616266666	-0.38917068863009996
4010	-0.5515365192930517	-0.39553797649945643
4009	-0.5385636542234238	-0.4011468269383642
4008	-0.5454411789107212	-0.40680542929838853
4007	-0.5386945357867461	-0.4119775514041424
4006	-0.5189484167825995	-0.4161724875216188
4005	-0.5063454312334059	-0.4197086815710778
4004	-0.477770191573228	-0.42198560364231713
4003	-0.45024890301699116	-0.42309396837529645
4002	-0.4400309587341482	-0.42375816410536393
4001	-0.4300496184768292	-0.4240048878168128
4000	-0.40401613265659364	-0.42322101503305326
3999	-0.3822157755131883	-0.42161296636061446
3998	-0.37423682880626785	-0.41975507854254485
3997	-0.366426681161343	-0.41766376876470773
3996	-0.38483493083405307	-0.4163763633103489
3995	-0.37615004845461897	-0.41479886071364
3994	-0.35463850426724264	-0.41243963097242137
3993	-0.3339230007389844	-0.40936054733773564
3992	-0.3243993875201596	-0.40602873704888093
3991	-0.32425966775215187	-0.40282210678797764
3990	-0.3428461038809161	-0.4004701066088565
3989	-0.354544390486609	-0.39866909808556605
3988	-0.33295763790315647	-0.39609217801255286
3987	-0.3121816538128144	-0.39280156913960423
3986	-0.2830715417887646	-0.3884984307105991
3985	-0.2642599941379373	-0.38362633504829324
3984	-0.27222212416165803	-0.3792575423693588
3983	-0.27967936255843284	-0.37535251562839717
3982	-0.28339413040969674	-0.371746304370852
3981	-0.2900485648345281	-0.3685424713859759
3980	-0.29299172230595616	-0.365579696857267
3979	-0.2858778350953628	-0.3624541335951888
3978	-0.2821960740053484	-0.35930675865539546
3977	-0.28179186969167347	-0.35626695903815847
3976	-0.29428619808663825	-0.35383634092319144
3975	-0.30605748559777624	-0.3519626602937271
