	macd	trigger
4751		
4750		
4749		
4748		
4747		
4746		
4745		
4744		
4743		
4742		
4741		
4740		
4739		
4738		
4737		
4736		
4735		
4734		
4733		
4732		
4731		
4730		
4729		
4728		
4727		
4726		
4725		
4724		
4723		
4722		
4721		
4720		
4719		
4718		
4717		
4716		
4715		
4714		
4713		
4712		
4711		
4710		
4709		
4708		
4707		
4706		
4705		
4704		
4703		
4702		
4701		
4700		
4699		
4698		
4697		
4696		
4695		
4694		
4693		
4692		
4691		
4690		
4689		
4688		
4687		
4686		
4685		
4684		
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653	-0.04871660271408018	
4652	-0.04223358833260704	
4651	-0.03549951740292556	
4650	-0.029609734685671185	
4649	-0.027240379913010315	
4648	-0.026601697965041637	
4647	-0.025979732022854307	
4646	-0.017717546941426576	
4645	-0.009837502666215414	
4644	-0.007822436595120053	
4643	-0.008654266059949123	
4642	-0.003917022234737999	
4641	0.003368806450183115	
4640	0.008644526214482084	
4639	0.012554859118282025	
4638	0.013485609718500768	
4637	0.01716227691095895	
4636	0.01785528771913647	
4635	0.021316152715151304	
4634	0.023478319452578944	
4633	0.026656499879251783	
4632	0.029673050014018543	
4631	0.03253410580674654	
4630	0.035245578205987727	
4629	0.03838245026634013	
4628	0.04021325525672381	
4627	0.04251036412836129	
4626	0.04467942333278785	
4625	0.0444295312312164	
4624	0.0447437225097147	
4623	0.04386825495816282	
4622	0.044742889180668044	
4621	0.043819217194112525	
4620	0.04291591682596163	
4619	0.04493520037154042	
4618	0.045093822144785634	
4617	0.04463960829342284	
4616	0.04476729874708951	
4615	0.04486638465564852	
4614	0.047280829616262565	
4613	0.05484025693223771	
4612	0.06437512904221165	
4611	0.07520531488621174	
4610	0.08314206170048521	
4609	0.09067248935778593	
4608	0.0978115544544167	
4607	0.09983506976440282	
4606	0.10112191963730055	
4605	0.09695135043673275	0.048637509679642754
4604	0.08221244151224028	0.05016019125710204
4603	0.07287328234688317	0.051183987389739664
4602	0.06094076096882617	0.05162121357079989
4601	0.04952304087507997	0.05152771235855085
4600	0.036208606569559265	0.05084867568025125
4599	0.025881277261213143	0.04974759453974406
4598	0.013012549969914744	0.04813542686124995
4597	0.000725121981282939	0.04606443373145818
4596	-0.011001460946701513	0.04358274667098181
4595	-0.019174966255590675	0.040865143986619924
4594	-0.02696558199913568	0.037939821143744674
4593	-0.03740654621815054	0.03470303214475904
4592	-0.04735203927702969	0.031191190514782394
4591	-0.055608874107811346	0.027489532546932288
4590	-0.06467305927231592	0.023572620773392818
4589	-0.07632522739349668	0.019340858976800577
4588	-0.08436942913128576	0.014961373206410725
4587	-0.09504522856357767	0.010329957854739632
4586	-0.1082307281268271	0.0053527668698786415
4585	-0.1207601798646678	7.312630487271825e-05
4584	-0.13265717072713556	-0.005468866488088223
4583	-0.1378350397680279	-0.010981663690159904
4582	-0.1427067539242728	-0.016454449034986843
4581	-0.14728378963828703	-0.021877375980973786
4580	-0.15464157796494504	-0.02736823325325476
4579	-0.1609719348882237	-0.03288199849885702
4578	-0.16693191749814673	-0.038402839855670334
4577	-0.17437947015805122	-0.043992026080863667
4576	-0.1801683798537681	-0.049578871910472035
4575	-0.18868121793600778	-0.0552754453924543
4574	-0.19547732718142186	-0.06100709331894337
4573	-0.20186429605472966	-0.06675595577073191
4572	-0.21218062799741944	-0.07268176442547161
4571	-0.22191912487173227	-0.07875362781490866
4570	-0.23728800063022248	-0.08519427952059529
4569	-0.25802862862488496	-0.0922059949202782
4568	-0.27769380980632263	-0.09972087873892184
4567	-0.2963224337445567	-0.10767569729384999
4566	-0.3046403299923739	-0.11563528939194491
4565	-0.30993884218869994	-0.12347796723255125
4564	-0.31856847308419844	-0.1313433846290484
4563	-0.33162079451385296	-0.1394090403047148
4562	-0.34204145713446366	-0.1475609234477712
4561	-0.3486968810028799	-0.15564440574477484
4560	-0.3536236278023921	-0.16359328362920403
4559	-0.3612659995311489	-0.17152244646169051
4558	-0.3683757383079467	-0.17941166428232533
4557	-0.37497339016245945	-0.18724237862796236
4556	-0.38232984370947065	-0.19504765167560176
4555	-0.3879038944072164	-0.20275753843853506
4554	-0.39302557183351183	-0.21035816605136515
4553	-0.397712780797292	-0.21783694251735936
4552	-0.3982196126252191	-0.22503236286106484
4551	-0.401637092552825	-0.23207233667137744
4550	-0.40218100428450043	-0.2388489728922937
4549	-0.3993516792126641	-0.24523896462349506
4548	-0.39330193629989907	-0.25113018600018977
4547	-0.39361700182247006	-0.2567962935218519
4546	-0.3968633244203943	-0.2623631136788867
4545	-0.3966085436135245	-0.26769574313796496
4544	-0.3961615392595803	-0.2727962008130763
4543	-0.3986844899577662	-0.2777918904294643
4542	-0.3945777706267535	-0.28242419735879387
4541	-0.3872981149592931	-0.2865821487562931
4540	-0.3801502274810957	-0.29029025602821334
4539	-0.36997160973697163	-0.29344672383438125
4538	-0.36638901401954627	-0.2963350834497817
4537	-0.36910765558520353	-0.29921562168490273
4536	-0.36518266842335123	-0.30182582043845135
4535	-0.3675814136811013	-0.30442673543752946
4534	-0.3696818837624605	-0.3070069820498099
4533	-0.3714965245900359	-0.30955612693806156
4532	-0.37620857766741267	-0.3121899446673506
4531	-0.3805126411841897	-0.31488895359637553
4530	-0.38759916345707524	-0.3177604587169108
4529	-0.3903531012953323	-0.3206265275609928
4528	-0.3934160841310863	-0.3234996070714285
4527	-0.4024938101770026	-0.32661679444852887
4526	-0.41285917515505943	-0.3300191673733578
4525	-0.41745066346476634	-0.3334676399675519
4524	-0.42480054619459295	-0.33706917690144667
4523	-0.4506993945766986	-0.3415489914493401
4522	-0.45926322715234846	-0.34618884750018863
4521	-0.4640145004704408	-0.3508321638322259
4520	-0.4778727486720413	-0.3558376611097581
4519	-0.4876655406473134	-0.36103082031402434
4518	-0.50314110716862	-0.3666280441835361
4517	-0.5112710988258335	-0.3723240520207228
4516	-0.5187674401672773	-0.378090010542711
4515	-0.5256550331604153	-0.3838992159345678
4514	-0.5351524317871466	-0.389852713381809
4513	-0.5407459544781048	-0.395791178105306
4512	-0.5585923859725348	-0.4021973906199039
4511	-0.5785362879374993	-0.40913537873865885
4510	-0.5972741871212399	-0.41653667562776464
4509	-0.614851195747022	-0.4243373142318377
4508	-0.6345117702087002	-0.43260347600384086
4507	-0.6561519089507257	-0.44139463134948
4506	-0.6700629968542273	-0.4503861431864715
4505	-0.6733837156361275	-0.4591537477032415
4504	-0.6890239060108918	-0.46819064602938487
4503	-0.7100075247313669	-0.47769628088149985
4502	-0.7200498465606593	-0.487222121419579
4501	-0.7292628998462583	-0.49673481282280674
4500	-0.7440961712447098	-0.5064557745226033
4499	-0.7546605026017836	-0.5162090705486625
4498	-0.767563756086286	-0.5260853583553771
4497	-0.7762719289045776	-0.5359149958482387
4496	-0.7906055138659944	-0.5459208541058531
4495	-0.8038777433460105	-0.5560543201675029
4494	-0.8109887418002693	-0.5660683731935697
4493	-0.8173563587450587	-0.5759385472840801
4492	-0.8185103179026569	-0.5854657660664588
4491	-0.8191879709448706	-0.5946448579152686
4490	-0.8290595639339031	-0.6038506143852486
4489	-0.8251843814896205	-0.6125421832876965
4488	-0.8255630471206317	-0.6209068658444109
4487	-0.8306464202204538	-0.629142279049425
4486	-0.8254106599038629	-0.6368483676600097
4485	-0.8232054116855458	-0.6441649609988663
4484	-0.8206740122629093	-0.6510945956364813
4483	-0.8081690642740114	-0.6572609713632571
4482	-0.7925926504353562	-0.6625735531225815
4481	-0.7740919837453966	-0.6669511452392521
4480	-0.756032187552421	-0.6704478350648871
4479	-0.7384025403036425	-0.6731151554781735
4478	-0.7082954240345885	-0.6744959824968448
4477	-0.6791915653809859	-0.67468027799069
4476	-0.6510603855045645	-0.6737532586662976
4475	-0.6238721938488325	-0.6717956187362438
4474	-0.597598163029847	-0.6688837427120854
4473	-0.5722103044274967	-0.6650899087499055
4472	-0.5476814444577371	-0.6604824829583814
4471	-0.5239852015067648	-0.6551261050614285
4470	-0.4946384775701276	-0.6488284699958331
4469	-0.46637123802306135	-0.6416689124458073
4468	-0.4391490098370845	-0.6337222931773037
4467	-0.40970809083624715	-0.6249324677182841
4466	-0.38462578466198494	-0.6155035696371749
4465	-0.3572547004594675	-0.6053708904596974
4464	-0.32771279532055075	-0.5944768913147911
4463	-0.30257810262776985	-0.5830243789078933
4462	-0.2784308514414455	-0.5710740195792082
4461	-0.25200557272141566	-0.5585559809206163
4460	-0.22406598807902256	-0.5454331357644269
4459	-0.1998694995312178	-0.5318760715899999
4458	-0.1831397806002819	-0.518194758329024
4457	-0.17031157943723585	-0.5045471241610148
4456	-0.15474397442730492	-0.490824371967778
4455	-0.1365694077277233	-0.476927173327081
4454	-0.1191516115468616	-0.4628920559029155
4453	-0.10893785923535759	-0.44900702869838155
4452	-0.10884285185991871	-0.43566312928895873
4451	-0.10222145718217845	-0.4225830978126548
4450	-0.09584853493860024	-0.40976631784957407
4449	-0.08647826471693065	-0.3970848757852078
4448	-0.06518480805617344	-0.38406575508711016
4447	-0.05389517557315315	-0.3711146092505255
4446	-0.04309175693271783	-0.35824783716657593
4445	-0.032758025869277674	-0.3454805460587424
4444	-0.024173771212442574	-0.3328774495269938
4443	-0.0056004824216771	-0.32004028830958026
4442	0.009537573221560791	-0.30711298588916597
4441	0.023981118284453373	-0.29412631625996144
4440	0.034513502246287686	-0.28123601302750467
4439	0.04130710445560837	-0.26858493685571805
4438	0.047769768515163236	-0.25617667764752255
4437	0.053913205387186025	-0.24401422544722096
4436	0.05650682352551328	-0.23222716383263242
4435	0.0621951306153683	-0.22067938194739897
4434	0.06434948566797871	-0.20950009618417975
4433	0.06312948974486332	-0.1988071931222623
4432	0.06193225483184506	-0.18858069545860978
4431	0.06724391980270994	-0.17854701781525958
4430	0.06903510301133764	-0.16883666926937782
4429	0.07395256913174819	-0.15931434892739382
4428	0.07211949652936767	-0.1502374368903835
4427	0.0703324394464957	-0.14158665349988905
4426	0.07183473157741815	-0.13321627235472033
4425	0.07647595601283541	-0.12499218389978148
4424	0.0750250196861657	-0.11714758035231042
4423	0.07944250604116476	-0.10943741763739415
4422	0.07712659795319254	-0.1021205001188709
4421	0.07812171701118231	-0.09505154518868311
4420	0.0822766929096268	-0.08809689858705945
4419	0.0829535190483135	-0.08138848481995152
4418	0.08355635880495171	-0.07491954607276116
4417	0.08408826808081216	-0.06868346990808592
4416	0.0813055641421414	-0.06280111596543181
4415	0.07536053604543724	-0.057382630487483335
4414	0.0741930287218473	-0.05222245166934834
4413	0.0749884478589351	-0.04723346471124122
4412	0.07246122421060974	-0.04253926223180126
4411	0.07001146493897181	-0.0381252434184861
4410	0.07088465485049156	-0.03385009902976766
4409	0.06843326187635057	-0.029838764692994194
4408	0.06865643893129914	-0.025976002160412865
4407	0.06623512531749753	-0.02235969464541922
4406	0.06713810023880384	-0.018849804806759768
4405	0.06666556305512117	-0.015496102707799959
4404	0.06488037995725549	-0.012343940862561362
4403	0.06574189561613153	-0.009281617797632594
4402	0.06328090655442509	-0.006435909505598391
4401	0.061548977731359145	-0.003769728284315327
4400	0.06571273743429273	-0.0010448204306196317
4399	0.0664030712853183	0.0016002931168472298
4398	0.07352660699723401	0.004421033476060457
4397	0.07703747699144259	0.007268834724717227
4396	0.08034824550739827	0.010134788323370244
4395	0.08021629072053926	0.012883169468306442
4394	0.08329874594260289	0.015644648546345532
4393	0.08424719516704116	0.0183350230472246
4392	0.08640872725013793	0.021004654967270536
4391	0.0858263494771343	0.023546750720945354
4390	0.08522584073996953	0.02596560120423913
4389	0.08460833926609723	0.028265373642555824
4388	0.08722581885016112	0.030577603238487235
4387	0.0864276010070526	0.03276784953419715
4386	0.08562077405865409	0.03484055897940823
4385	0.07830372014465681	0.03654503280969555
4384	0.0777820522589252	0.03816220376931485
4383	0.07399224062205434	0.039567330753916184
4382	0.07683971210792251	0.04102902025313135
4381	0.07626575847156758	0.0424108780896477
4380	0.07567826067669259	0.04371550397394679
4379	0.0659730091383608	0.04458836187056832
4378	0.06513079852625481	0.045393960530047024
4377	0.0603906382471564	0.04598207459248737
4376	0.05388382808132519	0.04629195186175847
4375	0.04829599484487446	0.046370542899528785
4374	0.04553955678792221	0.04633795476392611
4373	0.04613743650578783	0.04633009119966571
4372	0.04343156962477579	0.04621642225425304
4371	0.04017591766749007	0.04597953685284465
4370	0.034445637408005325	0.04552722180812573
4369	0.019851010092239108	0.04452030028890904
4368	0.02803035270702736	0.04387362873253449
4367	0.022810745700606816	0.04304762479604559
4366	0.021070144266321478	0.04218575426967875
4365	0.02265094423539793	0.04141967599068956
4364	0.020894785737905153	0.04061477096729252
4363	0.019207799845951	0.039775274522001754
4362	0.01628641311929968	0.038854134920320645
4361	0.008284408440328406	0.03765531238646878
4360	0.0006428614677354005	0.03620383240350043
4359	-0.003397225211749344	0.03465083811571288
4358	-0.00920348482361888	0.03293104836490802
4357	-0.012788118884678568	0.031138127444376506
4356	-0.01294903709756312	0.02940920754164924
4355	-8.103763510192152e-05	0.028252719954731834
4354	0.008946629456033861	0.027495613722164882
4353	0.014304267215734967	0.026978302967092395
4352	0.025917997546052618	0.02693672212688622
4351	0.03698879650070808	0.02733092326663912
4350	0.04753564656400755	0.02812326949853837
4349	0.05887856163934657	0.029329365443761635
4348	0.06837207207885143	0.03086045936649738
4347	0.07088885150395186	0.0324302075121374
4346	0.07325397486143714	0.03403114669609723
4345	0.0754731231988508	0.03565632920037405
4344	0.08601303158879858	0.03763110996292793
4343	0.09407502182304839	0.03984460544703607
4342	0.10953108773612641	0.04257741904676446
4341	0.12422548465604777	0.04577931564918727
4340	0.1388361822298947	0.04942861732096724
4339	0.15270848026153416	0.053478821658939024
4338	0.16391604980765706	0.057809707358601505
4337	0.1764800857968467	0.0624634621510697
4336	0.18642659587305133	0.06732477602684951
4335	0.1860583371642015	0.07198100746732852
4334	0.19211950433955138	0.07669233405487717
4333	0.19780427054126193	0.08144183433682071
4332	0.20638169119626681	0.08634144903191036
4331	0.21446056307083694	0.09136574029505658
4330	0.21880446863269043	0.09636334922171468
4329	0.2195813827638453	0.10119543987166169
4328	0.2189064887763621	0.10581156944398445
4327	0.2181483302115126	0.1102169417873343
4326	0.21861313076024658	0.11446778123434583
4325	0.22545309584966233	0.11882015488189605
4324	0.23186377682661785	0.12325324628486922
4323	0.2313510308314619	0.12749238261466642
4322	0.24050680085809972	0.13192432814278188
4321	0.24326040659179426	0.13629045601983644
4320	0.24836597453625942	0.14068558131170836
4319	0.25636470329050454	0.1452220243288321
4318	0.26386520650068945	0.14987470490043125
4317	0.27414166600679835	0.15474792586517422
4316	0.28055138533071755	0.15968140148154492
4315	0.2832672853245235	0.1645279129764143
4314	0.2857117914980343	0.16928022782258678
4313	0.2878960026575079	0.17393183236968107
4312	0.2807151970696182	0.17811942008564546
4311	0.28283105928636587	0.18222576338745425
4310	0.28144753697467095	0.18611681743766592
4309	0.2734692718302405	0.1895424073571732
4308	0.2657122819611146	0.19252946417262895
4307	0.2614261669422646	0.19523129818220014
4306	0.2539435965581589	0.1975337433259269
4305	0.24341417916432917	0.19933297765817967
4304	0.23388915244719044	0.20068812289229285
4303	0.2240253944229167	0.2016033107409386
4302	0.2118900251316198	0.20200671161434772
4301	0.19954639007790576	0.20191022834581768
4300	0.18896389625094656	0.20140252868891145
4299	0.1761607761207138	0.20041265536654934
4298	0.1658031180440389	0.19905541772271412
4297	0.15192426925688451	0.19720713623136749
4296	0.13859904694861314	0.19490877840377424
4295	0.12580915268528514	0.19219898759086737
4294	0.11353684337435865	0.18911419590545828
4293	0.1017649151904827	0.1856887320857101
4292	0.09047668795311026	0.18195492451597875
4291	0.08486556515861565	0.17814749678022518
4290	0.0775124553229638	0.17420102269536786
4289	0.07045421445705458	0.17013251855845152
4288	0.06368107619597652	0.16595795036448976
4287	0.05392751710137489	0.1615645981932935
4286	0.05110270205524259	0.15723275737918882
4285	0.043170316908966555	0.15275971876195776
4284	0.035577106628203126	0.14816432049410014
4283	0.02961401069828895	0.14351528707179279
4282	0.022604912676253974	0.13877370213001483
4281	0.017206068671438146	0.1340063423785013
4280	0.011393182199892493	0.1291979816279453
4279	0.00453692175801379	0.12430931112097117
4278	-0.0007066209166346482	0.11940672411284811
4277	-0.005059479449215587	0.11452569514662646
4276	-0.005303774153119889	0.10982649899975122
4275	-0.012046631133891594	0.10504715931981043
4274	-0.013265783278519905	0.10040743492098686
4273	-0.018329946536429276	0.09575106590250299
4272	-0.023153661723288366	0.09108813433151743
4271	-0.025791608627915963	0.08650461398371256
4270	-0.03480843105134568	0.08174723865536711
4269	-0.040139692328708065	0.07696735803081747
4268	-0.04520696252076206	0.07217620726329169
4267	-0.05001963765272066	0.06738421243982375
4266	-0.057843158985303234	0.062473334237763224
4265	-0.0685361822625552	0.057335705243853126
4264	-0.08196231217482719	0.051873036978919186
4263	-0.09798994779905357	0.04599605623772294
4262	-0.10672298189957274	0.040007073423780244
4261	-0.11500222658205672	0.033928276441890955
4260	-0.11958765432233776	0.027908043003453845
4259	-0.12780939434086136	0.021801475995502993
4258	-0.1381948073095174	0.01552711111747383
4257	-0.14803469051971874	0.009112922005845963
4256	-0.1606052313061319	0.0024573073408231424
4255	-0.16926248279278866	-0.004276802863255818
4254	-0.18069327003855662	-0.011195096470551608
4253	-0.18825224948520614	-0.018138514984968435
4252	-0.1973223714290242	-0.02516533361313899
4251	-0.205876122709288	-0.03225203193055523
4250	-0.21197869402322667	-0.03930013700077731
4249	-0.21964646366161134	-0.04637254261808573
4248	-0.2261988678730944	-0.05342455599610102
4247	-0.23493986253733468	-0.06054280391555349
4246	-0.2412059754153546	-0.06762763474814222
4245	-0.24836331121839095	-0.07471530889047343
4244	-0.25832143080739556	-0.08191554950760732
4243	-0.26443435727725983	-0.08907315032992306
4242	-0.27013077402618535	-0.09617344979174706
4241	-0.2721701435303885	-0.10307528137949978
4240	-0.2746260206650746	-0.10980276178297899
4239	-0.27617550669757307	-0.11632718355423995
4238	-0.2742538563000103	-0.12252038677369875
4237	-0.2755335044575773	-0.12852090153401693
4236	-0.27986782559809953	-0.13445607535111145
4235	-0.2806020910016578	-0.14018729195208718
4234	-0.2811566626925135	-0.1457155028482689
4233	-0.27828283459085057	-0.15091422199213564
4232	-0.2753950341274738	-0.1557958226953806
4231	-0.2627255383967757	-0.15998914506738476
4230	-0.25505609432567766	-0.16371726088485025
4229	-0.2463007868101208	-0.16695583066274963
4228	-0.2410729795447466	-0.16986238563621608
4227	-0.24181987743774158	-0.1726842481674015
4226	-0.23980139434767267	-0.17531629321207035
4225	-0.2377499900171749	-0.17776467356511427
4224	-0.23566823437638718	-0.180035401516856
4223	-0.2368152588671606	-0.18226206266176365
4222	-0.22801658129128555	-0.18405635756599262
4221	-0.2195002714281209	-0.18544631501403924
4220	-0.20865255080608947	-0.18635636350269708
4219	-0.2007960610319941	-0.18692262616658264
4218	-0.19644984894542716	-0.18729624275608367
4217	-0.19219943956416685	-0.1874885249887659
4216	-0.18608866303802785	-0.18743362844033012
4215	-0.1788568658569325	-0.18709728480167348
4214	-0.16860490742341483	-0.1863720935154998
4213	-0.15677851547692967	-0.1852115610181246
4212	-0.14606100614790662	-0.18367624510873584
4211	-0.1403154611077575	-0.18197582217255195
4210	-0.13671280397522878	-0.18020080181680329
4209	-0.1312491416753403	-0.17828112883445427
4208	-0.12596620838343853	-0.17622956328999173
4207	-0.12281255348212738	-0.17413477855575865
4206	-0.1190873503194112	-0.1719760558442929
4205	-0.12068072304776578	-0.16996447413418736
4204	-0.11627642973517638	-0.16785906059635528
4203	-0.11331506129355873	-0.16572008020031567
4202	-0.11108102145296783	-0.16357737198409328
4201	-0.11279905970512516	-0.16158606559337896
4200	-0.10851783174096497	-0.15950495835653683
4199	-0.09069689622920052	-0.15680660294542934
4198	-0.0768980220222808	-0.1536729330678547
4197	-0.06694501221234717	-0.1502718380932914
4196	-0.0548055265576437	-0.14652806112902253
4195	-0.04644776161410036	-0.14260334345938588
4194	-0.03453875315723565	-0.13836551634555555
4193	-0.02641152297028526	-0.1339751636212147
4192	-0.020595164740967675	-0.12952888911352387
4191	-0.01959276492044637	-0.1252176685179928
4190	-0.01536908240779411	-0.1209098807900138
4189	-0.013935399993446396	-0.11671480307673981
4188	-0.005394902587774197	-0.11234931674808424
4187	0.002107634469279418	-0.10786080882266114
4186	0.00535883993491737	-0.10342082256404118
4185	0.008459010210131623	-0.0990333781103529
4184	0.013041812818450182	-0.09463827255373158
4183	0.015780463305439696	-0.09030812602105134
4182	0.018386018469119136	-0.0860456105239894
4181	0.024119988428616068	-0.08172539093106533
4180	0.026323140623389918	-0.07748819359055774
4179	0.02906348109108592	-0.07330969652086675
4178	0.029058283126740747	-0.06929526592489546
4177	0.03099226440937386	-0.06536242157777226
4176	0.03086782787862319	-0.061588686286267624
4175	0.035943877787442347	-0.05776387983378998
4174	0.03099930968854281	-0.054282970424830594
4173	0.026264042133220755	-0.051124264036119305
4172	0.02173099933794731	-0.048267194872127925
4171	0.023906959110160386	-0.045436835880944756
4170	0.016852149621339407	-0.042994130557605925
4169	0.009458867813354033	-0.04093715022162762
4168	0.002397763748795967	-0.03923774182451434
4167	-0.007599453870099637	-0.037997024645541104
4166	-0.02039370093437398	-0.03730669822320185
4165	-0.02868575617765501	-0.03696862206347381
4164	-0.030722482784689475	-0.036723675424338895
4163	-0.040466726654805996	-0.03687046174753483
4162	-0.0458373823082745	-0.03722210569208877
4161	-0.047682435957963065	-0.03763231472323882
4160	-0.05658355183619079	-0.03837550049431639
4159	-0.06570069054543737	-0.03944707657744309
4158	-0.07567061907626993	-0.04086760765925534
4157	-0.08514652278118362	-0.0426040357072772
4156	-0.09414598949176067	-0.0446252888013659
4155	-0.11506205171750494	-0.04738751480398721
4154	-0.12258845445764521	-0.050336571267055666
4153	-0.13947833175958735	-0.053832326587392565
4152	-0.15552540881738963	-0.0578202906039796
4151	-0.16815427494665514	-0.06214711352726721
4150	-0.17946831510895223	-0.06674794496990229
4149	-0.19342980315650493	-0.07171586098558098
4148	-0.20339705089184434	-0.07687982922554923
4147	-0.20954698646040626	-0.08208246285068514
4146	-0.22507786782083983	-0.0876901257990615
4145	-0.2384805666932195	-0.09360347643084226
4144	-0.24919376526224113	-0.09970505639342199
4143	-0.25928862495691263	-0.10596323556105942
4142	-0.2687880793611974	-0.11234852356134332
4141	-0.27771432663752194	-0.11883345702323601
4140	-0.28934570936951687	-0.1255202120250589
4139	-0.30029596382495427	-0.13237416308376698
4138	-0.31319592857899536	-0.13946521271871642
4137	-0.32794998214000515	-0.14685677231156213
4136	-0.3451172691174449	-0.1546316937627089
4135	-0.3639274369391998	-0.1628393699735983
4134	-0.38234165669640063	-0.17144730279420725
4133	-0.38799230366669946	-0.1799392636202717
