	macd	trigger
777		
776		
775		
774		
773		
772		
771		
770		
769		
768		
767		
766		
765		
764		
763		
762		
761		
760		
759		
758		
757		
756		
755		
754		
753		
752		
751		
750		
749		
748		
747		
746		
745		
744		
743		
742		
741		
740		
739		
738		
737		
736		
735		
734		
733		
732		
731		
730		
729		
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691		
690		
689		
688		
687		
686		
685		
684		
683		
682		
681		
680		
679	0.013652212192283741	
678	0.017118908888619444	
677	0.020410988781407013	
676	0.023535412496457297	
675	0.026498856901980616	
674	0.029307728420391754	
673	0.026513827742022045	
672	0.02383885365122751	
671	0.021278345090948392	
670	0.024325476506120935	
669	0.010681753000511662	
668	-0.0023242377330916497	
667	0.0019008605888757302	
666	0.005926345427809565	
665	0.009759791037936338	
664	0.013408484138352605	
663	0.005693901515897437	
662	-0.001662630898209727	
661	-0.025530489872892304	
660	-0.048271067989304584	
659	-0.05299460351204743	
658	-0.05747111470981281	
657	-0.05037261735938614	
656	-0.04357860740550734	
655	-0.03707809831617226	
654	-0.04227000596637254	
653	-0.04719963457985443	
652	-0.040420669163822254	
651	-0.03393508099559028	
650	-0.027732353465950155	
649	-0.02180233997684411	
648	-0.010362157777052516	
647	0.0005550553680819803	
646	0.016763023191174398	
645	0.03221507019500791	
644	0.04693864483208188	
643	0.06096024355294105	
642	0.08597865611343991	
641	0.1039556556008705	
640	0.132766720789121	
639	0.23058565140523513	
638	0.2532775500620801	
637	0.28068492667249245	
636	0.3125874193781897	
635	0.34286764989155927	
634	0.37749938096577296	
633	0.4399684288908219	
632	0.4696901390939985	
631	0.49781191615088005	0.13577809504874414
630	0.536293212006143	0.1539421524808095
629	0.5727407192581495	0.17281956336803678
628	0.6251312526035946	0.19308881640853623
627	0.6568806585174798	0.213756847956588
626	0.7047964350056333	0.23552273264308196
625	0.7501635490583709	0.25821878160980194
624	0.7810752606039983	0.2811650533728144
623	0.822194176770239	0.3047984723185503
622	0.8610167755223017	0.3289873468406414
621	0.903652596419164	0.3538721259703608
620	0.9559456102355455	0.3798376348310547
619	0.999326098646975	0.40645011151552385
618	1.0402183945021335	0.4335745025054535
617	1.0363366524659199	0.4592797750167235
616	1.0321042300193	0.48362482443082133
615	1.0275391448758313	0.5066655193418206
614	1.0226587576508166	0.5284549202394103
613	1.0357275461361297	0.5498117314603668
612	1.035493956120817	0.570200726092728
611	1.034743214771325	0.5896485102489322
610	1.0182419174030883	0.6075439088630565
609	1.0019731770555325	0.6239711312585249
608	1.0103983608112372	0.640026032226742
607	1.002618503690087	0.6550556308996637
606	0.982424063784606	0.6685949232206353
605	0.9871873341171238	0.6817430900844036
604	0.9912298692630515	0.6944892925635374
603	0.969994187110018	0.7058136514489448
602	0.9061589390970255	0.7140331271785195
601	0.8694017125810518	0.7203958420343471
600	0.8277085827671016	0.7247829361307914
599	0.781319536669514	0.7270903874621832
598	0.7489938688641189	0.7279829171662089
597	0.717756143148037	0.7275668311769681
596	0.6875726455595697	0.7259420187451914
595	0.6584106766074598	0.7232023402375201
594	0.6116459040361519	0.7186827244460987
593	0.5604926626398168	0.7122820973563192
592	0.5113792877284737	0.7041633585041189
591	0.4642379536001613	0.6944792450159469
590	0.41900293786397924	0.6833729324399597
589	0.4005017550367853	0.6719810259897182
588	0.3826368258325772	0.6603407359280155
587	0.33422639082998273	0.6472344790088537
586	0.28472750104826616	0.6326798016537544
585	0.2716626347306743	0.6181984712951629
584	0.25905258393665065	0.6038051121179673
583	0.2468830885216704	0.5895131825603276
582	0.2539055809505726	0.5760858259316837
581	0.24170032295394606	0.5627179705456768
580	0.25498076817572723	0.5504248079156064
579	0.26752663811312516	0.5391321467902811
578	0.3232691130721008	0.5305214234689053
577	0.3700354287502705	0.5241239889171065
576	0.41448575451271097	0.5197563194685874
575	0.4567025421003592	0.5172459997036374
574	0.49676562764047105	0.5164311139537763
573	0.566211215763218	0.518410661378314
572	0.6322089658023202	0.5229334580053291
571	0.694881663121123	0.5297637543102578
570	0.7543482023244792	0.5386803959858395
569	0.8107237050456888	0.5494760303018806
568	0.8641196341654052	0.5619563553547381
567	0.88938986771754	0.5749381592337849
566	0.9383216852236984	0.5893390651151837
565	1.0161479496708523	0.6062465151117106
564	1.1025606909190913	0.6258995013055052
563	1.1654971000085936	0.6472582559713603
562	1.2249725660691695	0.6701173840766906
561	1.2811136870432875	0.6942849015516354
560	1.337211193008173	0.7197067790288946
559	1.3805607348522244	0.7458290372588566
558	1.430742179051549	0.7728938541731173
557	1.4779052876507137	0.8007445136322577
556	1.5221628404004832	0.8292350987004578
555	1.5477460625094182	0.8576030133314692
554	1.5872535522034639	0.8864030790523361
553	1.6273251208290986	0.9156405768084088
552	1.6583764370543719	0.9449424624996161
551	1.6871609573805557	0.9742170403453955
550	1.7137667526983051	1.0033797563206115
549	1.7382790128700236	1.0323527922619404
548	1.7703350806141032	1.0614413011035466
547	1.8286964292436352	1.09167757119858
546	1.9153351958755707	1.1241303185087235
545	1.9651589681044328	1.1572613655074373
544	1.963854599042179	1.1890302331922002
543	1.9615959316375324	1.2194536799589237
542	1.9488507439424012	1.2481724447336082
541	1.9420657332534148	1.2754890036412394
540	1.9345865109674634	1.3014318261143447
539	1.9456217965188785	1.3267841837592877
538	1.9615435884710166	1.3517619077915277
537	1.975727968280026	1.376311619624979
536	2.001041512263754	1.4008882152283497
