	macd	trigger
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578		
577		
576		
575		
574		
573		
572		
571		
570		
569		
568		
567		
566		
565		
564		
563		
562		
561		
560		
559		
558		
557		
556		
555		
554		
553		
552		
551		
550		
549		
548		
547		
546		
545		
544		
543		
542		
541		
540		
539		
538		
537		
536		
535		
534		
533		
532		
531		
530		
529		
528		
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517		
516		
515		
514		
513		
512		
511	-0.4990380573441833	
510	-0.4979105038473506	
509	-0.5073705647192206	
508	-0.5058398661360819	
507	-0.5068351590058953	
506	-0.5178587744723941	
505	-0.5330025390399378	
504	-0.5564525093371735	
503	-0.5779592953760364	
502	-0.6025519118761693	
501	-0.625675802311342	
500	-0.6496003770248251	
499	-0.6709593623060215	
498	-0.6954142228854963	
497	-0.7139132712345386	
496	-0.7311809802320859	
495	-0.7500637876745806	
494	-0.7676811908099133	
493	-0.7818370050994616	
492	-0.8005654942401641	
491	-0.8230928579406473	
490	-0.8441520506107167	
489	-0.8638018169315096	
488	-0.8781221113974595	
487	-0.8913307816973912	
486	-0.9086076545792316	
485	-0.9246215766014636	
484	-0.9474429722143647	
483	-0.9647086685359305	
482	-0.9812605802257082	
481	-0.9965488474070519	
480	-1.0008104137300577	
479	-1.0130430325043882	
478	-1.0288326578291063	
477	-1.042791245140954	
476	-1.0613930478428664	
475	-1.0815123605690538	
474	-1.1042420484955606	
473	-1.1224419817356228	
472	-1.1389422774343743	
471	-1.1543992434243044	
470	-1.1644465113493254	
469	-1.1699095274064462	
468	-1.176296329671981	
467	-1.18651662075208	
466	-1.1897514365022772	
465	-1.1928259373372576	
464	-1.2004926610480169	
463	-1.2006629397117727	-0.9947109127125464
462	-1.199025310030141	-1.0039769261286378
461	-1.2004284936961582	-1.0128320112569105
460	-1.197576989642748	-1.0211109100870355
459	-1.1990276903963384	-1.0290394446029503
458	-1.2027944767259164	-1.0367413327859671
457	-1.2060770959823834	-1.0442091679260028
456	-1.209496403831185	-1.0514630243596716
455	-1.2145476526428105	-1.0585869427905725
454	-1.220555212544916	-1.0656306343251405
453	-1.2310890733968307	-1.0727954954585863
452	-1.2393092340813183	-1.07997670185387
451	-1.2477313151320253	-1.087183237560891
450	-1.2551339323954487	-1.0943712910435535
449	-1.2627706206590084	-1.101552814732067
448	-1.2700220830674702	-1.1087127615998449
447	-1.2756891502851566	-1.115786030098992
446	-1.2774101637229727	-1.1226111060511492
445	-1.2820514175091695	-1.129323742331887
444	-1.2864367305381492	-1.1359193633172981
443	-1.28874725076329	-1.1423174083627636
442	-1.2872440364935898	-1.148368644188865
441	-1.2912624164865463	-1.1543198956951704
440	-1.297497190836463	-1.1602684860599108
439	-1.2972760171149318	-1.1659475013980243
438	-1.2957901724734455	-1.1713175300960685
437	-1.2952444532465606	-1.176431939004652
436	-1.2866932716164214	-1.180973048239814
435	-1.2778744980775123	-1.1849560874387537
434	-1.271573485939097	-1.1885097003691614
433	-1.265525727631001	-1.19166369073038
432	-1.2621890541774512	-1.1945468656778797
431	-1.2583593314944927	-1.197151269865696
430	-1.254060806957117	-1.1994702369451467
429	-1.2493168621545436	-1.2014982941138803
428	-1.2441500410609585	-1.2032310732068108
427	-1.2422974301498186	-1.2048159559457245
426	-1.2392739631275465	-1.2062119933121276
425	-1.2382351610836242	-1.2075077027441763
424	-1.2313333585951138	-1.2084705278942798
423	-1.2272217664936882	-1.2092273844794053
422	-1.2204927224576974	-1.2096815664239602
421	-1.2128225535982597	-1.209808061574083
420	-1.2058142691519915	-1.2096473916791477
419	-1.1985070769949182	-1.2091996719495297
418	-1.1921655883763655	-1.2085157524513672
417	-1.1886224315308684	-1.2077177800041439
416	-1.194000539219246	-1.2071680391314605
415	-1.1947716716961452	-1.2066716617760622
414	-1.195833453917892	-1.2062380348813524
413	-1.1956078013694	-1.2058130660264177
412	-1.19164733843132	-1.2052471884147453
411	-1.1903895673337779	-1.2046541054686344
410	-1.1910870065917987	-1.2041129172313993
409	-1.1949699046065767	-1.2037484503819642
408	-1.2005121571201354	-1.2036195258395095
407	-1.2058145285169903	-1.2037069140791261
406	-1.2125832229728104	-1.204060090164332
405	-1.2167226660658539	-1.2045636280962113
404	-1.2225671417131263	-1.205279159237674
403	-1.2306674299293405	-1.2062876571826049
402	-1.2377670771486056	-1.2075374797347624
401	-1.2434032879550703	-1.2089607610179294
400	-1.250226406161259	-1.2105975610627446
399	-1.25742237823086	-1.2124540313695322
398	-1.2608019809016735	-1.2143700628375915
397	-1.2726071143753845	-1.2166770439536139
396	-1.2862562564535498	-1.2194322328426113
395	-1.2980536798441236	-1.2225442856056628
394	-1.3095963085788167	-1.2259887793808553
393	-1.323550105048806	-1.2298477471544915
392	-1.3369485588054406	-1.2340826085183614
391	-1.3509513593543456	-1.2387022005801918
390	-1.362036265299265	-1.243575831522907
389	-1.3703293634091693	-1.2485830828725688
388	-1.377539536115842	-1.2536758905611116
387	-1.3823784393763159	-1.258757264543533
386	-1.3815830683297676	-1.2636053267771747
385	-1.3804296784179755	-1.2682153282703976
384	-1.3748650948928667	-1.2724227988367582
383	-1.3719622112365624	-1.2763488318002574
382	-1.3684839293428475	-1.2799820016008852
381	-1.3644581015776591	-1.2833124296275813
380	-1.3630965810879179	-1.2864572232517701
379	-1.3619222574211864	-1.289431176858843
378	-1.3611824410632938	-1.2922582321505651
377	-1.3597739128580795	-1.294917909905593
376	-1.3621935466578954	-1.2975676603789834
375	-1.3606728300762256	-1.3000527264061865
374	-1.3587742575813042	-1.3023647864956769
373	-1.3565798554579391	-1.304499075945497
