	macd	trigger
1744		
1743		
1742		
1741		
1740		
1739		
1738		
1737		
1736		
1735		
1734		
1733		
1732		
1731		
1730		
1729		
1728		
1727		
1726		
1725		
1724		
1723		
1722		
1721		
1720		
1719		
1718		
1717		
1716		
1715		
1714		
1713		
1712		
1711		
1710		
1709		
1708		
1707		
1706		
1705		
1704		
1703		
1702		
1701		
1700		
1699		
1698		
1697		
1696		
1695		
1694		
1693		
1692		
1691		
1690		
1689		
1688		
1687		
1686		
1685		
1684		
1683		
1682		
1681		
1680		
1679		
1678		
1677		
1676		
1675		
1674		
1673		
1672		
1671		
1670		
1669		
1668		
1667		
1666		
1665		
1664		
1663		
1662		
1661		
1660		
1659		
1658		
1657		
1656		
1655		
1654		
1653		
1652		
1651		
1650		
1649		
1648		
1647		
1646	-0.023098649463086485	
1645	-0.022670524113511448	
1644	-0.022520969001576185	
1643	-0.022096504717980414	
1642	-0.021735188432984387	
1641	-0.02137992609467121	
1640	-0.020976047840620016	
1639	-0.020854033051231013	
1638	-0.020727131714243674	
1637	-0.020320764336986485	
1636	-0.019482279646431788	
1635	-0.01889439466277132	
1634	-0.01799219290299492	
1633	-0.017400873527019467	
1632	-0.016828449420558833	
1631	-0.01633009158530685	
1630	-0.01579083214883714	
1629	-0.013418853129183228	
1628	-0.012162259721339108	
1627	-0.010507631227089975	
1626	-0.009150583892372666	
1625	-0.006947081931458321	
1624	-0.005862979077271069	
1623	-0.004939926074561951	
1622	-0.004057247393199459	
1621	-0.002643005053764913	
1620	-0.0018646616901449864	
1619	-0.0014078456726061006	
1618	-0.0012584449485693039	
1617	-0.00054023212652754	
1616	-0.0006616392385923042	
1615	0.0002043248656440344	
1614	0.00033611997338822697	
1613	0.00040371511088532763	
1612	0.0012226952362868193	
1611	0.001247236971990251	
1610	0.0018526496855550967	
1609	0.002662717474245513	
1608	0.006649869468392522	
1607	0.011035978882059094	
1606	0.013572248766929862	
1605	0.015985118574683987	
1604	0.01827908352318186	
1603	0.020989080940670757	
1602	0.02356409919611302	
1601	0.02600907128086072	
1600	0.02791413223372885	
1599	0.03054824953185653	
1598	0.03358091006196129	0.004969580935653544
1597	0.03580315592471961	0.006367937210422722
1596	0.03820343127222947	0.00780292708354262
1595	0.03987774353832174	0.009240282310970566
1594	0.04157471721179151	0.010681207010248942
1593	0.04311312014489621	0.012118788215653088
1592	0.044978735723356866	0.013567936736117265
1591	0.04685622893640695	0.01502883897227927
1590	0.04549977045494202	0.01635988060803165
1589	0.04496423259114235	0.01760382939022722
1588	0.04515315516166263	0.01879680023281369
1587	0.04531047577522429	0.019940250484681617
1586	0.04465244753621089	0.02100185664245383
1585	0.04430405315864472	0.021999157874144987
1584	0.04455440840423308	0.022961044517946214
1583	0.04398267539688083	0.023854464200089995
1582	0.043414613784928946	0.024683049552704086
1581	0.04388319170956656	0.025493834585697213
1580	0.043760617245343525	0.026262888954019733
1579	0.043438645271595355	0.02698392914364294
1578	0.04207284715346571	0.027615617369708998
1577	0.04038165798968296	0.028148647933887428
1576	0.04039648443738053	0.02865874682951004
1575	0.03959495741903041	0.029113113821674516
1574	0.03954442211628395	0.029545495599125036
1573	0.03990501903478383	0.029973944410958513
1572	0.03992208880719916	0.030384499898261478
1571	0.041269025373396495	0.030832778709923663
1570	0.04370151321820348	0.031361735439395494
1569	0.045201073931302016	0.03192951573601723
1568	0.046609297802810534	0.03253068789186011
1567	0.047744685216636995	0.03315265726279497
1566	0.04898912069728434	0.033798997302490565
1565	0.051510599014094494	0.03452071502139538
1564	0.05370558046622631	0.03530126944675786
1563	0.05552576789613073	0.036122914293370126
1562	0.056925145056594184	0.036966839835637436
1561	0.058107800189034275	0.037823348178074555
1560	0.06292858150841574	0.03883914673529489
1559	0.06638047971185479	0.03995212713856742
1558	0.06902011693336396	0.041125398940103045
1557	0.07131783931718916	0.04234266035806882
1556	0.07378569514122235	0.043608947415130266
1555	0.07529394958935165	0.0448836320838166
1554	0.07563554997552324	0.046119525391498356
1553	0.075798129020894	0.04731112314392203
1552	0.07641381136338188	0.04847850708308767
1551	0.07746203525231099	0.04964006940593717
1550	0.07923548189228935	0.05082513371276361
1549	0.08032471538523267	0.05200538529709046
1548	0.08044691740099741	0.05314240315443104
1547	0.08133658271686772	0.05426867463514002
1546	0.08183068085078293	0.05536888817255766
1545	0.08232304940995405	0.05644408303467557
1544	0.08275078621966636	0.05749274408572014
1543	0.08261419261049574	0.05849350977499148
1542	0.0826299172335141	0.05945443714884531
1541	0.08253961791414599	0.06037296464339427
1540	0.08153018312158111	0.06121429914908092
1539	0.0797692908490173	0.06195174822004494
1538	0.07848841244343618	0.06260863391690238
1537	0.07810783588920223	0.0632239963405539
1536	0.07745215567565156	0.06378861969300065
1535	0.07678646755556384	0.0643041787710194
1534	0.07579588621463618	0.06475979216010683
1533	0.07531671389766825	0.06517816345507889
1532	0.07538941418503597	0.06558266818158776
1531	0.07548326352927859	0.06597471070860603
1530	0.07515439636229582	0.06633806787375664
1529	0.07473850440579999	0.06667045821180134
1528	0.07430305248122093	0.06697235996552676
1527	0.07378578408628411	0.06724176881612158
1526	0.07357101350768769	0.06749195142118403
1525	0.0731378489538621	0.06771505297043837
1524	0.07230598600613924	0.06789641245839209
1523	0.0710303162467123	0.06802017803124172
1522	0.07079223735750695	0.06812962318417679
1521	0.0708462042834932	0.06823684946583941
1520	0.06984412409378815	0.0683002740715042
1519	0.06885160537564183	0.06832202480109262
1518	0.06786872029495217	0.0683041455672223
1517	0.06689553299368622	0.0682485996482462
1516	0.066250470410818	0.06816982440157736
1515	0.06579166913497292	0.06807608639242567
1514	0.06512861842883089	0.06795993149925507
1513	0.06452586743318967	0.06782462671964282
1512	0.06417232647595927	0.06768074989560707
1511	0.06322756675755392	0.06750535469018383
1510	0.06203785219027247	0.067290045789481
1509	0.06150866087014273	0.06706241362345114
1508	0.06058857822030994	0.06680755756838617
1507	0.0586568248305277	0.06648673551991297
1506	0.056846547609576525	0.06610734201350082
1505	0.054769578298152766	0.06566120205697144
1504	0.052439011295592586	0.06514097989497654
1503	0.05069915614681486	0.06457284498384791
1502	0.04882025429525361	0.06395322183691084
1501	0.04668150739893173	0.06327392527367912
1500	0.04461591875079085	0.0625401897174937
1499	0.042300950996703834	0.061744358802587794
1498	0.04006942088234866	0.060892164397408334
1497	0.0379186864911043	0.059989006781971735
1496	0.03514095278881313	0.05901224895881046
1495	0.03253554179970841	0.05797156738408621
1494	0.029390350699444623	0.05684826784746643
1493	0.026950538096689014	0.055673328124979694
1492	0.02403013601341497	0.05442989725941174
1491	0.02123017000282723	0.05312540571675706
1490	0.01854661118801393	0.051766831535850544
1489	0.015268986511283833	0.05033296479096161
1488	0.012518089107080188	0.048847461688110334
