	macd	trigger
2594		
2593		
2592		
2591		
2590		
2589		
2588		
2587		
2586		
2585		
2584		
2583		
2582		
2581		
2580		
2579		
2578		
2577		
2576		
2575		
2574		
2573		
2572		
2571		
2570		
2569		
2568		
2567		
2566		
2565		
2564		
2563		
2562		
2561		
2560		
2559		
2558		
2557		
2556		
2555		
2554		
2553		
2552		
2551		
2550		
2549		
2548		
2547		
2546		
2545		
2544		
2543		
2542		
2541		
2540		
2539		
2538		
2537		
2536		
2535		
2534		
2533		
2532		
2531		
2530		
2529		
2528		
2527		
2526		
2525		
2524		
2523		
2522		
2521		
2520		
2519		
2518		
2517		
2516		
2515		
2514		
2513		
2512		
2511		
2510		
2509		
2508		
2507		
2506		
2505		
2504		
2503		
2502		
2501		
2500		
2499		
2498		
2497		
2496	0.10929955166780658	
2495	0.11801136480216456	
2494	0.1302918784097713	
2493	0.14327165309326872	
2492	0.14742208669920132	
2491	0.15945901766798087	
2490	0.16604273572851014	
2489	0.1729402320593536	
2488	0.17942271014945987	
2487	0.1875410839897249	
2486	0.193141152585536	
2485	0.19837863006953427	
2484	0.20880752851910245	
2483	0.21514134392259976	
2482	0.22457483976223713	
2481	0.23345149400308074	
2480	0.24179343884824434	
2479	0.27064367041880644	
2478	0.3120544546291697	
2477	0.3344789798904948	
2476	0.36556448870785374	
2475	0.39501578641621293	
2474	0.422895409768401	
2473	0.4407422962067358	
2472	0.4653352574173617	
2471	0.4957381529567435	
2470	0.5180194467420804	
2469	0.5461651116031163	
2468	0.572730034043623	
2467	0.6049634554378649	
2466	0.6339587503337505	
2465	0.6627356698925482	
2464	0.6912933451716725	
2463	0.7239770678372999	
2462	0.7634941911134092	
2461	0.805164468099747	
2460	0.8561593703513459	
2459	0.9058313210429283	
2458	0.9534597003737453	
2457	0.9977110703651633	
2456	1.0379554164836655	
2455	1.0787621851343125	
2454	1.106846987613686	
2453	1.1404501221542738	
2452	1.1615989580143982	
2451	1.1900592262551548	
2450	1.2218229516181687	
2449	1.2255270372909095	
2448	1.2299241035486794	0.7568075951473998
2447	1.2334948730294073	0.7784261926134841
2446	1.2452133735050275	0.7994666977861415
2445	1.2423365081006565	0.8193128358871359
2444	1.2449353925470383	0.838279923338715
2443	1.2527665334349862	0.8566525107988583
2442	1.253610455783086	0.874158656191377
2441	1.2537782846075451	0.890818782842132
2440	1.2472923811046037	0.9063903843077382
2439	1.255508821564959	0.9215728801434964
2438	1.2521692284470696	0.9358887224789428
2437	1.2528686772728506	0.949559056815139
2436	1.245711788424277	0.9622814207094438
2435	1.2461685960128293	0.9744313924683152
2434	1.2422165330673103	0.9858513033137746
2433	1.2378121569134777	0.9965596440239759
2432	1.2299439110780988	1.0064460093798682
2431	1.221807861132021	1.0155403256954336
2430	1.2179821183478303	1.024063378050696
2429	1.2091429662964863	1.031833040063633
2428	1.2016143767853578	1.0389408307841508
2427	1.1983934103678315	1.0455985801196976
2426	1.1901260099322641	1.0516178703276897
2425	1.1831572250444822	1.0570829389147192
2424	1.1774328932114742	1.0620714912310005
2423	1.1713685122163788	1.0665917936434586
2422	1.1657800430153635	1.0706852485063574
2421	1.1590526537456292	1.0743246570869909
2420	1.1528389238656302	1.0775519091330554
2419	1.147057736520157	1.0804034933553697
2418	1.1409538514878221	1.0828831752178059
2417	1.1345449288082428	1.0849951795580266
2416	1.133277856574363	1.0869657601430445
2415	1.1245105048947721	1.0884956447904237
2414	1.1464745136550256	1.0908545699963323
2413	1.162212963476371	1.0937535915177892
2412	1.1890256491918976	1.0976186829039345
2411	1.2124611286604399	1.1022714286265536
2410	1.2280076217186995	1.1073589194239013
2409	1.2639462269297468	1.1136868122968984
2408	1.2991566775797097	1.1211729358474816
2407	1.3289918366022242	1.1295515209056404
2406	1.3567897706831076	1.1387029548097454
2405	1.3779580893247392	1.1483281664538485
2404	1.4130390014570544	1.1589666687613596
2403	1.436445258362955	1.1701074511190397
2402	1.4580512157445327	1.1816576187074046
2401	1.4779275439449293	1.1935311208062545
2400	1.48207853346144	1.205085183102986
2399	1.4852809400643743	1.2162955619397806
2398	1.487576103370845	1.2271406464742305
2397	1.4890039466656333	1.237601286628585
2396	1.481768151891373	1.2473478808514136
2395	1.4741010239858134	1.2563930079588725
2394	1.4895613606055171	1.2656877708958059
2393	1.503554269039281	1.2751636826743142
2392	1.4925738838604268	1.2838192961509187
2391	1.4970461372533599	1.2923032979926024
2390	1.5005462204476387	1.3005842521457716
2389	1.503116387540281	1.3086336836681554
2388	1.5000730082193598	1.3162382254557219
2387	1.4979728611460175	1.3234536076463452
2386	1.5030813991234169	1.3305818695267282
2385	1.4914099569897417	1.3369611087183768
2384	1.479502286888156	1.3426124594501188
2383	1.4863259156821442	1.3483078303435845
2382	1.4920748726944808	1.354002965022486
2381	1.5015376331659525	1.3598450242210025
2380	1.5113793662898445	1.36584316958614
2379	1.5105007835877302	1.3715670141786582
2378	1.5104680156763237	1.377061142972373
2377	1.5096591826494432	1.382304187413375
2376	1.516794856168822	1.3876203392617408
2375	1.5268207742540412	1.3931209408089549
2374	1.516568341088302	1.3979975872618178
2373	1.5060008204947124	1.4022629007282041
2372	1.495137863503352	1.4059297466749896
2371	1.4887638741236344	1.409199295845939
2370	1.477144862875285	1.4118804933964826
2369	1.4684724982116109	1.414113120828232
2368	1.4586103355092916	1.4158681797281183
2367	1.4492719586130818	1.4171853932971994
2366	1.4412026876810273	1.4181322631262199
2365	1.4454969487342453	1.4192108769518093
2364	1.4361053459895743	1.4198766603531876
2363	1.4407435342590063	1.4206988313205038
2362	1.417323543081487	1.4205658669638974
2361	1.3942371489446899	1.4195288714570096
2360	1.3714810162348385	1.4176367587621945
2359	1.3570323325798768	1.4152505628947074
2358	1.3425401380587516	1.412388165122469
2357	1.3200276392333166	1.4087527504834647
2356	1.2978573218282463	1.4043884158964315
2355	1.268033381795874	1.3990228578804504
2354	1.2461377189567457	1.393007649134552
2353	1.2093680695804707	1.3857833499027505
